"Layer","Component","File_Path","Input","Output","Logic_Summary","Live_Or_Dead","Model_Or_Provider","Evidence"
"L1 (the only in-request AI)","runLevel1()","ct/src/lib/pipeline/level1.ts","unresolved segment texts + {orgId,userId,projectId,candidateFunctionIds}","{resolutions: ResolvedFunction|null[], reasons, modelCalls}","ONE batched provider call for ALL misses. Loads <=200 valid BOQ item codes as a bound candidate set. Every model answer is RE-VALIDATED in code: functionId must be in the candidate set; confidence must be >= MIN_CONFIDENCE; itemCode must exist in the BOQ. A failure is a FAIL, never a low-confidence suggestion.","LIVE - default runLevel1Fn of resolveMissesWithReuseCache (reuse-cache.ts:101); also imported directly by classify-only.ts:16","Resolved per-call via resolvePipelineModel('pipeline_l1'); live DB row = openai/gpt-oss-120b via OpenRouter (fallback deepseek/deepseek-chat)","level1.ts:28 MIN_CONFIDENCE=0.8; :90 runLevel1; :102 getAiProvider().classify; :135-138 confidence reject; :159 modelCalls:1"
"L1 Confidence gate","MIN_CONFIDENCE = 0.8","ct/src/lib/pipeline/level1.ts","r.confidence returned by the model","accept | reject with reason","POST-HOC accept/reject of the model's OWN self-reported confidence, applied AFTER the call. It is NOT a pre-escalation gate: escalation happens on a boolean L0 miss, and no confidence number is computed before the AI call.","LIVE - enforced at level1.ts:135","Model self-report (asked for in the prompt)","level1.ts:28 and :135-138; openrouter.ts:39 prompt asks for '""confidence"": number (0-1)'; escalation trigger is run-submission.ts:886 r.kind==='miss'"
"L1 Adapter","AiProvider interface + getAiProvider()","ct/src/lib/ai/adapter.ts","AI_PROVIDER env var","classify() [L1] and analyse() [L2]","EXACTLY TWO METHODS. classify = L1 live in-request; analyse = L2 nightly batch, explicitly never in-request. Provider is an env var, never a code branch; lazily required so the unselected provider's env checks never run. There is no L3 method.","LIVE - level1.ts:24, batch/analyse.ts:10, run-submission.ts:32","claude-cli (default) or openrouter, from process.env.AI_PROVIDER","adapter.ts:40-45 the two-method interface; :87 const raw = process.env.AI_PROVIDER ?? 'claude-cli'; :103 getAiProvider"
"L1 Guard","assertAiProviderAllowed()","ct/src/lib/ai/adapter.ts","userId","void or throws AiProviderRefusalError","When AI_PROVIDER=claude-cli, refuses every user id other than RAJAT_USER_ID, and refuses closed if RAJAT_USER_ID is unset. openrouter has no per-user restriction.","LIVE - level1.ts:96 (before every L1 call), run-submission.ts:1135 providerAvailable()","claude-cli only","adapter.ts:63-84; C:\ct\ct\.env.local has NO AI_PROVIDER line (grep '^AI_PROVIDER=' empty) but does set RAJAT_USER_ID -> local default is claude-cli, single-user"
"L1 Provider","openrouterProvider.classify()","ct/src/lib/ai/providers/openrouter.ts","segments[], candidateFunctions[], {orgId,projectId,validIds}","ClassificationResult[] (one per segment, same order)","Thin wrapper on callLLMJson('openrouter', model, ...), temperature 0, strict-JSON system prompt forbidding invented function ids, arithmetic, DB writes and prose. Throws if result count != segment count. Shape-normalises only; semantic validation is validate.ts's job.","LIVE - lazily required by adapter.ts:113 when AI_PROVIDER=openrouter","OpenRouter; model = resolvePipelineModel('pipeline_l1', 'deepseek/deepseek-chat')","openrouter.ts:20 L1_MODEL_FALLBACK; :29-39 CLASSIFY_SYSTEM_PROMPT; :56-85 classify()"
"L1 Provider (dev)","claudeCliProvider","ct/src/lib/ai/providers/claude-cli.ts","same as openrouterProvider","same","Shells out to the local `claude -p` binary over stdin (spawn with shell:true for the Windows .cmd shim). Local-dev-only by construction - no such binary exists on Vercel; throws honestly rather than pretending.","LIVE (as the DEFAULT provider) - required by adapter.ts:116 when AI_PROVIDER is unset or 'claude-cli'","Claude Code CLI on the local machine (Rajat's own subscription)","claude-cli.ts:1-14 header; :42 spawn('claude', ['-p'], {shell:true}); :19 60s timeout"
"Model registry","resolvePipelineModel()","ct/src/lib/ai/level-model-registry.ts","'pipeline_l1' | 'pipeline_l2' + fallback slug","model slug string","Owner-editable model swap with no redeploy: reads the active platform.pipeline_level_models row, 60s in-process TTL cache, falls back to the env/const default when no active row exists. The enum has exactly TWO values - it cannot express an L3.","LIVE - openrouter.ts:59 (L1) and :89 (L2)","Returns the slug; provider is always OpenRouter here","level-model-registry.ts:26 PipelineLevelRole; :55 resolvePipelineModel; live SQL: pipeline_l1=openai/gpt-oss-120b (active), pipeline_l2=z-ai/glm-5.2 (active), 2 rows"
"L2 (batch only)","analyse() phrase-map promotion","ct/src/lib/ai/batch/analyse.ts","last 24h of compliance.gap_log, clustered","Artifact[] (phrase_map_candidate | report_definition | capability_gap | no_action)","Nightly only, never in-request. Clusters unresolved intents, requires frequency >= 3, asks the model for candidates, then software (not the model) writes compliance.phrase_map rows. Model-emitted SQL is screened by FORBIDDEN_SQL_PATTERN.","LIVE - driven by /api/internal/l2-phrase-promotion/run, vercel.json cron '30 10 * * *'","OpenRouter; model = resolvePipelineModel('pipeline_l2', 'deepseek/deepseek-chat-v3.1'); live row = z-ai/glm-5.2","analyse.ts:1-6 header; :25 MIN_CLUSTER_FREQUENCY=3; :38 FORBIDDEN_SQL_PATTERN; vercel.json:36"
"Verdict","classifySegment()","ct/src/lib/pipeline/classify.ts","{text, resolution, nature:{writes}}","Classification {verdict, functionId, params, missingParams, source, level, message, gapReason}","RULE-BASED, first match wins, PURE (no DB/model/IO): unresolved+acknowledgement -> chat; unresolved -> gap (+gap_log); reads as a question -> chat (even for a write function); function writes -> task; read-only -> chat. The model never produces the verdict, only the functionId it is derived from.","LIVE - run-submission.ts:900 and :958, dry-run.ts, classify-only.ts","None (deterministic)","classify.ts:10 'PURE. No DB, no model, no I/O'; :144 classifySegment; :170-180 gap; :194-199 question; :202-210 task; :213-217 chat"
"Verdict","isQuestion() / isImperative()","ct/src/lib/pipeline/classify.ts","segment text","boolean","isQuestion: trailing '?' OR first word in a closed 39-entry INTERROGATIVE_OPENERS set (English + romanised Hindi). isImperative: text equals or starts with one of segment.ts's 12 KNOWN_VERBS. Deliberately decidable, not probabilistic POS tagging.","LIVE - classify.ts:170 and :194; isImperative also gap-kind labelling","None (closed set + string prefix)","classify.ts:102-108 openers; :121-127 isQuestion; :134-138 isImperative"
"Verdict","classifySubmission()","ct/src/lib/pipeline/classify.ts","SegmentVerdict[]","'CHAT_ONLY' | 'TASK' | 'MULTIPLE_TASKS'","Counts ONLY 'task' verdicts: 0 -> CHAT_ONLY, 1 -> TASK, >1 -> MULTIPLE_TASKS. 'chat' and 'gap' do not count, so a mixed task+question message is still TASK. Persisted to compliance.submissions.classification.","LIVE - run-submission.ts:582 (runSubmission), :690 (runDirectTask), :1194 (submitForVerdict)","None (pure counting)","classify.ts:250-257; live SQL previously showed 45/50 submissions with classification NULL and all 5 populated = TASK"
"Verdict envelope","toVerdict / toVerdictResult","ct/src/lib/pipeline/verdict.ts","DryRunProposal + submissionId","SubmissionVerdictResult {verdict, status, understood, missing, chain, confirmable, verdicts[]}","Pure transform of the dry-run proposal into the client envelope. Keeps ONE VERDICT PER SEGMENT in `verdicts[]` and flattens only the first at top level, with an explicit instruction that callers must not collapse them.","LIVE - run-submission.ts:30 import, called at :1193","None (pure)","verdict.ts:25 VerdictKind; :72-74 verdicts[] contract; :130 toVerdict; :180 toVerdictResult"
"Validation","validate()","ct/src/lib/pipeline/validate.ts","ValidationCandidate + ValidationContext","PipelineFailure | ok","Re-checks EVERY resolution regardless of source (phrase_map, structural, last_action, level1, reuse_cache): function id in the candidate set, required params satisfied, BOQ line reachable, permission. A failure is a FAIL, never a lower-confidence option. Emits closed error CODES, never English.","LIVE - run-submission.ts:25","None (deterministic)","validate.ts:1-13 header; error-codes.ts is the closed vocabulary"
"Chain derivation","deriveChain() / buildChain","ct/src/lib/pipeline/derive-chain.ts","functionId + mode + projectId, ChainRepo (compliance.screen_definitions)","DerivedChain {root, steps[]}","PHRASE -> FUNCTION -> CHAIN, never the reverse. The chain is OUTPUT derived after a function is resolved, rendered to the user as 'Understood: <chain>'. submissions.selected_chain stays a non-binding HINT.","LIVE - run-submission.ts:26/:475/:731, dry-run.ts:278, classify-only.ts:17","None (deterministic)","derive-chain.ts:1-11 header; run-submission.ts:475 deriveChain call"
"Function catalogue","function-registry.ts (SPECS / WRITE_FUNCTION_IDS)","ct/src/lib/pipeline/function-registry.ts","functionId","FunctionSpec {label, kind write|ask|run, requiredParams, cardSchema}","The single source of truth for what a function needs and whether it writes. classify.ts's task/chat split and level0's timesheet missingParams both derive from it, so a registered write can never be mis-classified as a read.","LIVE - level0.ts:20, executor.ts, dry-run.ts, validate.ts","None","function-registry.ts:75 FunctionKind; :325 functionSpec; :377 WRITE_FUNCTION_IDS derived from SPEC_LIST"
"Execution","executeTask / EXECUTORS / EXECUTABLE_FUNCTION_IDS","ct/src/lib/pipeline/executor.ts","ExecutableTask","ExecutionOutcome","The closed candidate set the classifier is ever shown (M26: never 400 unbound functions). 8 named executors plus generated read-only dispatch/alias/org-scoped executors. functionWrites() = registered writes intersected with what actually has an executor.","LIVE - run-submission.ts:28, dry-run.ts:29, classify-only.ts:18","None (direct ERP writes/reads)","executor.ts:672-685 EXECUTORS map; :704 functionWrites; :709 EXECUTABLE_FUNCTION_IDS = Object.keys(EXECUTORS)"
"Orchestrator","resolveAll() inside runSubmission","ct/src/lib/pipeline/run-submission.ts","Segment[] + input + repos","ResolvedSegment[]","L0 for every segment in parallel -> collect r.kind==='miss' indices -> ONE reuse-cache+L1 batch for those -> classifySegment per segment -> R53 re-join-once retry that merges only two ADJACENT gaps and re-runs the ladder once.","LIVE - called by runSubmission (run-submission.ts:347)","L1 provider only for the misses","run-submission.ts:880 resolveAll; :886 missIndices = l0.map(r.kind==='miss'); :887 resolveMissesWithReuseCache"
"Orchestrator","runSubmission()","ct/src/lib/pipeline/run-submission.ts","{orgId,userId,mode,projectId,selectedChain,rawInput,role,actorUserId}","RunSubmissionResult {submissionId,status,classification,tasks,failures,gaps,l0HitRate,modelCalls}","Resolve EVERYTHING before executing anything (so re-join cannot double-run a write), then mint pipeline_tasks rows and execute. Synchronous, no queue.","LIVE - but NOT the composer's default path: only reached via {execute:true} (tasks/route.ts:200) and the assistant/submissions routes","L1 provider indirectly","run-submission.ts:1-17 header; :347 runSubmission; route.ts:199-211 execute:true branch"
"Orchestrator","submitForVerdict() [the live typed path]","ct/src/lib/pipeline/run-submission.ts","same input shape","SubmitVerdictResult (verdict + submissionId), mints NO task","Inserts the compliance.submissions row, calls proposeSubmission (dry run), converts to a verdict, writes back status + classification. Returns 200 - a verdict creates no task. Its console.info logs verdict/status/missing/minted=0 and OMITS l0HitRate and modelCalls.","LIVE - the default POST /api/v1/projexa/tasks {rawInput} branch, route.ts:214","L1 provider indirectly via dry-run","run-submission.ts:1175 submitForVerdict; :1202-1205 console.info; tasks/route.ts:214"
"Orchestrator","proposeSubmission() -> dryRunSubmission()","ct/src/lib/pipeline/dry-run.ts","rawInput + injected DryRunDeps","DryRunResult {proposals with status ready|needs_input|answered|gap|chat, missing[] with real options}","Segment -> classifyL0 -> reuse-cache+L1 for misses -> classifySegment -> deriveChain -> compute what is still missing and offer real chips for it. Mints nothing. A model refusal here is not an error - it degrades to a stated sentence.","LIVE - run-submission.ts:1144 proposeSubmission, reached from both dryRun:true and submitForVerdict","L1 provider for L0 misses only","dry-run.ts:25-27 imports; :198 classifyL0; :217 deps.reuseRepo; run-submission.ts:1145-1147"
"Orchestrator","runDirectTask() [the pill path]","ct/src/lib/pipeline/run-submission.ts","{functionId, params, mode, projectId}","RunSubmissionResult with l0HitRate:1, modelCalls:0","The user already chose the function, so there is NO classifier and NO MODEL CALL EVER. Verdict is derived from functionWrites(functionId) alone via classifySubmission([verdict]).","LIVE - POST /api/v1/projexa/tasks when body.functionId is present (route.ts:165)","None (0 model calls by construction)","run-submission.ts:652 runDirectTask; :725-726 and :806-807 l0HitRate:1, modelCalls:0; route.ts:165"
"Telemetry","l0HitRate / modelCalls","ct/src/lib/pipeline/run-submission.ts","l0Hits / resolvedCount, accumulated modelCallCount","two numbers on RunSubmissionResult","The only ERP-vs-AI usage measurement in the pipeline. Computed in runSubmission and written to console.info only. NOT persisted - compliance.submissions has no such column - and the live typed path (submitForVerdict) does not even log it.","LIVE but inert - no code reads l0HitRate after it is returned; PROJEXA client never reads it","N/A","run-submission.ts:212-214 type fields; :593 computation; :597-600 console.info; :1202-1205 verdict log omits both"
"Memory write-back","captureTaskResultMemory() / buildTaskResultMemoryContent()","ct/src/lib/pipeline/run-submission.ts","functionId, segment text, resolved params","createMemoryRecord(...) side effect","Best-effort key=value dump of a completed task into compliance.memory_records, wrapped in try/catch and swallowed on throw. Its own header discloses it is not a canonicalised statement.","LIVE (called at run-submission.ts:549 and :768) but has never produced a row - compliance.memory_records = 0","createMemoryRecord -> embeddings.ts (throws when no real embedding provider is configured)","run-submission.ts:269-274, :285-309; live SQL memory_records=0, memory_store=0, assistant_memories=0"
"API (backend)","POST/GET /api/v1/projexa/tasks","ct/src/app/api/v1/projexa/tasks/route.ts","{rawInput,...} | {functionId,params} | {dryRun:true} | {confirm:true,submissionId} | {execute:true}","verdict (200) | task result (201) | failure (409)","Five-branch dispatcher: dryRun -> proposeSubmission (200); confirm -> confirmSubmission (201); functionId -> runDirectTask (201); execute:true -> runSubmission (201); default rawInput -> submitForVerdict (200, 'a verdict creates no task'). Resolves the acting user from actorEmail.","LIVE - the single entry point for PROJEXA's composer","Inherits L1 provider","tasks/route.ts:27 pipeline imports; :119 dryRun; :141 confirm; :165 functionId; :199 execute; :214 submitForVerdict; :224 status 200"
"API (backend)","POST /api/v1/projexa/classify + classifyOnly()","ct/src/app/api/v1/projexa/classify/route.ts, ct/src/lib/pipeline/classify-only.ts","{rawInput, mode, projectId}","{segments[{verdict,functionId,source,level,writes,executable}], flagged, l0HitRate, modelCalls, executed:false}","The read-only half: segment -> L0 -> L1 for misses -> verdict -> chain, and nothing after. Writes gap_log ONLY. Requires 'read' scope, never a permission grant. The only surface that exposes source/level/l0HitRate/modelCalls.","LIVE endpoint (route imports classifyOnly) but DORMANT - no PROJEXA client code calls it; only route.test.ts and a doc comment reference it","L1 provider (calls runLevel1 directly, NOT via reuse-cache)","classify-only.ts:1-12 header, :16 imports runLevel1 (not reuse-cache); classify/route.ts:19; reuse-cache.ts:39-47 discloses the non-wiring"
"API (proxy)","POST/GET projexa /api/tasks","projexa/src/app/api/tasks/route.ts","the composer's body, verbatim","VERIDIAN's response, verbatim (+201)","Pure server-to-server proxy via callVeridian with the per-org API key. NO classification happens in PROJEXA. Adds actorEmail so VERIDIAN can attribute person-scoped writes.","LIVE - M24Shell.tsx:2374 and :2555 fetch('/api/tasks')","None (PROJEXA makes zero AI calls)","projexa/src/app/api/tasks/route.ts:64 POST; :74 callVeridian('/tasks'); :87 actorEmail; grep for openrouter/anthropic/openai across projexa/src returns 0 files"
"API (proxy)","POST projexa /api/classify","projexa/src/app/api/classify/route.ts","{rawInput,...}","VERIDIAN's classify response","Server-side proxy so the org API key never reaches the browser. Documented as the preview that 'never executes anything'.","LIVE endpoint, DEAD in practice - zero callers in projexa/src outside route.test.ts:58","None","projexa/src/app/api/classify/route.ts:22-25 documented response shape; :45 callVeridian('/classify')"
"Client","M24Shell onSubmit()","projexa/src/components/shell/M24Shell.tsx","draft.trim() + chain module hint + derived mode + projectId","POST /api/tasks body","Raw user input is sent untouched - no client-side segmentation, classification or guessing. Two body shapes: pill {functionId,params} or typed {rawInput}. Branches on verdict.status (needs_input | gap | answered | chat | ready).","LIVE","None (client)","M24Shell.tsx:2372-2374 body + fetch; :2394-2447 status branches"
"Client","onConfirmVerdict()","projexa/src/components/shell/M24Shell.tsx","pendingVerdict {submissionId, functionId}","POST /api/tasks {confirm:true,...}","The ONLY path from a verdict to a write, and it is user-triggered. The server re-derives the proposal from the stored rawInput and refuses a functionId it did not itself derive.","LIVE - wired to the confirm button","None (client)","M24Shell.tsx:2549-2591; run-submission.ts confirmSubmission re-derivation comment at :1230-1240"
"Client","verdict.verdict / verdicts[] consumption","projexa/src/components/shell/M24Shell.tsx","server SubmissionVerdictResult","(not read)","The per-segment array the server insists must not be collapsed is DISCARDED. `verdicts` appears nowhere in projexa/src; the declared `verdict?: 'task'|'chat'|'gap'` field is never read - the UI branches on verdict.status instead.","DEAD field - grep 'verdicts' over projexa/src returns zero hits","N/A","M24Shell.tsx:347 declares verdict?:; grep -rn 'verdicts' projexa/src = no output; contrast verdict.ts:72-74"
"Client","deriveMode()","projexa/src/lib/chain-mode.ts","the chain's segments (UI navigation state)","'customers' | 'vendors' | 'projects'","Mode is derived from the first non-root chain segment id the user clicked - NOT inferred from their text. It is recorded on the submission and used for the chain root when no project is selected.","LIVE - M24Shell.tsx:198 import, :1569 useMemo(deriveMode)","None","chain-mode.ts:28-34; M24Shell.tsx:1569"
"Client","readPreviewSegments()","projexa/src/lib/composer-turns.ts","untrusted /api/classify response","PreviewSegment[]","Narrows the classify preview but DROPS `source` and `level` - the two fields that say whether a segment cost a model call.","DEAD in production - only composer-turns.test.ts imports it; M24Shell.tsx:110 imports only answerRowsFrom from this module","N/A","composer-turns.ts:145 readPreviewSegments; PreviewSegment type at :120-137 has no source/level; grep shows only test callers"
"AI Workforce","AI_TEAM_ROSTER","ct/src/lib/ai-team/roster.ts","roleKey","RoleDefinition {roleKey, team, title, model, promptKey, isCodeOnly, isHuman, escalationLevel}","195 role entries across 23 teams. Static DEFAULT model per role, all called via OpenRouter with the platform key. 3 human/interactive roles (founder_ceo, executive_advisor, super_boss) and 3 isCodeOnly roles are never dispatched.","LIVE - imported by mother-router.ts:84, escalation-ladder.ts:46, team-service (via roster-overrides), agent-review-service.ts:33, d1-metrics-tracker-service.ts:88, role-quality-regression-service.ts:31","OpenRouter for every LLM role","roster.ts:163 AI_TEAM_ROSTER; 195 '{ roleKey:' entries; 3 isHuman, 3 isCodeOnly"
"AI Workforce","Model constants in roster.ts","ct/src/lib/ai-team/roster.ts","n/a","OpenRouter slugs","Founder's 2-tier strategy: GLM_52 'z-ai/glm-5.2' = primary lifting (29 roles), GLM_5_TURBO 'z-ai/glm-5-turbo' = high-volume/low-stakes (10), GLM_5V_TURBO 'z-ai/glm-5v-turbo' = vision (2), GEMINI_25_PRO 'google/gemini-2.5-pro' = research (1), DEEPSEEK_V4_PRO (2), GPT_OSS_120B (1). GPT-5.5 and Claude Sonnet 5 were removed on cost grounds.","LIVE - each constant is the `model` field of live role rows","OpenRouter (z-ai/*, google/*, deepseek/*, openai/gpt-oss-120b)","roster.ts:127-160 constants + inline rationale; model distribution counted by grep over the file"
"AI Workforce","resolveEffectiveModel / resolveDispatchModel","ct/src/lib/ai-team/roster-overrides.ts","roleKey (+ complexityTier, randomValue)","effective OpenRouter model slug","Resolution chain: tenant BYO config -> DB override row (platform.ai_team_role_overrides, with optional rollout-% A/B against candidateModel) -> roster.ts static default. 'Known model' now means an active platform.ai_model_registry row, so a new model is a DB insert not a deploy. Fails OPEN to the static roster on a DB error.","LIVE - team-service.ts:32, /api/ai/team/dispatch/route.ts:4, /api/ai/team/roster/overrides/route.ts:3","OpenRouter","roster-overrides.ts:103 resolveEffectiveModel; :148 resolveDispatchModel; :49 isKnownModel; live ai_team_role_overrides=0 rows, ai_model_registry=11 rows"
"AI Workforce","runRole()","ct/src/lib/ai-team/team-service.ts","roleKey, task prompt, optional tenant config","LLMResult","The single execution path for every LLM-backed roster role: resolvePromptTemplate (no hardcoded prompt literals) -> cost-policy + OpenRouter balance check -> resolve effective model -> callLLM('openrouter') -> logTokenUsage.","LIVE - /api/ai/team/dispatch/route.ts:3, dispatch-repo.ts, scripts/ai-workforce-agent.mjs","OpenRouter with the platform OPENROUTER_API_KEY, unless a tenant BYO key/baseUrl is supplied","team-service.ts:141 runRole; :248-250 model resolution; :271 callLLM; :297 logTokenUsage; :77 platform key"
"AI Workforce","classifyTask() - the 'ai_router' role","ct/src/lib/ai-team/team-service.ts","task description string","{role, reasoning, confidence}","A SECOND, model-based classifier, unrelated to the pipeline: asks the ai_router role to pick one operational department role, then rejects any role_key that is not a dispatchable operational role. Note it calls routerRole.model! (the STATIC roster default), bypassing roster-overrides.","LIVE - /api/ai/team/dispatch/route.ts:3","OpenRouter, z-ai/glm-5.2 (roster.ts ai_router role)","team-service.ts:350-366; roster.ts ai_router entry model: GLM_52"
"AI Dispatch","POST /api/ai/team/dispatch","ct/src/app/api/ai/team/dispatch/route.ts","task, level, roleKey, contract","dispatch result + confidence band + guardrail verdicts","The AI-Dev-Team surface where ALL the confidence/escalation machinery actually lives: classifyTask, validateLevelDispatch (L0-L5), Mother Router resolveModel, tier eligibility, floor-tier escalation, computeDispatchConfidencePercentage, bandConfidence, guardrails, instruction contracts.","LIVE","OpenRouter via team-service/Mother Router","dispatch/route.ts:1-25 the full import list; none of these modules is imported by src/lib/pipeline/*"
"AI Router","Mother Router resolveModel()","ct/src/lib/ai-router/mother-router.ts","MotherRouterContext (scope, roleKey, orgId, tier, capabilityCategory)","MotherRouterResolution (provider+model+audit row)","Registry + versioned routing policy + audit log across FOUR SCOPES, not levels: software_team | end_user_org | sales_marketing | customer_success. Policy cached 60s in-process; rollback flips is_active in one transaction. Layered on top of the 4 existing resolvers, which it deliberately does not rewrite (35 direct callers left unmigrated).","LIVE - /api/ai/orchestrate/route.ts:7, /api/ai/team/dispatch/route.ts:10, lib/loops/instruction-mismatch-audit.ts:3, lib/task-execution-engine.ts:5. NOT imported by src/lib/pipeline/*","OpenRouter (ROSTER_PROVIDER) for roster scopes; orchestra-model-resolver for end_user_org","mother-router.ts:89 AiRouterScope; :686 resolveModel; :204 invalidateMotherRouterCache; live ai_routing_policies=4 rows"
"AI Router","SoftwareTeamLevel L0-L5 ladder","ct/src/lib/ai-router/software-team-ladder.ts","level + complexityTier","LevelContract, validation, capability category","The real L0-L5 (execution agent -> Mother Router/Super Boss). Only L1-L4 are dispatchable; only L1-L3 escalate on the numeric confidence threshold. Every model reference in the file is DESCRIPTIVE ONLY - the actual model always resolves through resolveModel/tier eligibility.","LIVE - /api/ai/team/dispatch/route.ts:12; instruction-contract.ts. NOT the pipeline's L0/L1.","None directly (descriptive)","software-team-ladder.ts:25 SoftwareTeamLevel; :38 DISPATCHABLE; :41 levelEscalatesOnConfidenceThreshold; :103 SOFTWARE_TEAM_LADDER"
