"Flow_Id","Persona","Goal","Entry_Point_Route","Steps","Screens_Touched","Data_Created","Preconditions","E2E_Spec_Path"
"F-20","Any authenticated role for read","See where every purchase sits across the 5 procurement stages","/procurement","1. Open /procurement 2. Step through tabs '1. Requisitions', '2. RFQs', '3. Quotations', '4. Purchase Orders', '5. Goods Receipts' 3. Each tab's rows match its own /api/procurement/* endpoint; the PO stage also matches /api/purchase-orders","/procurement (5 numbered tabs)","None (read-only)","None beyond login","e2e/06-procurement.spec.ts"
"F-21","PM_OR_ABOVE (owner/admin/pm; /procurement/requisitions)","Raise a purchase requisition and submit it for approval","/procurement","1. Tab '1. Requisitions' 2. 'New Requisition' -> /procurement/requisitions/new 3. Fill Purpose, Item description, Quantity 4. 'Save' -> POST /api/procurement/requisitions (201) 5. Lands on /procurement/requisitions/<id>, heading 'PR-<number>' 6. Click 'Submit' -> POST .../submit","/procurement, /procurement/requisitions/new, /procurement/requisitions/[id]","requisition (PR-<n>) + status transition to submitted","None beyond login and the role gate","e2e/06-procurement.spec.ts"
"F-22","PM_OR_ABOVE (owner/admin/pm; /procurement/rfqs)","Raise an RFQ directly and send it to vendors","/procurement","1. Tab '2. RFQs' 2. 'New RFQ' -> /procurement/rfqs/new 3. Fill Item description, Quantity 4. 'Save' -> POST /api/procurement/rfqs (201) 5. Lands on /procurement/rfqs/<id>, heading 'RFQ-<number>' 6. Click 'Send to Vendors' -> POST .../send","/procurement, /procurement/rfqs/new, /procurement/rfqs/[id]","RFQ (RFQ-<n>) + vendor dispatch record","At least one vendor exists (/api/vendors)","e2e/06-procurement.spec.ts"
"F-23","PM_OR_ABOVE (owner/admin/pm; /procurement/quotations, /procurement/purchase-orders)","Record a supplier quotation and convert it into a purchase order","/procurement","1. Tab '3. Quotations' 2. 'Record Quotation' -> /procurement/quotations/new 3. Pick Vendor, fill Item description, Quantity 10, Rate 250 4. 'Save' -> POST /api/procurement/quotations (201), toast 'Quotation recorded', returns to ?tab=quotations 5. On row 'SQ-<n>' click 'Convert to PO' -> POST /api/procurement/purchase-orders (201) 6. Tab '4. Purchase Orders' shows 'PO-<n>'","/procurement, /procurement/quotations/new, /procurement (tabs 3 and 4)","supplier quotation (SQ-<n>) + purchase order (PO-<n>)","At least one vendor exists","e2e/06-procurement.spec.ts"
"F-24","PM_OR_ABOVE (owner/admin/pm; /procurement/goods-receipts)","Record a goods receipt and post it to stock","/procurement","1. Tab '5. Goods Receipts' 2. 'New Goods Receipt' -> /procurement/goods-receipts/new 3. Pick Vendor and Receiving Warehouse, Quantity 10 4. 'Save' -> 201, toast 'Goods receipt recorded (draft)' 5. Lands on /procurement/goods-receipts/<id> heading 'GRN-<n>', status draft 6. Click 'Post to Stock' -> POST .../submit (200); the button disappears","/procurement, /procurement/goods-receipts/new, /procurement/goods-receipts/[id]","goods receipt (GRN-<n>) + stock posting","A warehouse exists (F-19) and a vendor exists (F-17)","e2e/06-procurement.spec.ts"
"F-25","Any authenticated role for read","Review purchase orders org-wide","/purchase-orders","1. Open /purchase-orders 2. Row count matches /api/purchase-orders 3. The Company/Office selector renders only when /api/companies is non-empty; the Currency selector only when /api/currencies is non-empty","/purchase-orders","None (read-only)","None beyond login","e2e/07-purchase-orders.spec.ts"
"F-26","PM_OR_ABOVE (owner/admin/pm; /purchase-orders)","Raise a purchase order with several line items","/purchase-orders","1. 'New Purchase Order' -> /purchase-orders/new 2. Pick Vendor 3. Line 1: Description / Qty 5 / Rate 100 4. 'Add Line' 5. Line 2: Description / Qty 2 / Rate 300 6. 'Save' -> POST /api/purchase-orders 7. List count increases after reload","/purchase-orders, /purchase-orders/new","purchase order with 2 line items","At least one vendor exists","e2e/07-purchase-orders.spec.ts"
"F-27","Any authenticated role for read","Check who is on the project roster and today's attendance","/labour?projectId=<id>","1. Open /labour?projectId= (h1 'Manpower & Attendance'), page GETs /api/labour-roster 2. Click the 'Attendance' tab 3. With an empty roster the 'Mark Attendance' button is disabled","/labour (tabs: Roster, Attendance, Daily Summary)","None (read-only)","Project selected","e2e/08-labour.spec.ts"
"F-28","FIELD (owner/admin/pm/site_engineer; /labour-roster)","Add a worker to the project roster","/labour?projectId=<id>","1. Click '+ New' 2. Choose menu item 'Worker' 3. On 'New Worker' fill Name, Trade (e.g. Mason), Daily Rate (e.g. 850) 4. Click 'Save' -> POST /api/labour-roster","/labour, /labour/new, /labour/[id]","labour roster record (worker)","Project selected","e2e/08-labour.spec.ts"
"F-29","FIELD (owner/admin/pm/site_engineer; /attendance)","Mark a worker's attendance for the day","/labour?projectId=<id>","1. 'Attendance' tab 2. '+ New' -> the attendance menu item 3. On 'Mark Attendance' pick Worker, set Hours Worked (e.g. 4) 4. Click 'Save' -> POST /api/attendance","/labour, /labour/attendance/new, /labour/attendance/[date]","attendance record","At least one roster worker exists (F-28)","e2e/08-labour.spec.ts"
"F-30","FIELD (owner/admin/pm/site_engineer; /labour-roster/import)","Bulk-load workers from a spreadsheet","/labour/import","1. Open /labour/import ('Labour / Import Workers', title 'Import Workers from Excel') 2. Supply the workbook 3. Run the import -> POST /api/labour-roster/import 4. Cancel/Back returns to /labour?projectId=","/labour, /labour/import","many labour roster records","Project selected; a matching Excel file","NONE (no e2e spec covers this flow)"
"F-31","Any authenticated role for read","Review the FF&E specification for a project","/ffe?projectId=<id>","1. Open /ffe?projectId= (h1 'FF&E Specification'), page GETs /api/ffe?","/ffe","None (read-only)","Project selected","e2e/09-ffe.spec.ts"
"F-32","PM_OR_ABOVE (owner/admin/pm; /ffe, /ffe/[id])","Specify an FF&E item and move it along its status chain","/ffe?projectId=<id>","1. 'New Item' -> /ffe/new 2. Fill Item Name, Room / Area, Category (e.g. furniture), Qty, Cost, Client Price 3. 'Save' -> POST /api/ffe 4. Lands on /ffe/<id> 5. Click 'Advance to ordered' -> PATCH /api/ffe/<id> 6. 'Back' returns to the list","/ffe, /ffe/new, /ffe/[id]","FF&E item + status change to 'ordered'","Project selected","e2e/09-ffe.spec.ts"
"F-33","Any authenticated role for read","See the project's floor plans","/floor-plans?projectId=<id>","1. Open /floor-plans?projectId=, page GETs /api/floor-plans?","/floor-plans","None (read-only)","Project selected","e2e/10-floor-plans.spec.ts"
"F-34","PM_OR_ABOVE (owner/admin/pm; /floor-plans)","Create a floor plan and open it in the 2D editor","/floor-plans?projectId=<id>","1. 'New Floor Plan' 2. Fill Name and Floor Level 3. Click 'Create' (this screen's primary is 'Create', not 'Save') -> POST /api/floor-plans 4. The new row links to the editor route /floor-plans/[id]","/floor-plans, /floor-plans/[id], /floor-plans/[id]/walkthrough","floor plan record","Project selected","e2e/10-floor-plans.spec.ts"
"F-35","Any authenticated role for read","Review client-facing mood boards","/mood-boards?projectId=<id>","1. Open /mood-boards?projectId=, page GETs /api/mood-boards?","/mood-boards","None (read-only)","Project selected","e2e/11-mood-boards.spec.ts"
"F-36","PM_OR_ABOVE (owner/admin/pm; /mood-boards and its items)","Build a mood board, add items, share it with the client","/mood-boards?projectId=<id>","1. 'New Mood Board' 2. Fill Title, Room / Area 3. 'Save' -> POST /api/mood-boards 4. On /mood-boards/<id> fill Label and Notes, click 'Add Item' -> POST /api/mood-boards/<id> 5. Click 'Share with Client' -> PATCH /api/mood-boards/<id> 6. 'Mark Approved' becomes available","/mood-boards, /mood-boards/new, /mood-boards/[id]","mood board, board item, shared/approved status","Project selected","e2e/11-mood-boards.spec.ts"
"F-37","FIELD (owner/admin/pm/site_engineer; /work-progress) - exercised as a site supervisor","Log site progress with no connectivity and let it sync on reconnect","/work-progress?projectId=<id>","1. Open Daily Entry (page GETs /api/work-progress and /api/work-progress/activities) 2. Pick Activity 3. Pick 'BOQ line' 4. Fill 'Quantity done' 7 and '% complete' 55 (Date and Entry basis pre-filled) 5. Go offline 6. Click 'Log Entry' -> banner ""You're offline -- progress saved on this device, will sync automatically"" + '1 entry queued on this device' 7. Reconnect: the queue drains itself on the browser 'online' event 8. Reload: the row is in the table","/work-progress (tabs: Daily Entry, Analytics, Report)","work-progress entry (qty + % complete), queued locally then persisted","Project selected; project has a BOQ and at least one activity","e2e/offline-work-progress-sync.spec.ts"
"F-38","FIELD (owner/admin/pm/site_engineer; /wiki)","Write a project wiki page","/wiki?projectId=<id>","1. Open /wiki?projectId= (rows match /api/wiki?projectId=) 2. Click 'New Page' -> /wiki/new?projectId=, h1 'New Wiki Page' (a route, not a dialog) 3. Fill 'Title' 4. 'Save' -> POST /api/wiki (201), toast 'Page created' 5. Redirects to /wiki/<id>","/wiki, /wiki/new, /wiki/[id]","wiki page","Project selected","e2e/wiki-knowledge-base.spec.ts"
"F-39","FIELD (owner/admin/pm/site_engineer; /knowledge-base)","Search and add to the org-wide knowledge base","/knowledge-base","1. Open /knowledge-base (org-wide, no project) - rows are buttons in a divide-y list, not a table 2. Type into the 'Search…' box; a no-match query shows 'No pages yet.' 3. 'New Page' -> /knowledge-base/new, h1 'New Knowledge Base Page' 4. Fill 'Title', 'Save' -> POST /api/knowledge-base (201) 5. Redirects to the page's object screen","/knowledge-base, /knowledge-base/new, /knowledge-base/[id]","knowledge base page","None beyond login","e2e/wiki-knowledge-base.spec.ts"
"F-40","Any authenticated role for read","Check project KPI definitions","/kpis","1. Open /kpis 2. Read the definitions list (verified gap: the live API returned 0 for all 4 seeded projects despite 6 documented seeded definitions)","/kpis","None (read-only)","None beyond login","e2e/kpis-reports.spec.ts"
"F-41","PM_OR_ABOVE (owner/admin/pm; /kpis)","Define a KPI to track","/kpis","1. Click 'New KPI' -> /kpis/new ('New KPI Definition') 2. Fill Metric Name, Target Value, Unit, Period 3. 'Save' -> POST /api/kpis","/kpis, /kpis/new","KPI definition","None beyond login and the role gate","e2e/kpis-reports.spec.ts"
"F-42","FIELD (owner/admin/pm/site_engineer; /kpi-entries)","Submit an actual value against a KPI","/kpis","1. Click a KPI row -> /kpis/[id] 2. Fill the period box (placeholder like 'e.g. 2026-07') 3. Fill the numeric value (e.g. 92) 4. Click 'Submit'","/kpis, /kpis/[id]","KPI entry (period + actual value)","At least one KPI definition exists (F-41)","e2e/kpis-reports.spec.ts"
"F-43","FIELD for running a definition-backed report (/reports/definitions/[id]/run)","Find and run a report from the catalog","/reports","1. Open /reports 2. Click the 'Full Catalog' tab (org-wide, no project needed) 3. Type in 'Search reports and analyses' (e.g. 'revenue') 4. Click the run toggle (testid catalog-run-report) on a definition-backed entry 5. Real output renders","/reports (tabs incl. Full Catalog, Project Reports)","Report run/output (no business record)","None beyond login","e2e/kpis-reports.spec.ts"
"F-44","FIELD (owner/admin/pm/site_engineer; report run)","Run a project-scoped report such as Budget vs Actual","/reports","1. Click the 'Project Reports' tab 2. Open the in-panel report combobox 3. Choose e.g. 'Budget vs Actual' 4. Click 'Run report' 5. Output renders with no testid reports-error","/reports (Project Reports tab)","Report output","A project is resolvable; 17 project-scoped reports are listed","e2e/kpis-reports.spec.ts"
"F-45","FIELD (owner/admin/pm/site_engineer; report run)","Switch a report's output between table, pivot and chart","/reports","1. 'Full Catalog' tab 2. Search 'Report' 3. Run a definition-backed entry (testid catalog-run-report) 4. Click the 'Pivot' tab 5. Click 'Chart' 6. Click back to 'Table'","/reports (result Table / Pivot / Chart tabs)","None (view state only)","The report returns at least one row, otherwise the tabs do not appear","e2e/pivot-chart-reports.spec.ts"
"F-46","Any authenticated role for read","Review the ledger and accounting position","/accounting","1. Open /accounting (Dashboard tab) 2. Click 'General Ledger' 3. Use the in-panel status filter combobox to pick a real status option","/accounting (tabs: Dashboard, General Ledger, Trial Balance, P&L, Balance Sheet, P&L by Project, Bank Reconciliation, Companies)","None (read-only)","None beyond login","e2e/finance-accounting-budgets.spec.ts"
"F-47","ORG_ADMIN (owner/admin; /companies)","Register a Company / Office entity","/accounting","1. 'Companies' tab 2. 'New Company / Office' -> /accounting/companies/new 3. Fill 'Company Name' 4. 'Save' -> POST /api/companies 5. Returns to /accounting?tab=companies","/accounting, /accounting/companies/new","company/office record","Caller is owner or admin","e2e/finance-accounting-budgets.spec.ts"
"F-48","ORG_ADMIN (owner/admin; /journal-entries)","Post a manual journal entry","/accounting","1. 'General Ledger' tab 2. Click 'New Journal Entry' -> /accounting/journal-entries/new 3. Open the account select - it is honestly empty while the chart of accounts has no rows, blocking the entry","/accounting, /accounting/journal-entries/new, /accounting/journal-entries/[id]","journal entry (blocked in the seeded org: empty chart of accounts)","A populated chart of accounts, which the seeded org does not have","e2e/finance-accounting-budgets.spec.ts"
"F-49","PM_OR_ABOVE (owner/admin/pm; /project-budgets)","Create a budget","/finance/budgets","1. Open /finance/budgets (screen title renders as text in ScreenFrame, not an h1) 2. Click '+ New Budget' -> /finance/budgets/new ('New Budget') 3. Fill Budget Name, Fiscal Year, Cost Center, Account, Annual Amount, Company / Office 4. Save is honestly blocked while the prerequisite master data is missing","/finance/budgets, /finance/budgets/new, /finance/budgets/[id]","budget record (blocked in the seeded org)","Fiscal years, cost centers, accounts and companies must exist","e2e/finance-accounting-budgets.spec.ts"
"F-50","Any authenticated role for read","Review receivables and ageing","/invoices","1. Open /invoices, count matches the API 2. Open the in-panel status combobox (real enum options) and pick e.g. 'paid' 3. Click the 'AR Aging' tab to see real overdue/outstanding figures","/invoices (tabs: Invoices, Credit Notes, AR Aging)","None (read-only)","None beyond login","e2e/finance-invoices-quotations.spec.ts"
"F-51","PM_OR_ABOVE (owner/admin/pm; /sales-invoices)","Raise a sales invoice for an existing customer","/invoices","1. Click 'Create Invoice' -> /invoices/new ('New Sales Invoice') 2. Pick a real customer in the customer combobox 3. Fill Line Item Description, Quantity 2, Rate 5000 4. Click 'Save' 5. Redirects to /invoices/<id> with heading 'Invoice #<n>' 6. Back on /invoices the count has increased","/invoices, /invoices/new, /invoices/[id]","sales invoice with one line item","At least one seeded customer exists","e2e/finance-invoices-quotations.spec.ts"
"F-52","Any authenticated role for read","Find a quotation by customer","/quotations","1. Open /quotations 2. Type a customer name into the 'search by customer' box - the list filters 3. A nonsense query returns an empty list","/quotations","None (read-only)","None beyond login","e2e/finance-invoices-quotations.spec.ts"
"F-53","PM_OR_ABOVE (owner/admin/pm; /quotations/[id])","Move a draft quotation into approval","/quotations","1. Open /quotations 2. Click a row in draft status -> /quotations/<id> 3. Click 'Submit for Approval' -> PATCH on /api/quotations/... 4. Status persists after returning to the list","/quotations, /quotations/[id]","quotation status transition","A quotation currently in draft status (the spec skips itself otherwise)","e2e/finance-invoices-quotations.spec.ts"
"F-54","PM_OR_ABOVE (owner/admin/pm; /sales-orders)","Book a sales order for a customer","/sales-orders","1. Open /sales-orders (count matches /api/sales-orders) 2. Click 'New Sales Order' -> /sales-orders/new 3. Pick Customer 4. Line: Description, Qty 3, Rate 1500 5. 'Save' -> POST /api/sales-orders 6. Redirects to /sales-orders/<id>; the list count increases","/sales-orders, /sales-orders/new, /sales-orders/[id]","sales order with one line","At least one customer exists (/api/customers)","e2e/sales.spec.ts"
"F-55","PM_OR_ABOVE (owner/admin/pm; /sales-orders/[id])","Change a sales order's status from the list","/sales-orders","1. Open /sales-orders 2. Use the per-row status Select 3. The change PATCHes and persists","/sales-orders","sales order status change","An order in a draft-equivalent status (the spec skips itself otherwise)","e2e/sales.spec.ts"
"F-56","Any authenticated role for read","Use the sales dashboard as the entry point to the CRM modules","/sales","1. Open /sales ('Sales Dashboard'), pipeline summary reflects real CRM data 2. Click 'View all leads' -> /sales/leads 3. Click 'View all opportunities' -> /sales/opportunities (same pattern for Quotations / Sales Orders / Customers)","/sales, /sales/leads, /sales/opportunities, /quotations, /sales-orders, /customers","None (read-only)","None beyond login","e2e/sales.spec.ts"
"F-57","PM_OR_ABOVE (owner/admin/pm; /leads)","Capture a new sales lead","/sales/leads","1. Click 'New Lead' -> /sales/leads/new 2. Fill Name; optionally Email, Phone, Source, Next Follow-up, Company / Office 3. 'Save' -> POST /api/leads 4. Redirects to /sales/leads/<id> headed by the lead name","/sales/leads, /sales/leads/new, /sales/leads/[id]","lead record","None beyond login and the role gate","e2e/sales.spec.ts"
"F-58","PM_OR_ABOVE (owner/admin/pm; /customers)","Add a customer and review everything linked to them","/customers","1. Open /customers, count matches the API 2. Type in the 'search customers' box to filter 3. 'New Customer' -> /customers/new; fill Customer Name, GSTIN, Credit Limit; 'Save' -> POST /api/customers 4. Redirects to /customers/<id> 5. Click any customer row to see their linked orders/invoices","/customers, /customers/new, /customers/[id]","customer record","None beyond login and the role gate","e2e/sales.spec.ts"
"F-59","Any authenticated role for read; ORG_ADMIN for writes (/employees)","Find an employee in the directory","/employees","1. Open /employees (DataTable shows 10 of 11 seeded on page 1) 2. Click 'Next page' for the rest 3. Type into 'search employees' 4. Use the department filter","/employees (tabs: Directory, Departments, Org Chart, Leave)","None (read-only)","None beyond login","e2e/hr-employees-payroll.spec.ts"
"F-60","Any authenticated role for read","Review the org structure","/employees","1. Click the 'Departments' tab (6 real seeded departments) 2. Click the 'Org Chart' tab (1 CEO + 10 employees reporting hierarchy)","/employees (Departments, Org Chart tabs)","None (read-only)","None beyond login","e2e/hr-employees-payroll.spec.ts"
"F-61","ORG_ADMIN sees the control (isHrAdmin = owner/admin); the decision endpoint /leave/requests/[id]/decision is PM_OR_ABOVE","Approve a pending leave request","/employees","1. 'Leave' tab 2. On a pending row click the approve control 3. VERIFIED GAP: the write fails on the dbUser architecture gap even for the owner account","/employees (Leave tab)","Leave approval (fails in the current build)","A seeded leave request in pending status; caller is owner/admin for the button to render at all","e2e/hr-employees-payroll.spec.ts"
"F-62","ANY_MEMBER (owner/admin/pm/site_engineer/member; /leave/requests)","File your own leave request","/employees","1. 'Leave' tab 2. Click 'Request Leave' -> /employees/leave/new 3. Fill 'Leave Type' (e.g. Casual Leave) and the two date inputs 4. Click 'Save' 5. VERIFIED GAP: also blocked by the dbUser architecture gap","/employees, /employees/leave/new","Leave request (fails in the current build)","Any non-client_viewer account","e2e/hr-employees-payroll.spec.ts"
"F-63","Any authenticated role for read","Check payroll runs and a payslip register","/payroll","1. Open /payroll ('Payroll Runs' tab: 3 seeded runs) 2. 'Salary Components' tab (6) 3. 'Salary Structures' tab (11, paged with 'Next page') 4. 'Income Tax' tab renders because /api/organization reports country IN 5. Click 'View Register' on a processed run -> /payroll/runs/<id> shows 11 payslips","/payroll (tabs: Payroll Runs, Salary Structures, Salary Components, Statutory Rules, Income Tax), /payroll/runs/[id], /payroll/runs/[id]/payslips/[payslipId]","None (read-only)","None beyond login","e2e/hr-employees-payroll.spec.ts"
"F-64","ORG_ADMIN (owner/admin; /payroll/runs)","Start a new payroll run","/payroll","1. Click 'New Payroll Run' -> /payroll/runs/new 2. Pick the month in the main combobox 3. Fill 'Year' 4. Click 'Save' 5. VERIFIED GAP: fails on the dbUser architecture gap even as the owner","/payroll, /payroll/runs/new","Payroll run (fails in the current build)","Caller is owner/admin (the button is hidden otherwise, isHrAdmin)","e2e/hr-employees-payroll.spec.ts"
"F-65","ORG_ADMIN for job openings (/recruitment/job-openings); PM_OR_ABOVE for candidates (/recruitment/candidates) - both observed succeeding from a member account","Open a role and add a candidate to the pipeline","/recruitment","1. Open /recruitment ('Job Openings' tab) 2. 'New Job Opening' -> /recruitment/openings/new; fill 'Title'; 'Save' -> lands on /recruitment/openings/<id> 3. 'Candidates' tab 4. 'Add Candidate' -> /recruitment/candidates/new; fill Name and Email; 'Save' -> returns to /recruitment?tab=candidates","/recruitment (tabs: Job Openings, Candidates, Pipeline), /recruitment/openings/new, /recruitment/candidates/new, /recruitment/applications/new","job opening, candidate","None; unlike every HR/Payroll write above, these succeeded from a member-role account","e2e/hr-employees-payroll.spec.ts"
