"Variable_Name","Repo","Used_In_File_Paths","Purpose","Is_Secret","Required","Default_Or_Fallback"
"FORBIDDEN_KEY_ENV (guardrail list, not a variable)","projexa","scripts/check-no-provider-api-keys.mjs:40-48","CI guard: OPENROUTER_API_KEY, GROQ_API_KEY, CEREBRAS_API_KEY, ANTHROPIC_API_KEY, OPENAI_API_KEY, GOOGLE_API_KEY, GEMINI_API_KEY, ZAI_API_KEY are BANNED from projexa/src so all AI spend routes through compliance-tracker","No","N/A (CI check)","N/A - none of these are set or read in projexa/src today"
"reactStrictMode (next.config knob)","projexa","next.config.ts:16","React Strict Mode disabled; set false at the first scaffold commit, left as-is by R66 rather than silently re-enabling","No","N/A","false"
"transpilePackages (next.config knob)","projexa","next.config.ts (transpilePackages)","Forces Next to transpile @fchecklist/veridian-ui-kit, which ships raw .ts/.tsx with no build step","No","N/A","[""@fchecklist/veridian-ui-kit""]"
"turbopack.root (next.config knob)","projexa","next.config.ts (turbopack)","Pins the Turbopack workspace root to __dirname so root-inference cannot pick a sibling worktree's checkout","No","N/A","__dirname"
"headers() (next.config knob)","projexa","next.config.ts (headers); src/lib/public-page-cache.ts","Shared-cache headers for statically prerendered public marketing pages; route list kept exact and testable in public-page-cache.ts","No","N/A","publicPageHeaderRules()"
"DATABASE_URL","compliance-tracker","src/lib/db/connection-string.ts:13; src/lib/db/index.ts; drizzle.config.ts:8; playwright.config.ts:56; scripts/apply-migrations.mjs:54; scripts/gtm-provision-cat15-16-test-tenant.ts:57; scripts/check-migration-integrity.mjs; scripts/verify-graph-drift.mjs (14 code files total)","Primary Postgres connection string (Supabase pooler preferred) used for migrations/admin and as the Drizzle client source","Yes","Conditional","getConnectionString() falls back to a pooler URL built from NEXT_PUBLIC_SUPABASE_URL + SUPABASE_DB_PASSWORD (aws-1-ap-south-1), then throws. playwright.config.ts:56 uses a localhost placeholder"
"APP_RUNTIME_DATABASE_URL","compliance-tracker","src/lib/db/tenant-scoped.ts:12; src/lib/webhook-deliver.test.ts:9; src/lib/services/deployment-slo-service.test.ts:17; src/app/api/webhooks/vercel-deployment/route.test.ts:12; src/app/api/internal/pool-health/route.test.ts:21; src/app/api/ai/team/dispatch/route.test.ts:23; src/lib/db/tenant-scoped.test.ts","Second connection string for the least-privilege app_runtime DB role, distinct from the migration/admin role DATABASE_URL carries","Yes","Yes","None at runtime - getAppRuntimeConnectionString() throws. Tests set a local placeholder via ??="
"PROVISIONING_DATABASE_URL","compliance-tracker","src/lib/db/provisioning.ts:51","Explicit connection string for tenant provisioning, so a privileged provisioning connection is visible in the environment rather than implied","Yes","No","Falls through to a Supabase pooler string derived from NEXT_PUBLIC_SUPABASE_URL + SUPABASE_DB_PASSWORD"
"CRM_LOADTEST_DATABASE_URL","compliance-tracker","scripts/crm-perf-load-test.ts:30","Dedicated DB connection string for the CRM performance load test","Yes","Yes for that script","None"
"NEXT_PUBLIC_SUPABASE_URL","compliance-tracker","src/lib/supabase/client.ts; src/lib/supabase/server.ts; src/proxy.ts:11; src/lib/storage-config.ts:91; src/lib/db/connection-string.ts:15; src/lib/db/provisioning.ts:56; playwright.config.ts:57; e2e/fixtures/r74-record-result.ts:24; scripts/wave111-create-hero-logins.ts:8 (32 code files total)","Supabase project URL for auth clients, storage, scripts, and DB-connection-string derivation","No (NEXT_PUBLIC_, ships in bundle)","Yes","None in app code (non-null asserted). playwright.config.ts:57 uses ""https://placeholder.supabase.co"""
"NEXT_PUBLIC_SUPABASE_ANON_KEY","compliance-tracker","src/lib/supabase/client.ts; src/lib/supabase/server.ts; src/proxy.ts:12; src/lib/services/org-branding-service.ts:95; src/lib/services/org-branding-service.test.ts; playwright.config.ts:58","Supabase anon (RLS-scoped) key for browser/SSR auth and the org-branding client","No (public by design, RLS-scoped)","Yes",""""" in org-branding-service.ts:95; ""placeholder-anon-key"" in playwright.config.ts:58; non-null asserted elsewhere"
"SUPABASE_SERVICE_ROLE_KEY","compliance-tracker","src/lib/storage-config.ts:92; src/app/api/auth/passcode-login/route.ts; src/app/api/auth/sso/[orgSlug]/acs/route.ts; src/app/api/client-portal/[token]/documents/route.ts; src/app/api/construction/ai/diff-drawings/route.ts; scripts/wave111-create-hero-logins.ts:9; e2e/fixtures/r74-record-result.ts:24 (24 code files total)","Server-only Supabase service-role key; bypasses RLS for admin/seed scripts and cross-tenant server routes. Never client-exposed","Yes","Yes","None"
"SUPABASE_DB_PASSWORD","compliance-tracker","src/lib/db/connection-string.ts:16; src/lib/db/provisioning.ts:57","DB password used to assemble the Supabase pooler connection string when DATABASE_URL / PROVISIONING_DATABASE_URL are unset","Yes","Conditional","None - getConnectionString() throws if neither path resolves"
"OPENROUTER_API_KEY","compliance-tracker","src/lib/ai/providers/openrouter.ts:24; src/lib/ai-team/team-service.ts:77; src/lib/ai-team/cost-policy.ts:67; src/lib/embeddings.ts:63,247; src/lib/orchestra-model-resolver.ts:180,184; src/lib/ai-team/roster.ts; scripts/veridian-browser-ux-test.mjs:28","Primary LLM gateway key - the AI Dev Team roster and most model calls route through OpenRouter","Yes","Conditional (required for any AI Dev Team call)","None - team-service.ts:78 throws ""OPENROUTER_API_KEY is not configured"""
"GROQ_API_KEY","compliance-tracker","src/lib/orchestra-model-resolver.ts; src/app/api/help/ask/route.ts:122; src/lib/embeddings.ts; src/lib/ingest/extractor.ts; scripts/defense-in-depth-smoke-test.ts:73,78,81; scripts/projexa-load-test.ts:22; scripts/veridian-browser-ux-test.mjs:26","Groq key - floor-tier fast/cheap capacity (gpt-oss-120b) and the Llama Guard 4 / Prompt Guard 2 defense-in-depth path","Yes","No","null passed through in src/app/api/help/ask/route.ts:122; defense-in-depth-smoke-test.ts skips its live path when unset; projexa-load-test.ts:23 throws"
"CEREBRAS_API_KEY","compliance-tracker","src/lib/orchestra-model-resolver.ts:202; scripts/projexa-load-test.ts:31; scripts/veridian-full-load-test.ts:53; scripts/veridian-browser-ux-test.mjs:27","Cerebras key - paid fallback for gpt-oss-120b when Groq's free-tier 200K TPD cap is hit","Yes","No","None"
"ANTHROPIC_API_KEY","compliance-tracker","src/lib/orchestra-model-resolver.ts:200; src/lib/ai-router/mother-router.test.ts:333,349","Direct Anthropic provider key selected by platformApiKeyFor(""anthropic"")","Yes","No","None"
"OPENAI_API_KEY","compliance-tracker","src/lib/orchestra-model-resolver.ts; src/lib/whisper-client.ts:29; src/lib/whisper-client.test.ts:15; src/lib/orchestra-model-resolver.test.ts","OpenAI key for the Whisper transcription client and the provider resolver","Yes","No","None"
"GOOGLE_API_KEY","compliance-tracker","src/lib/orchestra-model-resolver.ts:201","Google (Gemini) provider key selected by platformApiKeyFor(""google"")","Yes","No","None"
"ZAI_API_KEY","compliance-tracker",".env.example (documented only)","Z.ai provider key documented in the AI-providers block of .env.example","Yes","UNKNOWN","UNKNOWN - no process.env.ZAI_API_KEY reference found anywhere in code; only appears in projexa's FORBIDDEN_KEY_ENV guard list"
"AI_PROVIDER","compliance-tracker","src/lib/ai/adapter.ts:87; src/lib/ai/adapter.test.ts:5","Selects the AI backend: ""claude-cli"" (local dev, single-user restricted) or ""openrouter"". Any other value throws","No","No","""claude-cli"""
"RAJAT_USER_ID","compliance-tracker","src/lib/ai/adapter.ts:60; src/lib/ai/adapter.test.ts:6","compliance.users id of the single account permitted to be served while AI_PROVIDER=claude-cli; assertAiProviderAllowed() refuses closed for anyone else","No (an identifier, not a credential)","Conditional (required when AI_PROVIDER=claude-cli)","null - AI is refused entirely rather than guessing who is allowed"
"AI_L1_MODEL","compliance-tracker","src/lib/ai/providers/openrouter.ts:20","Model slug used as the L1 (base tier) fallback","No","No","""deepseek/deepseek-chat"""
"AI_L2_MODEL","compliance-tracker","src/lib/ai/providers/openrouter.ts:21","Model slug used as the L2 (""Pro"" tier, per M26) fallback","No","No","""deepseek/deepseek-chat-v3.1"""
"AI_MODEL_EMERGENCY_REVERT","compliance-tracker","src/lib/orchestra-model-resolver.ts:374,389,398,405; src/lib/orchestra-model-resolver.test.ts:135,199","Operator emergency brake: ""provider:model"" pins every platform-default/escalation resolution. Malformed values are logged and ignored. Never overrides an org's explicit config","No","No","Unset = normal resolution; malformed = ignored (normal resolution continues)"
"AI_CONFIG_ENCRYPTION_KEY","compliance-tracker","src/lib/ai-config-crypto.ts:25; .env.example","Encrypts/decrypts org-level BYO AI provider keys at rest. Losing it or drifting it between environments makes stored keys permanently undecryptable","Yes","Yes","None - getEncryptionKey() throws when unset"
"COMPOSIO_API_KEY","compliance-tracker","src/lib/composio-connectors.ts:108; src/lib/composio-connectors.test.ts","Composio connector-integration API key","Yes","Conditional (only when Composio connectors are used)","None - throws ""COMPOSIO_API_KEY is not configured."""
"AI_TEAM_LOG_SECRET","compliance-tracker","src/app/api/ai/team/log-usage/route.ts:12; .env.example","Shared secret authenticating POSTs to the AI Dev Team usage-logging endpoint","Yes","Yes for that route","None - route returns 500 ""AI_TEAM_LOG_SECRET not configured"""
"CRON_SECRET","compliance-tracker","29 route files under src/app/api/internal/**/run/route.ts (e.g. secrets-audit/run/route.ts:41; orchestra-log-purge/run/route.ts:15; metric-alerts/run/route.ts:41; report-schedules/run/route.ts:19; the-firm/recur-engagements/run/route.ts:14)","Shared bearer secret guarding every internal cron-triggered route from unauthenticated invocation","Yes","Yes (per environment that runs any cron route)","None - isAuthorized() returns false when unset, so the route fails closed"
"OPS_SYNC_SECRET","compliance-tracker","src/app/api/internal/ops-task-sync/route.ts:22","Same fail-closed shared-secret pattern, guarding the ops-task-sync internal endpoint","Yes","Yes for that route","None - fails closed"
"VERCEL_DEPLOYMENT_WEBHOOK_SECRET","compliance-tracker","src/app/api/webhooks/vercel-deployment/route.ts:75; src/app/api/settings/deployment-history/route.ts:38; src/app/api/webhooks/vercel-deployment/route.test.ts; .env.example","Verifies the x-vercel-signature header on inbound Vercel deployment webhooks; also surfaced as receiverConfigured in the deployment-history UI","Yes","Yes (production)","None - route fails closed (500) so every delivery is rejected until provisioned"
"PLATFORM_AUDIT_ORG_ID","compliance-tracker","src/app/api/webhooks/vercel-deployment/route.ts:55; .env.example","Which organisations row a platform-level deployment audit event is attributed to","No","No","Earliest-created organisations row (queried at runtime)"
"GITHUB_DISPATCH_PAT","compliance-tracker","src/lib/ai-team/dispatch-repo.ts:96; src/lib/services/ocr-client.ts:33; ai-os/MASTER-TRACKER.yaml:107","PAT used to fire repository_dispatch events (zai-task / claude-task triggers, OCR job dispatch) from the deployed app","Yes","Conditional","None - both call sites throw ""GITHUB_DISPATCH_PAT is not configured"""
"PAT_FCHECKLIST","compliance-tracker",".env.example; src/lib/ai-team/dispatch-repo.ts:9 (comment only)","GitHub PAT for the AI Dev Team dispatch path; documented as a write-only GitHub Secret, distinct from GITHUB_DISPATCH_PAT","Yes","UNKNOWN","UNKNOWN - no process.env.PAT_FCHECKLIST read exists in this repo's code"
"VERCEL_ACCESS_TOKEN","compliance-tracker","scripts/rollback-drill.mjs:50","Vercel API bearer token used by the rollback drill to list production deployments","Yes","Yes for that script","None - script prints an error and exits 1"
"VERCEL_PROJECT_ID","compliance-tracker","scripts/rollback-drill.mjs:24","Vercel project the rollback drill queries","No","No","A hardcoded prj_* project id literal in source"
"ROLLBACK_DRILL_LIMIT","compliance-tracker","scripts/rollback-drill.mjs:25","How many recent production deployments the rollback drill lists","No","No","10"
"RESEND_API_KEY","compliance-tracker","src/lib/email.ts","Resend transactional-email provider key","Yes","No","Unset = email sending no-ops (returns null) rather than throwing"
"EMAIL_FROM","compliance-tracker","src/lib/email.ts:11","From-address for outbound transactional email","No","No","""VERIDIAN AI <noreply@veridian-compliance.ai>"""
"NEXT_PUBLIC_APP_URL","compliance-tracker","src/lib/email.ts:52","Base app URL used to build links inside emails","No","No","""https://veridian-compliance-ai.vercel.app"""
"NEXT_PUBLIC_SITE_URL","compliance-tracker","src/lib/services/contact-service.ts:73; src/lib/services/forge-intake-service.ts:56","Base URL for contact/forge confirmation links (a separate constant from NEXT_PUBLIC_APP_URL; both exist, not yet consolidated)","No","No","""https://veridian-ai-os.vercel.app"""
"SENTRY_DSN","compliance-tracker","sentry.server.config.ts:9; sentry.edge.config.ts:5; src/app/api/settings/system-health/route.ts:45; src/lib/sentry-dsn-check.test.ts:16","Server/edge Sentry DSN","Partial (a DSN is semi-public but treated as config secret here)","No","Unset = Sentry.init disables the SDK (safe no-op), and system-health reports sentryConfigured:false"
"NEXT_PUBLIC_SENTRY_DSN","compliance-tracker","next.config.ts:44 (comment); src/instrumentation-client.ts:7; src/app/api/settings/system-health/route.ts:45; src/lib/sentry-dsn-check.test.ts:16","Client-side Sentry DSN (ships in the browser bundle)","No (public by design)","No","Unset = client Sentry no-ops; next.config.ts records that it is currently unset in the live deployment"
"SENTRY_ORG","compliance-tracker","next.config.ts:179,181; src/lib/services/deployment-slo-service.ts:119","Sentry org for source-map upload and for the deployment-SLO issue-count overlay","No","No","Unset = withSentryConfig is skipped entirely (next.config.ts:179) and the SLO overlay reports ""not configured"""
"SENTRY_PROJECT","compliance-tracker","next.config.ts:179,182; src/lib/services/deployment-slo-service.ts:120","Sentry project for source-map upload and the SLO overlay","No","No","Same as SENTRY_ORG - withSentryConfig skipped, overlay reports ""not configured"""
"SENTRY_AUTH_TOKEN","compliance-tracker","src/lib/services/deployment-slo-service.ts:118; src/lib/services/deployment-slo-service.test.ts","Sentry API token used to fetch issue counts for the deployment SLO overlay","Yes","No","Unset = getSentryIssueSummary() returns a ""not configured"" note instead of a fabricated number"
"NODE_ENV","compliance-tracker","sentry.server.config.ts:10; sentry.edge.config.ts:6; src/instrumentation-client.ts:8; src/lib/db/tenant-scoped.ts:189; src/lib/db/tenant-scoped.test.ts","Standard Node env; directly selects Sentry tracesSampleRate (1.0 in development, 0.1 otherwise) and gates tenant-scoped DB behavior","No","No","Provided by Next.js/Node; sample-rate branch treats anything but ""development"" as 0.1"
"NEXT_RUNTIME","compliance-tracker","src/instrumentation.ts:27,30","Next.js runtime marker (""nodejs"" vs ""edge"") - selects which Sentry config register() imports","No","No","Provided by Next.js"
"MEMVID_TELEMETRY","compliance-tracker","src/lib/services/workspace-memory-service.ts:45","Force-assigned to ""0"" before @memvid/sdk is required, to disable its default phone-home telemetry","No","No","Set to ""0"" by the module itself; it is written, not read"
"VERCEL_REGION","compliance-tracker","src/app/api/health/route.ts:50","Vercel-injected region reported by the health endpoint","No","No","null"
"VERCEL_URL","compliance-tracker","src/app/api/mcp/route.ts:295","Vercel-injected deployment URL used to build an absolute /api/v1 base URL for MCP tool links","No","No","""https://veridian-compliance-ai.vercel.app/api/v1"""
"DEMO_API_KEY_IDS","compliance-tracker","src/lib/supabase/api-key-auth.ts:91; src/lib/supabase/api-key-auth.test.ts:50,116,208","Comma-separated allowlist of demo API key ids (e.g. projexa_demo_key) permitted to authenticate; unset means the demo key is blocked in production","No","No",""""" (empty) - empty allowlist, demo keys rejected"
"EXCHANGE_RATE_API_KEY","compliance-tracker","src/lib/exchange-rate-feed-client.ts:70; src/lib/exchange-rate-feed-client.test.ts:17","Key for the exchange-rate feed; presence switches to the paid-tier /v6/{key}/latest/{base} path","Yes","No","Unset = free-tier endpoint path"
"GOOGLE_SHEETS_SERVICE_ACCOUNT_JSON","compliance-tracker","src/lib/google-sheets-client.ts:50; src/lib/google-sheets-client.test.ts; src/lib/loops/memory-sheets-projection.test.ts","Google service-account key JSON (inline) used to authenticate the Sheets mirror","Yes","No","Unset/blank = readServiceAccountKey() returns null and isGoogleSheetsConfigured() is false"
"GOOGLE_SHEETS_SPREADSHEET_ID","compliance-tracker","src/lib/google-sheets-client.ts:68,72; src/lib/google-sheets-client.test.ts; src/lib/loops/memory-sheets-projection.test.ts","Target spreadsheet id for the optional Google Sheets mirror","No","No","Unset = feature reports unconfigured; getConfiguredSpreadsheetId() throws if called anyway"
"PAYMENT_GATEWAY_PROVIDER","compliance-tracker","src/lib/services/payment-gateway-client.ts:23,42","Names the payment gateway; its mere presence toggles gateway mode on. chargeInvoice() throws because no provider implementation exists yet","No","No","Unset = gateway disabled (isPaymentGatewayConfigured() false)"
"ORCHESTRA_PAYLOAD_RETENTION_DAYS","compliance-tracker","src/app/api/internal/orchestra-log-purge/run/route.ts:25; src/lib/orchestra-execution-logger.ts:118","Retention window (days) for the orchestra execution-log payload purge job","No","No","90 (DEFAULT_ORCHESTRA_PAYLOAD_RETENTION_DAYS); non-finite or <=0 values fall back to it"
"DEBUG_LATENCY","compliance-tracker","src/lib/query-timing.ts:50; src/lib/route-timing.ts:57; src/lib/query-timing.test.ts; src/lib/services/pms-issue-service.test.ts","Set to ""1"" to emit one JSON latency line per instrumented DB operation / route on stdout","No","No","Unset = disabled (strict equality to ""1"")"
"DEBUG_LATENCY_FILE","compliance-tracker","src/lib/query-timing.ts:110; src/lib/query-timing.test.ts","Path the latency line is also appended to; append failures are caught so profiling never breaks the request","No","No","Unset = stdout only, nothing written to file"
"CI","compliance-tracker","next.config.ts:183; playwright.config.ts:54,83; e2e/r48-uat-bank-reachability.spec.ts:70; e2e/r63-local-composer.spec.ts:26","CI-mode branching: placeholder env for the Playwright webServer, spec skips, and Sentry build behavior","No","No","Unset = local mode"
"BASE_REF","compliance-tracker","scripts/check-migration-collision.mjs:46; scripts/check-route-auth-guard.mjs:77; scripts/check-route-error-handling.mjs:69; scripts/check-deterministic-first-audit.mjs:71","Explicit git base-ref override for diff-scoped CI checks, so a script does not fall back to a possibly-stale local main in a shared checkout/worktree","No","No","Falls through to a git-derived base ref (a CLI arg takes precedence over this var)"
"GITHUB_BASE_REF","compliance-tracker","scripts/check-sec07-ocid-lock.mjs:180; scripts/check-terminology-guardrail.mjs:84","GitHub Actions base branch for diff-scoped guardrail checks","No","No","""main"""
"GITHUB_EVENT_PATH","compliance-tracker","scripts/check-reviewer-not-author.mjs:85; scripts/check-sec07-ocid-lock.mjs:186","Path to the GitHub Actions event payload JSON; the reviewer-not-author check reads PR author/reviewer from it","No","No","Provided by GitHub Actions"
"NODE_OPTIONS","compliance-tracker","scripts/pre-deploy-gate.mjs:28","Raises the Node heap for the pre-deploy gate build; the script sets it only if not already set","No","No","""--max-old-space-size=6144"""
"AUDIT198_REPO_ROOT","compliance-tracker","ai-os/scripts/audit198/evidence-engine.mjs:15; ai-os/scripts/audit198/run-audit.mjs","Repo root the audit198 evidence engine resolves compliance-tracker paths against","No","No","process.cwd()"
"SMOKE_TEST_LIMIT","compliance-tracker","scripts/veridian-browser-ux-test.mjs:509","Caps how many screens the browser UX smoke test exercises","No","No","0"
"E2E_PROJEXA_ORIGIN","compliance-tracker","e2e/demo-gate-smoke.spec.ts:56","PROJEXA origin the demo-gate smoke spec targets","No","No","""https://projexa-ai.com"""
"R74_TENANT_A_ID","compliance-tracker","e2e/fixtures/r74-tenants.ts:10; .env.r74-test.local (key present)","Tenant A org id for the R74 cross-tenant isolation E2E suite","No","Yes for R74 specs","UNKNOWN - no in-code fallback observed at that line"
"R74_TENANT_B_ID","compliance-tracker","e2e/fixtures/r74-tenants.ts:11; .env.r74-test.local (key present)","Tenant B org id for the R74 cross-tenant isolation E2E suite","No","Yes for R74 specs","UNKNOWN - no in-code fallback observed at that line"
"R74_TEST_{A|B}_{ROLE}_EMAIL","compliance-tracker","e2e/fixtures/r74-roles.ts:16; .env.r74-test.local (ADMIN/MANAGER/MEMBER/EXTERNAL_AUDITOR variants present)","Dynamically composed per-tenant, per-role E2E login emails (process.env[`R74_TEST_${tenant}_${role}_EMAIL`])","No","Yes for R74 specs","None - resolved by template key at runtime"
"R74_TEST_{A|B}_{ROLE}_PASSWORD","compliance-tracker","e2e/fixtures/r74-roles.ts:17; .env.r74-test.local (ADMIN/MANAGER/MEMBER/EXTERNAL_AUDITOR variants present)","Dynamically composed per-tenant, per-role E2E login passwords","Yes","Yes for R74 specs","None - resolved by template key at runtime"
"R74_PROJEXA_TENANT_{A|B}_ID and R74_PROJEXA_TEST_{A|B}_{OWNER|PM|SITE_ENGINEER}_{EMAIL|PASSWORD}","compliance-tracker",".env.r74-test.local (key names only)","PROJEXA-side tenant ids and per-role credentials for the R74 cross-app isolation runs","Yes (password variants)","UNKNOWN","UNKNOWN - present in the local env file but no process.env read found in this repo's code"
"HETZNER_API_TOKEN","compliance-tracker","ai-os/OCID-056-CREDENTIAL-REGISTER.md:40 (documentation only)","Hetzner API token recorded in the credential register","Yes","No","UNKNOWN - no process.env read exists in code; the VERIDIAN-DEV Hetzner server was decommissioned"
"CONTENT_SECURITY_POLICY (next.config knob)","compliance-tracker","next.config.ts:74-88, applied at next.config.ts:120-124","CSP shipped as Content-Security-Policy-Report-Only (not enforcing) while inline-script nonces are unresolved; allows self + va.vercel-scripts.com + vercel.live + the Supabase project origin","No","N/A","Report-Only mode; script-src and style-src include 'unsafe-inline'"
"Security headers (next.config knob)","compliance-tracker","next.config.ts:127-135","X-Frame-Options: DENY, X-Content-Type-Options: nosniff, Referrer-Policy: strict-origin-when-cross-origin, Permissions-Policy: camera=(), microphone=(), geolocation=()","No","N/A","Applied to source ""/(.*)"" - every route, enforcing"
"reactStrictMode (next.config knob)","compliance-tracker","next.config.ts:91","React Strict Mode disabled","No","N/A","false"
"transpilePackages (next.config knob)","compliance-tracker","next.config.ts:148","Forces transpilation of the raw-source UI kit package","No","N/A","[""@fchecklist/veridian-ui-kit""]"
"serverExternalPackages (next.config knob)","compliance-tracker","next.config.ts:159","Keeps @memvid/sdk out of the bundler (native/optional deps)","No","N/A","[""@memvid/sdk""]"
"withSentryConfig gate (next.config knob)","compliance-tracker","next.config.ts:179-183","Source-map upload wrapper is applied only when SENTRY_ORG and SENTRY_PROJECT are both set","No","N/A","Unset = plain next-intl config exported, no Sentry build step"
