"Supabase_Project_Ref","Schema","Table","Purpose","Key_Columns","Row_Count","RLS_Enabled","Schema_File_Path","Used_By_Module"
"pcrjmlpuqsbocqfwoxod","compliance","abac_policies","UNKNOWN","PK:id|FK:created_by_id,org_id","0","TRUE","src/lib/db/schema.ts:7745","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","access_review_certifications","UNKNOWN","PK:id|FK:cycle_id,org_id,user_id","24","TRUE","src/lib/db/schema.ts:2856","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","access_review_cycles","Periodic access-certification cycle over RBAC roles","PK:id|FK:org_id","6","TRUE","src/lib/db/schema.ts:2845","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","activity_log","Wave 160 additive task envelope","PK:id","0","TRUE","src/lib/db/schema.ts:1707","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","agent_review_records","Agent Review Registry (AI workforce governance)","PK:id","0","TRUE","src/lib/db/schema.ts:1942","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","ai_agent_directory","Per-AI-agent permanent directory","PK:id","0","TRUE","src/lib/db/schema.ts:1861","src/lib/ai-team"
"pcrjmlpuqsbocqfwoxod","compliance","ai_assistants","5 numbered assistants auto-provisioned per user","PK:id|FK:user_id","1728","TRUE","src/lib/db/schema.ts:1156","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","ai_configurations","UNKNOWN","PK:id|FK:org_id","0","TRUE","src/lib/db/schema.ts:1003","api/settings/ai-config"
"pcrjmlpuqsbocqfwoxod","compliance","ai_cost_reconciliations","AI cost governance / FinOps reconciliation","PK:id","0","TRUE","src/lib/db/schema.ts:10235","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","ai_reduction_snapshots","Predictive AI model-selection metric snapshots","PK:id","1","TRUE","src/lib/db/schema.ts:12157","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","api_key_request_log","Per-request log backing API rate limiting","PK:id|FK:api_key_id,org_id","45422","TRUE","src/lib/db/schema.ts:804","src/lib/auth"
"pcrjmlpuqsbocqfwoxod","compliance","api_keys","UNKNOWN","PK:id|FK:issued_for_application_id,org_id","34","TRUE","src/lib/db/schema.ts:763","api/settings/api-keys"
"pcrjmlpuqsbocqfwoxod","compliance","application_errors","In-DB error tracking (no external APM)","PK:id","80","TRUE","src/lib/db/schema.ts:11881","api/internal/secrets-audit"
"pcrjmlpuqsbocqfwoxod","compliance","approval_preferences","User-controlled VERI-assisted comms approval prefs","PK:id","0","TRUE","src/lib/db/schema.ts:2104","src/lib/approval-preference-service.ts"
"pcrjmlpuqsbocqfwoxod","compliance","approval_requests","UNKNOWN","PK:id|FK:approved_by_id,client_id,org_id","5","TRUE","src/lib/db/schema.ts:3268","api/approvals/route.ts"
"pcrjmlpuqsbocqfwoxod","compliance","approval_workflow_definitions","UNKNOWN","PK:id|FK:created_by_id,org_id","0","TRUE","src/lib/db/schema.ts:7648","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","approval_workflow_instances","UNKNOWN","PK:id|FK:created_by_id,org_id,workflow_definition_id","0","TRUE","src/lib/db/schema.ts:7679","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","approval_workflow_step_approvals","UNKNOWN","PK:id|FK:approved_by_id,step_instance_id","0","TRUE","src/lib/db/schema.ts:7703","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","approval_workflow_step_definitions","UNKNOWN","PK:id|FK:workflow_definition_id","0","TRUE","src/lib/db/schema.ts:7658","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","approval_workflow_step_instances","UNKNOWN","PK:id|FK:step_definition_id,workflow_instance_id","0","TRUE","src/lib/db/schema.ts:7691","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","asset_registration_config","Which tables auto-register into platform_assets","PK:id","154","TRUE","src/lib/db/schema.ts:12094","UNKNOWN"
"pcrjmlpuqsbocqfwoxod","compliance","assistant_memories","Assistant memory rows; pgvector col managed in SQL","PK:id|FK:assistant_id","0","TRUE","src/lib/db/schema.ts:1170","api/assistants/[id]"
"pcrjmlpuqsbocqfwoxod","compliance","assistant_metrics_daily","UNKNOWN","PK:id|FK:assistant_id","0","TRUE","src/lib/db/schema.ts:1196","UNKNOWN"
"pcrjmlpuqsbocqfwoxod","compliance","assistant_sessions","UNKNOWN","PK:id|FK:assistant_id","0","TRUE","src/lib/db/schema.ts:1188","UNKNOWN"
"pcrjmlpuqsbocqfwoxod","compliance","audit_engagements","UNKNOWN","PK:id|FK:client_id,org_id","11","TRUE","src/lib/db/schema.ts:3652","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","audit_findings","UNKNOWN","PK:id|FK:audit_engagement_id,client_id,org_id","1","TRUE","src/lib/db/schema.ts:3664","api/ai/team"
"pcrjmlpuqsbocqfwoxod","compliance","audit_logs","Unified immutable activity log; action is free text","PK:id|FK:api_key_id,user_id","8595","TRUE","src/lib/db/schema.ts:694","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","audit_points","UNKNOWN","PK:id|FK:assigned_to_id,client_id,compliance_item_id","39","TRUE","src/lib/db/schema.ts:396","app/(app)/checklists"
"pcrjmlpuqsbocqfwoxod","compliance","audit_protocol_findings","Audit PROTOCOL findings store","PK:id","0","TRUE","src/lib/db/schema.ts:12307","api/ai/team"
"pcrjmlpuqsbocqfwoxod","compliance","auth_failure_events","Unified auth-failure log across all login methods","PK:id","80","TRUE","src/lib/db/schema.ts:3867","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","bcm_business_impact_analyses","BCM business impact analysis","PK:id|FK:plan_id","0","TRUE","src/lib/db/schema.ts:3749","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","bcm_exercises","UNKNOWN","PK:id|FK:plan_id","0","TRUE","src/lib/db/schema.ts:3771","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","bcm_plans","UNKNOWN","PK:id|FK:client_id,org_id","0","TRUE","src/lib/db/schema.ts:3731","api/bcm/route.ts"
"pcrjmlpuqsbocqfwoxod","compliance","bcm_recovery_procedures","UNKNOWN","PK:id|FK:plan_id","0","TRUE","src/lib/db/schema.ts:3761","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","billing_contracts","R65 Part E billing contracts","PK:id|FK:approved_by,org_id,product_id","0","TRUE","src/lib/db/schema.ts:10439","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","billing_products","Billing Engine Formula 1/2 product catalogue","PK:id","2","TRUE","src/lib/db/schema.ts:10331","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","billing_rates","Versioned rate card; null org_id = standard rate","PK:id|FK:approved_by,contract_id,org_id","0","TRUE","src/lib/db/schema.ts:10353","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","board_action_items","UNKNOWN","PK:id|FK:board_meeting_id,client_id,org_id","0","TRUE","src/lib/db/schema.ts:3155","api/board/route.ts"
"pcrjmlpuqsbocqfwoxod","compliance","board_evaluations","UNKNOWN","PK:id|FK:client_id,org_id","0","TRUE","src/lib/db/schema.ts:3224","api/board-evaluation/route.ts"
"pcrjmlpuqsbocqfwoxod","compliance","board_meetings","UNKNOWN","PK:id|FK:client_id,created_by_id,org_id","14","TRUE","src/lib/db/schema.ts:3137","api/board/route.ts"
"pcrjmlpuqsbocqfwoxod","compliance","branches","Customer-account hierarchy: branches","PK:id|FK:org_id","0","TRUE","src/lib/db/schema.ts:170","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","business_hours_schedules","UNKNOWN","PK:id|FK:org_id","0","TRUE","src/lib/db/schema.ts:6030","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","business_rule_test_runs","UNKNOWN","PK:id","0","TRUE","src/lib/db/schema.ts:12807","api/business-rules/[id]"
"pcrjmlpuqsbocqfwoxod","compliance","business_rule_versions","UNKNOWN","PK:id","0","TRUE","src/lib/db/schema.ts:12794","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","business_rules","UNKNOWN","PK:id","0","TRUE","src/lib/db/schema.ts:12771","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","business_terminology_glossary","Business terminology glossary (explainability)","PK:id|FK:org_id","10","TRUE","src/lib/db/schema.ts:4984","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","calculation_invocations","Calculation auditability log","PK:id|FK:org_id","2","TRUE","src/lib/db/schema.ts:10530","src/lib/engines"
"pcrjmlpuqsbocqfwoxod","compliance","candidates","UNKNOWN","PK:id|FK:org_id","18","TRUE","src/lib/db/schema.ts:8670","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","cap_table_entries","UNKNOWN","PK:id|FK:client_id,org_id","0","TRUE","src/lib/db/schema.ts:3290","api/cap-table/route.ts"
"pcrjmlpuqsbocqfwoxod","compliance","cap_table_events","UNKNOWN","PK:id|FK:client_id,org_id,recorded_by_id","0","TRUE","src/lib/db/schema.ts:3302","api/cap-table/events"
"pcrjmlpuqsbocqfwoxod","compliance","chain_history","Pill-chain history; full_chain TEXT for dedup index","PK:id","9","TRUE","src/lib/db/schema.ts:13637","src/lib/pipeline"
"pcrjmlpuqsbocqfwoxod","compliance","challans","UNKNOWN","PK:id|FK:client_id","0","TRUE","src/lib/db/schema.ts:360","app/(app)/compliance"
"pcrjmlpuqsbocqfwoxod","compliance","chunk_policy","Global chunking config per business-object type","PK:id","3","TRUE","src/lib/db/schema.ts:13781","src/lib/crr"
"pcrjmlpuqsbocqfwoxod","compliance","client_entities","UNKNOWN","PK:id|FK:client_id","27","TRUE","src/lib/db/schema.ts:190","api/clients/route.ts"
"pcrjmlpuqsbocqfwoxod","compliance","client_model_config","Per-client BYO model override (mirrors org level)","PK:id|FK:client_id,orchestra_layer_id","0","TRUE","src/lib/db/schema.ts:2229","src/lib/ai-router"
"pcrjmlpuqsbocqfwoxod","compliance","clients","UNKNOWN","PK:id|FK:branch_id,org_id","27","TRUE","src/lib/db/schema.ts:179","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","clm_clauses","CLM clause library","PK:id|FK:org_id","0","TRUE","src/lib/db/schema.ts:8051","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","clm_contract_templates","UNKNOWN","PK:id|FK:org_id","0","TRUE","src/lib/db/schema.ts:8065","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","clm_template_clauses","UNKNOWN","PK:id|FK:clause_id,template_id","0","TRUE","src/lib/db/schema.ts:8077","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","code_change_requests","Code-change requests on generic maker-checker","PK:id|FK:approval_request_id,org_id","0","TRUE","src/lib/db/schema.ts:4223","api/approvals/[id]"
"pcrjmlpuqsbocqfwoxod","compliance","comments","UNKNOWN","PK:id|FK:author_id,compliance_item_id","36","TRUE","src/lib/db/schema.ts:638","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","committees","UNKNOWN","PK:id|FK:chair_id,client_id,org_id","0","TRUE","src/lib/db/schema.ts:3167","app/(app)/committees"
"pcrjmlpuqsbocqfwoxod","compliance","company_charges","UNKNOWN","PK:id|FK:client_id,org_id","0","TRUE","src/lib/db/schema.ts:3315","api/charges/route.ts"
"pcrjmlpuqsbocqfwoxod","compliance","compliance_costs","UNKNOWN","PK:id|FK:client_id,compliance_item_id,notice_id,org_id","3","TRUE","src/lib/db/schema.ts:578","api/compliance/[id]"
"pcrjmlpuqsbocqfwoxod","compliance","compliance_frameworks","UNKNOWN","PK:id|FK:client_id,org_id","40","TRUE","src/lib/db/schema.ts:3630","api/frameworks/route.ts"
"pcrjmlpuqsbocqfwoxod","compliance","compliance_items","UNKNOWN","PK:id|FK:assigned_to_id,client_id,department_id,org_id","3952","TRUE","src/lib/db/schema.ts:324","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","computation_engines","VCEL deterministic engine registry","PK:id","247","TRUE","src/lib/db/schema.ts:10480","src/lib/engines"
"pcrjmlpuqsbocqfwoxod","compliance","connector_accounts","Per-user OAuth connector accounts (Composio)","PK:id|FK:user_id","0","TRUE","src/lib/db/schema.ts:9992","api/connectors/route.ts"
"pcrjmlpuqsbocqfwoxod","compliance","connector_documents","Connector-sourced documents (Business Digital Twin)","PK:id|FK:source_object_id","0","TRUE","src/lib/db/schema.ts:10025","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","construction_activities","UNKNOWN","PK:id","372","TRUE","src/lib/db/schema.ts:10970","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","construction_attendance","UNKNOWN","PK:id","133","TRUE","src/lib/db/schema.ts:11158","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","construction_boq_categories","Org-editable BOQ category list","PK:id","35","TRUE","src/lib/db/schema.ts:10947","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","construction_boq_line_items","UNKNOWN","PK:id","597","TRUE","src/lib/db/schema.ts:10838","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","construction_boqs","Bill of Quantities; revisions chain via parentBoqId","PK:id","127","TRUE","src/lib/db/schema.ts:10802","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","construction_categories","Work-progress classification hierarchy","PK:id","23","TRUE","src/lib/db/schema.ts:10961","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","construction_change_orders","UNKNOWN","PK:id","35","TRUE","src/lib/db/schema.ts:11548","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","construction_employee_code_counters","Per-org sequence for auto worker numbers","PK:org_id","0","TRUE","src/lib/db/schema.ts:11189","UNKNOWN"
"pcrjmlpuqsbocqfwoxod","compliance","construction_expense_entries","UNKNOWN","PK:id","60","TRUE","src/lib/db/schema.ts:11407","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","construction_interim_bill_line_items","UNKNOWN","PK:id","0","TRUE","src/lib/db/schema.ts:11038","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","construction_interim_bills","Interim/RA billing against BoQ work-progress %","PK:id","0","TRUE","src/lib/db/schema.ts:11022","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","construction_kpi_definitions","UNKNOWN","PK:id","19","TRUE","src/lib/db/schema.ts:11365","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","construction_kpi_entries","UNKNOWN","PK:id","37","TRUE","src/lib/db/schema.ts:11377","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","construction_labour_roster","UNKNOWN","PK:id","76","TRUE","src/lib/db/schema.ts:11144","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","construction_material_issues","Material issue records (R67 D-40)","PK:id|FK:material_id","0","TRUE","src/lib/db/schema.ts:11295","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","construction_material_receipts","UNKNOWN","PK:id|FK:material_id","5","TRUE","src/lib/db/schema.ts:11228","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","construction_materials","Material master + inbound receipts","PK:id","30","TRUE","src/lib/db/schema.ts:11208","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","construction_prevailing_wage_rates","Certified-payroll prevailing wage rates","PK:id","0","TRUE","src/lib/db/schema.ts:11341","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","construction_progress_claims","UNKNOWN","PK:id","0","TRUE","src/lib/db/schema.ts:11061","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","construction_punch_list_items","UNKNOWN","PK:id","66","TRUE","src/lib/db/schema.ts:11528","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","construction_rfis","UNKNOWN","PK:id","106","TRUE","src/lib/db/schema.ts:11458","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","construction_site_diaries","One row per project per day","PK:id","76","TRUE","src/lib/db/schema.ts:11087","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","construction_site_instructions","Site instruction record (schema assumed, unconfirmed)","PK:id","4","TRUE","src/lib/db/schema.ts:11489","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","construction_submittals","UNKNOWN","PK:id","41","TRUE","src/lib/db/schema.ts:11508","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","construction_work_progress_entries","Daily quantity/percent-complete log per activity","PK:id|FK:boq_line_item_id","104","TRUE","src/lib/db/schema.ts:10984","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","contact_submissions","Landing-page lead capture","PK:id","0","TRUE","src/lib/db/schema.ts:9948","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","contract_compliance_items","UNKNOWN","PK:id|FK:client_id,org_id","0","TRUE","src/lib/db/schema.ts:3967","api/contract-compliance/route.ts"
"pcrjmlpuqsbocqfwoxod","compliance","conversation_guest_access","Guest (non-user) chat access grants","PK:id|FK:conversation_id,invited_by_id","0","TRUE","src/lib/db/schema.ts:6242","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","conversation_participants","UNKNOWN","PK:id|FK:conversation_id,user_id","458","TRUE","src/lib/db/schema.ts:4108","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","conversation_share_links","Tokenized time-limited read-only share links","PK:id|FK:conversation_id,created_by_id","0","TRUE","src/lib/db/schema.ts:6216","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","conversations","Serves human threads and per-user VERIDIAN AI thread","PK:id|FK:client_id,org_id","507","TRUE","src/lib/db/schema.ts:4046","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","cost_payments","Append-only payment ledger","PK:id|FK:client_id,compliance_cost_id,org_id","2","TRUE","src/lib/db/schema.ts:603","api/compliance-costs/[id]"
"pcrjmlpuqsbocqfwoxod","compliance","crm_accounts","UNKNOWN","PK:id|FK:converted_from_lead_id,org_id","0","TRUE","src/lib/db/schema.ts:5464","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","crm_activities","UNKNOWN","PK:id|FK:assigned_to_id,created_by_id,org_id","0","TRUE","src/lib/db/schema.ts:5570","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","crm_campaigns","UNKNOWN","PK:id|FK:created_by_id,org_id,owner_id","0","TRUE","src/lib/db/schema.ts:5588","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","crm_contacts","Named person at a CRM account","PK:id|FK:account_id,org_id","0","TRUE","src/lib/db/schema.ts:5536","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","crm_leads","CRM leads (built in-house; SuiteCRM rejected)","PK:id|FK:converted_client_id,org_id","520","TRUE","src/lib/db/schema.ts:5265","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","crm_lost_reasons","UNKNOWN","PK:id|FK:org_id","0","TRUE","src/lib/db/schema.ts:5562","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","crm_opportunities","UNKNOWN","PK:id|FK:client_id,lead_id,org_id","8","TRUE","src/lib/db/schema.ts:5319","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","crm_pipeline_stages","Sales pipeline stage definitions","PK:id|FK:org_id","0","TRUE","src/lib/db/schema.ts:5415","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","crm_sales_targets","Sales targets backing revenue trend dashboard","PK:id","0","TRUE","src/lib/db/schema.ts:5439","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","crm_stage_history","Stage-change ledger for leads and opportunities","PK:id","14","TRUE","src/lib/db/schema.ts:5390","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","crr_erasure_log","Audit trail for right-to-erasure requests","PK:id","0","TRUE","src/lib/db/schema.ts:13791","UNKNOWN"
"pcrjmlpuqsbocqfwoxod","compliance","crr_ingest_error","Per-stage ingest failure log","PK:id","0","TRUE","src/lib/db/schema.ts:13807","src/lib/crr"
"pcrjmlpuqsbocqfwoxod","compliance","custom_charts","Self-serve ad-hoc chart-builder definitions","PK:id|FK:org_id","0","TRUE","src/lib/db/schema.ts:5155","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","customer_model_config","Per-org optionally per-layer BYO model override","PK:id|FK:orchestra_layer_id","0","TRUE","src/lib/db/schema.ts:2150","api/settings/model-config"
"pcrjmlpuqsbocqfwoxod","compliance","data_separation_audit","UNKNOWN","PK:id","388","TRUE","src/lib/db/schema.ts:2646","src/lib/loops"
"pcrjmlpuqsbocqfwoxod","compliance","delegation_of_authority","UNKNOWN","PK:id|FK:client_id,org_id","0","TRUE","src/lib/db/schema.ts:3198","api/doa/route.ts"
"pcrjmlpuqsbocqfwoxod","compliance","departments","UNKNOWN","PK:id|FK:org_id","385","TRUE","src/lib/db/schema.ts:223","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","deployment_events","Deployment webhook receipts","PK:id","0","TRUE","src/lib/db/schema.ts:12255","api/webhooks/vercel-deployment"
"pcrjmlpuqsbocqfwoxod","compliance","directors_kmp","UNKNOWN","PK:id|FK:client_id,org_id","0","TRUE","src/lib/db/schema.ts:3209","api/directors/route.ts"
"pcrjmlpuqsbocqfwoxod","compliance","doc_processing_jobs","On-demand doc-processing job tracking (OCR etc.)","PK:id","0","TRUE","src/lib/db/schema.ts:11900","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","document_chunk","One row per chunk of a source_object's content","PK:id|FK:source_object_id","11","TRUE","src/lib/db/schema.ts:13711","src/lib/crr"
"pcrjmlpuqsbocqfwoxod","compliance","document_correspondents","User-managed correspondent register","PK:id|FK:org_id","0","TRUE","src/lib/db/schema.ts:516","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","document_matching_rules","Org-scoped doc matching rules, priority ordered","PK:id|FK:org_id,target_correspondent_id","0","TRUE","src/lib/db/schema.ts:545","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","documents","Document store; org_id added Wave 7 for RLS coverage","PK:id|FK:client_id,compliance_item_id,notice_id","242","TRUE","src/lib/db/schema.ts:418","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","drafted_communications","Draft-then-approve communication governance","PK:id","0","TRUE","src/lib/db/schema.ts:11984","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","email_intelligence_action_items","UNKNOWN","PK:id|FK:email_intelligence_item_id,task_id","0","TRUE","src/lib/db/schema.ts:11956","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","email_intelligence_items","Inbound-email intelligent work detection","PK:id","0","TRUE","src/lib/db/schema.ts:11928","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","embedding_cache","Embedding cache (Wave 99)","PK:id","27","TRUE","src/lib/db/schema.ts:1117","src/lib/embeddings.ts"
"pcrjmlpuqsbocqfwoxod","compliance","embeddings","pgvector embeddings; vector col managed in raw SQL","PK:id","981","TRUE","src/lib/db/schema.ts:1025","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","employee_profiles","UNKNOWN","PK:id|FK:income_tax_slab_id,org_id,user_id","551","TRUE","src/lib/db/schema.ts:5636","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","engagements","UNKNOWN","PK:id","0","TRUE","UNKNOWN","UNKNOWN"
"pcrjmlpuqsbocqfwoxod","compliance","erp_abc_classifications","Cached ABC/Pareto stock classification snapshot","PK:id|FK:item_id,org_id","0","TRUE","src/lib/db/schema.ts:7965","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","erp_accounting_periods","UNKNOWN","PK:id|FK:closed_by_id,fiscal_year_id,org_id","12","TRUE","src/lib/db/schema.ts:7578","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","erp_accounts","Chart of accounts, tree via parent_account_id","PK:id|FK:currency_id,org_id,parent_account_id","73","TRUE","src/lib/db/schema.ts:6501","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","erp_addresses","Polymorphic address book","PK:id|FK:org_id","0","TRUE","src/lib/db/schema.ts:7167","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","erp_asset_categories","UNKNOWN","PK:id|FK:asset_account_id,org_id","0","TRUE","src/lib/db/schema.ts:6849","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","erp_asset_disposals","UNKNOWN","PK:id|FK:asset_id,created_by_id,journal_entry_id","0","TRUE","src/lib/db/schema.ts:6905","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","erp_asset_movements","UNKNOWN","PK:id|FK:asset_id,from_custodian_id,to_custodian_id","0","TRUE","src/lib/db/schema.ts:6892","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","erp_bank_accounts","UNKNOWN","PK:id|FK:currency_id,gl_account_id,org_id","1","TRUE","src/lib/db/schema.ts:6552","src/lib/services"
"pcrjmlpuqsbocqfwoxod","compliance","erp_bank_statement_imports","UNKNOWN","PK:id|FK:bank_account_id,imported_by_id,org_id","0","TRUE","src/lib/db/schema.ts:8121","api/erp/bank-reconciliation"
"pcrjmlpuqsbocqfwoxod","compliance","erp_bank_statement_lines","UNKNOWN","PK:id|FK:import_id,matched_journal_entry_id,org_id","0","TRUE","src/lib/db/schema.ts:8131","src/lib/services"
