"Step_No","Step_Name","File_Path","Function_Or_Component","Input","Output","Side_Effects","Notes"
"27","Click a screen card","src/components/shell/M24Shell.tsx","onScreenCardSelect (line 2276)","cardId","setSegments(chainForScreenCard(card, chainModule?.id ?? null))","bumpUsage -> POST /api/pill-usage; clears pendingFunctionId/armedCard/platformNotice; then either router.push(hrefForScreenCard(...)) OR load-and-stop (setAwaitingText(true) + composerRef.focus()); requestProject(noProjectPromptFor(mod)) when the module needs a project and none is resolved","A card click NEVER executes - the callback carries a card id, a plain string."
"28","Click a ranked card (arms the pill path)","src/components/shell/M24Shell.tsx","onCardSelect (line 2046)","cardId","setSegments([{id:card.id,label:card.label,kind:'action'}])","bumpUsage; setPendingFunctionId(knownFunctionId) and setArmedCard(card) when a real functionId is known (then RETURNS, no navigation); otherwise router.push(cardHref(card, projectId)); setNotice(null)","functionId resolved from card.functionId, pillFnRef, or rankedKeyForCard(). An armed card means the server needs no classifier call at Send."
"29","Click an entry in the expanded All-modules list","src/components/shell/M24Shell.tsx","onModuleEntrySelect (line ~2115)","entryId (from pillEntryById)","branches on entry.destination","'input': normalise draft to '' + setAwaitingText(true) + focus box. 'rail': requestProject('Choose a project in the top rail'). 'module': selectEntity(mod). 'view': setSegments + router.push(pillHref). 'platform': setPlatformNotice(label). All: setShowAllPills(false), setPlatformNotice(null) first","Destinations come from the table in src/lib/pill-routes.ts. 'Other - type it' writes nothing into the box or the strip. bumpUsage only for rankable entries."
"30","Alt+letter pill shortcut","src/components/shell/M24Shell.tsx","window 'keydown' useEffect + matchPillShortcut (~line 3045)","KeyboardEvent","entry id","event.preventDefault(); onModuleEntrySelect(entry.id)","Chord is Alt+<letter>, never a bare letter, and the listener is on window so it still works while the textarea has focus."
"31","'Do again' recent chain","src/components/shell/M24Shell.tsx","onRecentSelect","RecentCardView (from bootstrap recentChains)","the recorded chain restored into the strip","bumpUsage; loads and stops - pendingFunctionId is left null so Send is NOT armed","Deliberately does NOT carry the old task's parameters."
"32","Usage recorded server-side","src/components/shell/M24Shell.tsx -> src/app/api/pill-usage/route.ts","bumpUsage (line 1716) / chainForUsage","pillKey, {root, steps, full}","-","POST /api/pill-usage, fire-and-forget (.catch(() => {}))","Feeds the ranking that orders band 3 on the next navigation."
"33","Picking a module narrows the sentence","src/components/shell/M24Shell.tsx","selectEntity (line 2018)","ModuleDef","setSegments([{id:mod.id,label:mod.label,kind:'action'}])","clears pendingFunctionId, armedCard, awaitingText, platformNotice, projectPrompt, notice, loadedChain","Does NOT navigate - D-08/C-09: the second level is verbs, and it is the VERB that navigates."
"34","Middle-band content chosen (option-selection chain)","src/components/shell/M24Shell.tsx","optionLevel useMemo (line ~3057)","platformNotice, missingSendItems, projects, projectId, selectedModule, screen.createSegment, segments","one ReactNode or null","none","Strict precedence: (1) platformNotice line + 'Open VERIDIAN' link; (2) OptionChain legend 'Which project?' when missingSendItems includes MISSING_PROJECT and projects.length>0; (3) ChainOptionsPanel legend 'Which step?' for a picked module's leaves; else null. Returns null on a create route."
"35","Project chips advance","src/components/shell/OptionChain.tsx","OptionChain onAdvance","{id, label, kind:'root'}","-","chooseProject(segment.id)","options = projects.map(p => ({id: p.id, label: p.name})); selectedId = projectId."
"36","Module-verb chips advance","src/components/shell/ChainOptionsPanel.tsx -> src/components/shell/OptionChain.tsx","ChainOptionsPanel level={{legend:'Which step?', kind:'step', options}}","leaves from chainOptionsFor(selectedModule) in src/lib/module-catalogue.ts; selectedId = first kind==='step' segment","chip row (or skeletons/error+Retry when loading/error, which never fire here)","onAdvance -> onLeafSelect(selectedModule, leaf)","SELECTING AN OPTION NEVER EXECUTES - onAdvance hands back a segment; the leaf's own route is what opens. chainOptionsFor is synchronous, so the panel degrades to a plain chip row."
"37","Leaf selected -> chain extended AND the right panel navigates","src/components/shell/M24Shell.tsx","onLeafSelect (line 2232)","(mod: ModuleDef, leaf: ModuleLeaf)","segments append {id, label, kind:'step'} (deduped by id)","bumpUsage; requestProject(noProjectPromptFor(mod)) and RETURN when leaf.needsProject !== false and !projectId; otherwise setProjectPrompt(null) then router.push(moduleHref(leaf, projectId))","moduleHref adds ?projectId= unless target.needsProject === false. This is the option-chain path's write to the right panel."
"38","Conversation band precedence","src/components/shell/M24Shell.tsx","`conversation` prop of <Composer> (line ~3435)","pendingVerdict, answer, notice, optionLevel","exactly one node","none","Order: ConfirmCard (pending verdict) > AnswerBlock (rows) > notice ('Understood: <chain>' + text) > optionLevel. A pending verdict outranks everything - it stands between the last Send and a write."
"39","ControlStrip renders the chain sentence + the control row","src/components/shell/ControlStrip.tsx","ControlStrip","chain, onCutFrom, onSegmentClick, onBack, onHome, onReset, prompt, loaded, allModulesExpanded, onToggleAllModules, onToggleTasks, tasksExpanded","'<project> > <module> > <step>' with a 'Remove' button per cuttable segment, the prompt after the last segment, an optional Pin control, then All modules | Tasks | Back | Home | Reset","none","Root segment: shrink-0, max-w-[34ch], 2-line clamp. Later segments: truncate max-w-[22ch] plus truncateSegmentLabel(label, 22). Empty chain renders `prompt ?? 'Select a module to begin'` at data-testid='composer-prompt'."
"40","Remove a segment (the (x) path)","src/components/shell/M24Shell.tsx","onCutFrom(index) (line ~1616)","segment index","setSegments(cutChainFrom(chain, index).segments.filter(s => s.kind !== 'root'))","clears the draft if draft.trim() === the removed segment's label","This component never slices the segment array itself; the clamp rule lives in the kit."
"41","Kit clamp that protects the project root","node_modules/@fchecklist/veridian-ui-kit/src/shell/chain.ts","firstCuttableIndex / canCutAt / cutChainFrom / resetChain","Chain, index","clamped Chain","none","floor = segments.map(kind).lastIndexOf('root') + 1; a cut reaching into the root is clamped, never applied. Pinned git dependency - present in node_modules but NOT tracked in this repo, so it cannot be edited here (CI's frozen-lockfile install would erase it)."
"42","Back","src/components/shell/M24Shell.tsx / src/components/shell/ControlStrip.tsx","onBack -> onCutFrom(chain.segments.length - 1)","-","one segment removed","same side effects as (x), including the draft clear","Not a new mechanism. Disabled (not hidden) when canCutAt(chain, last) is false."
"43","Reset","src/components/shell/M24Shell.tsx","onReset (line ~1641)","-","setSegments(resetChain(chain).segments.filter(kind !== 'root')) = []","clears pendingFunctionId, armedCard, awaitingText, platformNotice, draft, submitError, projectPrompt, loadedChain; composerRef.current?.focus()","Reset clears everything the user can see, including the typed draft and any armed function."
"44","Home","src/components/shell/M24Shell.tsx","onHome (line ~3403)","-","-","on screen.pathname === HOME_ROUTE ('/dashboard'): setShowAllPills(true). Otherwise router.push(HOME_ROUTE)","HOME_ROUTE is defined in src/components/veri-chat/veri-chat-context.tsx line 40."
"45","All modules toggle","src/components/shell/ControlStrip.tsx -> src/components/shell/M24Shell.tsx","onToggleAllModules","-","setShowAllPills(v => !v)","PillStrip's expanded catalogue opens/closes in place","The toggle's TRIGGER moved to the control strip per the frozen mock; the panel it opens still lives in PillStrip. Button label flips 'All modules' / 'Show fewer'."
"46","Tasks toggle - flips the whole left-pane layout","src/components/shell/ControlStrip.tsx -> src/components/shell/M24Shell.tsx","onToggleTasks","-","setTasksExpanded(v => !v)","Flows to AppShell taskMasterExpanded (Task Master reserved height 0 vs calc(100% - ...)) and to Composer dockedOverTaskMaster (normal flow + three thirds vs absolute bottom-docked)","Falls back to onHome when the prop is absent. tasksExpanded initial state is false (M24Shell line 718)."
"47","User types in the box","src/components/shell/Composer.tsx","textarea onChange / onFocus / onKeyDown","keystrokes","onChange(e.target.value)","setDraft in M24Shell; lastTypedRef.current updated. onFocus selects the whole value when `value && value !== lastTypedRef.current` (a value the user did not type reads as a replaceable draft)","Enter without Shift submits when !sendDisabled; Shift+Enter newlines. aria-label 'Describe the task'."
"48","Composer state assembled","src/components/shell/M24Shell.tsx","composerState useMemo (line ~2963)","screen.shipped, projectsLoaded, projects.length, project, activeModule, selectedModule, screenObject, armedCard, draft, segments, awaitingText, submitting, submitError, projectPrompt","ComposerState {shipped, hasProjects, hasProject, projectRequired, projectName, moduleLabel, action, missing, hasText, hasSegment, awaitingText, busy, error}","none","`missing: []` is hard-coded - stated honest limit: the closed-vocabulary missing-field payload does not exist yet, so no missing-step state is reachable from the client."
"49","Strip sentence, button name and enablement all derived from that one state","src/lib/chain-status.ts","chainStatus / chainPrompt / sendLabel / canSend / missingThings","ComposerState","instruction, sendButtonLabel, sendEnabled, missingSendItems","none","chainStatus precedence: not-found > sending > error > no-projects > no-project > missing-step:<key> > ready-pill > ready-text > no-action. sendLabel gives 'Save <object>' / 'Ask' / 'Run' when armed, else 'Send (pick a project, say what you need)'. Never 'Sending...'."
"50","Send pressed","src/components/shell/Composer.tsx","send button (data-testid='composer-send') onClick, or Enter keydown","-","onSubmit()","none","sendDisabled = !canSend || busy || !onSubmit. Button box is a real 44x44 hit area with a 26px saffron circle inside (navy arrow, Loader2 spinner while busy). aria-label = sendLabel, title = instruction || sendLabel."
"51","Submit builds and posts the body","src/components/shell/M24Shell.tsx","onSubmit (line 2325)","draft, pendingFunctionId, mode, projectId, chainModule","parsed JSON response `d`","POST /api/tasks with {functionId, params:{}, mode, projectId, selectedChain} (pill path) or {rawInput, mode, projectId, selectedChain} (typed path). setSubmitting(true), setSubmitError(null), setNotice(null). Guard: returns early if submitting, or if no typed text and no pendingFunctionId","selectedChain hint = {module, label, route} from chainModule. Status is checked before the body (an error body parses fine and is truthy)."
"52","PROJEXA proxies to VERIDIAN","src/app/api/tasks/route.ts","POST (withTiming) / GET (withTiming)","JSON body / query params","VERIDIAN's response, forwarded","requireAuth() then callVeridian('/tasks', {method:'POST', ...}); GET forwards only projectId, status, limit, cursor","export const dynamic = 'force-dynamic'. Reads compliance.pipeline_tasks (via VERIDIAN), deliberately NOT the older compliance.tasks that /api/todos uses."
"53","Verdict branch: needs_input","src/components/shell/M24Shell.tsx","onSubmit branch","verdict.status === 'needs_input'","setNotice({chain, text: messageFor(gap.code)})","The typed words stay in the box; nothing minted","Question comes from the closed vocabulary in src/lib/task-errors.ts / src/lib/conversation.ts - never a raw parameter name."
"54","Verdict branch: gap | answered | chat","src/components/shell/M24Shell.tsx","onSubmit branch","verdict.status in {gap, answered, chat}","answerRowsFrom(verdict.answer?.rows): rows -> setAnswer({heading, rows}) rendered by AnswerBlock; otherwise setNotice({chain, text})","setDraft(''); await loadTasks()","Heading is maskTechnical(verdict.message) or 'Here is what I found'."
"55","Verdict branch: confirmable -> pause for a click","src/components/shell/M24Shell.tsx","onSubmit branch","verdict.confirmable && verdict.submissionId","setPendingVerdict({submissionId, functionId, label, chain}); setConfirmError(null)","ConfirmCard takes over band 2; NO write yet","This used to auto-fire the second POST with nothing shown in between. Now only ConfirmCard's own onPrimary fires it."
"56","Confirm commits the write","src/components/shell/M24Shell.tsx + src/components/shell/ConfirmCard.tsx","onConfirmVerdict (line 2549)","pendingVerdict","new response / fresh verdict","POST /api/tasks {confirm:true, submissionId, functionId, params:{}}; setConfirmBusy/setConfirmError","Handles 404 not_found, HTTP-200 needs_input (asks the same question again) and 409 refusal."
"57","Verdict branch: ready + link -> RIGHT PANEL CHANGES","src/components/shell/M24Shell.tsx","onSubmit branch","verdict.status === 'ready' && verdict.links[0].route","setNotice({chain, text:null})","router.push(verdict.links[0].route)","A COMMAND verb executes nothing server-side - it opens the screen that already does the thing. Navigating IS the action, so there is nothing to confirm."
"58","Minted rows inserted optimistically + polled","src/components/shell/M24Shell.tsx","onSubmit tail","d.tasks[] (taskId, functionId, status, failure, segmentText)","task rows in Task Master","upsertTask(api, true), optimisticIdsRef.add, pollTaskRef.current(taskId) for non-terminal rows; setCounts bump (null counts stay null); invalidateShell('pillUsage'); setDraft(''), setPendingFunctionId(null), setArmedCard(null), setAwaitingText(false)","POLL_FAST_MS 1000 for POLL_FAST_FOR_MS 10000, then POLL_SLOW_MS 5000, give up after POLL_GIVE_UP_MS 5 min. TERMINAL_TASK_STATUSES = done, blocked."
"59","Right panel content is the Next.js route","src/components/shell/AppShell.tsx","<main>{chainRail}{children}</main>","the routed page element passed as M24Shell's children","the ERP screen","none","The right panel changes ONLY through a Next.js navigation (router.push from steps 27/28/29/37/57, or router.refresh/push from step 61) - nothing in the composer re-renders the right pane directly."
"60","Chain rail mirrored onto the right pane","src/components/shell/ChainRail.tsx","ChainRail({chain, onCutFrom, onBack})","the SAME chain and onCutFrom already given to <Composer>","sticky <nav aria-label='Current composer chain'> above the routed screen, with Back and per-segment Remove","none","Returns null when chain.segments.length <= 1, so a page with only the project root shows nothing extra and no duplicate breadcrumb. Wrapped in 'sticky top-0 z-10' by AppShell."
"61","Choosing a project writes the URL (the URL wins, both ways)","src/components/shell/M24Shell.tsx","chooseProject (line 1743)","nextId | null","-","setProjectPrompt(null); setRailProjectId(nextId); writeStoredProjectId(nextId) (localStorage + cookie, name in src/lib/project-selection.ts). If routeProjectId: copy window.location.search, set/delete 'projectId', router.push same path with every OTHER param preserved. Else on an object page: router.push(railDestinationForObject(...)). Else router.refresh()","One writer, reached from the TopRail switcher, the band-2 project chips and ProjectScope.selectProject - so the rail and the pane cannot disagree."
"62","Top rail hosts the project switcher","src/components/shell/TopRail.tsx","TopRail({brand, organisation, project, projects, onSelectProject, openSignal, search, alerts, account})","projects list, railLabelProject, openSignal","header band with brand / org / project pill + listbox, search, notifications, account","choose(next) closes the list and calls onSelectProject(next) -> chooseProject(next?.id ?? null)","Closes on Escape and outside mousedown. openSignal (setSwitcherOpenSignal counter) lets the breadcrumb and chooser cards open this one list instead of growing their own."
"63","Project published to every page under the shell","src/components/shell/M24Shell.tsx + src/components/shell/project-context.tsx","ProjectScopeProvider value={projectScope}","{projects, project, projectId, projectsLoaded, selectProject, openSwitcher}","React context","none","Nothing below this line derives its own project - that is what closes the rail-says-X / page-shows-Y split brain."
"64","Two message surfaces, deliberately not merged","src/lib/shell-messages.tsx and src/components/shell/shell-messages.tsx","ShellMessageRegion (plural log, passed as Composer's `messages`) / ShellMessageProvider + ShellMessageStrip (singular, keyed page error)","receipts / a page's current error","region above the composer box; strip at the foot of the right pane","none","The plural log is sessionStorage-persisted and survives exactly one navigation; the singular strip has key/replace/withdraw semantics. Neither substitutes for the other."
"65","Chain-options HTTP level resolver exists but is NOT on this path","src/app/api/chain-options/route.ts, src/lib/chain-options.ts, src/lib/chain-walk.ts","GET /api/chain-options?projectId=&path=... ; levelSourceFor / normaliseLevel / levelPathForStep / LEVEL_FOR_STEP","level path, projectId","ChainOptionsLevel","none","Grep of src/ finds no caller: M24Shell builds band 2 from the synchronous chainOptionsFor(mod). Known level paths: work_progress/record_progress (BOQ), manpower/mark_attendance (roster), work_progress/upload_photos (BOQ), work_progress/record_progress/<code> (static value level)."
