"File_Path","Kind","Exported_Functions","Domain","What_It_Computes","Key_Inputs","Key_Outputs","DB_Tables_Touched","Called_By"
"C:\ct\ct\src\lib\services\construction-expense-service.ts","SERVICE","createExpenseEntry, listExpenseEntries, getExpenseSummaryByHead, postConstructionExpenseEntryToGL, budgetExceeded","Construction project expenses + GL posting","Expense-head rollup (material/labour/transport/subcontractor/equipment/misc) per project; posts a balanced, immediately-submitted journal entry (debit expense-head GL account, credit org default) on each entry.","ctx, ExpenseEntryInput {projectId, head, amount, expenseDate, linkedEntityType/Id}","Expense rows, per-head totals, erp journal entry + lines","constructionExpenseEntries, projects, erpAccounts, erpJournalEntries, erpJournalEntryLines","app/api/construction/expenses, app/api/v1/projexa/expenses, construction-reports-service, lib/task-execution/construction-tools"
"C:\ct\ct\src\lib\services\construction-field-workflow-service.ts","SERVICE","createRfi, getRfi, listRfis, answerRfi, closeRfi, createSubmittal, getSubmittal, listSubmittals, reviewSubmittal, createPunchListItem, markPunchListItemReadyForReview, verifyPunchListItemClosed +2 more","Construction field workflows (RFI, submittal, punch list)","Per-project sequential numbering (count+1) and the status transitions for each of the three record types.","ctx, RfiInput / SubmittalInput / PunchListItemInput, record id","RFI, submittal and punch-list rows with numbers and statuses","constructionRfis, constructionSubmittals, constructionPunchListItems","app/api/v1/projexa/{rfis,submittals,punch-list}(+/[id])"
"C:\ct\ct\src\lib\services\construction-kpi-service.ts","SERVICE","listKpiDefinitions, createKpiDefinition, getKpiDefinition, listKpiEntries, submitKpiEntry, approveKpiEntry","Construction KPI definitions and entries","Per-project KPI definitions plus submitted/approved KPI entry values.","ctx, KpiDefinitionInput, entry value, definitionId","KPI definition and entry rows","constructionKpiDefinitions, constructionKpiEntries","app/api/construction/kpi-definitions, /kpi-entries(+/[id]/approve), app/api/v1/construction/kpi-*"
"C:\ct\ct\src\lib\services\construction-labour-service.ts","SERVICE","recordAttendance, recordAttendanceBatch, computeDailyCost, listAttendance, listRoster, listRosterTrades, getLabourLanding, createRosterEntry, updateRosterEntry, getRosterEntry, mergeTrades, formatEmployeeCode +2 more","Construction labour roster and daily attendance payroll","The site payroll figure. dailyCost = dailyRate x ATTENDANCE_COST_MULTIPLIER[status] (present 1, half_day 0.5, absent 0), rounded to 2dp and stored at write time; batch sheet upserts one row per worker per date (insert or update), returning created/updated counts and the day's totalCost; landing summary counts present/halfDay/absent and sums daily_cost for a date.","ctx.orgId, RosterInput {projectId,name,employeeCode,trade,skillLevel,vendorId,dailyRate}, AttendanceBatchInput {projectId, attendanceDate, rows[{rosterId,status,hoursWorked}]}","Roster rows with auto employee codes (W-0001), attendance rows carrying dailyCost, AttendanceBatchResult {savedCount,createdCount,updatedCount,totalCost,attendance}, AttendanceSummary","constructionLabourRoster, constructionAttendance, erpSuppliers, projects","app/api/construction/{attendance,labour-roster}, app/api/v1/construction/attendance(+/bulk), /v1/construction/labour-roster(+/[id])"
"C:\ct\ct\src\lib\services\construction-materials-service.ts","SERVICE","listMaterials, createMaterial, getMaterial, updateMaterial, createMaterialReceipt, voidMaterialReceipt, listMaterialReceipts, getMaterialReceipt, createMaterialIssue, listMaterialIssues, aggregateMaterialCostReport, getMaterialCostReport","Construction material master, receipts and issues","Material cost report grouped by material or vendor (qty, unitCost per receipt, totals), with MIXED/NO_VENDOR bucketing; on-hand limit enforcement on issues.","ctx, MaterialInput, MaterialReceiptInput, MaterialIssueInput, MaterialCostReportOptions {groupBy}","Material rows with quantities, receipt/issue rows, MaterialCostReport {rows, groups, totals}","constructionMaterials, constructionMaterialReceipts, constructionMaterialIssues, erpSuppliers, users","app/api/v1/construction/materials(+/receipts,/issues,/cost-report,/cost-report/export)"
"C:\ct\ct\src\lib\services\construction-prediction-service.ts","SERVICE","predictActivityCompletion","Construction schedule prediction","Deterministic predicted completion date for an activity from simple average daily velocity over its logged progress entries - no ML/LLM.","ctx.orgId, activityId","CompletionPrediction {predictedDate, velocity, confidence-ish fields}","constructionActivities, constructionWorkProgressEntries","app/api/construction/predictions/[activityId], app/api/v1/construction/predictions/[activityId]"
"C:\ct\ct\src\lib\services\construction-progress-service.ts","SERVICE","createProgressEntry, updateProgressEntry, deleteProgressEntry, listProgressEntries, getProgressEntry, computeLinkedIssueCompletion, rollUpLinkedIssueCompletion, lineProgressFraction, getActivityCompletionProvenance, setActivityCompletionManually, getDailyProgressReport, createActivity +8 more","Construction site work-progress logging and roll-up","Site progress capture and the completion % it drives. lineProgressFraction = qtyToDate/qty when both > 0 else latestPercentComplete/100; issue completion = weighted mean of linked BOQ lines' fractions x link weight / total weight, clamped 0-100 and rounded; enforces entryBasis DELTA|SNAPSHOT, percentComplete 0-100, no progress against a parent BOQ line, and BOQ_LINE_REQUIRED when the project has any BOQ.","ctx {orgId,userId}, {projectId, activityId, boqLineItemId, entryDate, quantityDone, percentComplete, entryBasis, remarks}, issueId","Progress entry rows, enriched entries, updated pmsIssues.completionPercentage with completionSource='site_records', ActivityCompletionProvenance (links, superseded/scope-removed flags)","constructionWorkProgressEntries, constructionActivities, constructionCategories, constructionBoqLineItems, constructionBoqs, pmsIssues, pmsIssueBoqLinks, projects, users","app/api/construction/progress/{route,daily,[id]}, /construction/activities, /construction/categories, app/api/v1/construction/progress"
"C:\ct\ct\src\lib\services\construction-reports-service.ts","SERVICE","workProgressReport, attendanceReport, attendanceSummary, computeEarnedValue, earnedValueReport, boqBudgetVarianceReport, summariseBudgetLines, computeBudgetVarianceLine, aggregateRevenueBudgetActual, computeCertifiedPayroll, buildReportTable, REPORT_REGISTRY +42 more","Construction reporting - the 23 named PROJEXA reports","Every report column in the product. Earned value (BCWP = delta-qty x rate, falling back to latest %complete x contracted value, root BOQ lines only); budget = amount x budgetPercentage/100; variance = budget - (vendor+material+manpower), positive = under budget; WH-347 certified payroll; attendance worker-days (present 1, half_day 0.5, absent 0); category subtotals + grand total.","ctx.orgId, projectId, optional date windows (dateFrom/dateTo, weekStart, periodStart/periodEnd), categoryFilter[], vendorId, groupBy scope|category","Per-report payload objects (rows/totals/byCategory/byDay/byTrade), plus a normalised ReportTable {columns,rows,totals,currency,note} via buildReportTable","constructionWorkProgressEntries, constructionBoqs, constructionBoqLineItems, constructionAttendance, constructionLabourRoster, constructionPrevailingWageRates, constructionExpenseEntries, erpBudgets +21 more","app/api/construction/reports/[reportName], app/api/v1/projexa/reports/[reportName](+/export), /v1/projexa/attendance/summary(+pdf), /v1/projexa/reports/portfolio/budget-vs-actual, construction-ai-service"
"C:\ct\ct\src\lib\services\construction-roster-import-service.ts","SERVICE","parseRosterSpreadsheet, mapRosterHeaders, mapRowsToRosterEntries, validateRosterRow, rosterImportSummary, ROSTER_FIELD_ALIASES","Construction labour roster bulk import","Header aliasing and per-row validation for a customer roster sheet (ID, Name, Company, Trade, Rate), returning importable rows plus a summary of rejected ones.","Uploaded xlsx/xls/csv buffer","RosterColumnMapping, RosterImportRow[], RosterRowIssue[], import summary","(none - pure parsing)","app/api/v1/projexa/labour-roster/import"
"C:\ct\ct\src\lib\services\construction-site-diary-service.ts","SERVICE","listSiteDiaries, getSiteDiary, createSiteDiary","Construction site diary","Daily site diary records per project (weather, manpower notes, events) - CRUD only, no derived figures.","ctx, SiteDiaryInput {projectId, diaryDate, ...}","Site diary rows","constructionSiteDiaries, projects","app/api/construction/site-diary, app/api/v1/construction/site-diary(+/[id])"
"C:\ct\ct\src\lib\services\construction-site-instruction-service.ts","SERVICE","createSiteInstruction, listSiteInstructions, getSiteInstruction","Construction site instructions","Site instruction records issued against a project - CRUD only.","ctx, SiteInstructionInput","Site instruction rows","constructionSiteInstructions, projects","app/api/v1/construction/site-instructions(+/[id])"
"C:\ct\ct\src\lib\services\construction-tender-service.ts","SERVICE","createTender, listTenders, getTender, updateTenderStage, recordEmdStatus, addTenderBoqItems, addPreBidMeeting, tenderPipelineByStage, tenderWinLossReport, tenderCostingReport, tenderRegisterReport, contractAwardReport +2 more","Construction tendering / bidding","Tender BOQ item amount = qty x rate; stage-transition validity; the 8 tender reports (register, pipeline by stage, win-loss, costing, BOQ submission, pre-bid meeting, EMD tracking, contract award).","TenderContext, TenderInput, TenderBoqItemInput, stage","Tender rows and per-report aggregates","constructionTenders, constructionTenderBoqItems, constructionTenderPreBidMeetings","lib/services/report-engine-service.ts"
"C:\ct\ct\src\lib\services\construction-valuation-service.ts","SERVICE","computeInterimBillLines, applyRetention, buildInterimBillInvoiceItems, generateInterimBill, listInterimBills, getInterimBill","Construction interim/RA billing and retention","cumulativeAmount = line amount x latest percentComplete/100; currentBillAmount = max(0, cumulative - previously billed on that line); retentionAmount = gross x retentionPercent/100 and netPayable = gross - retention; emits a real erp_sales_invoices row.","ctx, GenerateInterimBillInput {projectId, boqId, retentionPercent, taxTemplateId}","InterimBillLine[], interim bill header + line rows, linked sales invoice","constructionBoqs, constructionBoqLineItems, constructionInterimBills, constructionInterimBillLineItems, erpTaxTemplates, users","app/api/construction/interim-bills(+/[id]), construction-billing-workflow-service"
"C:\ct\ct\src\lib\services\contact-service.ts","SERVICE","saveContactDraft, submitContactSubmission, confirmContactEmail, ContactSubmitError","Public contact form","Draft save, submission and email confirmation for the public contact form.","ContactDraftPayload, submission payload, confirmation token","Contact submission rows","contactSubmissions","app/api/contact/{draft,submit,confirm}"
"C:\ct\ct\src\lib\services\context.ts","SERVICE","ServiceActor, ServiceContext, ReadContext (types only)","Shared service context types","Type-only module defining the dual session/API-key actor shape used by compliance/tasks/notices services. No runtime logic.","(none)","(none - type declarations)","(none)","lib/services/compliance-service, lib/monitors/{board-meeting-hold,meeting-intelligence-generation,rule-engine,task-completion,workflow-completion}-monitor"
"C:\ct\ct\src\lib\services\cost-anomaly-service.ts","SERVICE","detectCostAnomalies, classifyAnomaly, CostAnomalyGroupType","AI spend anomaly detection (FinOps)","Deliberately ratio-based, not statistical: compares the last recentWindowDays of real spend against the average daily spend of the preceding baselineWindowDays, per org and separately per AI-Team role, and classifies the deviation.","ClassifyAnomalyInput {recent, baseline}, ClassifyAnomalyOptions {recentWindowDays, baselineWindowDays, thresholds}","CostAnomaly[], CostAnomalyReport","tokenUsageLedger","app/api/internal/cost-anomalies/run"
"C:\ct\ct\src\lib\services\cost-quality-service.ts","SERVICE","getCostPerQualityRuns, aggregateCostPerQuality, getCostPerQualityPoints","Cost-per-quality-point per model/role","Joins token_usage_ledger spend with role_quality_runs pass rates to produce a cost-per-quality-point figure per (role, model) for routing decisions - the first place cost and quality are joined for the same model.","Time window, role/model filter","RoleCostQualityEntry[], CostPerQualityRun[], plotted points","roleQualityRuns, tokenUsageLedger","app/api/ai/team/cost-quality"
"C:\ct\ct\src\lib\services\cost-reconciliation-service.ts","SERVICE","recordReconciliation, getReconciliationDriftSummary, listReconciliations, estimateLedgerTotalForMonth, computeVariance, averageAbsPct, parsePeriodMonth","AI cost reconciliation vs provider invoices","Ledger total for a period month, variance between ledger estimate and the provider's invoiced amount, and the average absolute drift percentage across recorded reconciliations.","RecordReconciliationInput {periodMonth, provider, invoicedAmount}","Reconciliation rows, variance figures, ReconciliationDriftSummary","aiCostReconciliations, tokenUsageLedger","app/api/finance/ai-cost-reconciliation"
"C:\ct\ct\src\lib\services\crm-accounts-service.ts","SERVICE","listAccountsPaged, createAccount, updateAccount, deleteAccount, convertLeadToAccount, getAccountOverview, analyzeAccountHealth, findDuplicateAccountMatches, wouldCreateCycle, bulkReassignAccounts, mapAccountImportRows, importAccountsFromRows +18 more","CRM accounts and contacts","Account hierarchy cycle detection, domain-based duplicate matching, contact format validation (reusing data-quality-engine email/phone validators), shipping-address resolution up the parent chain, and account health analysis.","CrmAccountContext, CreateAccountInput, CreateContactInput, AccountImportRow[]","Account/contact rows, PagedResult, AccessGateResult, duplicate matches, AccountImportResult","crmAccounts, crmContacts, crmLeads, crmOpportunities, notifications, users","app/api/crm/accounts(+/[id],/[id]/contacts,/[id]/analyze,/bulk-reassign,/export,/import)"
"C:\ct\ct\src\lib\services\crm-activities-service.ts","SERVICE","createActivity, listActivitiesForEntity, getActivity, updateActivity, completeActivity, deleteActivity","CRM activity log","Activities (calls, meetings, tasks) attached to a lead/opportunity/account/contact - CRUD plus completion.","CrmActivityContext, CreateActivityInput, entityType+entityId","Activity rows","crmActivities","app/api/crm/activities(+/[id]), lib/engine-handlers/crm-engine-dispatch"
"C:\ct\ct\src\lib\services\crm-campaigns-service.ts","SERVICE","createCampaign, listCampaigns, getCampaign, updateCampaign, deleteCampaign","CRM campaigns","Campaign record CRUD - no derived metrics computed here.","CrmCampaignContext, CreateCampaignInput","Campaign rows","crmCampaigns","app/api/crm/campaigns(+/[id]), lib/engine-handlers/crm-engine-dispatch"
"C:\ct\ct\src\lib\services\crm-enablement-service.ts","SERVICE","isSalesEnabledForOrg, isSalesEnabledForOrgWithDb, requireSalesEnabled, getSalesEnablement, enableSalesForOrg, disableSalesForOrg","Sales/CRM module entitlement gate","Whether the org has the 'sales' product branch enabled; gates every CRM service call.","SalesContext {orgId}","boolean / throws, enablement record","(product-branch enablement)","app/api/crm/enablement, app/api/me, lib/purpose-bound-ai, crm-accounts-service, crm-activities-service, crm-campaigns-service"
"C:\ct\ct\src\lib\services\crm-service.ts","SERVICE","listLeadsPaged, createLead, updateLead, convertLeadToClient, listOpportunitiesPaged, createOpportunity, updateOpportunity, computeRoundRobinAssignment, autoDistributeLeads, getSalesPipelineOverview, scoreLead, aggregateLeadSourceEffectiveness +40 more","CRM lead-to-client pipeline","Round-robin assignment order, auto-distribution of unassigned leads/opportunities, pipeline stage validity and stage history, stuck-opportunity detection, lead scoring, opportunity analysis and lead-source effectiveness aggregation.","CrmContext, lead/opportunity payloads (zod-validated), assignment options, pipeline stage definitions","Lead/opportunity rows, PagedResult, AssignmentOverview, pipeline overview, StuckOpportunity[], AI summaries","crmLeads, crmOpportunities, crmStageHistory, crmPipelineStages, crmLostReasons, crmSalesTargets, crmActivities, clients, erpCustomers, erpCompanies, tasks, users, notifications","app/api/crm/leads(+/[id]/convert,/bulk-reassign,/export,/import), /crm/opportunities, /crm/lead-source-effectiveness"
"C:\ct\ct\src\lib\services\custom-chart-service.ts","SERVICE","listCustomCharts, createCustomChart, updateCustomChart, deleteCustomChart, runCustomChart, validateCustomChartInput, CHART_TYPES","Ad-hoc chart builder","Validates a chart config (type, table, aggregation count/sum/avg, group-by) against the shared TABLE_REGISTRY and runs it through report-engine-service's runAggregationFromConfig - no second query engine.","CreateCustomChartInput {chartType, table, aggregation, groupBy}","Chart rows, chart result series","customCharts (+ TABLE_REGISTRY tables via report-engine-service)","app/api/custom-charts(+/[id],/[id]/run)"
"C:\ct\ct\src\lib\services\custom-report-service.ts","SERVICE","listSavedReports, createSavedReport, updateSavedReport, deleteSavedReport, runReport, isValidSourceEntity, isValidGroupByField, AI_GENERATED_SOURCE_ENTITY","Self-serve saved reports","Executes a WHITELISTED grouped-count query per sourceEntity and groupByField - never raw SQL. The whitelist is the explicit multi-tenant security boundary.","ReportContext, saved report definition {sourceEntity, groupByField, filters}","Saved report rows, grouped count result set","savedReports, complianceItems, notices, risks, pmsIssues, incidents, constructionBoqs, constructionWorkProgressEntries, constructionAttendance","app/api/reports/saved(+/[id],/[id]/run), lib/services/metric-alert-service"
"C:\ct\ct\src\lib\services\d1-metrics-tracker-service.ts","SERVICE","generateD1MetricsReport, computeExecutionOutcome, outcomeFromStatusCounts, computeTargetGap, computeDeadlineProximity, floorTierRoleKeys, D1_MISSION_TARGET_RATE, D1_MISSION_DEADLINE_ISO, FLOOR_TIER_MODEL_IDS","AGCIF mission metrics (D1)","Real execution success rate for floor-tier models against the mission's 99.9%-by-2026-08-31 target: outcome from status counts, gap to target, and days-to-deadline proximity, plus covered vs not-covered named metrics.","activity_log / orchestra execution status counts, loop improvements","D1MetricsReport {floorTierTargets, targetGap, deadlineProximity, covered/notCovered metrics}","activityLog, orchestraExecutions, loopImprovements","app/api/ai/team/d1-metrics"
"C:\ct\ct\src\lib\services\delegation-service.ts","SERVICE","createDelegation, revokeDelegation, listMyDelegations, isDelegated, isDelegatedByAuthorizedDelegator, resolveDelegatedAuthority, resolveDelegatedAuthorityFromAuthorizedDelegator, isDelegationActive, delegationGrantsUser, validateDelegationInput, DELEGATION_SCOPE_TYPES","Scoped authority delegation","Whether a delegation is currently active (time window + not revoked) and whether it grants a given user authority over a given scope, so another module can treat a delegate's action as the delegator's.","CreateDelegationInput {scopeType, scopeId, delegateUserId/roleId, validFrom/To}, actor + scope to check","Delegation rows, RevokeDelegationResult, boolean authority decision","scopedDelegations","app/api/delegations(+/[id]), lib/services/approval-workflow-service, lib/services/erp-payment-entries-service"
"C:\ct\ct\src\lib\services\deployment-slo-service.ts","SERVICE","computeSloFromEvents, getDeploymentSlo, getSentryIssueSummary, DEPLOYMENT_SLO_TARGET_SUCCESS_RATE_PCT, DEFAULT_SLO_WINDOW_DAYS","Deployment reliability SLO","Deployment success rate over a rolling window from real Vercel webhook events, compared against the target percentage; optional Sentry issue-count overlay (safe no-op without credentials).","DeploymentEventLite[], window days","DeploymentSloResult {successRatePct, target, met, counts}, SentryIssueSummary","deploymentEvents","app/api/deployment-slo"
