"Rule_Id","Module","Rule_Statement","Enforced_In_File_Path","Enforcement_Layer","Failure_Behaviour","Evidence_Quote"
"BL-BOQ-11","Scope / BOQ","The ""Current"" revision of a BOQ lineage is the latest APPROVED revision; when none is approved it is the latest revision of any status.","src/lib/boq-lineage.ts","CLIENT","One row per lineage is flagged isCurrent; an empty lineage returns null.","""The latest approved revision of one lineage; the latest of any status when none is approved."""
"BL-BOQ-12","Scope / BOQ","BOQ revisions are shown grouped by lineage: root first, revisions indented beneath in ascending version order; lineages ordered by root createdAt newest first.","src/lib/boq-lineage.ts","CLIENT","A row whose ancestor is missing terminates the walk at the last held row rather than being dropped from the list.","""a row is never dropped from the list because its ancestor is missing"""
"BL-BOQ-13","Scope / BOQ","BOQ status vocabulary is draft / submitted / approved / superseded.","src/lib/boq-helpers.ts","CLIENT","An unknown status has no variant mapping.","""draft: \""secondary\"", submitted: \""default\"", approved: \""outline\"", superseded: \""destructive\"""""
"BL-BOQ-14","Scope / BOQ","Category on a BOQ line is optional. A line without one reads ""Uncategorized"" in the Work Progress Report and shows a ""no category"" chip; it never blocks Save. Categories come from the org-editable category table, not a hardcoded list.","src/lib/boq-helpers.ts","CLIENT","No error; the line saves without a category.","""a line without one reads as \""Uncategorized\"" in the WPR's category-wise view and shows a \""no category\"" chip rather than blocking Save."""
"BL-BOQ-15","Scope / BOQ","Progress may not be recorded against a parent BOQ line. Parent lines stay VISIBLE in the picker but are disabled with the reason ""parent - pick a child"".","src/lib/boq-line-options.ts","CLIENT","Option rendered disabled with the reason; it cannot be selected.","""export const PARENT_LINE_REASON = \""parent - pick a child\"";"""
"BL-BOQ-16","Scope / BOQ","A BOQ create is only reported as success when the response carries a real saved id AND at least as many line items as were submitted; anything less is refused as ""nothing has been saved"".","src/app/api/scope/route.ts","SERVER","502 with a message naming how many line items were submitted versus saved; the create dialog shows it instead of a success toast.","""BOQ was not saved correctly: ${requestedLineItems} line item(s) were submitted but only ${savedLineItems} came back saved."""
"BL-BOQ-17","Scope / BOQ","The /api/scope list only forwards recognised `include` values (variation, compare), rebuilt from a closed set rather than passed through.","src/app/api/scope/route.ts","SERVER","Unrecognised values are silently dropped from the upstream URL.","""Only RECOGNISED values are forwarded, rebuilt from a closed set rather than passed through, so this proxy can never put an arbitrary string into the upstream URL."""
"BL-BUD-01","Budget","A line's Budget = line amount x budgetPercentage / 100. The budgetPercentage column defaults to 25, so an untouched line reads 25%.","src/lib/budget-lines.ts","BOTH","Recomputed client-side after an inline edit from the server's returned value.","""/** amount x budgetPercentage / 100, rounded once by the backend. */ budget: number;"""
"BL-BUD-02","Budget","Budget percent must be a number between 0 and 100.","src/lib/budget-lines.ts","BOTH","Field message before save (""Budget percent must be between 0 and 100""); the backend refuses out-of-range with a 400.","""The backend refuses anything outside 0-100 with a 400; saying so at the field is the difference between a correction and a failed save."""
"BL-BUD-03","Budget","A vendor amount must be a number and cannot be negative. An empty value clears the quote (null), which is legitimate.","src/lib/budget-lines.ts","CLIENT","Inline field error ""Vendor amount cannot be negative""; empty passes and clears.","""if (value < 0) return \""Vendor amount cannot be negative\"";"""
"BL-BUD-04","Budget","A line's Actual (a.k.a. Committed) cost = vendorAmount + materialAmount + manpowerAmount. It is null, never 0, while none of the three has been entered.","src/lib/budget-lines.ts","CLIENT","Renders an en dash rather than a zero, so ""nothing costed"" stays distinguishable from ""costed at zero"".","""null (not 0) when none of the three has been entered -- \""nothing has been costed yet\"" is a real state and must stay distinguishable from \""costed at zero\""."""
"BL-BUD-05","Budget","Variance = Budget minus Actual. A NEGATIVE variance means the line has spent more than its budget (over). Variance is null while nothing has been costed.","src/lib/budget-lines.ts","CLIENT","Over-budget lines counted via variance < 0; a null variance is excluded from the count and from the chart.","""Budget MINUS Actual, so a NEGATIVE number means the line has spent more than it was given and the cell reads \""over\""."""
"BL-BUD-06","Budget","Only ROOT lines (parentLineItemId null) contribute to any category subtotal or the Grand Total; weighted children are listed for the QS but never counted.","src/lib/budget-lines.ts","CLIENT","Child rows are skipped in the subtotal loop.","""if (line.parentLineItemId) continue; // a weighted child is a share of its parent, never money of its own"""
"BL-BUD-07","Budget","Subtotal rounding happens ONCE, at the end of each subtotal, over raw values, so the Grand Total reconciles exactly to a raw SQL sum.","src/lib/budget-lines.ts","CLIENT","No error; prevents fractional drift against the backend report.","""Rounding happens ONCE, at the end of each subtotal, over raw values -- the same single-rounding rule compliance-tracker's own boqBudgetVarianceReport uses"""
"BL-BUD-08","Budget","A line with no category is grouped under ""Uncategorized"", which is always ordered LAST; a blank cell is never shown for a category.","src/lib/budget-lines.ts","CLIENT","Sort forces the label to the end of the group order.","""Uncategorized last: it is a gap to close, not a category of work, and a reader scanning trades should not hit it in the middle of the list."""
"BL-BUD-09","Budget","The Budget screen's Grand Total must tie to the BOQ's own total to within 0.01; a larger difference is a real disagreement and raises a banner.","src/lib/budget-lines.ts","CLIENT","grandTotalTies returns false, which the screen surfaces as a banner.","""return Math.abs(grandTotalAmount - boqTotalValue) < 0.01;"""
"BL-BUD-10","Budget","After an inline budget edit, the row is refreshed from the SERVER's response value, never from the string the user typed, and both Budget and Actual are recomputed.","src/lib/budget-lines.ts","CLIENT","A rejected or coerced value can never be left on screen as if it had saved.","""The value comes from the SERVER's response, never from the typed string, so a rejected or coerced value can never be left on screen as if it had saved."""
"BL-BUD-11","Budget","The Vendor filter offers only vendors actually named on a line of THIS BOQ, in first-appearance order.","src/lib/budget-lines.ts","CLIENT","No error; a vendor not on the BOQ simply cannot be chosen.","""Offering the org's whole supplier list would let a QS pick a vendor that empties the table."""
"BL-BUD-12","Budget","Budget totals SKIP nulls rather than counting them as zero: an unquoted line must not drag the vendor total down.","src/lib/budget-lines.ts","CLIENT","Total returns null when every contributing value is null.","""Nulls are SKIPPED, not counted as zero -- an unquoted line must not drag the vendor total down"""
"BL-BUD-13","Budget / Reports","Export is DISABLED when the rows on screen do not sum to the total printed under them (tolerance one currency unit, 0.01).","src/lib/budget-variance-report.ts","CLIENT","Export blocked with the sentence ""Totals do not tie: the lines add up to X but the total says Y"".","""the rows on screen must sum to the total printed under them, or Export is disabled WITH this sentence as its reason. A wrong file outlives a wrong screen."""
"BL-BUD-14","Budget / Reports","Browser-built CSV exports prefix any value starting with = + - or @ with an apostrophe (formula-injection guard), because BOQ descriptions, categories and vendor names are user-typed free text.","src/lib/budget-variance-report.ts","CLIENT","Value is escaped; no error shown.","""if (/^[=+\\-@]/.test(s)) s = `'${s}`;"""
"BL-BUD-15","Budget / Reports","In the variance chart, a row with nothing costed yet (variance null) is LEFT OUT rather than drawn at zero, and bars are sorted worst-first (ascending on budget-remaining).","src/lib/budget-variance-report.ts","CLIENT","Row omitted from the chart.","""A row with nothing costed yet carries variance null and is LEFT OUT rather than drawn at zero -- a bar at the origin reads as \""on budget\"", which is a claim nobody made."""
"BL-WP-01","Work Progress","A daily progress entry requires Activity, Date, Quantity done, % complete and Entry basis; a BOQ line is ALSO required when the project has at least one BOQ, and is not required when it has none.","src/lib/work-progress-form-fields.ts","BOTH","Log Entry button disabled and names the missing field; the server independently raises BOQ_LINE_REQUIRED.","""the project has at least one BOQ -> a BOQ line is required / the project has no BOQ -> there is nothing to link to"""
"BL-WP-02","Work Progress","Business-rule refusals from the construction data service are returned as CODES plus the missing field, never as backend prose; the user-facing sentence is chosen from a closed client-side vocabulary.","src/app/api/work-progress/route.ts","SERVER","Response body is {code, missing} at the upstream status; the browser renders the mapped sentence.","""if (err instanceof VeridianApiError && err.ruleCode) { return NextResponse.json({ code: err.ruleCode, missing: err.missing ?? [] }, { status: err.status }); }"""
"BL-WP-03","Work Progress","Progress goes on a CHILD BOQ line, never a parent line.","src/lib/task-errors.ts","BOTH","Server returns BOQ_LINE_IS_PARENT; the screen shows ""<code> is a parent line -- pick one of its child lines"" with a Pick line action.","""return code ? `${code} is a parent line -- pick one of its child lines` : \""Progress goes on a child line, not the parent\"";"""
"BL-WP-04","Work Progress","A percent-complete value must be between 0 and 100.","src/lib/task-errors.ts","BOTH","Server returns VALUE_OUT_OF_RANGE; the screen shows ""Type a number between 0 and 100"" with a Type value action.","""VALUE_OUT_OF_RANGE: { message: () => \""Type a number between 0 and 100\"", ...pick(\""Type value\"", \""value\"", \""value\"") },"""
"BL-WP-05","Work Progress","A BOQ line referenced by an entry must exist on that project's BOQ (and named version); otherwise the entry is refused.","src/lib/task-errors.ts","SERVER","BOQ_LINE_NOT_FOUND, rendered as ""There is no line <code> on <project/version> -- pick a line"".","""if (code && where) return `There is no line ${code} on ${where} -- pick a line`;"""
"BL-WP-06","Work Progress","Recording is refused when the user's role does not permit it; classification/preview never authorizes execution.","src/lib/task-errors.ts","SERVER","NOT_PERMITTED, rendered as ""Your role does not allow that"".","""NOT_PERMITTED: { message: () => \""Your role does not allow that\"", ...openRoute(\""Open Home\"", \""/dashboard\"") },"""
"BL-WP-07","Work Progress","A SNAPSHOT-basis entry REPLACES rather than adds: the latest cumulative reading up to the report end date is authoritative, and qty/amt are derived from that percentage rather than from the row's own quantityDone.","src/lib/work-progress-report.ts","SERVER","No error; the report's qty, amt and percentage stay mutually consistent by construction.","""a SNAPSHOT entry (30% then 60%, both rows kept in history ... ) reports whatever the LATEST reading says, replacing rather than adding"""
"BL-WP-08","Work Progress","A BOQ line that HAS children has its own directly-recorded progress REPLACED by a weighted roll-up of its children (cum qty = SUM(child cum qty x child breakdown% / 100)); the weighting is applied exactly once. A parent with no children is unchanged.","src/lib/work-progress-report.ts","SERVER","No error. KNOWN LIMITATION: only one level of nesting rolls up correctly.","""cum qty = SUM(child cum qty * child breakdownPercentage / 100)"""
"BL-WP-09","Work Progress","Progress entries inside the report window that no BOQ line can claim are NOT counted in the report, and the count of them is stated above the table.","src/lib/work-progress-report.ts","SERVER","Note shown: ""N entries not linked to a BOQ line are not counted""; null (silent) when the count is zero.","""if (count === 1) return \""1 entry not linked to a BOQ line is not counted\"";"""
"BL-WP-10","Work Progress","Percentage cells are for PARENT rows only; a hierarchical child's percentage cell always renders blank, never a number. A parent always renders a real number, 0% included.","src/lib/work-progress-report.ts","CLIENT","Blank cell for children; ""0%"" for an untouched parent.","""a parent line always renders a real number (0% included); only a child's cell is ever blank."""
"BL-WP-11","Work Progress","A never-touched bucket renders blank; a real computed zero renders ""-"". The two are different facts and must not look alike.","src/lib/work-progress-report.ts","CLIENT","No error; purely a rendering rule shared by the tab, the PDF and the public share page.","""if (!touched) return \""\""; if (value === 0) return \""-\""; return value;"""
"BL-WP-12","Work Progress","The report's Grand Total sums ROOT (non-child) lines' contract amounts only, the same ""parent BOQ lines only"" rule the PDF and share page use.","src/lib/work-progress-report.ts","SERVER","No error; prevents double counting.","""Grand Total sums root (non-child) lines' own amtTotal only"""
"BL-WP-13","Work Progress","Balance = the line's own BOQ total minus (previous + current) progress. Both Total and Balance are shown; the user chooses.","src/lib/work-progress-report.ts","SERVER","Derived, nothing new is persisted.","""balance = original (this line's own BoQ total) - total (previous + current). Both are legitimate readings of the same three stored numbers -- nothing new is persisted."""
"BL-WP-14","Work Progress","A row's Category is resolved in strict order: the line's own category, then its parent's category, then its activity's category, then the parent's item code, and only then ""Uncategorized"".","src/lib/work-progress-report.ts","SERVER","No error; ""Uncategorized"" only for a root line with no category and no activity.","""realCategory(line.category) ?? realCategory(parentLine?.category) ?? realCategory(activityCategoryName) ?? realCategory(parentLine?.itemCode) ?? UNCATEGORIZED_LABEL"""
"BL-WP-15","Work Progress","Deleting a progress entry must state its blast radius before the click: quantity, unit, date, the target line, and the running total before and after. Percentages are omitted (not shown as 0%) when the line has no contracted amount.","src/lib/work-progress-report.ts","CLIENT","Confirmation sentence; without a denominator it ends at ""This cannot be undone."" rather than printing ""0% to 0%"".","""the running total drops from ${impact.percentBefore}% to ${impact.percentAfter}%."""
"BL-WP-16","Work Progress","The report's category filter is case-insensitive, and an empty or all-blank filter means EVERY category, never none.","src/lib/work-progress-report.ts","SERVER","Applied server-side before the rollup so subtotals and Grand Total describe the filtered set.","""An empty or all-blank filter means every category, never none: returning an empty report there would look exactly like \""this project has no BOQ\"""""
"BL-WP-17","Work Progress","The Work Progress Report runs on arrival with from/to/view/boqVersion taken from the URL; anything absent or unusable falls back to first-of-current-month through today rather than blocking the run.","src/lib/work-progress-report-params.ts","CLIENT","Bad bookmark still shows the current month.","""Anything absent or unusable falls back to the default rather than blocking the run"""
"BL-WP-18","Work Progress","The report views are limited to scope, category, manpower and vendor; an unrecognised view falls back to ""scope"".","src/lib/work-progress-report-params.ts","CLIENT","Silent fallback.","""export const WPR_VIEWS = [\""scope\"", \""category\"", \""manpower\"", \""vendor\""] as const;"""
"BL-WP-19","Work Progress","boqVersion in the report URL must be a positive integer; otherwise the server picks the latest live BOQ version.","src/lib/work-progress-report-params.ts","CLIENT","Silent fallback to null.","""return Number.isInteger(n) && n > 0 ? n : null;"""
"BL-WP-20","Work Progress","Logged % (site-recorded average per activity) and Earned % (BOQ value delivered) are DIFFERENT measures. The explanatory note is shown only in the one fixable disagreement: logged progress exists but every category has earned 0%.","src/lib/work-progress-analytics.ts","CLIENT","Note rendered under the tags; suppressed while the report has not answered.","""Logged progress is not yet linked to BOQ lines, so earned value is 0% - link entries to BOQ lines when recording progress."""
"BL-WP-21","Work Progress","The report's default date window comes from the DATA (earliest entry through today), not from today's month alone.","src/lib/work-progress-analytics.ts","CLIENT","A project whose entries are all older still reports on a window that shows them.","""Defaults come from the DATA, not from today's date: the earliest entry the project has, through today."""
"BL-WP-22","Work Progress","Every Work Progress export is named <project>-work-progress-<from>-<to>.<ext>, ASCII-slugged, matching the server's own Content-Disposition rule.","src/lib/work-progress-report.ts","BOTH","Server header wins for PDF/XLSX; the browser-built CSV uses the identical rule.","""return `${slug || \""project\""}-work-progress-${from}-${to}.${extension}`;"""
"BL-WP-23","Work Progress","Correcting or deleting one progress entry runs exactly the same validation as recording it, and the backend's rule message is passed through verbatim.","src/app/api/work-progress/[id]/route.ts","SERVER","Upstream status and message returned; an unparseable body is a 400 ""A JSON body is required"".","""it runs exactly the same validation the create path runs. The backend's message is passed through verbatim rather than replaced with a generic one"""
"BL-ATT-01","Manpower / Attendance","The daily attendance draft stores the EXCEPTIONS (who is absent / half day), not who is present, so a worker added to the roster after the sheet opened defaults to present.","src/lib/attendance-draft.ts","CLIENT","No error; the state survives a reload of the roster it describes.","""Storing \""who is NOT present\"" means a new name is present by default, which is the truth on most days"""
"BL-ATT-02","Manpower / Attendance","Marking a worker absent clears any half-day mark on them, and a half day can never be applied to somebody marked absent.","src/lib/attendance-draft.ts","CLIENT","toggleHalfDay returns the draft unchanged for an absent worker.","""a half day for someone who was not there is not a state the payroll should ever be handed."""
"BL-ATT-03","Manpower / Attendance","Attendance cost multipliers are: present = 1, half day = 0.5, absent = 0. Row cost = daily rate x multiplier, rounded to 2dp. The SERVER recomputes every cost from the roster's own dailyRate on save and is authoritative.","src/lib/attendance-sheet.ts","BOTH","The saved total is taken from the server's response, not from the client figure.","""const COST_MULTIPLIER: Record<AttendanceStatus, number> = { present: 1, half_day: 0.5, absent: 0 };"""
"BL-ATT-04","Manpower / Attendance","An UNMARKED row is not the same as Absent: it contributes to no subtotal, no count and no cost, and renders as an em dash.","src/lib/attendance-sheet.ts","CLIENT","Row skipped in summariseByTrade; rowCost returns null.","""computed over MARKED rows only -- an unmarked worker contributes to nothing, which is the whole reason unmarked and Absent must look different on screen."""
"BL-ATT-05","Manpower / Attendance","Headcount ""on site"" = present + half day. An absence is not a body on site.","src/lib/attendance-summary.ts","CLIENT","A window with nobody says so in words rather than showing a bare 0.","""Bodies on site means present plus half day; an absence is not a body."""
"BL-ATT-06","Manpower / Attendance","A worker with no trade recorded is grouped under ""Unspecified"", sorted last, and is never dropped or shown under a blank heading.","src/lib/attendance-sheet.ts","CLIENT","Group always present when such rows exist.","""export const UNSPECIFIED_TRADE = \""Unspecified\"";"""
"BL-ATT-07","Manpower / Attendance","Saving attendance a second time for the same date REPLACES what is saved; the confirmation must name the number of rows overwritten before the user agrees.","src/lib/attendance-draft.ts","CLIENT","Warning sentence: ""Attendance for <day> is already saved -- replace it? This overwrites what is saved and writes N rows.""","""a replace deletes rows that are already someone's payroll input, and the number of them is the fact that decides whether the answer is yes."""
"BL-ATT-08","Manpower / Attendance","Attendance for a given worker on a given date cannot be recorded twice through the composer path.","src/lib/task-errors.ts","SERVER","ALREADY_RECORDED, rendered as ""Attendance is already recorded for that worker on that date"".","""if (fn === \""record_attendance\"") return \""Attendance is already recorded for that worker on that date\"";"""
"BL-ATT-09","Manpower / Attendance","Export of the attendance summary is BLOCKED when the per-trade rows do not add up to the window totals.","src/lib/attendance-summary.ts","CLIENT","Banner shown and Export disabled with reason ""Rows do not sum to the totals"".","""The per-trade rows do not add up to the totals for this window. Export is disabled until this is resolved."""
"BL-ATT-10","Manpower / Attendance","""This week"" on the attendance panel runs Monday to Sunday (ISO), anchored on the chosen date; ""This month"" is the calendar month of that date.","src/lib/attendance-summary.ts","CLIENT","No error; matches the weekly project report's own week.","""\""This week\"" runs Monday to Sunday. That is a choice, not a universal: it matches the ISO week this codebase already uses for weeklyProjectReport's weekStart"""
"BL-ATT-11","Manpower / Attendance","The attendance read is dated: one day by default (the reader's LOCAL calendar day), or a 7-day inclusive window ending on that day when ""Show earlier days"" is used. Never the project's whole undated log.","src/lib/attendance-query.ts","CLIENT","Query built as ?date= or ?from=&?to=.","""export const EARLIER_DAYS = 7;"""
"BL-ATT-12","Manpower / Attendance","""Today"" for attendance is the reader's local calendar day, not UTC, because attendance_date is a plain date column with no timezone.","src/lib/attendance-query.ts","CLIENT","Prevents a foreman in UTC+4 being shown yesterday's rows before 04:00.","""at 01:00 in Dubai (UTC+4) that returns YESTERDAY, so a foreman marking the morning's attendance would be shown the previous day's rows"""
"BL-ATT-13","Manpower / Attendance","The whole roster for one date is saved in ONE call inside a single upstream transaction, and answers 200 rather than 201 because re-saving corrects rows that already exist.","src/app/api/attendance/bulk/route.ts","SERVER","On failure the upstream status and message are returned; nothing partial is written.","""200, not 201: re-saving a sheet corrects rows that already exist, so this is not always a creation."""
"BL-ATT-14","Manpower / Attendance","Attendance save failures speak a fixed vocabulary by status and always state whether anything was saved: 400 check the marked rows, 403 no permission, 404 worker no longer on the roster, 409 sheet changed while marking.","src/lib/attendance-sheet.ts","CLIENT","Sentence + Retry; raw backend strings (which carry row ids) are never printed.","""if (status === 409) return \""This sheet changed while you were marking it -- reload the sheet. Nothing was saved.\"";"""
"BL-SCH-01","Schedule / Programme","A new activity requires a Title and a Start date.","src/lib/schedule-activity.ts","CLIENT","Save disabled: a count while more than one is missing, the field NAME once only one is left.","""export function missingActivityFields(draft: ActivityDraft): string[]"""
"BL-SCH-02","Schedule / Programme","An activity's Due date must be on or after its Start date.","src/lib/schedule-activity.ts","CLIENT","Blur message ""Due date is before the start date -- pick a later date""; no message while either date is empty.","""export const DUE_BEFORE_START_MESSAGE = \""Due date is before the start date -- pick a later date\"";"""
"BL-SCH-03","Schedule / Programme","Activity duration is the literal difference due minus start (NOT difference + 1). An activity that starts and finishes on the same day has duration 0, and that zero-length window IS what a milestone means.","src/lib/schedule-progress.ts","CLIENT","Unset dates render the en dash rather than a number.","""Deliberately the literal difference, not difference+1 -- an activity that starts and finishes on the same day has a duration of 0 days here, which is what a milestone is"""
"BL-SCH-04","Schedule / Programme","Typing a duration moves the finish date and typing a finish date moves the duration. A negative or non-numeric duration derives nothing and the field is left alone rather than cleared.","src/lib/schedule-activity.ts","CLIENT","Returns null; the user's typed date is not overwritten.","""if (!Number.isFinite(days) || days < 0) return null;"""
"BL-SCH-05","Schedule / Programme","Slip = actual due date minus BASELINE planned due date; positive means late. Null (en dash) when the activity has no baseline snapshot or either date is missing -- never 0.","src/lib/schedule-progress.ts","CLIENT","Renders ""+3 d late"" / ""2 d early"" / ""0 d on time"" / en dash, always with the word, never colour or glyph alone.","""Null when this activity has no baseline snapshot, or either side has no due date -- which is a different fact from \""on time\"" and must not collapse into 0."""
"BL-SCH-06","Schedule / Programme","Planned % complete = clamp((today - planned start) / (planned due - planned start)) as a percentage. A zero-length or inverted window is either wholly due or wholly not, never a division.","src/lib/schedule-progress.ts","CLIENT","Returns null when any date is missing or unparseable.","""if (due <= start) return now >= due ? 100 : 0;"""
"BL-SCH-07","Schedule / Programme","Slippage in days = ((planned% - actual%) / 100) x duration, priced in that activity's own calendar. Any missing input yields null (""we cannot say""), never 0.","src/lib/schedule-progress.ts","CLIENT","Renders the en dash; a rose glyph is used only for ""behind"", and always with the word.","""Every input that is missing yields `null` -- \""we cannot say\"" -- and never 0, which would read as \""on track\""."""
"BL-SCH-08","Schedule / Programme","The programme tile reports the WORST single activity's slip, not an average.","src/lib/schedule-progress.ts","CLIENT","""Schedule: N tasks behind, worst M days"", or a sentence saying no activity has both dates yet.","""worstSlipDays is the WORST activity, not an average: an average slip is a number no site meeting has ever asked for"""
"BL-SCH-09","Schedule / Programme","The New Task Type control is only openable when its options have loaded; a loading control shows NO text in the value slot. An empty or failed type list does NOT block Save, because the server applies the org's default type.","src/lib/schedule-type-state.ts","BOTH","Control disabled with a stated hint; Save still permitted.","""Task types come from VERIDIAN. Saving now uses your organisation's default type."""
"BL-SCH-10","Schedule / Programme","Manually overriding an activity's completion percentage REQUIRES a note, enforced server-side, and goes through its own endpoint separate from the ordinary task PATCH.","src/app/api/schedule/tasks/[id]/completion/route.ts","SERVER","Upstream refusal surfaced verbatim: ""A note is required when you set the percentage manually"".","""the override REQUIRES a note, enforced server-side, and collapsing them here would put the one endpoint that enforces that rule behind one that does not."""
"BL-CUR-01","Currency","Never render a currency token that cannot be sourced. Order: the org's base-currency row, then NEXT_PUBLIC_DEFAULT_CURRENCY_CODE, then the bare number with no currency token at all.","src/lib/currency.ts","CLIENT","An unlabelled amount rather than a confidently wrong symbol.","""An unlabelled \""1,000\"" is recoverable -- the reader knows something is missing. A confidently wrong \""₹1,000\"" is not: it reads as fact."""
"BL-CUR-02","Currency","Setting the organisation's base currency requires a 3-letter ISO code and is owner/admin only; reading it is open to any authenticated member.","src/app/api/organization/currency/route.ts","SERVER","400 'code must be a 3-letter ISO currency code, e.g. ""AED""'; 403 for a non-admin.","""if (!/^[A-Z]{3}$/.test(code)) { return NextResponse.json({ error: 'code must be a 3-letter ISO currency code, e.g. \""AED\""' }, { status: 400 }); }"""
"BL-CUR-03","Currency","The cached org currency list is cleared on sign-out, so a second sign-in in the same tab cannot read the previous org's codes.","src/lib/currency.ts","CLIENT","Cache cleared; next read refetches.","""without it a second sign-in in the same tab could read the previous org's codes until the refetch landed."""
"BL-CUR-04","Currency / Reporting","Across money and count cells, a null figure renders as an en dash and a real zero renders as ""0"" / ""0.00"" -- ""we do not know"" and ""it is zero"" are never shown identically.","src/lib/attendance-summary.ts","CLIENT","Display rule shared by the panel, the CSV and the public share page.","""\""0\"" for a real measured zero, \""-\"" for no figure at all. These are different facts ... and a table that renders them identically is lying about one of them."""
"BL-FRM-01","Create screens (all modules)","A create screen's primary button is DISABLED until every required field is filled, and it NAMES what is missing rather than failing after the click.","src/lib/create-screen.ts","CLIENT","Save disabled with ""Save (Title, Line 1)""-shaped reason.","""instead of an enabled Save on an empty form that fails only after the click."""
"BL-FRM-02","Create screens (all modules)","A checkbox field is never marked required -- an unticked box is an answer, so ""required checkbox"" has no honest meaning.","src/lib/create-screen.ts","CLIENT","Convention enforced by the field-kind contract.","""Never mark one `required` -- an unticked box is an answer, so \""required checkbox\"" has no honest meaning."""
"BL-FRM-03","Create screens (all modules)","A form whose precondition is not met must disable its inputs WITH a stated reason; disabled in silence is a defect, and live inputs on a form that cannot accept them is a defect.","src/lib/create-screen.ts","CLIENT","Control disabled and the reason shown on the control itself.","""Disabled WITH a reason is the product's rule; disabled in silence is the defect."""
"BL-FRM-04","Create screens (all modules)","After a successful create the app goes to the new object's page in display mode with ""Created <object> <identifier>"", never back to an empty form or a list.","src/lib/create-screen.ts","CLIENT","Footer receipt message; falls back to the record id only when there is no recognisable identifier.","""never back to an empty form or a list."""
