fault_id,source,route,file_path,screenshot_path,description,severity,category,role_found,required,classification,justification,wf_audit,wf_artifact,wf_fix,wf_test,wf_pr,wf_deployed,wf_live,pr_ref,fix_files,closed,created_at
R81_F12_ROLE_COVERAGE_4_OF_6_UNSEEDED,R81 D6-05,,src/lib/authz/roles.ts,,"PROJEXA defines six roles (owner, admin, pm, site_engineer, member, client_viewer). MEASURED against the live seeded organisation: only TWO exist. Exactly one account (the CEO) has owner; the other ten all have member. FOUR roles -- admin, pm, site_engineer, client_viewer -- have NO account at all and have never been exercised by any test. Prior notes said three roles lacked an account; the measured figure is FOUR.",High,Permission,n/a,YES,TECHNICAL,R43_MGR_01 was found only because someone tested a second role. Four untested roles are four untested authorization surfaces.,false,false,false,false,false,false,false,,,false,2026-09-08 12:35:10.92505+00
R81_F11_AUTOCRLF_ASYMMETRY,R81 D0-09,,"projexa: core.autocrlf=true, no .gitattributes",,"ROOT CAUSE of the recurring CRLF flips (""the edit tool has flipped files to CRLF three times""): the two repos are configured OPPOSITELY. projexa has core.autocrlf=true and NO .gitattributes. compliance-tracker has core.autocrlf=false and DOES have one (which itself documents that drizzle hashes migration files as raw bytes with no line-ending normalisation, fault E-102). The same edit in the two repos produces different bytes on disk. Every projexa commit in R81 was byte-checked before and after for this reason.",Medium,Other,n/a,NO,TECHNICAL,"Explains a recurring class of corruption that has cost real time in at least three prior blocks, and points at a one-line fix rather than continued vigilance.",false,false,false,false,false,false,false,,,false,2026-09-08 12:35:10.92505+00
R81_F10_WORK_ORDERS_SEQ_NO_GRANT,R81 D1-04,,platform.work_orders_id_seq,,"app_runtime has no USAGE on platform.work_orders_id_seq, so every INSERT by the application role fails with ""permission denied for sequence work_orders_id_seq"". Cause: the table was created outside a migration (via execute_sql) and never received the grants a migration would have issued. DELIBERATELY NOT WORKED AROUND by granting the app role rights it does not otherwise need -- the inserts went through the privileged path instead and the gap was recorded. A concrete second-order cost of the migration debt D1-04 paid.",Low,Permission,n/a,NO,TECHNICAL,Broadening a runtime role to fix a provisioning mistake is the wrong repair.,false,false,false,false,false,false,false,,,false,2026-09-08 12:35:10.92505+00
R81_F01_CROSS_REPO_TEST_GAP,R81 D3-01,,(structural: both repos),,"Neither repo's test suite exercises both repos together, so every cross-repo data path is invisible to both. This is WHY the procure-to-receive chain stayed dead through 4107 passing tests and one earlier fix. PROJEXA's UI posts to PROJEXA's API, which calls compliance-tracker over VERIDIAN_API_BASE_URL, where the ERP service actually runs. Closing this needs a harness that boots BOTH dev servers and drives the real chain. R81 built the first such test (projexa e2e/r81-d607-po-to-grn.spec.ts) and it immediately found a live integration failure neither unit suite can see (R81_F02). NOT closed here: its own dedicated undertaking.",High,Other,n/a,YES,TECHNICAL,A green suite in each repo proves nothing about the path between them. This is the structural cause behind the most severe defect R80 found.,false,false,false,false,false,false,false,,,false,2026-09-08 12:35:10.92505+00
R81_F03_MIDDLEWARE_ROLE_UNSCOPED,R81 D3-02,,src/middleware.ts:170-186,,"Role is resolved with .from(""memberships"").select(""role"").eq(""user_id"", userId).limit(1) -- no organization filter, no ordering. For a multi-org user the role gating EVERY write is whichever row the database returns first, and requireAuth() picks the org the same way, so the two can disagree. The DELETE handlers added by R80 Part 5 depend on this. NOT fixed blind: fixing it wrongly locks people out. MEASURED: all 11 seeded E2E accounts currently have exactly ONE membership, so this is LATENT today and fires the moment any user joins a second org.",High,Permission,n/a,YES,TECHNICAL,Authorization decided by unordered row order is not authorization.,false,false,false,false,false,false,false,,,false,2026-09-08 12:35:10.92505+00
R81_F15_RECEIPT_INCREMENT_NOT_IDEMPOTENT,R81 D6-07 (disclosed by the R80 session),,ct/src/lib/services/erp-goods-receipt-service.ts submitPurchaseReceipt(),,"The receivedQuantity increment is NOT idempotent and there is NO over-receipt cap. Two receipts posted against the same purchase-order line add twice, so erp_purchase_order_items.receivedQuantity can exceed quantity and the header rollup will read the order as completed on the strength of an over-receipt. Pre-existing and PRE-DISCLOSED by the R80 session when it handed over the D6-07 verification, rather than discovered afterwards -- filed here so it is not mistaken for something the end-to-end test missed. getThreeWayMatchReport already surfaces the condition as over_received, so it is visible downstream but not prevented at the point of write. NOT fixed by R81: a cap is a business rule (is over-receipt forbidden, tolerated within a percentage, or allowed with a flag?) and that is a product decision, not a defect to patch unilaterally.",Medium,Logic,n/a,NO,TECHNICAL,"A quantity that can silently exceed what was ordered is a data-integrity issue, but the remedy needs a stated tolerance policy. Recorded with its downstream detection so the next person sees both the hole and the existing net.",false,false,false,false,false,false,false,,,false,2026-09-08 12:59:00.608348+00
R81_F17_SHELL_API_20S_STALL,R81 D6-06,/api/shell,"(observed live, cause not established)",,"INTERMITTENT MULTI-SECOND STALL ON THE SHELL PATH. During warm measurement one navigation took 23,439 ms against a warm median of ~3,900 ms, and in that sample three concurrent requests stalled together: /api/shell 21,635 ms, /api/tasks 20,163 ms, /api/notifications 20,132 ms. Three simultaneous requests each landing near 20 s is the signature of queueing, not of slow work: the app_runtime pool is max:5 (ct/src/lib/db/tenant-scoped.ts appRuntimePoolOptions) against the Supabase TRANSACTION pooler, and that file's own comment records a KNOWN, UNFIXED connection leak (""More connections would only leak faster"", R67 D-06). NOT PROVEN -- one observation, and a local dev server under a Playwright run is not production. Recorded because a 20-second stall on the first screen after login would be fatal at launch and because it is consistent with an already-documented leak. TO ESTABLISH: run the /dashboard load repeatedly under load and watch pg_stat_activity for app_runtime connection count against the max of 5.",High,Performance,owner,YES,TECHNICAL,"One observation is not a measurement, and it is labelled as such. But the combination -- three concurrent requests all ~20s, a max:5 pool, and a documented unfixed leak in the same file -- is too coherent to leave unrecorded, and the named next step is cheap.",false,false,false,false,false,false,false,,,false,2026-09-08 13:11:11.182549+00
R81_F16_DASHBOARD_PERF_WORKORDER_TARGETS_WRONG_PATH,R81 D6-06,/dashboard,docs/R75_PART5_DASHBOARD_PERF_WORK_ORDER.md vs src/lib/services/construction-dashboard-service.ts,,"THE DASHBOARD PERFORMANCE WORK ORDER OPTIMISES A FUNCTION THAT IS NOT ON THE ROUTE IT MEASURED. R75 Part 5 targets getOrgDashboard/getOrgDashboardWithDb in construction-dashboard-service.ts, justified by a login-to-dashboard figure of 6.7s against a 400ms target. R81 D6-06 re-measured WARM, in-browser, with in-page and network timing (KD-15/KD-16): /dashboard median 3,716-3,907 ms over two runs of 3-5 warm navigations. TTFB is only 207-224 ms, so the server answers fast and the cost is AFTER the document. The 37 requests break down as: /api/shell 1,738 ms, /api/work-progress 1,094 ms, /auth/v1/user 692 ms, /api/tasks 596 ms, /api/scope 542 ms, /api/notifications 203 ms. NO DASHBOARD API CALL APPEARS AT ALL. Verified by code search: getOrgDashboard is called ONLY from ct/src/app/api/v1/projexa/dashboard/route.ts and ct/src/lib/task-execution/construction-tools.ts, and projexa reaches that endpoint only through src/lib/dashboard-overview.ts, which is imported by app/(app)/dashboard/overview/page.tsx and ProjectsOverviewClient.tsx -- i.e. the /dashboard/OVERVIEW route and an AI task-execution tool, NOT the /dashboard route whose 6.7s justified the work order. CONSEQUENCE: implementing the CTE consolidation as specified would not move the login-to-dashboard number. It is not wasted work in principle -- it would help /dashboard/overview and the AI tool path -- but it must not be scheduled as the fix for login-to-dashboard, and it carries real risk: that function feeds financial-redaction logic gated on hasRole(ctx.dbUser,""manager""), so a consolidation error is a financial-data-exposure risk, not a UI bug. THE ACTUAL LOGIN-TO-DASHBOARD COST IS FIVE SEPARATE CROSS-REPO CALLS, each PROJEXA->compliance-tracker, dominated by /api/shell.",High,Performance,owner,YES,TECHNICAL,"Filed as a finding rather than acted on, because acting on the work order as written would have meant a risky refactor of financial-redaction code for zero user-visible gain. The 400ms target is still missed by ~9x; the work simply has to be aimed at /api/shell and its four siblings instead.",false,false,false,false,false,false,false,,,false,2026-09-08 13:11:11.182549+00
R81_F19_NO_USABLE_EMBEDDINGS,R81 D7-01,,ct/src/lib/.../embeddings.ts:436 and compliance.embeddings,,"THERE ARE ZERO USABLE EMBEDDINGS, SO NO VECTOR TIER CAN EVER MATCH. Measured live: compliance.embeddings holds 981 rows across exactly TWO model values -- hash-pseudo-vector (838 rows, not a real model) and unknown-legacy (143 rows), and ALL 143 unknown-legacy rows are quarantined=true. So usable, real, un-quarantined embeddings = 0. The retrieval query filters on `AND e.embedding_model = ${model}`, and since neither stored string is a real provider model id, that predicate can never match a live model. Any semantic/vector tier built on this reads an empty set by construction. Compounding it: compliance.memory_records, memory_versions and memory_sources are all 0 rows -- nothing has ever been ingested -- and 0 of 278 organisations hold the institutional_memory entitlement that gates both the read and the write path. A prior register row citing ""143"" is citing 143 QUARANTINED rows.",High,Function,n/a,YES,TECHNICAL,"IMG cannot be described as working, or even as measurable, while its vector substrate is structurally unmatchable and its content tables are empty. Reporting a proven-point count without this denominator would overstate it badly.",false,false,false,false,false,false,false,,,false,2026-09-08 13:24:13.652838+00
R81_F20_IMG_GUARDS_ONLY_BIND_APP_RUNTIME,R81 D7-02,,compliance.memory_records / memory_versions / memory_sources / graph_node / graph_edge,,"THE APPEND-ONLY GUARDS BIND ONE ROLE ONLY, AND ONE TABLE HAS NO UPDATE GUARD AT ALL. Read from pg_catalog: every integrity guard except graph_edge_guard fires only when current_user = 'app_runtime'. service_role and postgres hold full DML on all five tables PLUS USING true bypass policies, so the audit trail that memory_versions exists to be is not protected from the roles most likely to be used by a script or an MCP session. Separately, platform.graph_edge has NO UPDATE-immutability guard -- there is no immutability branch anywhere in graph_edge_guard's body -- so a graph edge can be rewritten in place. IMG-036 cannot detect this because its proof tests only for the presence of a BEFORE DELETE trigger, so the register will keep reporting that guard as present while UPDATE stays open. NOT PROVEN BY WRITE: the audit had SELECT-only access, so that the triggers actually RAISE was read from definitions and tgenabled='O', not demonstrated. Proving them needs a write attempt inside a rolled-back transaction, which requires a verified backup first per Addendum B GG-05.",High,Permission,n/a,YES,TECHNICAL,"An append-only guarantee that only holds for one of three roles is not an append-only guarantee, and a register proof that tests for the wrong trigger event will never reveal it. Both halves have to be recorded or the next audit repeats this one.",false,false,false,false,false,false,false,,,false,2026-09-08 13:24:13.652838+00
R81_F18_IMG_REGISTER_SELF_CONTRADICTION,R81 D7-01,,platform.img_spec,,"THE IMG REGISTER CONTRADICTS ITSELF AND ITS PROOFS ARE PARTLY UNRUNNABLE. Measured live: 74 rows; only 37 carry a closure_proof_sql at all; only 30 have EVER been run, all inside one window on 2026-09-04 04:03-08:36 UTC; 21 stored true. The other 37 rows carry NO proof mechanism and sit at result_bool=false, which is a DEFAULT, not a finding -- they are unmeasurable, and a register that reports them as false is reporting a value it never computed. WORSE, A STORED FALSE POSITIVE WAS FOUND AND CONFIRMED BY RUNNING THE ROW'S OWN PROOF: IMG-016 was stored TRUE while its proof returns 0 against an expected "">= 1"". Corrected to FALSE by R81. Its proof also can NEVER pass -- it searches information_schema.routines for a compliance routine named like %recall%, but the recall ladder is TypeScript, not SQL, so the proof tests the wrong artefact entirely. An independent re-run of all 37 proof-bearing rows disagreed with the register on 8 of 37. THE HONEST POSITION MUST ALWAYS BE STATED WITH BOTH FIGURES: 26 of 37 executed proofs true, AND 37 of 74 never measured. A single number is not reportable here.",High,Other,n/a,YES,TECHNICAL,"A register whose rows can be true while their own proofs fail is worse than no register, because it is quoted as evidence. This is the same class as the closure-gate hole that let six requirements close on a CI-red test.",false,false,false,false,false,false,false,,,false,2026-09-08 13:24:13.652838+00
R81_F21_AI_INVOLVEMENT_NOT_RECORDABLE,R81 D8-06,,ct/src/lib/pipeline/run-submission.ts:1020,,"WHETHER THE AI DID THE WORK IS NOT RECOVERABLE FROM THE DATABASE. `executor: ""software""` is HARDCODED at run-submission.ts:1020 -- verified directly by R81, not taken from a report. The 'ai' enum value is never assigned anywhere, and pipeline_tasks carries no source or level column. So for any executed business-data write, the record cannot say whether a human, the software tiers, or a model produced it. THIS IS THE ATTRIBUTION REQUIREMENT FAILING AT ITS ROOT: three further fields have no write site at all -- the MODEL ID is resolved at openrouter.ts:59 and discarded at :78-84 (and can change between requests via a 60s-TTL hot-reload row, so even the model that answered is unknowable); the PROMPT HASH is never computed and is explicitly declined at run-submission.ts:300-304; and the RETRIEVED ITEM IDS (the BOQ candidate set sent at level1.ts:102-106) are never returned or written and become unreconstructable once a new BOQ version exists. COMPOUNDING IT: because L1 refuses when RAJAT_USER_ID is unset, modelCalls reads 0 -- IDENTICALLY to a genuine ""the software resolved everything"" result. A metric that reads the same whether the AI worked perfectly or was switched off cannot measure the 95/5 split the programme is built on.",Critical,Other,n/a,YES,TECHNICAL,"An ERP that cannot say whether a model touched a financial write has no AI audit trail, and the one metric meant to prove the software-first design reads identically in the success and the switched-off case. Both halves have to be fixed together or the measurement stays meaningless.",false,false,false,false,false,false,false,,,false,2026-09-08 13:36:56.265243+00
R81_F22_SIX_SILENT_AI_FAILURE_PATHS,R81 D8-05,,ct/src/lib/pipeline/* and ct/src/lib/ai/llm-client.ts,,"SIX SILENT OR MISLEADING FAILURE PATHS ON THE AI ROUTE, each with a location. S-1: a fully swallowed `catch {}` at run-submission.ts:1137. S-2: telemetry structurally excluded from the wire (verdict.ts:180-187) and PROJEXA has NO code that could render a refusal, so a refusal cannot reach a user even in principle. S-3: telemetry never persisted, only logged (run-submission.ts:1192-1198). S-4: /classify returns a 400 promising records it does not contain (classify-only.ts:84). S-5: the same defect on four routes via unwrapped calls at run-submission.ts:887 and :948. S-6: NO AbortController and no fetch timeout anywhere in llm-client.ts, with retries multiplying the hang -- an unreachable provider hangs rather than failing. D8-05 requires that every AI-only behaviour fail CLEARLY; six do not. NOT FIXED HERE: src/lib/pipeline/** and adapter.ts are owned by a concurrent session building R80 Part 2; these were READ, never written, by agreement.",High,Flow,non-owner,YES,TECHNICAL,"A silent failure is worse than a loud one because nobody investigates it. S-2 is the sharpest: even if the AI refused correctly and said so, the client has no code path to display it, so the user sees nothing at all.",false,false,false,false,false,false,false,,,false,2026-09-08 13:36:56.265243+00
