WO_Ref,R_Number,Title,Status,Authored_On,Body_State,Body_Location
"R70-PART-2-REV","70","R70 Part 2 REVISED - 14 phases","EXECUTED","Fri Sep 04 2026 05:30:00 GMT+0530 (India Standard Time)","RECOVERED (76328 bytes)","Google Drive 1a2W0ooJJbDK1bgkuXvZxfi7h5-QFxPikQt30X0ohQw0 (Docs export; NOT byte-identical to the original .md, which is not on this laptop)"
"R70-PART-3","70","R70 Part 3 - IMG bucket and admission model","EXECUTED","Fri Sep 04 2026 05:30:00 GMT+0530 (India Standard Time)","NULL - not recovered","chat transcript 4 Sep"
"R70-PART-A","70","R70 Part A - IMG pre-ingestion readiness","SUPERSEDED","Thu Sep 03 2026 05:30:00 GMT+0530 (India Standard Time)","NULL - not recovered","chat transcript 3 Sep"
"R70-PART-B","70","R70 Part B - production recovery, commit salvage, defect closure","SUPERSEDED","Fri Sep 04 2026 05:30:00 GMT+0530 (India Standard Time)","NULL - not recovered","chat transcript 4 Sep"
"R71","71","R71 - integrity enforcement and missing axes (first version)","SUPERSEDED","Fri Sep 04 2026 05:30:00 GMT+0530 (India Standard Time)","NULL - not recovered","chat transcript 4 Sep"
"R71-UPDATED","71","R71 UPDATED - merge census, validation, unpause gate, integrity","EXECUTED","Fri Sep 04 2026 05:30:00 GMT+0530 (India Standard Time)","NULL - not recovered","chat transcript 4 Sep"
"R72","72","R72 - reconciliation, local-first development, Vercel production-only","EXECUTED","Fri Sep 04 2026 05:30:00 GMT+0530 (India Standard Time)","NULL - not recovered","chat transcript 4 Sep"
"R73","73","R73 - local intensive testing, gap ledger, RCA (full version)","PARTIAL","Fri Sep 04 2026 05:30:00 GMT+0530 (India Standard Time)","NULL - not recovered","chat transcript 4 Sep"
"R73-PART-2","73","R73 Part 2 revised for Claude Code","SUPERSEDED","Fri Sep 04 2026 05:30:00 GMT+0530 (India Standard Time)","NULL - not recovered","chat transcript 4 Sep"
"R74","74","R74 - fleet-managed testing, gap closure, integration, memory","EXECUTED","Fri Sep 04 2026 05:30:00 GMT+0530 (India Standard Time)","RECOVERED (71735 bytes)","laptop C:UsersDellDownloadsWORK-ORDER-R74.md (71985 B, size-matches the manifest)"
"R75","75","R75 - audit corrections, closure completion, authz gap","PARTIAL","Fri Sep 04 2026 05:30:00 GMT+0530 (India Standard Time)","RECOVERED (41948 bytes)","laptop C:UsersDellDownloadsWORK-ORDER-R75.md (42084 B, size-matches the manifest)"
"R75-PART-2","75","R75 Part 2 - continue from archived session","PARTIAL","Sat Sep 05 2026 05:30:00 GMT+0530 (India Standard Time)","NULL - not recovered","chat transcript 5 Sep"
"R75-PART-2-CONT","75","R75 Part 2 continuation - citation re-verification + anti-fabrication gates","EXECUTED","Sat Sep 05 2026 05:30:00 GMT+0530 (India Standard Time)","NULL - not recovered","chat transcript 5 Sep"
"R75-PART-2-FINISH","75","R75 Part 2 finish (short form)","EXECUTED","Sat Sep 05 2026 05:30:00 GMT+0530 (India Standard Time)","NULL - not recovered","chat transcript 5 Sep"
"R75-PART-4","75","R75 Part 4 - unblock the 18","EXECUTED","Sat Sep 05 2026 05:30:00 GMT+0530 (India Standard Time)","RECOVERED (4986 bytes)","Google Drive 1rxfGLrgArXHJhtxTSEMzTxn8XCOzEulB (Docs export)"
"R75-PART-5","75","R75 Part 5 - finish what RAM blocked","EXECUTED","Sat Sep 05 2026 05:30:00 GMT+0530 (India Standard Time)","NULL - not recovered","chat transcript 5 Sep"
"R76","76","R76 - Vercel lockdown, GitHub and Supabase integration","EXECUTED","Sun Sep 06 2026 05:30:00 GMT+0530 (India Standard Time)","NULL - not recovered","chat transcript 6 Sep"
"R80","80","R80 - Playwright wiring sweep, stale E2E specs, 3-way vertical split","EXECUTED","Tue Sep 08 2026 05:30:00 GMT+0530 (India Standard Time)","NULL - not recovered","chat transcript 8 Sep; not recovered as a file. Outcome evidence: projexa commit b5c347b and CHANGELOG.md lines 3-41."
"R80-PART-2","80","R80 Part 2 - AI router audit and build","IN_FLIGHT","Tue Sep 08 2026 05:30:00 GMT+0530 (India Standard Time)","NULL - not recovered","chat transcript 8 Sep. Reports: C:\ct\projexa\R80_PART2_AI_ROUTER_AUDIT.md, R80_PART2_BUILD_PLAN.md (both untracked)."
"R80-PART-3","80","R80 Part 3 - RULES.txt gap analysis","EXECUTED","Tue Sep 08 2026 05:30:00 GMT+0530 (India Standard Time)","NULL - not recovered","chat transcript 8 Sep. Report: C:\ct\projexa\R80_PART3_RULES_GAP_ANALYSIS.md (untracked)."
"R80-PART-4","80","R80 Part 4 - three-way vertical split of the composer left panel","EXECUTED","Tue Sep 08 2026 05:30:00 GMT+0530 (India Standard Time)","NULL - not recovered","chat transcript 8 Sep. Evidence: projexa CHANGELOG.md lines 3-41; src/components/shell/Composer.tsx; test e2e/r81-d06-composer-thirds.spec.ts added in projexa commit d32a3e5."
"R80-PART-5","80","R80 Part 5 - ERP screen gaps: CRUD, multi-line documents, pre-population","EXECUTED","Tue Sep 08 2026 05:30:00 GMT+0530 (India Standard Time)","NULL - not recovered","chat transcript 8 Sep. Report: C:\ct\projexa\R80_PART5_ERP_SCREEN_GAP_AUDIT.md (untracked). Commits baadf34, 072f606, 19491a5."
"R80-PART-6","80","R80 Part 6 - R1 to R80 review","EXECUTED","Tue Sep 08 2026 05:30:00 GMT+0530 (India Standard Time)","NULL - not recovered","chat transcript 8 Sep. Report: C:\ct\projexa\R80_PART6_R1_TO_R80_REVIEW.md (untracked)."
"R80-PART-7","80","R80 Part 7 - knowledge-transfer pack","PARTIAL","Tue Sep 08 2026 05:30:00 GMT+0530 (India Standard Time)","NULL - not recovered","Local: C:\ct\projexa\R80_PART7_KT\ (22 files, confirmed by count). Drive folder 1vJdIG_4w2eMjgsSn3ofHGy4ylgBIhKXp."
"R81","81","R81 FINAL - recover the record, verify the work, close the gaps, finish the streams","ISSUED","Tue Sep 08 2026 05:30:00 GMT+0530 (India Standard Time)","NULL - not recovered","Google Doc 1wCR71em_nSTvgMZUAAbjZu2uwoMeBvRoKkDVHKezSHU. A superseded local draft exists at C:\Users\Dell\Downloads\WORK-ORDER-R81.md (76494 B)."
"R81-ADDENDUM-B","81","R81 Addendum B - two environments, one database; gate repair; go-live readiness","ISSUED","Tue Sep 08 2026 05:30:00 GMT+0530 (India Standard Time)","NULL - not recovered","Google Doc 10IYMSh5rG6NlvG2vLknX--xYVKmgmTMkEKmlAFPnNe4."
"R81-ADDENDUM-C","81","R81 Addendum C - build the Institutional Memory Graph and the autonomy model","ISSUED","Tue Sep 08 2026 05:30:00 GMT+0530 (India Standard Time)","NULL - not recovered","Google Doc 14jynR2voqzo-XuNW9ckQk-dxueqfIj_KmKnGjkM-wd0. Owner spec verbatim in KT sheet IMG_DESIGN_AND_AUTONOMY_MODEL, Drive 19rpghCl_aS9eaVrJ16NHHT1A2PLIXI8AZ0oo8xQx12Q."
"R81-CHANGE-DOC","81","R81 change document -- 16 entries, each with an exact file path and a proving test","ISSUED","Tue Sep 08 2026 05:30:00 GMT+0530 (India Standard Time)","NULL - not recovered","compliance-tracker docs/R81_CHANGE_DOCUMENT.md at commit d055017c (pushed to origin/main)."
