"File_Path","Kind","Exported_Functions","Domain","What_It_Computes","Key_Inputs","Key_Outputs","DB_Tables_Touched","Called_By"
"C:\ct\ct\src\lib\engines\data-quality-engine.ts","ENGINE","isValidPanFormat, isValidGstinFormat, isValidGstinChecksum, isValidGstin, isValidIfscFormat, isValidEmail, isValidPhoneNumber, isValidBankAccountFormat, standardizeAddress","Master data quality (India identifiers)","PAN and IFSC regex format checks, GSTIN 15-char format plus the real mod-36 GSTN checksum, RFC-aware email via validator.js, international phone via libphonenumber-js (default IN), 9-18 digit bank account format, whitespace/comma address normalization","Raw identifier strings (PAN, GSTIN, IFSC, email, phone, account number, address)","Booleans; normalized address string","NONE - pure validators, no DB access","app/api/vendor-risk/[id]/assess/route.ts; lib/gst/validation-engine.ts; lib/services/crm-accounts-service.ts; lib/services/gst-reconciliation-service.ts; lib/task-execution-engine.ts"
"C:\ct\ct\src\lib\engines\document-processing-engine.ts","ENGINE","detectDuplicateDocumentsByHash (+ types BarcodeDecodeRequest, BarcodeDecodeResult)","Document processing","Groups documents sharing an identical contentHash - the exact-byte duplicate case. OCR/PDF/invoice extraction is deliberately left to the LLM-vision path elsewhere; barcode/QR decode is only a documented contract for a client-side library","documents[{id,contentHash}]","string[][] groups of duplicate document ids","NONE - pure function, no DB access","lib/task-execution-engine.ts"
"C:\ct\ct\src\lib\engines\einvoice-format.ts","ENGINE","resolveEinvoiceCountry, buildEInvoicePayload (+ types EinvoiceCountry, EinvoiceLineInput, EinvoicePayloadInput, EinvoiceFormatResult)","E-invoicing (India IRP / UAE FTA)","Builds the correct government e-invoice JSON for the org's country: India IRP JSON (GSTIN, HSN/SAC, per-line GstRt from the resolved tax-template rate, CGST/SGST vs IGST split, buyer state code) versus UAE Peppol BIS 3.0 UBL (TRN, UNTDID codes, per-line tax category, no HSN). Payload generation only - no live submission","Country code, invoice number/postingDate, subtotal/taxAmount/grandTotal, seller and buyer {taxId,legalName,address}, buyerStateCode, line items with taxRatePercent","EinvoiceFormatResult carrying the country-shaped e-invoice payload","NONE - pure; erp-einvoice-service.ts loads the DB rows and passes them in","lib/services/erp-einvoice-service.ts"
"C:\ct\ct\src\lib\engines\engine-invocation.ts","ENGINE","invokeEngine","Engine auditability + version control","Wraps ANY engine call at the invocation boundary: reads the engineVersion current in computationEngines, runs the function, and unconditionally writes a calculationInvocations audit row (status success with input+output, or failed with errorMessage) before returning or rethrowing. Runs inside the caller's existing transaction, never its own","TenantDb, {orgId,userId,taskId}, engineKey, the engine fn, its input","The engine function's output (errors rethrown after the failure row is written)","computation_engines (read engineVersion), calculation_invocations (insert)","lib/task-execution-engine.ts (executeEngineDispatch)"
"C:\ct\ct\src\lib\engines\fixed-asset-engine.ts","ENGINE","straightLineDepreciation, writtenDownValueDepreciation, calculateRemainingUsefulLife, transferAsset, calculateDisposalGainLoss, shouldCapitalize, revalueAsset, calculateImpairmentLoss","Fixed assets","SLM and WDV year-by-year depreciation schedules (WDV rate defaults to 1-(salvage/cost)^(1/life), final year trues up to salvage), remaining useful life, transfer carrying NBV, disposal gain/loss vs NBV, capitalize-vs-expense test against a materiality threshold, revaluation surplus, Ind AS 36 impairment loss","{cost,salvageValue,usefulLifeYears} (+ optional rate), NBV, sale proceeds, fair value, carrying vs recoverable amount","DepreciationRow[]{year,openingValue,depreciation,closingValue}; {gainOrLoss,isGain}; {revaluationSurplus,newCarryingValue}; {impairmentLoss,impaired}","NONE - pure functions on Decimal.js","lib/task-execution-engine.ts"
"C:\ct\ct\src\lib\engines\grc-workflow-engine.ts","ENGINE","computeSlaStatus, computePoshInquiryDeadline, validateIccComposition, computeVendorRiskScore","GRC (incidents, whistleblower, POSH, vendor risk)","Generic due-date SLA (daysRemaining, overdue, due_soon at <=3 days), POSH Act Sec 11(4) 90-day inquiry deadline, POSH Sec 4(2) ICC composition check (1 Presiding Officer, >=2 Members, >=1 External, >=4 total), and a deterministic 0-100 weighted vendor risk score from certifications, GSTIN/PAN validity, past incidents, contract value and assessment staleness","Due date / received date + reference date; committee members[{role}]; VendorRiskInput {certificationCount,hasValidGstin,hasValidPan,incidentCount,contractValueInr,monthsSinceLastAssessment}","SlaStatus{dueDate,daysRemaining,isOverdue,urgency}; IccCompositionResult{isValid,issues,counts}; VendorRiskResult{score,tier,factors[]}","NONE - pure functions; the API routes supply the data","app/api/incidents/route.ts; app/api/posh/route.ts; app/api/whistleblower/route.ts; app/api/vendor-risk/[id]/assess/route.ts"
"C:\ct\ct\src\lib\engines\hr-engine.ts","ENGINE","calculateAttendancePercent, calculateLeaveBalance, planShifts, buildRoster, calculateExperienceYears, calculateNoticePeriodEnd, calculateProbationEnd, calculatePerformanceScore, calculateAttritionRate","HR","Attendance %, leave-ledger balance (opening + accrued - taken), round-robin shift assignment respecting per-shift capacity, date x employee roster from a rotation pattern, fractional experience years (/365.25), notice-period and probation end dates, weighted performance score across competencies, attrition % on average headcount","Present/total working days; opening/accrued/taken; employee ids + shifts{name,capacity}; dates + rotation pattern; from/to dates; ratings[{score,weight}]; separations + opening/closing headcount","Percentages and numbers; Record<shiftName,employeeIds[]>; Record<employeeId,Record<date,shift>>; ISO date strings","NONE - pure functions on Decimal.js","lib/task-execution-engine.ts"
"C:\ct\ct\src\lib\engines\inventory-engine.ts","ENGINE","consumeFifo, consumeFefo, weightedAverageCost, standardCostVariance, movingAverageAfterReceipt, valueStock, ageInventory, calculateEoq, calculateReorderLevel, calculateSafetyStock, abcAnalysis, xyzAnalysis +3 more","Inventory / stock","FIFO and FEFO lot consumption producing COGS plus remaining lots (throws on insufficient stock), weighted-average and post-receipt moving-average cost, stock valuation, days-held aging buckets, Wilson EOQ sqrt(2DS/H), reorder level, safety stock, ABC 80/95 cumulative-value and XYZ coefficient-of-variation classes, slow/dead stock, cycle-count frequency by class","StockLot[]{quantity,unitCost,receivedDate,expiryDate}; quantity to consume; actual vs standard cost; annual demand, ordering and holding cost; usage and lead times; demand history; on-hand vs consumed","{costOfGoodsSold,remainingLots}; unit costs; aging bucket map; EOQ/reorder/safety numbers; Record<itemId,'A'|'B'|'C'>; Record<itemId,'X'|'Y'|'Z'>; item id lists; {countsPerYear}","NONE - pure functions on Decimal.js","lib/task-execution-engine.ts"
"C:\ct\ct\src\lib\engines\logistics-engine.ts","ENGINE","optimizeRouteNearestNeighbor, calculateFreightCost, estimateDeliveryEta, calculateVehicleUtilization, calculateContainerUtilization, calculateShipmentCost","Logistics / shipping","Nearest-neighbour route ordering over haversine distances (documented heuristic, not a full TSP solver), chargeable weight as max(actual, volumetric via divisor) and freight cost, ETA = distance/speed + handling buffer, vehicle weight and container volume utilization %, total shipment cost (freight + handling + insurance + customs)","GeoPoint[]{id,lat,lng}; actual weight, volume CBM, rate/kg, volumetric divisor; distance + avg speed; loaded vs capacity; cost components","{orderedRoute,totalDistanceKm}; {chargeableWeightKg,freightCost}; {estimatedHours}; utilization percentages; total cost","NONE - pure functions on Decimal.js","lib/task-execution-engine.ts"
"C:\ct\ct\src\lib\engines\marketing-engine.ts","ENGINE","calculateMarketingRoi, calculateCac, calculateRoas, attributeConversionLinear, calculateCampaignScore, calculateFunnelConversion","Marketing","Marketing ROI %, customer acquisition cost, return on ad spend, linear multi-touch attribution splitting conversion value evenly across touchpoints (summed per channel), weighted campaign score (reach 0.2 / engagement 0.3 / conversion 0.5), stage-over-stage funnel conversion rates","Revenue and spend; new customers; touchpoints[{channel}] + conversion value; reach/engagement/conversion scores; stageCounts[{stage,count}]","Numbers; Record<channel,attributedValue>; stage rows with conversionFromPrevious (null for the first stage)","NONE - pure functions on Decimal.js","lib/task-execution-engine.ts"
"C:\ct\ct\src\lib\engines\mathematical-engine.ts","ENGINE","add, subtract, multiply, divide, evaluateExpression, presentValue, futureValue, compoundInterest, percentageOf, percentageChange, simplifyRatio, addFractions +11 more","Mathematics / statistics core","Precision-safe arithmetic on Decimal.js, mathjs expression evaluation, PV/FV/compound interest, percentages, ratio simplification and fraction addition, descriptive statistics, matrix multiply/invert/determinant/lusolve, combinations/permutations/normal CDF, linear regression with a predict fn, linear programming via javascript-lp-solver, moving average","Numbers, expression strings, number[] series, number[][] matrices, [x,y] point pairs, LpModel {optimize,opType,constraints,variables}","Numbers; StatisticalSummary{mean,median,mode,stdDev,variance,min,max}; matrices; solution vectors; {slope,intercept,predict}; LP solution; moving-average array","NONE - pure functions wrapping mathjs / simple-statistics / lp-solver","lib/task-execution-engine.ts"
"C:\ct\ct\src\lib\engines\payroll-engine.ts","ENGINE","calculateGratuity, calculateEps, calculateLwf, calculateBonus, calculateIncentive, calculatePayrollCommission, calculateOvertime, calculateShiftAllowance, calculateLeaveEncashment, calculateSuperannuation, calculateFullAndFinalSettlement, calculateArrears +2 more","Payroll (Indian statutory)","Payment of Gratuity Act 1972: salary x 15/26 (or 15/30 if not covered) x Sec 4(2)-rounded years, capped at Rs 20 lakh, with a step-by-step breakdown. Also EPS at 8.33% of wage capped at Rs 15,000, LWF, Bonus Act 8.33-20%, slab incentives, commission, 2x overtime, shift allowance, leave encashment (/26), superannuation, full & final settlement, arrears, increment and proportional salary revision","{lastDrawnMonthlySalary,yearsOfService,isCoveredUnderAct}; monthly basic+DA; bonus %; achievement vs target + slabs; hours and multipliers; FnfComponents; component map + revision %","GratuityResult{gratuityAmount,roundedYearsOfService,statutoryCapApplied,breakdown}; component amounts; {incrementAmount,newSalary}; Record<component,revisedAmount>","NONE - pure functions on Decimal.js","lib/task-execution-engine.ts; lib/calculation-cross-verification.ts (imports GratuityInput/GratuityResult types)"
"C:\ct\ct\src\lib\engines\procurement-engine.ts","ENGINE","calculatePurchaseCost, rankVendors, evaluateBids, calculatePurchasePriceVariance, calculateLandedCost, allocateFreight, optimizeForMoq","Procurement / purchasing","Purchase cost, weighted vendor ranking (price 0.5 / quality 0.3 / delivery 0.2, sorted desc), L1 bid evaluation (lowest price among bids clearing minTechnicalScore), purchase price variance (std-actual) x qty, landed cost total and per unit (purchase + freight + insurance + duty + other), freight allocation across lines by weight or value, MOQ round-up to the next order multiple","Unit price + quantity + other charges; VendorScore[]; bids[{bidderId,price,technicalScore}]; cost components + quantity; line items with weight/value; required qty, MOQ, order multiple","Numbers; ranked [{vendorId,totalScore}]; {winnerId,qualifiedBids}; {variance,favorable}; {totalLandedCost,landedCostPerUnit}; Record<lineId,allocatedFreight}","NONE - pure functions on Decimal.js","lib/task-execution-engine.ts"
"C:\ct\ct\src\lib\engines\project-management-engine.ts","ENGINE","calculateCriticalPath, allocateResources, calculateCostVariance, calculateScheduleVariance, calculateEarnedValueMetrics, calculateBurndown","Project management / EVM","Classic CPM forward and backward pass over a task DAG producing earlyStart/earlyFinish/lateStart/lateFinish, slack and isCritical (throws on a dependency cycle or unknown task), greedy priority-ordered resource allocation against available capacity, EVM CV=EV-AC and SV=EV-PV plus CPI, SPI and EAC=BAC/CPI, and ideal-vs-actual sprint burndown","PmTask[]{id,duration,dependsOn}; tasks{requiredCapacity,priority} + capacity; {plannedValue,earnedValue,actualCost,budgetAtCompletion}; total story points, sprint days, completed per day","Per-task schedule rows with slack/isCritical; {allocated,unallocated}; {cv,sv,cpi,spi,eac}; burndown rows {day,idealRemaining,actualRemaining}","NONE - pure functions on Decimal.js","lib/task-execution-engine.ts"
"C:\ct\ct\src\lib\engines\sales-engine.ts","ENGINE","calculateMargin, calculateMarkup, priceFromMarkup, calculateSalesIncentive, priceForTargetMargin, optimizeQuoteDiscount, forecastSales, calculatePipelineExpectedValue","Sales / pricing","Margin as % of selling price and markup as % of cost, price from a markup, tiered achievement-linked sales incentive, cost-plus price solving for a target margin, the highest quote discount that still clears a minimum acceptable margin, hand-rolled linear-trend sales forecast, and stage-weighted pipeline expected value (prospecting 10% to closed_won 100%)","Selling price and cost; achieved vs target sales + slabs; target margin %; list price + min margin; historical values + periods ahead; deals[{stage,amount}]","Percentages and prices; incentive amount; discount %; number[] forecast; expected pipeline value","NONE - pure functions on Decimal.js","lib/task-execution-engine.ts"
"C:\ct\ct\src\lib\engines\security-engine.ts","ENGINE","generateHash, generateHmac, generateSigningKeyPair, signData, verifySignature","Security / cryptography","SHA-256 or SHA-512 hash and HMAC digests, RSA-2048 keypair generation (spki/pkcs8 PEM), and RSA-SHA256 sign/verify - all via Node's built-in crypto rather than hand-rolled primitives","Input string, secret, PEM private/public keys, hex signature","Hex digests; {publicKey,privateKey} PEM pair; hex signature; boolean verification result","NONE - wraps node:crypto only","lib/task-execution-engine.ts"
"C:\ct\ct\src\lib\engines\types.ts","ENGINE","EngineResultStep, EngineResult (types only - no functions)","Engine explainability contract","Nothing is computed here. Declares the sanctioned {value, explanation, assumptions?, steps?} return shape for new engine functions and for additive *Explained() variants, deliberately not a breaking change to the ~100 existing engine signatures","n/a (type declarations)","EngineResult<T> and EngineResultStep types","NONE","lib/engines/accounting-engine.ts (verifyBalancesNetToZeroExplained); lib/engines/analytics-engine.ts (analyzeTrendExplained)"
"C:\ct\ct\src\lib\services\abac-policy-service.ts","SERVICE","listAbacPolicies, createAbacPolicy, setAbacPolicyActive, checkAbacDenyPoliciesWithDb, checkAbacDenyPolicies, requireAbacAllowed (+ re-exported ServiceError)","Access control (ABAC overlay on RBAC)","Evaluates an org's DENY-ONLY attribute policies for a {resourceType, action}: AND-combined conditions, priority-ordered, first match wins; a policy with no conditions can never fire; missing attribute data fails open (unknownField no_match) so it only ever subtracts from RBAC, never grants","{resourceType, action, attributes}; AttributeCondition[] using gt/gte/lt/lte/eq/neq/in/contains","{denied:false} or {denied:true,policyId,reason}; requireAbacAllowed throws ServiceError 403; policy rows","abac_policies, users (type), plus audit rows via logActivity","app/api/governance/abac-policies/route.ts and /[id]; lib/services/approval-workflow-service.ts; lib/services/prompt-governance-service.ts"
"C:\ct\ct\src\lib\services\access-review-service.ts","SERVICE","createAccessReviewCycle, listAccessReviewCycles, getAccessReviewCycleDetail, reviewCertification (+ re-exported ServiceError)","IAM / periodic access certification","Opens a review cycle by snapshotting every active user's current role into pending certification rows; a confirm/revoke decision rejects self-review (isSelfApproval) and, on revoke, sets users.isActive=false; the cycle auto-completes once no pending certifications remain","Cycle {name,dueDate}; certificationId + decision confirmed|revoked; ActorCtx (dbUser or API key)","Cycle row; cycle detail with certifications enriched by userName/userEmail; updated certification row","access_review_cycles, access_review_certifications, users","app/api/access-review/cycles routes ([id], /certifications/[certId]); app/api/v1/projexa/access-review routes"
"C:\ct\ct\src\lib\services\actor-context.ts","SERVICE","ActorCtx, ErpContext (types only - no functions)","Service-layer actor identity","Nothing is computed. Declares the single shared shape for who is performing a mutation - either a session-authenticated dbUser or a server-to-server API-key caller (typically PROJEXA's proxy) - consolidating ~20 previously duplicated per-service definitions","n/a (type declarations)","ActorCtx and ErpContext types","users (type reference only)","~25 services including erp-accounting, erp-invoicing, erp-payroll, erp-selling, erp-buying, access-review, fraud-case, memory and risk-register services"
"C:\ct\ct\src\lib\services\agent-review-service.ts","SERVICE","computeReviewRates, computeReviewVerdict, reviewableRoleKeys, runAgentReviewCycle, getAgentReviewHistory, getLatestAgentReviews, getRolesNeedingTrustTierReconsideration","AI workforce governance (Agent Review Registry)","Success/auditFinding/escalation rates (null, never 0, when the denominator is 0) and a deterministic promote/maintain/retrain/deprecate verdict: deprecate below 50% success or above 50% findings, retrain below 80% success or above 25% findings or 20% escalations, promote at >=95% success with >=20 dispatches; also flags Rule 10 trust-tier reconsideration","sinceDays window; activity_log ai_team_dispatch counts by roleKey; audit_logs ai_escalation joins; roster role model and tier eligibility","ReviewVerdictResult{verdict,verdictReason,trustTierFlag}; appended agent_review_records rows; per-role history and latest standing","activity_log, audit_logs, agent_review_records","app/api/ai/team/review-registry/route.ts"
"C:\ct\ct\src\lib\services\ai-cost-finops-service.ts","SERVICE","detectSpendAnomalies, projectMonthEndSpend, reconcileForecastVsActual, reconcileFinOpsClaim, classifyIdleCapacity, detectSpendAnomaliesFromDb, getForecastForOrg, getEngineeringClaimForMonth, getFinOpsReconciliationForMonth, identifyIdleAiCapacityFromDb, getFinOpsDashboard, DEFAULT_ANOMALY_THRESHOLDS","AI cost governance / FinOps","Ratio-vs-baseline spend anomalies by org/role/model (warning 2.5x, critical 5x, min $1 delta, min 5 baseline calls), linear run-rate month-end projection vs the monthly cap, forecast-vs-actual variance verdict (within 15% = accurate), engineering-claim vs Finance-ledger reconciliation, and idle capacity (unused BYO configs, dormant floor-tier orgs)","SpendBucket[] current vs baseline; {monthStartIso,nowIso,spendSoFarUsd} + cap; financeLedgerUsd; BYO config and org activity rows; window days","SpendAnomaly[]; MonthForecast with capComparison; FinOpsReconciliation; IdleCapacityFinding[]; FinOpsDashboard","token_usage_ledger, customer_model_config, organisations","app/api/ai/finops/route.ts; lib/loops/cost-anomaly-audit.ts"
"C:\ct\ct\src\lib\services\ai-performance-report-service.ts","SERVICE","computeFailureRate, averageNumericColumn, generateAiPerformanceReport","AI performance reporting","Daily AI report: orchestra execution status counts turned into total/failed/failureRate (0, not NaN, when nothing ran), token usage reused verbatim from token-usage-service, average worker-agent accuracyScore (null when no data), and loop-improvement generated/deployed/rolled-back counts with average improvementDelta; explicitly names the 3 dimensions it does not cover","days window (default 1)","AiPerformanceReport{cadence,periodStart,periodEnd,performance,tokenUsage,quality,learning,notCovered}","orchestra_executions, worker_agents, loop_improvements (plus token usage via token-usage-service)","app/api/internal/ai-performance-report/run/route.ts; lib/services/d1-metrics-tracker-service.ts"
"C:\ct\ct\src\lib\services\ai-reduction-service.ts","SERVICE","takeAiReductionSnapshot, computeMonthlyBucketDelta, getAiReductionTrend","AI-reduction metrics","Sums every task_capabilities row's cumulative fullSoftware/packageAvailable/novel counters into one dated snapshot, then diffs consecutive snapshots (clamped at 0) to recover each period's real non-cumulative bucket counts and a softwareCoverageRatio = (fullSoftware+packageAvailable)/total, null when nothing was classified","No inputs for the snapshot; current + previous snapshot rows; limitMonths (default 12)","AiReductionSnapshotRow; MonthlyBucketDelta[] with softwareCoverageRatio","task_capabilities, ai_reduction_snapshots","app/api/internal/ai-reduction-snapshot/run/route.ts; app/api/orchestra/ai-reduction-trend/route.ts"
"C:\ct\ct\src\lib\services\ai-report-builder-service.ts","SERVICE","extractUploadContent, proposeReportFromUpload (+ re-exported ServiceError)","AI report building from uploads","Extracts real content from an uploaded image (vision path), Excel/CSV (xlsx sheets to CSV text) or .docx (OfficeCLI), truncates to 12000 chars, gates the text path through enforcePolicy against prompt injection, then asks the LLM for a report proposal grounded only in that content and validates/normalizes the returned JSON (rejects empty columns or rows)","{buffer, mimeType, fileName}; {orgId,userId}","{proposal:{title,summary,columns,rows,chartType,chartRows}, extractedPreview}; throws 400/422/502/503 ServiceError","None written directly; execution telemetry via recordOrchestraExecution (orchestra_executions)","app/api/reports/ai-builder/analyze/route.ts"
"C:\ct\ct\src\lib\services\api-usage-service.ts","SERVICE","getApiUsageAnalytics","API usage analytics / rate limiting","Aggregates api_key_request_log for an org over the last N days: total requests, rate-limited count and rate (0 when no requests), per-day request counts, and the top 10 route+method pairs by volume","{orgId}; sinceDays (default 30)","ApiUsageSummary{totalRequests,rateLimitedRequests,rateLimitedRate,requestsByDay,topRoutes}","api_key_request_log","app/api/settings/api-keys/usage/route.ts"
"C:\ct\ct\src\lib\services\approval-workflow-service.ts","SERVICE","detectCriticalActionCategory, enforceFourEyesFloor, listWorkflowDefinitions, createWorkflowDefinition, startApprovalWorkflow, getWorkflowInstanceForEntity, listMyPendingApprovals, isSelfApproval, decideApprovalStep (+ re-exported ServiceError)","Approvals / shared workflow engine","Entity-agnostic ordered-step approvals: selects applicable steps by numeric plus ABAC attribute conditions (unknown field fails safe by including the step), forces requiredApprovals>=2 (four-eyes) on high-impact categories at both definition and instance time, gates each decision on ROLE_RANK or an authorized delegation, blocks self-approval, counts quorum, then advances or rejects the instance","{entityType,entityId,entityData,dynamicChainId?}; step definitions{stepOrder,approverRole,requiredApprovals,conditions}; stepInstanceId + approved|rejected + comment","Definition and instance rows (steps annotated with highImpactCategory and fourEyesSatisfied); DecideApprovalStepResult{ok,entityType,entityId,instanceStatus}","approval_workflow_definitions, _step_definitions, _instances, _step_instances, _step_approvals, users, entity_relationships, dynamic_chains","app/api/approvals/[id] and app/api/approval-workflows/* routes; erp-accounting, erp-selling, erp-returns, erp-payment-entries, erp-procurement-workflow, erp-fixed-assets, erp-contract, construction-boq, hr and task services"
"C:\ct\ct\src\lib\services\asset-dependency-utils.ts","SERVICE","mergeDependency","UMR asset graph (pure helper)","Idempotently appends a dependency assetId to the existing denormalized dependencies array, returning the original array unchanged if it is already present","existing string[] of assetIds; newDependency assetId","string[] of assetIds","NONE - deliberately imports no DB so it is unit-testable in isolation","lib/services/asset-relationship-service.ts (linkAssetDependency)"
