"Hop_No","Stage","Component","File_Path","Entry_Function","What_Happens","On_Success","On_Failure","Mermaid_Node_Id"
"11","PROJEXA route handler (BOTH)","Second, independent auth + org resolution","C:\ct\projexa\src\lib\supabase\auth-guard.ts","requireAuth()","Runs getClaimsWithRetry AGAIN (route handlers do not trust middleware state), then memberships.select('organization_id, role') with ONE retry. Returns {user, organizationId, role, response}.","ctx.response===null; ctx.organizationId + ctx.role available","No claims -> 401 Unauthorized. Membership query fails twice -> 503 'Could not verify organization membership, please retry'. No membership row -> 400 'No organization'","K"
"12","PROJEXA route handler (DIFFERS)","Input validation","C:\ct\projexa\src\app\api\work-progress\route.ts","GET / POST","READ: requires ?projectId, else 400 'projectId query param is required'. WRITE: await request.json() and appends actorEmail: ctx.user?.email ?? null onto the body (attribution for the shared org key).","Proceeds to callVeridian","READ missing projectId -> 400 before any upstream call","L"
"13","PROJEXA client (BOTH)","Upstream call entry","C:\ct\projexa\src\lib\veridian-client.ts","callVeridian(path, options) -> callVeridianRaw","Thin res.json() wrapper over callVeridianRaw. READ: GET /work-progress?projectId=.. WRITE: POST /work-progress with JSON body. Always cache:'no-store'. Both pass {organizationId: ctx.organizationId}.","Parsed JSON returned to the route","Throws VeridianApiError (see hops 22-23)","M"
"14","PROJEXA client (BOTH)","Per-org key resolution","C:\ct\projexa\src\lib\veridian-client.ts","resolveApiKey({apiKey, organizationId})","Priority: (1) explicit apiKey, (2) this org's row in veridian_credentials, (3) shared VERIDIAN_API_KEY env ONLY when organizationId was omitted entirely. AR-04: an organizationId WITH no row must never fall back to the shared key.","Bearer key string","organizationId present but no credentials row -> throws VeridianApiError status 500 'No VERIDIAN credentials configured for organization ... (AR-04)'. No org and no env key -> 500 'No VERIDIAN API key configured'","N"
"15","PROJEXA Supabase read (BOTH)","veridian_credentials lookup - PROJEXA DB","C:\ct\projexa\src\lib\veridian-client.ts + C:\ct\projexa\src\lib\db\index.ts","getVeridianApiKey(organizationId)","drizzle/postgres-js select of veridianCredentials.veridianApiKey. Connection built from NEXT_PUBLIC_SUPABASE_URL ref + SUPABASE_DB_PASSWORD via aws-1-ap-south-1 pooler:6543. TERMINUS: PROJEXA Supabase evpckeuxgvahguwsaeul (memberships + veridian_credentials live here).","API key string returned","Never throws - any DB error is logged and returns null, which resolveApiKey converts into the AR-04 fail-loud 500","O"
"16","PROJEXA client (BOTH, unused on this route)","Acting-user identity headers","C:\ct\projexa\src\lib\veridian-client.ts","actingUserHeaders(actingUserId, actingUserEmail)","Adds X-Acting-User (Supabase user id) and X-Acting-User-Email when the caller supplies them - headers not query params, so no id lands in access logs/Referer. NOTE: work-progress/route.ts passes NEITHER; it sends actorEmail in the JSON body instead.","Headers attached when supplied","Absent headers -> VERIDIAN falls back to body actorEmail (hop 24)","P"
"17","PROJEXA client (BOTH)","Timeout budget + retry policy","C:\ct\projexa\src\lib\veridian-client.ts","fetchWithTimeout(url, init, callerSignal, timeoutMs)","Per-attempt budget VERIDIAN_FETCH_TIMEOUT_MS=8000; whole-call ceiling VERIDIAN_TOTAL_BUDGET_MS=9000 (or timeoutMs+1000 for uploads). Max 2 attempts. Retry ONLY when: idempotent (GET/HEAD) AND a connection failure (ECONNRESET/ECONNREFUSED/ENOTFOUND/CONNECT_TIMEOUT). NEVER on timeout, NEVER for POST.","{res, durationMs}; recordUpstream(durationMs) feeds Server-Timing","Timeout -> VeridianApiError 504 code UPSTREAM_TIMEOUT, message 'The construction data service did not respond in time. Please retry.' Connection fail -> 502 code NETWORK. Caller abort -> 499 'The request was cancelled.' Internal URL/budget kept in `detail`, logged only","Q"
"18","PROJEXA client (BOTH)","Single attempt + abort mechanics","C:\ct\projexa\src\lib\veridian-client.ts","attemptFetch(url, init, callerSignal, timeoutMs)","Explicit AbortController + setTimeout (NOT AbortSignal.timeout, which never fires on Bun 1.3.14/Windows). timedOut flag distinguishes a budget abort from the caller's own abort. Timer cleared on every settled path.","{res}","{err, timedOut} handed back to fetchWithTimeout for classification","R"
"19","HTTP boundary (BOTH)","PROJEXA -> VERIDIAN over the wire","C:\ct\projexa\src\lib\veridian-client.ts","VERIDIAN_API_BASE (line 46)","fetch(`${base}${path}`) with Authorization: Bearer <per-org vk_ key>. Base = env VERIDIAN_API_BASE_URL, locally 'http://localhost:3000/api/v1/projexa'; code default 'https://veridian-compliance-ai.vercel.app/api/v1/projexa'. root:true strips '/projexa' for legacy /api/v1/* paths.","Request lands on the VERIDIAN (C:\ct\ct) Next.js app","Transport failures classified at hop 17","S"
"20","VERIDIAN route (BOTH)","projexa surface alias","C:\ct\ct\src\app\api\v1\projexa\work-progress\route.ts","export { GET, POST }","One line: `export { GET, POST } from ""@/app/api/v1/construction/progress/route""`. The /projexa/* surface is an alias layer; the real handler is the shared construction route.","Delegates to the construction handler","N/A","T"
"21","VERIDIAN route (BOTH)","Real handler + app-side timing","C:\ct\ct\src\app\api\v1\construction\progress\route.ts","GET -> withRouteTiming('GET', GET_impl) / POST -> withRouteTiming('POST', POST_impl)","Exported handler shape kept for two CI route guards that read it with a regex; body delegated so Server-Timing: app;dur= is measured on the VERIDIAN side.","Impl runs","Impl exceptions handled in the impl's own catch","U"
"22","VERIDIAN auth (BOTH)","Combined session-or-API-key auth","C:\ct\ct\src\lib\supabase\auth-guard.ts","requireAuthOrApiKey(request)","Fast path: no '-auth-token=' cookie AND an Authorization: Bearer header -> go straight to validateApiKey, skipping a wasted supabase.auth.getUser() round-trip (this is exactly how PROJEXA calls). Otherwise session-first ('session wins'). Returns {orgId, dbUser, apiKey, response}.","ctx.orgId set, ctx.apiKey={id,name,scopes}, ctx.dbUser=null for PROJEXA's server-to-server call","Invalid key -> 401 Unauthorized. rate_limited -> 429 with Retry-After","V"
"23","VERIDIAN auth (BOTH)","Bearer key validation + rate limit","C:\ct\ct\src\lib\supabase\api-key-auth.ts","validateApiKey(request)","Requires Bearer token starting 'vk_'; SHA-256 hashed and resolved via the SECURITY DEFINER compliance.lookup_api_key_by_hash(). Rejects inactive keys and known demo keys unless DEMO_API_KEY_IDS allowlists them. Rate limit = key's rate_limit_per_minute (demo keys capped at 30/min), counting DB rows + queued rows. Usage batched via api-key-audit.","{status:'ok', context:{orgId, scopes, keyId, keyName}}","status 'invalid' -> 401. Over limit -> {status:'rate_limited', retryAfterSeconds} -> 429 + Retry-After. Rejected requests are still logged","W"
"24","VERIDIAN authz (WRITE ONLY)","Scope gate","C:\ct\ct\src\lib\supabase\auth-guard.ts","requireRoleOrScope(ctx, 'member', 'write')","Session caller -> requireRole(dbUser,'member'). API-key caller (PROJEXA) has NO role, only scopes -> must hold the 'write' scope. GET_impl calls this NOT AT ALL, so the READ path has no scope gate on this route.","Returns null; handler continues","403 'This action requires a write-scoped API key'. No dbUser and no apiKey -> 401","X"
"25","VERIDIAN org guard (BOTH)","Tenant presence check","C:\ct\ct\src\app\api\v1\construction\progress\route.ts","if (!ctx.orgId) (GET line ~17, POST line ~55)","Explicit 400 rather than the old house pattern of a fake-success empty 200 (E-52 sweep). Note ordering differs: READ checks orgId immediately after auth; WRITE checks it AFTER the scope gate.","ctx.orgId available for tenant scoping","400 {error:'No organisation on this account'}","Y"
"26","VERIDIAN identity bridge (WRITE ONLY)","Acting user resolution","C:\ct\ct\src\lib\supabase\auth-guard.ts","resolveActingUser(ctx, body?.actorEmail ?? readActingUserEmail(request), readActingUserId(request))","Never uses ctx.apiKey.id as a user id (that was the E-class FK mismatch). Precedence: ctx.dbUser -> X-Acting-User id matched on users.authUserId OR users.id within ctx.orgId -> actorEmail matched on users.email + orgId. Resolves a real, active compliance.users row.","actingUser.id becomes recordedById on the new row","Unmapped id with no email -> 400 code USER_NOT_LINKED. Linked but inactive -> 400 USER_DEACTIVATED. Email resolves to nothing -> 400 USER_NOT_LINKED. No email at all -> 400 'actorEmail is required...'","Z"
"27","VERIDIAN service (DIFFERS)","Domain service entry","C:\ct\ct\src\lib\services\construction-progress-service.ts","WRITE: createProgressEntry({orgId,userId}, body) | READ: listProgressEntries({orgId}, filters)","This is where the construction domain logic actually lives - PROJEXA has none of it. WRITE validates activityId/entryDate present + assertPercentComplete + normaliseEntryBasis. READ requires projectId or activityId and accepts activityId/dateFrom/dateTo/boqLineItemId filters.","Enters a tenant-scoped transaction","ServiceError(message, status) -> route returns that status verbatim; READ 'projectId or activityId is required' 400","AA"
"28","VERIDIAN DB scoping (BOTH)","RLS tenant context transaction","C:\ct\ct\src\lib\db\tenant-scoped.ts","withTenantContext({orgId, userId?}, fn)","Opens a db.transaction on the app_runtime pool and issues SELECT set_config('app.current_org_id', $1, true) (+ app.current_user_id when supplied) - parameterised set_config, never `SET LOCAL ${..}`. RLS policies read compliance.current_org_id()/current_user_id(). app_runtime has NO RLS bypass. Pool max:5, statement_timeout 25s, idle_in_transaction 30s. Nested calls are refused by assertNotNested.","Transaction runs with tenant GUCs set; commits at the end","Idle-in-transaction kill (SQLSTATE 25P03) is logged with the originating route then rethrown; nested-context violation throws","AB"
"29","VERIDIAN business rules (WRITE ONLY)","Cross-project scope checks","C:\ct\ct\src\lib\services\construction-progress-service.ts","assertProject(db, orgId, projectId); constructionActivities lookup","assertProject requires the project to exist for this orgId. The activity lookup is scoped by id AND orgId AND projectId - without the projectId predicate a caller could post progress against project A naming project B's activity (R48_PROGRESS_ENTRY_NO_PROJECT_MEMBERSHIP_CHECK_01).","Activity confirmed to belong to this project+org","ServiceError 'Activity not found' 404 (also used for a wrong-project activity)","AC"
"30","VERIDIAN business rules (WRITE ONLY)","BOQ-line requirement (coded refusal)","C:\ct\ct\src\lib\services\construction-progress-service.ts","ProgressRuleError('BOQ_LINE_REQUIRED', ['boqLine'])","If the project has ANY constructionBoqs row and no boqLineItemId was supplied, the write is refused BEFORE anything is stored. A project with no BOQ is accepted unlinked. Raised as a CODE, never English - wording lives in PROJEXA's src/lib/task-errors.ts. resolveBoqLineItemForEntry also refuses a parent line (derived, roll-up only).","boqLineItemId resolved or null","Route catches ProgressRuleError -> 400 {code:'BOQ_LINE_REQUIRED', missing:['boqLine']}. Parent line -> ServiceError 400","AD"
"31","TERMINUS - CRR Supabase (DIFFERS)","Postgres write / read","C:\ct\ct\src\lib\services\construction-progress-service.ts","WRITE: db.insert(constructionWorkProgressEntries).values({...}).returning() | READ: selectEntries(...) + 2 leftJoins","WRITE inserts orgId, projectId, activityId, boqLineItemId, entryDate, quantityDone, percentComplete, entryBasis, remarks, recordedById=actingUser.id. READ selects with leftJoin on constructionActivities and constructionBoqLineItems, ordered by entryDate desc. TERMINUS: Supabase pcrjmlpuqsbocqfwoxod (CRR/compliance-tracker) via role app_runtime.pcrjmlpuqsbocqfwoxod - NOT PROJEXA's evpckeuxgvahguwsaeul.","WRITE returns {...row, linkedToBoq: boqLineItemId!==null}; READ returns enriched rows","DB error propagates out of the transaction (rollback) to the route's generic catch -> 500","AE"
"32","VERIDIAN post-write (WRITE ONLY)","In-transaction roll-up","C:\ct\ct\src\lib\services\construction-progress-service.ts","rollUpLinkedIssueCompletion(db, orgId, boqLineItemId, row.id)","Runs on the SAME transaction (programme decision D-06 forbids a nested withTenantContext) and is never fire-and-forget: recomputes linked pms_issues completion from every entry on the line. Idempotent by recompute, not delta.","Schedule completion re-derived with this entry as provenance","Roll-up failure fails the whole insert - the entry and the schedule can never silently disagree","AF"
"33","VERIDIAN post-write (WRITE ONLY)","Cache bust + automation trigger","C:\ct\ct\src\lib\services\construction-progress-service.ts","bustProjectDashboardCache(orgId, row.projectId); evaluateAndRunRules(...)","After commit: dashboard cache (60s) busted BEFORE anything async so the next read recomputes. If percentComplete >= 100, a fire-and-forget dynamic import fires automation event 'construction_work_progress.completed'.","Row returned to the route handler","Automation is void/fire-and-forget by design - it never blocks or fails the write it enriches","AG"
"34","VERIDIAN response (DIFFERS)","Status + error mapping (upstream side)","C:\ct\ct\src\app\api\v1\construction\progress\route.ts","GET_impl / POST_impl catch blocks","READ success -> 200 {entries}. WRITE success -> 201 with the row. Catch order on WRITE: ProgressRuleError -> 400 {code, missing}; ServiceError -> {error: message} at error.status; anything else -> console.error + 500 generic. READ has no ProgressRuleError branch.","JSON returned across the HTTP boundary to PROJEXA","500 {error:'Failed to create progress entry'} / {error:'Failed to fetch progress entries'} for unclassified errors","AH"
"35","PROJEXA client (BOTH)","Upstream failure classification","C:\ct\projexa\src\lib\veridian-client.ts","throwForResponse(res, durationMs)","The single place a non-2xx VERIDIAN response becomes a typed error, shared by all four transports (JSON/raw/binary/multipart). Parses {error, code, missing}. Sets VeridianErrorCode: STORAGE_UNAVAILABLE if message matches /supabasekey is required/i, else UPSTREAM_500 if status>=500, else null for a 4xx. Rule code lands on `ruleCode` (separate field from transport `code`), whole body on `body`.","N/A - only runs on !res.ok","Throws VeridianApiError(message, status, detail, code, durationMs, errorBody). STORAGE_UNAVAILABLE gets its own sentence: '...file storage is not configured. Nothing was lost - this needs an administrator.'","AI"
"36","PROJEXA route handler (DIFFERS)","Client-facing error mapping","C:\ct\projexa\src\lib\veridian-response.ts + work-progress\route.ts","veridianErrorResponse(err, fallback) / classifyUpstreamFailure","WRITE first checks `err instanceof VeridianApiError && err.ruleCode` and forwards {code, missing} at err.status (wire shape unchanged for WorkProgressFormClient). Everything else: RETRYABLE_CODES = {UPSTREAM_TIMEOUT, NETWORK} are remapped to 503 + Retry-After: 5; STORAGE_UNAVAILABLE deliberately keeps its own status and gets NO Retry-After; 4xx keeps its status. Server-Timing always set.","READ 200 with upstream JSON; WRITE 201 with the created row","{error: message, code} at 503 (retryable) or the upstream's own status. Fallback message only used when the thrown value carries none (C19 ERROR_TRUTHFUL)","AJ"
"37","Browser (BOTH)","Response consumed","UNKNOWN","UNKNOWN","Browser receives JSON plus Server-Timing: upstream;dur=..,app;dur=.. and, on a retryable failure, Retry-After: 5. Rule codes are turned into sentences client-side from PROJEXA's src/lib/task-errors.ts.","Screen renders data / created entry","Screen branches on the closed code set rather than parsing a message","AK"
"38","ALTERNATE READ HOP (READ ONLY)","Cached reference-data read","C:\ct\projexa\src\lib\veridian-client.ts + C:\ct\projexa\src\app\api\currencies\route.ts","createCachedVeridianGet(cacheKey, path, revalidateSeconds)","Some GET-only reference routes (e.g. /api/currencies, 60s) replace hop 13 with an unstable_cache-wrapped callVeridian. organizationId is BOTH an explicit keyPart and the wrapped function's sole argument, because Next's fetch cache keys on URL+method+body and NOT headers - a naive `next:{revalidate}` on the shared fetch would serve org A's data to org B. Never used for live figures or any write.","Cached JSON returned without an upstream hop","Cache miss falls through to the normal callVeridian chain (hops 13-19)","AL"
