"Report_Id","Report_Name","Entry_Route","Definition_File_Path","Parameters","Data_Source","Output_Format","Export_Options","Purpose"
"budget-vs-actual","Budget vs Actual","/reports?report=budget-vs-actual&projectId=","src/lib/report-parameters.ts","projectId (req) only","GET /api/reports/budget-vs-actual -> VERIDIAN /reports/budget-vs-actual","Generic ReportOutput - no ReportSchema","Browser-built CSV only; PDF/XLSX disabled; not shareable","Project budget against actual expenses, variance broken down by expense head"
"material-consumption","Material Consumption","/materials?tab=cost-report&projectId=&from=&to= (navigate)","src/lib/report-parameters.ts; src/lib/report-destinations.ts; src/lib/material-cost-report.ts","projectId (req), from, to (applied), groupBy=material|vendor","MaterialsClient -> GET /api/construction-materials/cost-report -> VERIDIAN /construction/materials/cost-report (root)","Cost Report tab table, grouped by Material or Vendor, with tie check before Export","Browser CSV via buildMaterialCostCsv; server PDF/XLSX/CSV via /api/construction-materials/cost-report/export","Quantity received and cost per material and vendor against the master unit cost"
"vendor-cost","Vendor Cost","/reports?report=vendor-cost&projectId=","src/lib/report-parameters.ts","projectId (req). supportsVendor=true (client-side filter). No date range","GET /api/reports/vendor-cost -> VERIDIAN /reports/vendor-cost","Generic ReportOutput - no ReportSchema","Browser-built CSV only; PDF/XLSX disabled; not shareable","Labour cost for this project, by vendor"
"designer-timesheet","Designer Timesheet","/design-studio/cost-analysis?projectId=&from=&to= (navigate; picker button 'Open Cost Analysis')","src/lib/report-parameters.ts; src/lib/report-destinations.ts; src/app/(app)/design-studio/cost-analysis/page.tsx","projectId (req), from, to (applied), supportsCategory=true","DesignStudioCostAnalysisClient -> GET /api/reports/designer-timesheet?projectId= -> VERIDIAN /reports/designer-timesheet","Four stacked Budget-vs-Actual breakdown sections with paired bars on one shared scale; Group-by buttons","Export button routes to /reports?report=designer-timesheet (no local PDF/XLSX library); server export via /api/reports/designer-timesheet/export forwards from/to","Hours by designer, with budget against actual by category, designer and project"
"kpi","KPI","/reports?report=kpi&projectId=","src/lib/report-parameters.ts","projectId (req) only","GET /api/reports/kpi -> VERIDIAN /reports/kpi","Generic ReportOutput - no ReportSchema","Browser-built CSV only; PDF/XLSX disabled; not shareable","The project's approved KPI entries against their definitions"
"revenue","Revenue","/reports?report=revenue&projectId=","src/lib/report-parameters.ts","projectId (req) only","GET /api/reports/revenue -> VERIDIAN /reports/revenue","Generic ReportOutput - no ReportSchema","Browser-built CSV only; PDF/XLSX disabled; not shareable","The project's non-cancelled sales invoices and their total"
"expense","Expense","/reports?report=expense&projectId=","src/lib/report-parameters.ts","projectId (req) only","GET /api/reports/expense -> VERIDIAN /reports/expense","Generic ReportOutput - no ReportSchema","Browser-built CSV only; PDF/XLSX disabled; not shareable","The project's expense entries summarised by expense head"
"construction-attendance","Attendance Report (catalog id)","/labour?tab=attendance (navigate)","src/lib/report-destinations.ts (HOSTED_REPORTS)","None taken by the destination builder - returns a fixed path","LabourClient Attendance tab -> AttendanceSummaryPanel -> GET /api/attendance/summary?projectId=&from=&to=","Trade-wise attendance summary table with reconciliation banner","Browser CSV (exportCsv); PDF via /api/attendance/summary/pdf; Share via /api/attendance/summary/share","Catalog entry for the Attendance Report - routes to the live Manpower/Labour attendance summary instead of saying 'Not yet viewable here'"
"construction-manpower-cost","Manpower Cost Report (catalog id)","/labour?tab=attendance (navigate)","src/lib/report-destinations.ts (HOSTED_REPORTS)","None taken by the destination builder - returns a fixed path","LabourClient Attendance tab -> AttendanceSummaryPanel -> GET /api/attendance/summary","Trade-wise attendance/labour-cost summary table","Browser CSV; PDF via /api/attendance/summary/pdf; Share via /api/attendance/summary/share","Catalog entry for the Manpower Cost Report - routed to the same live trade-wise summary"
"budget-variance","Budget Summary (document schema)","No picker entry - reached as /scope?tab=budget and as project-status's row source","src/lib/report-schema.ts (REPORT_SCHEMAS['budget-variance'])","projectId (req), category (repeatable), vendorId, groupBy=scope|category","GET /api/reports/budget-variance -> VERIDIAN /reports/budget-variance","ReportDocument, 11 columns (S.No, Category, Code, Description, Qty, Rate, Amt, Budget, Vendor, Vendor Amt, Variance); grouped by Category; totals budget/vendorAmount/variance; tie against totalBudget","PDF/XLSX/CSV via /api/reports/budget-variance/export (serverExport=true)","Sumeet 6.png II(iii)'s eleven-column budget summary; also supplies project-status's breakup table"
"reports-screen","Reports (module screen)","/reports?projectId=&report=&from=&to=&weekStart=","src/app/(app)/reports/page.tsx; src/components/ReportsClient.tsx","projectId, report, from, to, weekStart, category, vendorId - all read from and written back to the URL (src/lib/report-run.ts)","Per selected report (see rows above); labels from getScreenColumns('reports.report'); result cache in src/lib/report-result-cache.ts (sessionStorage)","Two tabs: 'Project Reports' (picker + parameter card + result panel) and 'Full Catalog'","ExportShareActions (PDF/XLSX/CSV + Share + WhatsApp + Copy link) per report's capability","The module that runs any of the 17 project reports and lists the org-wide catalog"
"reports-full-catalog","Full Catalog","/reports (Full Catalog tab)","src/components/ReportCatalogSection.tsx","companyId filter; per-entry run parameters supplied by ReportCatalogRunner","GET /api/reports/catalog -> VERIDIAN /reports/catalog (report_definitions); GET /api/companies","Catalog cards with 'Runs here' / 'Not available in PROJEXA yet' badges resolved by isInReportRegistry + catalogDestination","Inherited from the destination screen; catalog itself offers no file export","Org-wide list of every report definition VERIDIAN knows, with an honest badge about whether PROJEXA can run it"
"reports-catalog-runner","Catalog inline runner","/reports (Full Catalog tab, inline)","src/components/ReportCatalogRunner.tsx","definitionId, from/to defaulted by monthToDateRange (src/lib/report-registry.ts), plus definition-declared filters","POST /api/reports/definitions/{id}/run -> VERIDIAN /reports/definitions/{id}/run (executeReportDefinition)","ReportResultView - Table / Pivot / Chart view-mode tabs over a {columns, rows} result","UNKNOWN - no export control found in ReportCatalogRunner.tsx","Runs an arbitrary report_definitions row in place, without leaving the catalog"
"analysis-screen","Analysis","/analysis?projectId=","src/app/(app)/analysis/page.tsx; src/lib/analysis-screens.ts","projectId (optional; rows still render with 'Opens without a project until one is selected')","resolveSelectedProject + the static ENTRIES list in src/lib/analysis-screens.ts (no network report call)","ProjexaLinkListCard - a link list of four analytical screens","None - it is a directory, not a report","The destination the Analysis shell leaf never had; lists the four analytical screens buried as tabs in other modules"
"analysis-work-progress-analytics","Work Progress Analytics","/work-progress?tab=analytics&projectId=","src/lib/analysis-screens.ts; src/components/WorkProgressAnalyticalClient.tsx","projectId, category (?category= drill-down, shareable)","VERIDIAN via /api/scope and /api/scope/{id} reads (WorkProgressAnalyticalClient)","KPI tiles + per-category bars with KPI_CAPTION explaining flat-average vs value-weighted","Export intentionally disabled here - reason text points to the Report tab's PDF/XLSX/CSV","Logged % and earned % per scope category, with the entries behind each bar"
"analysis-cost-variance","Cost Variance","/scope?tab=variance&projectId=","src/lib/analysis-screens.ts; src/app/(app)/scope/page.tsx; src/components/BudgetAnalyticalClient.tsx","projectId, category, vendorId","GET /api/reports/budget-variance -> VERIDIAN; /api/vendors; edits via PATCH /api/scope/line-items/{id}","Editable flat budget/vendor table with filter drawer","Browser CSV (budget-<projectId>.csv)","Budget against vendor amount for every BOQ line, worst overrun first"
"analysis-category-distribution","Category distribution","/dashboard/project?projectId=","src/lib/analysis-screens.ts; src/components/CategoryDistributionCharts.tsx","projectId; companyId+projectId when read through the hierarchy route","GET /api/dashboard/project/{projectId} -> VERIDIAN /dashboard/{projectId}; or /api/dashboard-hierarchy/companies/{companyId}/projects/{projectId}/category-distribution","One sorted horizontal bar per category (Completed drawn over Total, share printed after the label). The pie was deliberately removed (R67 E-23)","UNKNOWN - no export control found in CategoryDistributionCharts.tsx","Each trade's share of the BOQ and how much of it is complete"
"analysis-designer-cost","Designer cost analysis","/reports?report=designer-timesheet&projectId=","src/lib/analysis-screens.ts","projectId","Resolves to the designer-timesheet report (see that row)","Link entry only - opens the Reports picker on that report","Inherited from the designer-timesheet report","Hours and cost per designer against their budget line"
"dashboard-home","Dashboard / HOME","/dashboard?projectId=&companyId=&departmentId=&from=&to=","src/app/(app)/dashboard/page.tsx; src/components/DashboardHomeView.tsx","projectId, companyId (membership-verified), departmentId, from, to","VERIDIAN /dashboard (via callVeridian), /currencies (5-min per-org cache), /permits?withinDays=30; labels from screen-definitions 'dashboard.dashboard'","KPI tile grid + project rows; renders DashboardProjectClient instead when a project is in scope","UNKNOWN - no export control found in dashboard/page.tsx or DashboardHomeView.tsx","The org portfolio home screen - KPI tiles, project rows, permits-expiring signal"
"dashboard-project","Project Dashboard","/dashboard/project?projectId=","src/app/(app)/dashboard/project/page.tsx; src/components/DashboardProjectClient.tsx","projectId","GET /api/dashboard/project/{projectId} -> VERIDIAN /dashboard/{projectId}; labels from /screen-definitions/dashboard.dashboard","KPI cards + CategoryDistributionCharts bars; KPI tiles deep-link to /work-progress?tab=analytics and /scope?tab=variance","UNKNOWN - no export control found","The first screen a PM opens every morning, for ONE project"
"dashboard-hierarchy","Company Dashboard","/dashboard/hierarchy","src/app/(app)/dashboard/hierarchy/page.tsx; src/components/DashboardHierarchyClient.tsx","companyId, departmentId, projectId, date range (selected in-screen, not URL params)","/api/dashboard-hierarchy/companies, .../departments, .../dashboard, .../projects/{projectId}, .../category-distribution","Company -> Department -> Project drill-down with Revenue/Budget/Expense/Progress and BOQ category-distribution charts","UNKNOWN - no export control found","Owner's Company/Department/Project drill-down. Its Company selector was also folded into the /dashboard Filter drawer (R67 E-02)"
"dashboard-overview","Projects Overview (retired)","/dashboard/overview -> redirect('/dashboard')","src/app/(app)/dashboard/overview/page.tsx","None - the page body is a single redirect","None - no data read remains on this route","Redirect only. ProjectsOverviewClient.tsx and src/lib/dashboard-overview.ts remain on disk but are referenced by no route","None","Kept as a redirect so bookmarks/screenshots/shared links to the old project-rows screen still land somewhere real"
"design-studio-cost-analysis","Design Studio Cost Analysis","/design-studio/cost-analysis?projectId=","src/app/(app)/design-studio/cost-analysis/page.tsx; src/components/DesignStudioCostAnalysisClient.tsx","projectId (required - error card when absent), from, to, grouping (in-screen Group-by buttons)","GET /api/reports/designer-timesheet?projectId= -> VERIDIAN designerTimesheetReport","Four stacked Budget-vs-Actual sections, paired bars on ONE shared scale","Export button navigates to /reports?report=designer-timesheet - PROJEXA must not gain a PDF/XLSX library","Budget vs Actual for design hours, by category, designer and project"
"share-report-public","Public shared report","/share/report/{token} (unauthenticated, outside (app))","src/app/share/report/[token]/page.tsx","token (path param)","Plain unauthenticated fetch of VERIDIAN_ORIGIN + /api/reports/share/{token} (never callVeridian - no API key)","Server-rendered read-only HTML. Two renderers: work_progress (Item/Rate/Amt/Prev%/Current%/Total% + Grand Total) and project_status (scalars + Subcontractor/Budget breakup)","None - it IS the shared artifact; no nav, no chrome, no link back into the product","Read-only, token-scoped, expiring public view of a shared report"
"work-progress-report-tab","Work Progress Report tab","/work-progress?tab=report","src/app/(app)/work-progress/page.tsx; src/components/WorkProgressReportClient.tsx; src/lib/work-progress-report.ts","from, to, view (scope|category|manpower|vendor), boqVersion, mode=total|balance, category (repeatable), export=csv (auto-export from composer)","GET /api/work-progress/report (5 VERIDIAN calls, 30s server deadline REPORT_DEADLINE_MS); prewarmed on tab hover by src/lib/work-progress-report-prewarm.ts","Four view tabs, ScopeTable, SortedBarList, checkTies guard that disables Export when subtotals do not sum","PDF, XLSX, browser CSV, Share link, WhatsApp (ExportShareActions)","D-02's single Work Progress Report - runs on arrival from URL parameters"
"scope-budget-tab","Scope > Budget","/scope?tab=budget (also honours ?tab=variance)","src/app/(app)/scope/page.tsx; src/components/BudgetAnalyticalClient.tsx","projectId, category, vendorId","GET /api/reports/budget-variance; /api/vendors; PATCH /api/scope/line-items/{id}","Editable budget sheet with Category/Vendor filter and Export","Browser CSV (budget-<projectId>.csv)","PROJEXA's project budget sheet - editable in place, replacing the old read-only Cost Variance tab"
"scope-revenue-budget-actual","Scope > Revenue / Budget / Actual","/scope?tab=revenue-budget-actual","src/app/(app)/scope/page.tsx; src/components/BudgetActualClient.tsx; src/lib/budget-variance-report.ts","projectId, groupBy=scope|category (VarianceGroupBy)","GET /api/reports/budget-variance?<query> -> VERIDIAN aggregateRevenueBudgetActual","Scope-wise / category-wise fold with a Revenue column","PDF and XLSX via /api/reports/budget-variance/export?format=; Share via shareUrlFactory (ExportShareActions)","Revenue against budget against actual, folded scope-wise or category-wise"
"materials-cost-report-tab","Materials > Cost Report","/materials?tab=cost-report","src/components/MaterialsClient.tsx; src/lib/material-cost-report.ts","projectId, from, to, groupBy=material|vendor","GET /api/construction-materials/cost-report -> VERIDIAN /construction/materials/cost-report (voided receipts excluded server-side)","Grouped cost table with a tie check that gates Export","Browser CSV (buildMaterialCostCsv, cost-report-<from>-to-<to>); server PDF/XLSX/CSV via .../cost-report/export","The exportable material cost report - one grouped SQL aggregate in one transaction"
"labour-attendance-summary","Manpower / Labour Attendance Summary","/labour?tab=attendance","src/components/LabourClient.tsx; src/components/AttendanceSummaryPanel.tsx","projectId, from, to (RANGE_PRESET_LABELS presets), date","GET /api/attendance/summary -> VERIDIAN /attendance/summary","Trade-wise summary table with a reconciliation banner; Export is refused while RECONCILIATION_EXPORT_REASON applies","Browser CSV; PDF via /api/attendance/summary/pdf; Share via /api/attendance/summary/share","Attendance and labour-cost summary by trade - the live home of the Attendance and Manpower Cost catalog entries"
"accounting-dashboard","Accounting > Dashboard","/accounting?tab=dashboard","src/components/AccountingClient.tsx (DashboardPanel)","None","GET /api/finance-dashboard -> VERIDIAN /finance-dashboard","Finance summary panel (cash position, AR aging summary, top overdue invoices, revenue this vs last month)","UNKNOWN - no export control found in DashboardPanel","Finance overview built from real GL postings"
"accounting-trial-balance","Trial Balance","/accounting?tab=trial-balance","src/components/AccountingClient.tsx (TrialBalancePanel)","asOfDate, companyId + consolidate (CompanySelector scope)","GET /api/trial-balance?asOfDate=&<companyScope> -> VERIDIAN /trial-balance","Trial balance table","UNKNOWN - no export control found in TrialBalancePanel","Trial balance as of a date, per company or consolidated"
"accounting-pnl","Profit & Loss","/accounting?tab=pnl","src/components/AccountingClient.tsx (ProfitAndLossPanel)","fromDate, toDate, companyId + consolidate","GET /api/profit-and-loss?fromDate=&toDate=&<companyScope> -> VERIDIAN /profit-and-loss","P&L statement table","UNKNOWN - no export control found in ProfitAndLossPanel","Period P&L from actual GL postings"
"accounting-balance-sheet","Balance Sheet","/accounting?tab=balance-sheet","src/components/AccountingClient.tsx (BalanceSheetPanel)","asOfDate, companyId + consolidate","GET /api/balance-sheet?asOfDate=&<companyScope> -> VERIDIAN /balance-sheet","Balance sheet table","UNKNOWN - no export control found in BalanceSheetPanel","Balance sheet as of a date, per company or consolidated"
"accounting-project-pnl","P&L by Project","/accounting?tab=project-pnl","src/components/AccountingClient.tsx (ProjectPnlPanel)","fromDate, toDate, companyId + consolidate","GET /api/profit-and-loss-by-project?fromDate=&toDate=&<companyScope> -> VERIDIAN /profit-and-loss-by-project","Per-project P&L table","UNKNOWN - no export control found in ProjectPnlPanel","Profit and loss broken down by project"
"grc-dashboard","Risk & Compliance Dashboard","/grc?tab=dashboard","src/app/(app)/grc/page.tsx; src/components/GrcClient.tsx","tab (server-resolved)","GET /api/grc-dashboard -> VERIDIAN /grc-dashboard","Risk heatmap plus audit/policy/vendor-risk status rollup; sibling tabs Risk Register, Audits & Findings, Policies, Vendor Risk, Fraud & Incidents, Access Review, Compliance Register","UNKNOWN - no export control found in GrcClient.tsx","Governance/risk/compliance rollup across risk, audit, policy and vendor-risk registers"
"hr-dashboard","HR Dashboard","/hr","src/app/(app)/hr/page.tsx; src/components/HrDashboardClient.tsx","None","GET /api/employees, /api/hr/departments, /api/leave/requests, /api/recruitment/job-openings, /api/payroll/runs","Summary cards over the five reads","UNKNOWN - no export control found in HrDashboardClient.tsx","Headcount, departments, leave, recruitment and payroll rollup"
"sales-dashboard","Sales Dashboard","/sales","src/app/(app)/sales/page.tsx; src/components/SalesDashboardClient.tsx","None","GET /api/sales-pipeline","Pipeline summary","UNKNOWN - no export control found in SalesDashboardClient.tsx","Sales pipeline overview"
"portfolio-budget-vs-actual","Portfolio revenue / budget / progress by project","No PROJEXA page route found - API only","src/app/api/reports/portfolio/budget-vs-actual/route.ts","departmentId, from, to (forwarded unexamined; no projectId - it IS the cross-project comparison)","GET /api/reports/portfolio/budget-vs-actual -> VERIDIAN /reports/portfolio/budget-vs-actual","JSON relay","None on the route itself","Sumeet 5.png's first graph - revenue, budget and progress per project across the portfolio"
"api-reports-run","Report run relay","GET /api/reports/{reportName}","src/app/api/reports/[reportName]/route.ts","reportName (path); every query param forwarded unexamined","VERIDIAN /reports/{reportName}","JSON","n/a","One generic proxy for all 17 named reports - VERIDIAN alone decides which report needs which param"
"api-reports-export","Report document export relay","GET /api/reports/{reportName}/export","src/app/api/reports/[reportName]/export/route.ts","projectId (required, 400 otherwise), format=pdf|xlsx|csv, category (repeatable), vendorId, from, to","VERIDIAN /reports/{reportName}/export","Byte-for-byte binary relay; Content-Type/Content-Disposition passed through","PDF, XLSX, CSV","Server-rendered exports built from the SAME schema the on-screen document renders; PROJEXA holds no PDF/XLSX library"
"api-reports-share","Report share-link mint","POST /api/reports/{reportName}/share","src/app/api/reports/[reportName]/share/route.ts","reportName (path); body projectId, from, to (all required)","VERIDIAN /reports/share (reportType work_progress | project_status)","JSON {url, expiresAt}, 201","Returns a /share/report/{token} URL on PROJEXA's own domain","Mints a tokenised expiring public link, refused in words for any report the public page cannot render"
"api-reports-catalog","Report catalog relay","GET /api/reports/catalog","src/app/api/reports/catalog/route.ts","None","VERIDIAN /reports/catalog (getFullReportCatalog)","JSON","n/a","Thin proxy for the org-wide report_definitions catalog"
"api-reports-definition-run","Report definition executor relay","POST /api/reports/definitions/{id}/run","src/app/api/reports/definitions/[id]/run/route.ts","id (path); JSON body forwarded as-is","VERIDIAN /reports/definitions/{id}/run (executeReportDefinition)","JSON","n/a","The one real execution path every report_definitions row runs through"
"api-budget-variance-export","Budget variance export relay","GET /api/reports/budget-variance/export","src/app/api/reports/budget-variance/export/route.ts","projectId (required), format=pdf|xlsx|csv, category (repeatable), vendorId","VERIDIAN /reports/budget-variance/export","Byte-for-byte binary relay","PDF, XLSX, CSV","Cost Variance / Budget Summary exports, kept as its own path so its existing callers are untouched"
"api-wpr-run","Work Progress Report data route","GET /api/work-progress/report","src/app/api/work-progress/report/route.ts; src/lib/work-progress-report.ts","projectId, from, to, mode; 30s deadline (REPORT_DEADLINE_MS)","Five VERIDIAN calls (scope, activities, work-progress, attendance, labour-roster) composed locally by buildWorkProgressReport","JSON {rows, byManpower, byVendor, ...}","n/a","The only place the WPR's Prev/Current/Total arithmetic is computed on the PROJEXA side"
"api-wpr-pdf","Work Progress Report PDF relay","GET /api/work-progress/report/pdf","src/app/api/work-progress/report/pdf/route.ts","projectId (req), from (req), to (req), mode=total|balance","VERIDIAN /work-progress/report/pdf","application/pdf byte relay","PDF","Byte-for-byte PDF relay - PROJEXA has no PDF library"
"api-wpr-xlsx","Work Progress Report XLSX relay","GET /api/work-progress/report/xlsx","src/app/api/work-progress/report/xlsx/route.ts","projectId (req), from (req), to (req), mode=total|balance; abort forwarded","VERIDIAN /work-progress/report/xlsx","XLSX byte relay","XLSX","Replaced an 'Export XLSX' button that was really a browser CSV wearing the wrong label"
"api-wpr-share","Work Progress Report share mint","POST /api/work-progress/report/share","src/app/api/work-progress/report/share/route.ts","body projectId, from, to (all required)","VERIDIAN /reports/share with reportType work_progress","JSON {url, expiresAt}, 201","Returns /share/report/{token}","Tokenised expiring read-only link the user pastes into WhatsApp themselves (not the WhatsApp Business API)"
"api-material-cost-report","Material cost report relay","GET /api/construction-materials/cost-report","src/app/api/construction-materials/cost-report/route.ts","projectId (required, 400 otherwise), from, to, groupBy","VERIDIAN /construction/materials/cost-report (root)","JSON {report}","n/a","One grouped SQL aggregate in one transaction; kept because the exportable report has no loaded page to derive from"
"api-material-cost-report-export","Material cost report export relay","GET /api/construction-materials/cost-report/export","src/app/api/construction-materials/cost-report/export/route.ts","projectId (required), format=pdf|xlsx|csv, from, to, groupBy","VERIDIAN /construction/materials/cost-report/export","Byte relay","PDF, XLSX, CSV","Server-rendered exports from the same getMaterialCostReport call the screen used"
"api-manpower-cost-report","Manpower cost report proxy","GET /api/manpower-cost-report","src/app/api/manpower-cost-report/route.ts","projectId (required, 400 otherwise), trade, date","VERIDIAN /reports/manpower-cost?format=legacy","JSON in the legacy manpower-cost handler shape","n/a","Repointed in R39/R-C07 from a VERIDIAN endpoint that was never built; pinned to format=legacy so its published contract survived E-32"
"api-attendance-summary","Attendance summary relay","GET /api/attendance/summary","src/app/api/attendance/summary/route.ts","projectId, from, to","VERIDIAN /attendance/summary","JSON {rows, ...}","n/a","Feeds the Labour Attendance summary panel and both labour catalog entries"
"api-attendance-summary-pdf","Attendance summary PDF relay","GET /api/attendance/summary/pdf","src/app/api/attendance/summary/pdf/route.ts","projectId, from, to","VERIDIAN /attendance/summary/pdf","PDF byte relay","PDF","Server-rendered attendance summary PDF"
"api-attendance-summary-share","Attendance summary share mint","POST /api/attendance/summary/share","src/app/api/attendance/summary/share/route.ts","UNKNOWN - body fields not read in this pass","VERIDIAN /reports/share","JSON {url, expiresAt}","Share link","Tokenised expiring link for the attendance summary"
"api-dashboard-project","Project dashboard relay","GET /api/dashboard/project/{projectId}","src/app/api/dashboard/project/[projectId]/route.ts","projectId (path)","VERIDIAN /dashboard/{projectId}","JSON","n/a","Backs DashboardProjectClient's KPI cards and category-distribution bars"
"api-dashboard-hierarchy","Company hierarchy dashboard relays","GET /api/dashboard-hierarchy/companies[/{companyId}/{dashboard|departments|projects/{projectId}[/category-distribution]}]","src/app/api/dashboard-hierarchy/companies/route.ts and its [companyId] subtree","companyId, projectId (path); membership verified before scoping","VERIDIAN dashboard-hierarchy endpoints","JSON","n/a","Company -> Department -> Project drill-down data, also used by the /dashboard Filter drawer"
"api-finance-dashboard","Finance dashboard relay","GET /api/finance-dashboard","src/app/api/finance-dashboard/route.ts","None","VERIDIAN /finance-dashboard","JSON","n/a","Cash position, AR aging summary + top overdue invoices, revenue this vs last month"
"api-grc-dashboard","GRC dashboard relay","GET /api/grc-dashboard","src/app/api/grc-dashboard/route.ts","None","VERIDIAN /grc-dashboard","JSON","n/a","Risk heatmap + audit/policy/vendor-risk status rollup"
"api-ar-aging","AR Aging relay","GET /api/ar-aging","src/app/api/ar-aging/route.ts","Whole query string forwarded unexamined","VERIDIAN /ar-aging","JSON","n/a","Accounts-receivable aging. No PROJEXA screen consumer found in src/components or src/app"
"api-ffe-margin-summary","FF&E margin summary relay","GET /api/ffe/margin-summary","src/app/api/ffe/margin-summary/route.ts","projectId (required)","VERIDIAN /ffe/margin-summary","JSON","n/a","Margin rollup shown on the FF&E screen; a failing read must not blank an already-successful items read"
