"Component_File_Path","Kind","Module","Renders_Screen_Type","Key_Props","Purpose"
"src/components/DesignStudioReviewClient.tsx","LIST","Design Studio","kit ScreenFrame","projectId, projectName, role","/design-studio/review. Submitted days grouped by designer; bulk Approve per day, Reject with a ≥5-char reason. Exports MIN_REJECT_REASON."
"src/components/DesignStudioTabs.tsx","SHELL","Design Studio","n/a","projectId","The three Design Studio tabs as real routes (not client state). Exports DESIGN_STUDIO_TABS."
"src/components/DesignStudioTimesheetClient.tsx","LIST","Design Studio","kit ScreenFrame","projectId, projectName, projects, today","'My timesheet' day grid: Date | Project | Category | Task | Hours, status chip at row level, one primary action per day."
"src/components/DesignStudioTimesheetCreateClient.tsx","CREATE","Design Studio","kit ObjectScreen","projectId, projectName, preselectedTaskId, today","/design-studio/timesheets/new. Primary disabled with the missing fields named ('Save (2 required: Task, Hours)')."
"src/components/DesignStudioTimesheetObjectClient.tsx","OBJECT","Design Studio","kit ObjectScreen","entryId, projectId, projectName, projects","/design-studio/timesheets/[id]. Display-first with an explicit Edit; deliberately no keystroke autosave while a manager reviews."
"src/components/DocumentObjectClient.tsx","OBJECT","Documents","kit ObjectScreen","documentId","/documents/[id]. View/download, editable name/category/expiry, dispose. Exports previewKind, documentPatchBody, linkValidityText helpers."
"src/components/DocumentsClient.tsx","LIST","Documents","none (bespoke; useListRead + PaneState)","projectId, projectName, registryColumns, initial","/documents list with filters and server-seeded first paint. Exports applyDocumentFilters, hasActiveFilter, emptyStateText."
"src/components/DocumentUploadClient.tsx","CREATE","Documents","kit ObjectScreen","projectId, projectName, storageConfigured","/documents/upload. Drop zone, real category choice, relatesTo encoding. Exports DROP_ZONE_LABEL and documentSaveReason."
"src/components/DrawingCreateClient.tsx","CREATE","Drawings & 3D","kit ObjectScreen","projectId, projectName, projectError, storageConfigured","/drawings/new. Kind/discipline/file-or-walkthrough-link with size and extension validation; renders unconditionally now."
"src/components/DrawingObjectClient.tsx","OBJECT","Drawings & 3D","KitObjectScreen fork","drawingId, projectId","/drawings/[id]. A drawing is a documents row (category drawing|drawing_3d); destructive action chosen by state."
"src/components/DrawingsClient.tsx","LIST","Drawings & 3D","kit ListScreen + ScreenFrame","projectId, projectName, registryColumns, initial","/drawings list with kind filters and active-filter chips; one create path, kind is a field not a second button."
"src/components/EmployeeCreateClient.tsx","CREATE","Employees","kit ObjectScreen","(none)","/employees/new. upsertEmployeeProfile() needs a real VERIDIAN user session; the honest 400 is surfaced rather than hidden."
"src/components/EmployeeObjectClient.tsx","OBJECT","Employees","kit ObjectScreen","employeeId","/employees/[id]. Real detail + edit over the already-existing GET/PATCH /api/employees/[id]."
"src/components/EmployeesClient.tsx","LIST","Employees / HR","none (bespoke)","initialTab","/employees. Directory, departments and leave tabs, reusing the shared company selector after employee_profiles gained companyId."
"src/components/EntityCombobox.tsx","FORM","Shared / pickers","n/a","id, options, value, onChange, placeholder, disabled, emptyMessage, loading, storedValue, onBlur, aria-label","Pickers that cost one click: preselects a sole option and remembers the last choice. Exports filterOptions, nextHighlight, resolveInitialValue."
"src/components/ExpenseCreateClient.tsx","CREATE","Expenses","kit ObjectScreen","projectId","/expenses/new. Create-only by design: construction-expense-service has no get-single/update/delete for an expense."
"src/components/ExpensesClient.tsx","LIST","Expenses","none (bespoke shadcn Table)","projectId","/expenses list of expense head / description / amount / date, with a route to the create screen."
"src/components/ExportShareActions.tsx","WIDGET","Shared / reports","n/a","canExport, exportReason, title, pdfHref, xlsxHref, csvHref, onCsv, formatReasons, shareUrlFactory, shareReason, onMessage","One Export / Share control for every report screen, replacing six screens' separate answers. Exports whatsappTarget, offeredFormats."
"src/components/FfeClient.tsx","LIST","FF&E","none (bespoke shadcn Table)","projectId","/ffe list of FF&E items with status badges and a margin summary (cost / price / margin %)."
"src/components/FfeCreateClient.tsx","CREATE","FF&E","kit ObjectScreen","projectId","/ffe/new. Replaced FfeClient's 'New Item' Dialog, same fields."
"src/components/FfeObjectClient.tsx","OBJECT","FF&E","kit ObjectScreen","itemId","/ffe/[id]. Surfaces description/vendor/SKU/lead-time and the dimension fields that had a backend but no UI. No Delete (none exists)."
"src/components/FloorPlanEditorClient.tsx","OTHER","Floor Plans","none (bespoke)","floorPlanId","/floor-plans/[id] editor: room polygons, ceiling heights, floor/wall/ceiling materials and furniture placements."
"src/components/FloorPlanScene3D.tsx","WIDGET","Floor Plans","n/a","scene","three.js/react-three-fiber scene: cm server units mapped to metres, room polygon x/y to world X/Z with Y up."
"src/components/FloorPlansClient.tsx","LIST","Floor Plans","none (bespoke shadcn Table)","projectId","/floor-plans list with a create Dialog and links into the editor and the 3D walkthrough."
"src/components/FloorPlanWalkthroughClient.tsx","OTHER","Floor Plans","none (bespoke)","floorPlanId","/floor-plans/[id]/walkthrough. Client-only dynamic import (ssr:false) of the WebGL scene. Exports the Scene* payload types."
"src/components/FooterMessageBanner.tsx","WIDGET","Shared / flow receipts","n/a","route","Persistent, dismissible receipt strip for plain module pages that are not ObjectScreens (which render messages themselves)."
"src/components/FraudCaseCreateClient.tsx","CREATE","GRC / Cases","kit ObjectScreen","(none)","/grc/cases/new. Replaced GrcClient's 'Log a Fraud / Incident Case' Dialog."
"src/components/FraudCaseObjectClient.tsx","OBJECT","GRC / Cases","kit ObjectScreen","caseId","/grc/cases/[id]. Surfaces write-only fields and the real branching status machine incl. resolutionSummary on 'resolved'."
"src/components/GoodsReceiptCreateClient.tsx","CREATE","Procurement / Goods Receipts","kit ObjectScreen","poId (prefill)","/procurement/goods-receipts/new, optionally prefilled from a PO's 'Receive Goods' action via a server-resolved poId."
"src/components/GoodsReceiptObjectClient.tsx","OBJECT","Procurement / Goods Receipts","kit ObjectScreen","receiptId","/procurement/goods-receipts/[id]. getPurchaseReceipt() existed with no plain GET route until this screen; no generic Edit/Delete."
"src/components/GrcClient.tsx","LIST","GRC","none (bespoke)","initialTab","/grc. 7 tabs over VERIDIAN GRC: risk register with likelihood×impact, audits/findings, policy maker-checker, vendor risk, case register."
"src/components/HrDashboardClient.tsx","OTHER","HR","none (bespoke)","(none)","/hr dashboard: employee, department, leave-request, job-opening and payroll-run counts as DashboardCards."
"src/components/ImportScreen.tsx","OTHER","Shared / imports","n/a","title, helpText, templateHref, templateColumns, fields, previewColumns, preview, busy, error, skipRowsWithErrors, onSkipChange, onFileChosen, onMappingChange, onImport, onRetry, extraControls, extraSummary, rowNoun","One import screen behind BOQ, programme and roster imports. Exports UNMAPPED, importSummaryLine, importDisabledReason."
"src/components/IncomeTaxSlabCreateClient.tsx","CREATE","Payroll / Tax slabs","kit ObjectScreen","(none)","/payroll/tax-slabs/new. Create-only: no get/update for an income tax slab."
"src/components/InventoryClient.tsx","LIST","Inventory","none (bespoke tabs)","initialTab","/inventory tabs: warehouses, items and stock balances with qty/value/average cost."
"src/components/InvoiceCreateClient.tsx","CREATE","Invoices","kit ObjectScreen","(none)","/invoices/new. R80 GAP-7 made it genuinely multi-line (was one description/quantity/rate triple)."
"src/components/InvoiceObjectClient.tsx","OBJECT","Invoices","kit ObjectScreen","invoiceId","/invoices/[id]. Line items, Submit (post to GL), record payment; Delete maps to cancelSalesInvoice() for drafts."
"src/components/InvoicesClient.tsx","LIST","Invoices","none (bespoke)","initialTab","/invoices. Full sales-invoice lifecycle, credit notes linked to their invoice, and an AR aging report."
"src/components/ItemCreateClient.tsx","CREATE","Inventory / Items","kit ObjectScreen","(none)","/inventory/items/new. Also asks for standardBuyingRate/standardSellingRate/hsnSacCode/hasSerialNo the old dialog never did."
"src/components/ItemObjectClient.tsx","OBJECT","Inventory / Items","kit ObjectScreen","itemId","/inventory/items/[id]. Shows the rate/HSN/serial fields accepted on create but never displayed. No Edit (no updateItem)."
"src/components/JobOpeningCreateClient.tsx","CREATE","Recruitment / Openings","kit ObjectScreen","(none)","/recruitment/openings/new. Replaced RecruitmentClient's 'New Job Opening' Dialog."
"src/components/JobOpeningObjectClient.tsx","OBJECT","Recruitment / Openings","kit ObjectScreen","openingId","/recruitment/openings/[id]. getJobOpening() was created for this; shows jobDescription. Status change only, no Edit/Delete."
"src/components/JournalEntryCreateClient.tsx","CREATE","Accounting / Journal Entries","kit ObjectScreen","(none)","/accounting/journal-entries/new with the same debit=credit validation as the retired dialog."
"src/components/JournalEntryObjectClient.tsx","OBJECT","Accounting / Journal Entries","kit ObjectScreen","entryId","/accounting/journal-entries/[id]. Entry lines and Submit; no Edit/Delete -- double-entry records are never physically edited."
"src/components/KnowledgeBaseClient.tsx","LIST","Knowledge Base","none (bespoke)","(none)","/knowledge-base org-wide reference pages (distinct from the per-project Wiki); rows route to a real object page."
"src/components/KnowledgeBaseCreateClient.tsx","CREATE","Knowledge Base","kit ObjectScreen","(none)","/knowledge-base/new. Replaced the 'New Page' Dialog."
"src/components/KnowledgeBaseObjectClient.tsx","OBJECT","Knowledge Base","kit ObjectScreen","pageId","/knowledge-base/[id]. First URL-addressable KB page view; Delete maps to the real archive end-state."
"src/components/KpiCreateClient.tsx","CREATE","KPIs","kit ObjectScreen","projectId","/kpis/new. Replaced KpisClient's 'New KPI' Dialog."
"src/components/KpiObjectClient.tsx","OBJECT","KPIs","kit ObjectScreen","definitionId","/kpis/[id]. First URL-addressable KPI definition view plus a real Approve on entries; no Edit/Delete (none exist)."
"src/components/KpisClient.tsx","LIST","KPIs","none (bespoke)","projectId","/kpis list; rows route to /kpis/[id] and New KPI to /kpis/new instead of setting local state."
"src/components/LabourClient.tsx","LIST","Labour / Manpower","none (bespoke; kit ScreenColumn type)","projectId, registryColumns, initialTab, initialRoster, initialFilter, initialSummaryDate, projectName, resolvedByFallback, importedNotice","/labour. Roster + attendance + vendors tabs; per-tab reads so the visible tab does not wait on unrequested answers. Exports filterRoster."
"src/components/LabourDailySummaryClient.tsx","OTHER","Labour / Manpower","none (bespoke)","projectId, projectName, date, onDateChange","Daily Summary tab: what the day cost by trade, entirely from server figures. Exports peopleForTrade, statusDisplay."
"src/components/LeadCreateClient.tsx","CREATE","Sales / Leads","kit ObjectScreen","(none)","/sales/leads/new. Replaced LeadsClient's 'New Lead' Dialog."
"src/components/LeadObjectClient.tsx","OBJECT","Sales / Leads","kit ObjectScreen","leadId","/sales/leads/[id]. Facets, stage history and inline status change; getLead() existed with no route until this screen."
"src/components/LeadsClient.tsx","LIST","Sales / Leads","none (bespoke)","(none)","/sales/leads list with the shared company selector (consolidate hidden -- a flat list has no tree to roll up)."
"src/components/LeaveBalanceCreateClient.tsx","CREATE","Employees / Leave","kit ObjectScreen","(none)","/employees/leave/balance/new. setLeaveBalance() is an upsert-on-write; no object page and no delete."
"src/components/LeaveRequestCreateClient.tsx","CREATE","Employees / Leave","kit ObjectScreen","(none)","/employees/leave/new. requestLeave() needs a real VERIDIAN session; the honest 400 is surfaced until the identity bridge exists."
"src/components/ListHeaderActions.tsx","WIDGET","Shared / module lists","n/a","module, tab, projectId, onFilter, filterDisabledReason, onExport, exportDisabledReason, createDisabledReasons, extraActions","The header trio (Filter / Export / create) written once for every tab of Manpower, Materials and Schedule."
"src/components/ListScreenFrame.tsx","WIDGET","Shared / module lists","n/a","label, loading, error, rowCount, onRetry, className, loadingBody, children","The list region every module body renders inside; data-state loading|ready|empty|error and aria-busy. Exports ListLoadingWords, ListStateRegion, ListLoadingRegion."
"src/components/LookupFieldError.tsx","WIDGET","Shared / create forms","n/a","lookup","One-sentence lookup failure with an inline Retry ('Couldn't load subcontractors -- Retry') instead of a silently empty dropdown."
"src/components/MaterialCreateClient.tsx","CREATE","Materials","local CreateScreen","projectId","/materials/new. Primary reads 'Save (Name, Unit)'; a refused save renders in place above the buttons."
"src/components/MaterialIssueCreateClient.tsx","CREATE","Materials / Issues","KitObjectScreen fork","projectId, initialMaterialId","/materials/issues/new -- the OUT side of the material ledger, mirroring MaterialReceiptCreateClient."
"src/components/MaterialObjectClient.tsx","OBJECT","Materials","KitObjectScreen fork","materialId","/materials/[id]. First material detail/edit; updateMaterial() was created for it. Delete maps to Deactivate (isActive:false)."
"src/components/MaterialReceiptCreateClient.tsx","CREATE","Materials / Receipts","local CreateScreen","projectId","/materials/receipts/new. Write-once inbound receipt; the material-master read's failure now reaches the form instead of a toast."
"src/components/MaterialReceiptObjectClient.tsx","OBJECT","Materials / Receipts","KitObjectScreen fork","receiptId","/materials/receipts/[id]. Read-only by design with exactly one action, VOID, requiring a reason. Exports VoidConfirm."
"src/components/MaterialsClient.tsx","LIST","Materials","none (bespoke; kit ScreenColumn type)","projectId, projectName, registryColumns, initialTab, initialMaterialId, initialMaster, readOnlyReason, initialFrom, initialTo","/materials. Registry-driven master + inbound receipts + cost report. Exports lineTotal, receiptsTotal, defaultReportFrom."
"src/components/MeetingCreateClient.tsx","CREATE","Meetings","kit ObjectScreen","projectId","/meetings/new. Replaced MeetingsClient's 'New Meeting' Dialog."
"src/components/MeetingObjectClient.tsx","OBJECT","Meetings","kit ObjectScreen","meetingId","/meetings/[id]. Agenda/participants/outcomes plus a real Edit (updateMeeting() was created for it). No Delete."
"src/components/MeetingsClient.tsx","LIST","Meetings","none (bespoke)","projectId","/meetings list (manual CRUD; the AI voice-to-MOM capture is a separate pending item)."
"src/components/ModuleListSkeleton.tsx","WIDGET","Shared / module lists","none (kit ScreenColumn type)","columns, actions, tabs, label","The frame a module route paints while rows are in flight; used by each route's loading.tsx and as the in-page Suspense fallback."
"src/components/ModuleProjectNotice.tsx","WIDGET","Shared / module pages","n/a","errorMessage","The two non-data outcomes of resolving a project (error / no projects yet), in one place instead of inline on 11 pages."
"src/components/ModuleScreenContext.tsx","SHELL","Shared / module pages","n/a","(none captured)","Publishes the module + project to the shell's rail and composer strip without making the fast path await /dashboard."
"src/components/MoMCreateClient.tsx","CREATE","MoM (Minutes of Meeting)","local CreateScreen","projectId, projectName","/moms/new. projectName is required, not decorative -- the screen states which project it will write into."
"src/components/MoMObjectClient.tsx","OBJECT","MoM (Minutes of Meeting)","KitObjectScreen fork","meetingId, justCreated","/moms/[id]. Publish/lock, action items and share-link management that existed in veri-meeting-service with no UI."
"src/components/MoMsClient.tsx","LIST","MoM (Minutes of Meeting)","none (bespoke; kit ScreenColumn type)","projectId, projectName, mode, fellBack, projects, initialFilter, defaultFilter, registryColumns, initial, deletedTitle","/moms registry-driven list over VERI Meeting Intelligence (/api/moms), with AI summary and PDF export."
"src/components/MoodBoardCreateClient.tsx","CREATE","Mood Boards","kit ObjectScreen","projectId","/mood-boards/new. Replaced the 'New Mood Board' Dialog."
"src/components/MoodBoardObjectClient.tsx","OBJECT","Mood Boards","kit ObjectScreen","boardId","/mood-boards/[id]. Edit title/room/description (getMoodBoard/updateMoodBoard created for it) and per-item removal."
"src/components/MoodBoardsClient.tsx","LIST","Mood Boards","none (bespoke)","projectId","/mood-boards cards routing to real create and object pages instead of the old 'Add Item' Dialog and inline status buttons."
"src/components/NotificationBell.tsx","WIDGET","App shell / notifications","n/a","initialNotifications, initialUnreadCount","Notification bell + dropdown over GET /api/notifications and PATCH /api/notifications/[id]/read; mounted via AppHeader's slot."
"src/components/OpportunitiesClient.tsx","LIST","Sales / Opportunities","none (bespoke)","(none)","/sales/opportunities list with inline stage Select and a bulk-reassign bar; rows route to a real object page."
"src/components/OpportunityCreateClient.tsx","CREATE","Sales / Opportunities","kit ObjectScreen","(none)","/sales/opportunities/new. Replaced the 'New Opportunity' Dialog."
"src/components/OpportunityObjectClient.tsx","OBJECT","Sales / Opportunities","kit ObjectScreen","opportunityId","/sales/opportunities/[id]. Facets, stage history and inline stage change; getOpportunity() existed with no route."
"src/components/OrgInvitesCard.tsx","WIDGET","Settings / Org admin","none (bespoke)","(none)","User provisioning under org admin settings: the invite link is generated here (Supabase Site URL is dead) and bound to its email server-side."
"src/components/PageHeading.tsx","WIDGET","Shared / page chrome","n/a","title, breadcrumb, project, context, note, contextNote, actions","Per-page title/breadcrumb/actions in the content area, since AppHeader is mounted once and has no per-page title bar. Used by ~50 routes."
"src/components/PaneState.tsx","WIDGET","Shared / data panes","n/a","status, entity, projectName, startedAt, error, rowCount, skeletonColumns, skeletonRows, emptyMessage, emptyAction, lastLoadedAt, onRetry, children","One data-pane state wrapper for the product (loading/ready/empty/error), rules in src/lib/pane-state.ts. Exports PaneWaitingCaption, PaneErrorCard."
"src/components/PayrollClient.tsx","LIST","Payroll","none (bespoke tabs)","initialTab","/payroll. Six data sources across tabs, each able to say its own source failed rather than falling into empty-state copy."
"src/components/PayrollRunCreateClient.tsx","CREATE","Payroll / Runs","kit ObjectScreen","(none)","/payroll/runs/new. Replaced PayrollClient's 'New Payroll Run' Dialog."
"src/components/PayrollRunObjectClient.tsx","OBJECT","Payroll / Runs","kit ObjectScreen","runId","/payroll/runs/[id]. Replaced the 'View Register' Dialog; Process (draft->processed) is identity-bridge blocked, disclosed."
"src/components/PayslipObjectClient.tsx","OBJECT","Payroll / Payslips","kit ObjectScreen","runId, payslipId","/payroll/runs/[id]/payslips/[payslipId]. Replaced a Dialog-on-Dialog; a plain GET route was added for getPayslipDetail()."
"src/components/permit-status.ts","OTHER","Permits","n/a","n/a (pure module)","Permit expiry expressed in words not a signed number. Exports permitStatus, permitStatusLabel, permitStatusCounts, permitHeaderSentence, sortByExpiryAscending."
"src/components/PermitCreateClient.tsx","CREATE","Permits","kit ObjectScreen","projectId, projectName, storageConfigured","/permits/new. Framed create screen sharing the object page's vocabulary. Exports MAX_PDF_MB, missingPermitFields, fileSizeError, endDateError."
"src/components/PermitObjectClient.tsx","OBJECT","Permits","KitObjectScreen fork","permitId","/permits/[id]. Registry-driven permit object screen: display/edit/create in one layout with the full draft lifecycle."
"src/components/PermitsListClient.tsx","LIST","Permits","kit ListScreen + ScreenFrame","projectId, projectName, withinDays, initial, registryColumns","/permits list on useListRead + PaneState with server-seeded first paint. Exports rowHasDocument."
"src/components/PickProjectPrompt.tsx","WIDGET","Shared / project scope","n/a","message","The 'nothing is selected yet' state for a project-scoped screen, instead of an empty-data sentence."
