"Category","Item","File_Path","Kind_Of_State","Lifetime_Or_Scope","Read_By","Written_By","Failure_Or_Reset_Behaviour","Notes"
"A. Client state","Report result cache","C:\ct\projexa\src\lib\report-result-cache.ts","sessionStorage, prefix `px.report.`","Per tab; survives navigation away and back, dies with the tab","ReportsClient.tsx","writeCachedReport(); clearCachedReports() called by M24Shell's SIGNED_OUT handler","Every op wrapped: private mode / disabled storage / quota all mean 'no cache', never a throw on a render path.","REPORT_CACHE_MAX_AGE_MS = 30 min -- anything older is discarded, not painted. Key sorts params so two callers building the same query in different order share one entry."
"A. Client state","Schedule tab cache (4 Radix tabs sharing one store)","C:\ct\projexa\src\lib\schedule-cache.ts","Delegates to shell-cache.ts's Maps","Per tab, keyed by (resource, projectId)","NO PRODUCTION CONSUMER -- grep finds only schedule-cache.test.ts","loadSchedule/warmSchedule/writeSchedule; invalidateScheduleProject() on every write path","A write must invalidate: 'a cache that can show a user their own write as not-yet-happened is worse than no cache.'","VERIFIED UNUSED in src/ outside its own test. Resources: board, sprints, timesheets, timesheetsMine, tasks, gantt. timesheetsMine is a separate key, not a param, so the 'mine only' toggle cannot serve the other view's rows."
"A. Client state","Public marketing page cache policy","C:\ct\projexa\src\lib\public-page-cache.ts","Constants + pure route functions","Static; consumed at request time by middleware","src\middleware.ts (isLandingRoute, isStaticPublicRoute, localisedMarketingPath)","Source code only","Route list is EXACT, never a pattern -- stale-while-revalidate on an authenticated route would let a shared cache hand one tenant's HTML to another.","PUBLIC_PAGE_CACHE_CONTROL = 'public, s-maxage=3600, stale-while-revalidate=86400'. STATIC_PUBLIC_ROUTES = ['/','/hi','/how-it-works','/hi/how-it-works']. Imports only i18n/locales so it is Edge-safe."
"A. Client state","Click budget (D-08 flow arithmetic)","C:\ct\projexa\src\lib\click-budget.ts","Pure data + costOf() function","Static","NO PRODUCTION CONSUMER -- only click-budget.test.ts","Source code only","N/A","VERIFIED UNUSED in src/. CLICK_BUDGET = 3 (incl. final Save), TYPED_VALUE_BUDGET = 1. Splits `entry` (which task) from `clicks` (everything after, incl. Save) because C-16's acceptance says four selections and 'three clicks'."
"A. Client state","Latency budget evaluator","C:\ct\projexa\src\lib\perf-budget.ts","Pure functions over budgets.json","Static","C:\ct\projexa\scripts\perf-harness.mjs (imports ../src/lib/perf-budget.ts)","Figures live in C:\ct\projexa\perf\budgets.json","usableMs = null means the screen NEVER became usable inside the wait -- the most important failure the table reports.","Split from the measurement half deliberately: the old harness produced ms = -1 rows and selectors matching nothing, with no way to tell a broken measurement from a slow screen. parseServerTiming() reads the upstream/app split."
"A. Client state","Screen read budget (server/client shared constants)","C:\ct\projexa\src\lib\screen-budget.ts","Constants + budgetSignal()","Per call","veridian-client.ts (re-exports VERIDIAN_SCREEN_BUDGET_MS), ScreenLoading.tsx","Source code only","budgetSignal composes AbortSignal.timeout with the caller's signal -- but AbortSignal.timeout() NEVER FIRES on Bun 1.3.14 (Windows), so veridian-client uses an explicit AbortController + setTimeout instead.","VERIDIAN_SCREEN_BUDGET_MS = 8_000, SLOW_READ_NOTICE_MS = 3_000. Both in ONE server-safe module so a 3 s caption cannot promise a wait a longer timeout has made a lie."
"A. Client state","Autosave policy","C:\ct\projexa\src\lib\autosave.ts","Pure label function; no storage","Per editing session","MoMObjectClient.tsx","N/A","Failure wording is deliberately NOT here -- an autosave failure is a read-error-shaped event and goes through the one dictionary in task-errors.ts.","AUTOSAVE_IDLE_MS = 2000. Statuses: idle|pending|saving|saved|error. Shows the CLOCK TIME it last landed, not a bare tick -- a user typing ten minutes cannot otherwise tell what is safe. Time zone default 'Asia/Dubai'."
"A. Client state","Last-choice picker memory","C:\ct\projexa\src\lib\last-choice.ts","localStorage, key `veri.lastChoice.v2.<userId>.<projectId>.<picker>`","Persistent per browser profile, scoped by person + project + picker","AttendanceCreateClient.tsx, MaterialReceiptCreateClient.tsx (via EntityCombobox / rememberedOption)","setLastChoice()","Every access guarded -- localStorage THROWS (not returns null) in Safari private mode, in webviews with site data disabled, and in cross-origin iframes.","R80 GAP-8 bumped v1 -> v2: v1 hard-coded the identity segment to 'self', so on a shared site-office laptop every entry belonged to 'whoever last used this browser'. v1 keys are deliberately orphaned, not migrated. UNKNOWN_USER_SCOPE = 'self' is still the fallback when userId is null."
"A. Client state","Pane state machine (idle/loading/ready/error)","C:\ct\projexa\src\lib\pane-state.ts","Pure Pane<T> value type, no React","Per pane, per mount","DashboardHierarchyClient.tsx, DocumentsClient.tsx, DrawingsClient.tsx, LabourClient.tsx, PaneState.tsx, PermitsListClient.tsx","idlePane/seededPane/loadingPane/readyPane/errorPane transitions","`loading` KEEPS existing rows so a background revalidation never blanks a correct table. `error` also keeps last known-good rows.","rows and error are independent: empty+no error = 'there are none'; empty+error = 'we could not find out'. Loading captions escalate at PANE_NAMED_WAIT_MS 2000 / PANE_ELAPSED_WAIT_MS 3000 / PANE_SLOW_WAIT_MS 8000. paneAsOf() freshForMs default 60_000."
"A. Client state","List filter persistence","C:\ct\projexa\src\lib\list-view-state.ts","sessionStorage, prefix `veri.list.filters:`","Per tab; read on EVERY mount (opposite of a receipt), cleared only when the user clears the filter","DrawingsClient.tsx","writeListFilters(key, filters)","Every access wrapped; returns {} on throw. An empty filter set REMOVES the key rather than storing '{}'.","The kit's ListScreen already carries sort/page/scroll keyed by functionId but saves `filters: {}` unconditionally -- this is the missing half. Deliberately untyped beyond Record<string,string>."
"A. Client state","Project preference -- ONE answer to 'which project'","C:\ct\projexa\src\lib\project-preference.ts","localStorage key `veri.rail.project` AND a cookie of the same name","Cookie max-age 31536000 (1 year), path=/, samesite=lax; localStorage persistent","M24Shell.tsx, project-context.tsx, BudgetsClient.tsx, module-list-source.ts, project-selection.ts, project-cookie.ts","writeStoredProjectId() writes both halves","Every read is checked against the projects the API actually returned, so a stale id for a deleted project cannot pin the rail.","Stored TWICE on purpose: localStorage so the rail paints pre-request, cookie so the SERVER agrees on the first render. Resolution order: URL wins, then last choice, then (only if exactly one project) that one, then auto. `source` says which happened so the rail can admit an automatic choice."
"A. Client state","project-cookie.ts -- thin delegation","C:\ct\projexa\src\lib\project-cookie.ts","Re-export; PROJECT_COOKIE === PROJECT_PREFERENCE_KEY","Same as above","Sign-out path (the only clearing path in the app)","rememberSelectedProject()","Clears BOTH the cookie and the localStorage copy -- clearing one would leave the PREVIOUS user's project id for the next person signing in on that browser.","Used to own its own cookie `projexa_project`; merged away because two independent answers to 'which project' is exactly the defect this closes."
"A. Client state","Server-side project resolution","C:\ct\projexa\src\lib\project-selection.ts","unstable_cache + next/headers cookies()","Per request; cache tagged by projectsCacheTag(organizationId)","Module pages, dashboard","N/A (read path)","Reads PROJECT_PREFERENCE_KEY from the cookie store; falls back through chooseProject()/pickRouteProject().","PROJECT_COOKIE re-exported here too -- this lane introduced 'px_project' and WS-A shipped 'veri.rail.project'; WS-A's survives because the server already reads it."
"A. Client state","Currency list cache","C:\ct\projexa\src\lib\currency.ts","sessionStorage key `px.currencies` + module-level `currenciesPromise` memo","Per tab","dashboard/page.tsx, /api/currencies, /api/organization/currency, /api/projects/[id]/category-distribution, /api/purchase-orders, /api/shell","writeCachedCurrencies() after a successful /api/currencies fetch","`ok` distinguishes a real answer from a failed one -- both settle `loaded`, but only a real answer may REPLACE an existing list, so one flaky request cannot blank every money label on the page.","clearCurrenciesCache() called on sign-out by M24Shell: sessionStorage outlives a sign-out inside one tab and the list is org-scoped. Exists because '₹'/'INR' was hardcoded in 3+ components independently."
"A. Client state","Reference lookups (vendors)","C:\ct\projexa\src\lib\reference-lookups.ts","Uses shell-cache.ts store, key `reference:vendors`","TTL defaults to SHELL_CACHE_TTL_MS (60 s)","ApplicationCreateClient, AuditFindingCreateClient, EntityCombobox, LeaveBalanceCreateClient, SalaryStructureCreateClient, SalesOrderCreateClient","loadVendors(); invalidateVendors()","Same guarantees as shell-cache: failures not cached, one in-flight per key.","/labour, /labour/new and /labour/[id] each fetched GET /api/vendors independently on every mount. soleOptionId() and rememberedOption() are the shared 'one option / remembered option' helpers."
"A. Client state","Composer conversation turns (band 2)","C:\ct\projexa\src\lib\conversation.ts","sessionStorage, key `veri.band2.<lowercased email>` (or 'anonymous')","Per tab, per user","ConversationBand.tsx, gap-card.ts","The component owns sessionStorage; this module only says what to write and how to read it","parseTurns() drops anything not matching the contract -- a stored blob survives a deploy and may have been written by an older version of this file; a half-parsed turn on screen is worse than an empty band.","MAX_TURNS = 12; appendTurn() trims from the front. Serialised as {v:1, turns}. Exists because the kit declares a CONVERSATION band that PROJEXA rendered as nothing -- what the user typed vanished on Send."
"A. Client state","Attendance draft (the exceptions, not the selection)","C:\ct\projexa\src\lib\attendance-draft.ts","Pure value {absentIds, halfDayIds}; no storage","Per editing session","AttendanceCreateClient.tsx (via chip grid)","toggleAbsent(), toggleHalfDay()","EMPTY_ATTENDANCE_DRAFT = everyone present.","Stores who is NOT present, so a worker who joined this morning arrives present (the truth on most days) and the state survives a roster reload. Storing 'who is present' would mark a new worker absent."
"A. Client state","Composer mode -- derived, not stored","C:\ct\projexa\src\lib\chain-mode.ts","Pure deriveMode(segments); explicitly NO state","N/A","Composer","N/A","N/A","DELETED STATE, recorded here because it is what a support engineer will find referenced elsewhere: the mode used to live in React state, sticky in sessionStorage under `veri.chain.mode`, set by three tabs that changed nothing but their own colour. Request body is byte-identical."
"A. Client state","Per-request timing ledger","C:\ct\projexa\src\lib\request-timing.ts","AsyncLocalStorage scope (RequestTiming)","One HTTP request","withTiming() / /api routes' `Server-Timing: upstream;dur=` header","veridian-client.ts calls recordUpstream(durationMs) on every settled upstream call; recordRequestOrg()","A no-op outside a timed scope (server components, scripts) -- never throws.","ALS rather than a parameter: threading a timer through ~250 route files and every call site inside them gets a wrong answer the moment one site forgets. Two touch points instead."
"A. Client state","Server-component latency profiler","C:\ct\projexa\src\lib\debug-latency.ts","Opt-in console.time wrapper","Per render, only when DEBUG_LATENCY=1","Instrumented server pages (e.g. /labour)","N/A","OFF by default and off in production -- every call is a plain pass-through unless the env var is set.","Closes the gap that withTiming() only covers /api/* route handlers, which a server component never goes through."
"A. Client state","createCachedVeridianGet -- org-scoped Next Data Cache","C:\ct\projexa\src\lib\veridian-client.ts:864","unstable_cache keyed by [cacheKey, path] + organizationId as the sole argument","revalidateSeconds per call site; tagged by cacheKey","GET-only reference data (currency master, cost centers, fiscal years)","N/A","Caller MUST have run requireAuth() first -- this caches downstream data for an already-authorized org, it never substitutes for the authorization check.","SECURITY: Next's ordinary fetch cache keys on URL+method+body only, NOT headers, so adding `next:{revalidate}` to the shared fetch would serve org A's cached response to org B. That is why this helper exists. Must be defined once at module scope, never re-wrapped per request."
"A. Client state","Screen-definition column cache","C:\ct\projexa\src\lib\screen-definitions.ts","unstable_cache per org","Revalidate window + per-org tag","Every module page","N/A","Falls back on VeridianApiError.","Every module page used to call VERIDIAN's /screen-definitions/{functionId} on EVERY navigation, in the pre-paint critical path, for a registry row that changes almost never -- several pages serially, after resolving the project."
"A. Client state","Module list source (page data resolution)","C:\ct\projexa\src\lib\module-list-source.ts","Several unstable_cache wrappers (cachedScreenDefinition, cachedProjects, cachedLabourLanding)","Per org, one tag per module","Eleven module page.tsx files","N/A","UNKNOWN (per-wrapper)","Replaces a 3-call SERIES (getServerOrganizationId -> resolveSelectedProject -> resolve<Module>ListColumns) that ran before Next could send a byte: module pages were 1.5-1.65 s TTFB and 6-8 s to usable vs /budgets at 616 ms."
"A. Client state","'as of HH:MM' honesty stamp","C:\ct\projexa\src\lib\as-of.ts","Pure formatter","Per render","Panes rendering speculatively-prefetched rows","N/A","The live revalidation running underneath removes the stamp as soon as it lands.","Uses the READER'S local clock, unlike format-date.ts's pinned en-US/UTC formatter -- this is 'how long ago did this happen to me', only meaningful in the reader's own wall clock."
"A. Client state","Composer Send button state","C:\ct\projexa\src\lib\composer-send-state.ts","Pure function","Per render","Composer","N/A","Encodes against a silent dead state (grey, unclickable, undefined disabledReason) and an instruction that contradicted the control ('Press send to run this' on a disabled button).","Reason and disabled flag come from ONE source so they cannot disagree."
"A. Authz","API write policy table (server-side role gate)","C:\ct\projexa\src\lib\authz\api-write-policy.ts","Checked-in Readonly<Record<string, WriteTier>> table","Static; consulted per mutating request","src\middleware.ts via checkApiWriteAccess() / resolveWriteTier()","Source code only","DEFAULT_WRITE_TIER = 'FIELD' -- an unlisted route fails api-write-policy.test.ts rather than shipping ungated.","Closes R48: at measurement, 146 of 159 mutating routes had NO role check -- any authenticated tenant member including read-only client_viewer could run payroll, create employees, raise POs or rewrite the BOQ. Counts drift (216 -> 254 route.ts files); the test recomputes from the filesystem."
"A. Authz","Page access -- deny-by-default","C:\ct\projexa\src\lib\authz\page-access.ts","PUBLIC_PAGE_PATHS / PUBLIC_PAGE_PREFIXES deny-lists","Static","src\middleware.ts (requiresAuthenticatedPage)","Source code only","Fails CLOSED: a forgotten entry ships a page that redirects to /login (visible in one click) instead of an ungated page (invisible forever).","Replaces middleware's PROTECTED_PREFIXES allow-list, which carried '/ai-copilot' while the route shipped as '/copilot' -- the one module the list explicitly meant to protect was open. /api/* is excluded here; that clause must not be dropped."
"A. Authz","Org role vocabulary","C:\ct\projexa\src\lib\authz\roles.ts","Type + ALL_ORG_ROLES + ROLE_GROUPS","Static; backed by memberships.role check constraint","auth-guard.ts (re-exports), api-write-policy.ts, src\middleware.ts","Source code only","N/A","owner, admin, pm, site_engineer, member, client_viewer. Split out of auth-guard.ts so Edge-runtime middleware can import the vocabulary without dragging in the next/headers-backed Node-only Supabase server client. PROJEXA's own axis, separate from VERIDIAN's user_role enum, because PROJEXA calls VERIDIAN with ONE shared per-org API key -- a per-user gate must live on this side to have any effect."
"A. Session","requireAuth / AuthContext","C:\ct\projexa\src\lib\supabase\auth-guard.ts","Per-request auth context {user, orgId, role}","One request","~209 of the /api route.ts files","N/A","requireRole(ctx, allowed) returns a NextResponse (a refusal) or null.","getServerOrganizationId() is the server-side org resolver. Re-exports the roles.ts vocabulary unchanged so existing imports keep working."
"A. Session","getClaimsWithRetry -- the mid-session-logout fix","C:\ct\projexa\src\lib\supabase\get-claims-with-retry.ts","Stateless wrapper","Per call","src\middleware.ts","N/A","Retries ONCE, and only when the error message matches /fetch failed|network|timeout|ECONNRESET|ETIMEDOUT/. Any other error is returned unretried.","CONFIRMED root cause of random mid-session logouts: the Edge runtime's sandboxed fetch intermittently throws ConnectTimeoutError reaching Supabase's edge, and that was being treated as 'user is logged out'."
"A. Session","Browser Supabase client","C:\ct\projexa\src\lib\supabase\client.ts","createBrowserClient factory (8 lines)","Per browser session","Client components (e.g. WorkProgressFormClient.tsx auth.getUser())","N/A","Non-null asserts NEXT_PUBLIC_SUPABASE_URL and NEXT_PUBLIC_SUPABASE_ANON_KEY.","Anon key only -- never the service role."
"A. Session","Server Supabase client (cookie bridge)","C:\ct\projexa\src\lib\supabase\server.ts","createServerClient with next/headers cookie store","Per request","Route handlers, server components, services","cookieStore.set() in setAll()","cookies().set() throws in a Server Component (which genuinely cannot set cookies) -- that case is safe because middleware already refreshed the session. The catch now LOGS, because it used to also swallow real Route Handler failures, making a failed session write indistinguishable and surfacing later as an unexplained logout.","Console.error message: '[supabase/server] cookies().set() failed -- if this came from a Route Handler or Server Action, the refreshed session was NOT persisted to the browser'."
"A. Session","Middleware session refresh + locale + gate","C:\ct\projexa\src\middleware.ts","Per-request; matcher covers pages AND /api/*","One request","N/A","Sets Supabase session cookies; sets NEXT_LOCALE on first visit only","Uses getClaims() (local WebCrypto JWT verify against a cached JWKS), not getUser(). getUser() made a live round-trip on EVERY request, and each Route Handler made its own on top -- one page load with ~6 API calls meant ~12 live Supabase Auth calls, any one failure silently bouncing to /login or 401ing a write.","Also guards against a THROWN exception, not just Supabase's own {error} -- production Vercel logs 2026-08-24 showed '[error/edge-middleware] Invalid UTF-8 sequence' bursts across every route."
"A. Services","Notification fan-out","C:\ct\projexa\src\lib\services\notification-service.ts","DB inserts via Supabase server client","Persistent rows","Notification UI / /api/shell payload","notifyOrgMembers(organizationId, actorUserId, content)","UNKNOWN","Content builders (buildRfiCreatedNotification, buildSubmittalStatusChangedNotification, buildPunchListCreatedNotification) are pure so 'what does this event say' is unit-testable without a live DB."
"A. Services","Global command-palette search","C:\ct\projexa\src\lib\services\search-service.ts","Stateless; fetch + in-memory filter","Per query","search-command.tsx","N/A","EMPTY_SEARCH_RESULTS is the zero value.","Most PROJEXA construction entities live entirely in VERIDIAN, so there is no SQL to run -- it fetches each project-scoped list via callVeridian() and filters in application code. `todos` is the ONE real local Postgres table PROJEXA has of its own, so that one genuinely runs a query."
"A. Services","Marketing lead capture","C:\ct\projexa\src\lib\services\contact-service.ts","Raw `db` insert into contactRequests","Persistent","UNKNOWN","submitContactRequest(payload)","Throws ContactRequestError.","Deliberately NO organizationId/RLS scoping -- these rows belong to an anonymous public visitor, not a tenant. No email step: this repo has no email/Resend infra, so a stored, queryable lead is the honest scope."
"A. DB","PROJEXA's own Postgres handle (lazy Proxy)","C:\ct\projexa\src\lib\db\index.ts","Drizzle over postgres-js; lazily constructed behind a Proxy","Process lifetime; max: 1 connection, prepare: false","veridian-client.ts (veridianCredentials), contact-service.ts, search-service.ts (todos)","N/A","Importing the module must NOT require DATABASE_URL -- most PROJEXA requests never touch this DB. Throws only on first real use if no connection string resolves.","Prefers DATABASE_URL, else builds the ap-south-1 transaction-pooler URL from NEXT_PUBLIC_SUPABASE_URL + SUPABASE_DB_PASSWORD. ssl.rejectUnauthorized false."
"A. DB","PROJEXA-local schema","C:\ct\projexa\src\lib\db\schema.ts","Drizzle table definitions","Persistent","db/index.ts (re-exported via `export * from './schema'`)","Migrations in C:\ct\projexa\drizzle","N/A","Holds PROJEXA's own tables only -- veridian_credentials (per-org VERIDIAN API keys), contact_requests, todos, memberships. NOT construction domain data; that lives in VERIDIAN."
"A. Theme","WCAG contrast tokens + pairings","C:\ct\projexa\src\lib\theme\contrast.ts","Constant token table + PAIRINGS list","Static","contrast.test.ts (parses globals.css and asserts every row)","Source code only; globals.css is the runtime source","A colour added to globals.css without a row here is how the failing button 'came back the first time'.","Audit measured saffron-on-cream at 2.56:1 and white-on-saffron-button at 2.60:1. AA_TEXT 4.5, AA_UI 3. TOKEN_CSS_VARS maps each token to its custom property and scope (root|dark). ACCEPTED_BELOW_UI_FLOOR records deliberate, reasoned exceptions."
"B. Error contract","VeridianErrorCode -- THE CLOSED UPSTREAM VOCABULARY","C:\ct\projexa\src\lib\veridian-client.ts:74-88","Exported union type","Static contract","Every screen and every /api/* proxy; veridian-response.ts's RETRYABLE_CODES lookup","throwForResponse() inside veridian-client.ts","A 4xx carries NO code by design -- the upstream gave a real, specific answer (404 'no row seeded yet', 400 'projectId required') and its own message is the thing to show; inventing an infrastructure code would be false.","Exactly four values: UPSTREAM_TIMEOUT (no answer inside the abort budget), UPSTREAM_500 (answered with a server error), STORAGE_UNAVAILABLE (its Supabase client is unconfigured -- 'supabaseKey is required'; distinct and actionable, must never show as a generic error), NETWORK (ECONNRESET/ECONNREFUSED/ENOTFOUND/CONNECT_TIMEOUT)."
"B. Error contract","VeridianApiError.message vs .detail","C:\ct\projexa\src\lib\veridian-client.ts:90-160","Error class fields","Per thrown error","message: virtually every /api route returns it verbatim as {error: <message>} and several screens render it directly. detail: logged server-side ONLY, never returned.","The class constructor","message must never carry anything the user should not see.","detail is the operator's half -- the internal URL and the exact budget."
"B. Error contract","VeridianApiError.code vs .ruleCode -- TWO closed vocabularies","C:\ct\projexa\src\lib\veridian-client.ts:96-135","Two separate readonly fields","Per error","code -> HTTP status + honest Retry-After; ruleCode -> the browser turns it into a sentence via task-errors.ts","Constructor, from ONE `coded` parameter so a call site cannot hand the code and the body two different objects","They never co-occur: a rule refusal is a 4xx, where `code` is null by design. code is null for 4xx AND for resolveApiKey()'s local config errors (which never reached the network).","code = the four-value TRANSPORT classification. ruleCode = the BUSINESS-RULE vocabulary (BOQ_LINE_REQUIRED, ...). Collapsing them would widen VeridianErrorCode to string and break RETRYABLE_CODES, which is what makes the retry advice truthful. Wire shape unchanged: /api/work-progress still answers {code, missing}."
"B. Error contract","VeridianApiError.body + .missing","C:\ct\projexa\src\lib\veridian-client.ts:136-160","Whole upstream error body, kept verbatim","Per error","The revise screen renders the scope-reduction 409's conflicts[] as a table above the override -- it cannot do that from prose","Constructor","DATA FOR A PROXY TO FORWARD DELIBERATELY, never something to spill into a user-facing string.","`missing` is the string[] of missing field names, filtered for type safety."
"B. Error contract","VERIDIAN_FETCH_TIMEOUT_MS (the read budget)","C:\ct\projexa\src\lib\veridian-client.ts:204","Constant, 8_000 ms","Per attempt","Every callVeridian","Source code only","Cut from 20 s and the retry-on-timeout removed. MEASURED cost of the old pair: 20+20 = 40 s of spinner before anything appeared; the dev log line `GET /api/tasks?limit=50 504 in 56s` is that 40 s plus the proxy's work. Nobody waits 40 s -- they reload, starting a second 40 s.","Root cause it bounds: every fetch() here originally had NO timeout, so a VERIDIAN hang consumed Vercel's full 300 s function cap. Real incident 2026-08-25, 5 users, /api/projects //scope //module-chain //currencies //dashboard. Exported so the budget is assertable by a constant rather than an unreliable wall-clock test."
"B. Error contract","VERIDIAN_TOTAL_BUDGET_MS / VERIDIAN_UPLOAD_TIMEOUT_MS","C:\ct\projexa\src\lib\veridian-client.ts:222,228","Constants: 30_000 ms upload, 9_000 ms total-with-retry","Per call","callVeridianUpload(), callVeridianBinary(); the 9 s ceiling applies to callVeridian","Source code only","The 8 s read budget explicitly DOES NOT apply to file transfer: a file upload has no 'still loading' contract, the bytes are visibly going up, and the honest thing is to let them finish.","Applying the read budget to uploads took a site engineer's multi-megabyte drawing over 4G from 20 s to 8 s -- and since the retry was correctly removed for non-GET, the failure is FINAL with nothing saved. Covers POST /api/permits, /api/drawings, /api/documents, /api/scope/import (BOQ workbook relay)."
