"Topic","Step_No","Action","Command_Or_File_Path","Expected_Result","Failure_Mode","Source_Doc"
"BOOTSTRAP-PROJEXA","35","Set DATABASE_URL, or else NEXT_PUBLIC_SUPABASE_URL + SUPABASE_DB_PASSWORD","C:\ct\projexa\src\lib\db\index.ts","Drizzle connects; fallback builds postgresql://postgres.<ref>:<pw>@aws-1-ap-south-1.pooler.supabase.com:6543/postgres","Throws 'No database connection string available...' only lazily, on first DB touch - most PROJEXA requests never touch this DB so the misconfig hides","C:\ct\projexa\src\lib\db\index.ts"
"BOOTSTRAP-PROJEXA","36","Set VERIDIAN_API_BASE_URL to the LOCAL backend for two-server local dev","VERIDIAN_API_BASE_URL=http://localhost:3000/api/v1/projexa","All domain calls hit the local backend on port 3000","If unset it silently defaults to https://veridian-compliance-ai.vercel.app/api/v1/projexa - you will be reading production data while believing you are local","C:\ct\projexa\src\lib\veridian-client.ts (line ~46)"
"BOOTSTRAP-PROJEXA","37","Understand the root: true escape hatch when tracing a call","VERIDIAN_API_ROOT = VERIDIAN_API_BASE with the trailing /projexa stripped","Calls passing root:true reach /api/v1/* (e.g. /api/v1/construction/labour-roster, /api/v1/documents) that were never aliased under /api/v1/projexa/*","Same auth, same host, different path prefix - a route missing from the projexa alias surface is not necessarily missing","C:\ct\projexa\src\lib\veridian-client.ts"
"BOOTSTRAP-PROJEXA","38","Set VERIDIAN_API_KEY (shared demo/sandbox key)","C:\ct\projexa\.env.local","Used ONLY by legacy call sites that omit organizationId entirely","resolveApiKey() throws (AR-04) if organizationId IS supplied but has no public.veridian_credentials row - it never falls back to the shared key, because that would be a cross-tenant leak (E-45)","C:\ct\projexa\src\lib\veridian-client.ts (resolveApiKey, ~line 500)"
"BOOTSTRAP-PROJEXA","39","Set VERIDIAN_PLATFORM_APPLICATION_KEY if you need to provision a new tenant locally","POST {VERIDIAN_API_ROOT}/platform/provision-org with Authorization: Bearer <VERIDIAN_PLATFORM_APPLICATION_KEY>","New signup gets an isolated VERIDIAN org + API key, stored per-org in public.veridian_credentials","provisionVeridianOrg() throws 'VERIDIAN_PLATFORM_APPLICATION_KEY is not configured' if unset; backend route exists at C:\ct\ct\src\app\api\v1\platform\provision-org","C:\ct\projexa\src\lib\veridian-client.ts (~line 795)"
"BOOTSTRAP-PROJEXA","40","Set the remaining optional PROJEXA vars","PROJEXA_PUBLIC_ORIGIN, NEXT_PUBLIC_DEFAULT_CURRENCY_CODE, DEBUG_LATENCY, DEBUG_LATENCY_FILE","Public origin for share links; default currency; latency debug output","Full observed env var set for this repo (grep of src, scripts, e2e, playwright): DATABASE_URL, DEBUG_LATENCY, DEBUG_LATENCY_FILE, NEXT_PUBLIC_DEFAULT_CURRENCY_CODE, NEXT_PUBLIC_SUPABASE_ANON_KEY, NEXT_PUBLIC_SUPABASE_URL, NODE_ENV, PROJEXA_PUBLIC_ORIGIN, SUPABASE_DB_PASSWORD, VERCEL_GIT_COMMIT_SHA, VERIDIAN_API_BASE_URL, VERIDIAN_API_KEY, VERIDIAN_PLATFORM_APPLICATION_KEY","C:\ct\projexa\src (grep of process.env.*)"
"BOOTSTRAP-PROJEXA","41","START ORDER: bring the backend up FIRST, then PROJEXA","Terminal 1: cd C:\ct\ct && bun run dev   (port 3000) ; Terminal 2: cd C:\ct\projexa && bun run dev   (port 3100)","http://localhost:3100 renders PROJEXA against the local backend on :3000","Starting PROJEXA alone gives a UI whose every domain screen fails or silently reads production, depending on VERIDIAN_API_BASE_URL","C:\ct\projexa\package.json; C:\ct\ct\package.json; C:\ct\projexa\CLAUDE.md"
"BOOTSTRAP-PROJEXA","42","Verify PROJEXA locally","Open http://localhost:3100","App shell + Task Master/Composer render; domain screens populate via the proxy","If domain screens are empty but the shell renders, the fault is the proxy (base URL / API key), not PROJEXA","C:\ct\projexa\CLAUDE.md"
"BOOTSTRAP-PROJEXA","43","Do NOT bootstrap local env from Vercel","vercel env pull","-","Reproduced twice (2026-09-01): returns empty/placeholder values for this project's secrets. Prefer copying real values from a working prior .env.local","C:\ct\projexa\CLAUDE.md"
"BOOTSTRAP-PROJEXA","44","Run PROJEXA's other scripts","bun run build; bun run start (next start -p 3100); bun run lint; bun run perf (bun scripts/perf-harness.mjs)","Build/serve/lint/perf harness","PROJEXA has NO db:migrate script - only db:generate, db:push, db:studio","C:\ct\projexa\package.json"
"MIGRATIONS","50","Take the migration inventory before any DB work","C:\ct\ct\drizzle\*.sql = 394 files (0000_clammy_may_parker.sql .. 0568_r75_phase0_backup_temp_bypassrls_revoke_2.sql); C:\ct\ct\drizzle\down\*.sql = 2; C:\ct\projexa\drizzle\*.sql = 16","412 SQL files total across both repos","Git Bash ls/find undercounts on this machine (returned 302 for the ct folder); counts above were taken with PowerShell Get-ChildItem","PowerShell Get-ChildItem over C:\ct\ct\drizzle and C:\ct\projexa\drizzle"
"MIGRATIONS","51","Read the backend drizzle config BEFORE assuming db:generate covers the schema","C:\ct\ct\drizzle.config.ts","schema ./src/lib/db/schema.ts, out ./drizzle, dialect postgresql, url from DATABASE_URL, schemaFilter: ['compliance']","schemaFilter scopes drizzle-kit generate to the compliance schema ONLY; it never sees schema.ts's separate platform schema (platformSchemaDB = pgSchema('platform'))","C:\ct\ct\drizzle.config.ts"
"MIGRATIONS","52","PROCEDURE - adding a table to the compliance schema","1) edit C:\ct\ct\src\lib\db\schema.ts using the compliance pgSchema; 2) bun run db:generate; 3) review the emitted drizzle/NNNN_*.sql; 4) apply per step 57","A new numbered .sql plus a new drizzle/meta/_journal.json entry","Generated SQL still needs the RLS pair (app_runtime_org_scoped + service_role_bypass_<table>) added in the SAME migration - enforced by discipline, no CI check","C:\ct\ct\drizzle.config.ts; C:\ct\ct\docs\master\ARCHITECTURE.md"
"MIGRATIONS","53","PROCEDURE - adding a table to the platform schema (drizzle-kit will NOT generate it)","1) declare with platformSchemaDB.table() in C:\ct\ct\src\lib\db\schema.ts; 2) HAND-WRITE drizzle/NNNN_<name>.sql; 3) copy the posture from the worked example C:\ct\ct\drizzle\0300_stage12_dispatch_outcomes.sql; 4) apply out-of-band via Supabase MCP execute_sql / SQL editor","Table exists in platform schema with fail-closed RLS (service_role bypass only, no app_runtime/anon/authenticated policy) plus table-level GRANTs to app_runtime for consistency","bun run db:generate silently produces NOTHING for a platform table - the failure is silence, not an error","C:\ct\ct\drizzle.config.ts (inline comment); C:\ct\ct\src\lib\db\schema.ts (~line 13853-13860); C:\ct\ct\drizzle\0300_stage12_dispatch_outcomes.sql"
"MIGRATIONS","54","Evidence that step 53 is a real procedure, not a theory - measure it yourself","Count platformSchemaDB.table( in C:\ct\ct\src\lib\db\schema.ts vs CREATE TABLE platform.* across C:\ct\ct\drizzle\*.sql","32 platform tables declared in schema.ts; only 11 are created by a CREATE TABLE platform.* statement anywhere in drizzle/ (in 9 files: 0249, 0254, 0300, 0329, 0330, 0331, 0340, 0506, 0560)","The other 22 (ai_model_registry, ai_routing_audit_log, ai_routing_policies, ai_team_role_overrides, automation_rules, automation_rule_runs, capability_improvement_proposals, dynamic_chains, entity_relationships, fde_requests, instruction_execution_cache, module_registry, module_rule_configs, product_branch_modules, product_branches, task_capabilities, worker_agent_domain_groups, worker_agent_domain_index, worker_agent_learnings, worker_agent_usage_log, worker_agent_versions, worker_agents) were CREATEd in compliance and later moved","PowerShell regex scan of C:\ct\ct\src\lib\db\schema.ts and C:\ct\ct\drizzle\*.sql"
"MIGRATIONS","55","Read the one migration that created the platform compartment and moved those 22 tables","C:\ct\ct\drizzle\0245_create_platform_schema_compartment.sql","CREATE SCHEMA IF NOT EXISTS platform; GRANT USAGE to app_runtime/service_role/anon/authenticated; ALTER DEFAULT PRIVILEGES; then 22x ALTER TABLE compliance.<t> SET SCHEMA platform","Its own header says it was hand-authored and applied out-of-band via the Supabase MCP and is 'NOT replayed by drizzle-kit migrate' - yet it IS present in _journal.json at idx 242, so trust the DB, not the header","C:\ct\ct\drizzle\0245_create_platform_schema_compartment.sql"
"MIGRATIONS","56","Note the deliberate exclusions from the platform compartment","platform_assets and platform_applications stay in the compliance schema","compliance.auto_register_asset() (the UMR registration trigger fn) hardcodes writes to compliance.platform_assets","Moving them would break every registration trigger; verified via pg_get_functiondef before that migration, not assumed","C:\ct\ct\drizzle\0245_create_platform_schema_compartment.sql"
"MIGRATIONS","57","Apply pending migrations with the repo's OWN runner (not drizzle-kit migrate)","bun run db:migrate  ->  node C:\ct\ct\scripts\apply-migrations.mjs","Applies exactly the journal entries with NO row in drizzle.__drizzle_migrations, in journal ARRAY order, in one transaction, writing the same hash/created_at columns drizzle writes","Replaced drizzle-kit migrate because its spinner swallowed the real Postgres error on failure; and replaced drizzle-orm's migrate() because of E-74 (see step 58)","C:\ct\ct\scripts\apply-migrations.mjs; C:\ct\ct\package.json"
"MIGRATIONS","58","Understand E-74 before trusting any migration tool's 'success'","C:\ct\ct\scripts\migration-ledger.mjs","drizzle-orm's migrator compares each journal entry's 'when' against ONE watermark (max(created_at) read once); anything at or below it is skipped silently and permanently","Live 2026-09-03 against pcrjmlpuqsbocqfwoxod: 0323_construction_boq_parent_unique, 0328_erp_customers_active_name_unique and 0344_force_rls_crm_leads_stage_history had no applied row and would never be applied again; their DDL is in production only because a human applied it by hand while the pipeline reported success","C:\ct\ct\scripts\apply-migrations.mjs; C:\ct\ct\scripts\migration-ledger.mjs"
"MIGRATIONS","59","Check which .sql files the runner can never see (they are not in the journal)","Compare basenames of C:\ct\ct\drizzle\*.sql against the tags in C:\ct\ct\drizzle\meta\_journal.json","379 journal entries (idx 0..378, last tag 0561_r74_phase2_closure_state_and_surface_class) vs 394 .sql files","15 files are absent from the journal and will NEVER be applied by db:migrate: 0294, 0295, 0296, 0546, 0547, 0548, 0549, 0550, 0562, 0563, 0564, 0565, 0566, 0567, 0568. These are hand-apply-only SQL and must be run manually","PowerShell diff of C:\ct\ct\drizzle\meta\_journal.json against C:\ct\ct\drizzle\*.sql"
"MIGRATIONS","60","Generate a migration","bun run db:generate  ->  drizzle-kit generate   (cwd C:\ct\ct)","New drizzle/NNNN_*.sql + journal entry, compliance schema only","Produces nothing for platform.* tables (step 53); also risks a number collision with a parallel branch - see step 63","C:\ct\ct\package.json; C:\ct\ct\drizzle.config.ts"
"MIGRATIONS","61","Push schema directly (dev only)","bun run db:push  ->  drizzle-kit push   (cwd C:\ct\ct)","Diffs schema.ts against the live DB and applies the difference with no migration file and no ledger row","Bypasses the whole journal/ledger discipline the runner and CI gates depend on; never use against production","C:\ct\ct\package.json"
"MIGRATIONS","62","Inspect data/schema in a browser UI","bun run db:studio  ->  drizzle-kit studio   (cwd C:\ct\ct); same script exists in C:\ct\projexa","Drizzle Studio opens against DATABASE_URL","Studio reads schema.ts, which is schemaFilter-independent, so it shows platform tables the generator cannot emit - do not infer 'a migration exists' from Studio","C:\ct\ct\package.json; C:\ct\projexa\package.json"
"MIGRATIONS","63","Run the migration CI gates locally before opening a PR","node C:\ct\ct\scripts\check-migration-collision.mjs; check-migration-integrity.mjs; check-migration-schema-drift.mjs; replay-migrations-from-empty.mjs (bun run check:migration-replay)","CI jobs 'Migration Number Collision Check', 'Migration Integrity Check (AR-12)', 'Migration Schema Drift Check', 'Migration Replay From Empty (E-103, report-only)' pass","Replay-from-empty is REPORT-ONLY in CI - a failure there does not block a merge","C:\ct\ct\.github\workflows\ci.yml; C:\ct\ct\scripts\"
"MIGRATIONS","64","Apply migrations in CI/production via the manual workflow","GitHub Actions -> 'Apply DB Migrations (manual)' -> type exactly: apply","Job runs only if inputs.confirm == 'apply'; checks out, bun install --frozen-lockfile, prints pending migrations, then applies","Deliberately workflow_dispatch only, never on push/PR - auto-applying DDL on every merge was judged a bigger blast radius. Its own header still warns about the E-74 watermark skip","C:\ct\ct\.github\workflows\db-migrate.yml"
"MIGRATIONS","65","PROJEXA migrations differ - read its config","C:\ct\projexa\drizzle.config.ts","schema ./src/lib/db/schema.ts, out ./drizzle, postgresql, DATABASE_URL - and NO schemaFilter, so db:generate sees the whole schema","PROJEXA has no apply-migrations runner and no db:migrate script; its 16 .sql files are applied by hand","C:\ct\projexa\drizzle.config.ts; C:\ct\projexa\package.json"
"MIGRATIONS","66","Treat PROJEXA's newest migrations as possibly-unapplied","C:\ct\projexa\drizzle\0013_work_progress_photos.sql (see also 0011_notifications.sql)","Header states it was NOT applied live in the authoring session - no Supabase DB credentials/Management API access were available","Someone with real Supabase MCP/DB access must apply it (including the storage.buckets insert and storage.objects policies) before photo upload works end-to-end","C:\ct\projexa\drizzle\0013_work_progress_photos.sql"
"MIGRATIONS","67","Before writing a non-additive migration, check reversibility","bun run check:migration-reversibility  ->  node C:\ct\ct\scripts\check-migration-reversibility.mjs","Scans drizzle/ for DROP TABLE / DROP COLUMN / RENAME / ALTER COLUMN ... TYPE / SET NOT NULL and reports which have a paired down-migration","Advisory only, not a CI gate. At the time the runbook was written 5 of 230 migrations were non-additive; only 2 have down-migrations","C:\ct\ct\docs\ROLLBACK_RUNBOOK.md; C:\ct\ct\scripts\check-migration-reversibility.mjs"
"MIGRATIONS","68","Write a down-migration when (and only when) the change is non-additive","C:\ct\ct\drizzle\down\<same-basename>.down.sql; worked examples: 0217_payment_entries_approval_workflow.down.sql, 0220_hr_attendance.down.sql","Wrapped in BEGIN; ... COMMIT; with a header comment stating plainly any condition under which it fails or loses data","Only 2 down-migrations exist in the whole repo. Never auto-applied by any script or CI job - a human runs it deliberately via psql / Supabase SQL editor / MCP execute_sql","C:\ct\ct\docs\ROLLBACK_RUNBOOK.md; C:\ct\ct\drizzle\down\"
"MIGRATIONS","69","Do NOT write mechanical DROP COLUMN down-migrations for additive changes","-","Most of the repo's migrations are ADD COLUMN IF NOT EXISTS / CREATE TABLE IF NOT EXISTS; rolling those back needs zero DB action - reverting the app code is a complete rollback","A mechanical DROP COLUMN would delete data the new code already wrote","C:\ct\ct\docs\ROLLBACK_RUNBOOK.md"
"STORAGE-BUCKETS","70","Provision ALL FOUR Supabase Storage buckets - they are application config, not platform-managed","compliance-documents, voice-memos (project pcrjmlpuqsbocqfwoxod); org-branding (same project); work-progress-photos (project evpckeuxgvahguwsaeul)","Uploads work in both apps","A missing bucket is invisible until a user has picked a file and pressed Save; document-service.ts then reports the flat sentence 'Failed to upload file'","C:\ct\ct\src\lib\storage-config.ts; C:\ct\projexa\src\app\api\work-progress\photos\route.ts"
"STORAGE-BUCKETS","71","Create bucket compliance-documents - the one bucket every document/permit/drawing upload writes to","Private bucket; file_size_limit 25 MB (25*1024*1024)","All 14 backend call sites resolve; GET /api/health reports storageConfigured true","NO migration creates this bucket - grep of C:\ct\ct\drizzle, supabase, docs found the name only in 0221's prose. It must be created by hand in the Supabase dashboard; its exact live settings are UNKNOWN from the repo","C:\ct\ct\src\lib\storage-config.ts (UPLOAD_BUCKET); C:\ct\ct\src\lib\services\document-service.ts:17-18"
"STORAGE-BUCKETS","72","Know every compliance-documents consumer before changing it","C:\ct\ct\src\lib\storage-config.ts:30 (UPLOAD_BUCKET); src\lib\storage\signed-document-url.ts:19 (DOCUMENT_BUCKET); src\lib\services\document-service.ts:17; src\lib\services\esignature-service.ts:100; src\lib\services\workspace-memory-service.ts:47; src\lib\crr\capture.ts:41; src\app\api\documents\route.ts:16; src\app\api\documents\[id]\route.ts:10; src\app\api\client-portal\[token]\documents\route.ts:12; src\app\api\construction\ai\diff-drawings\route.ts:9; src\app\api\construction\ai\estimate-progress\route.ts:9; src\app\api\internal\crr-catchup-worker\run\route.ts:57; src\app\api\v1\projexa\documents\[id]\route.ts:17; src\app\api\v1\projexa\drawings\[id]\route.ts:24","14 files hardcode the string 'compliance-documents'","The bucket name is duplicated as a literal in 14 places rather than imported from storage-config.ts - a rename must touch all of them","grep of C:\ct\ct\src for const BUCKET / UPLOAD_BUCKET / DOCUMENT_BUCKET"
"STORAGE-BUCKETS","73","Create bucket voice-memos","Used by POST /api/voice-tickets","Voice ticket audio uploads succeed","Also has NO creation SQL anywhere in the repo - manual dashboard creation. Public/private flag, size limit and mime allowlist are UNKNOWN from the repo","C:\ct\ct\src\app\api\voice-tickets\route.ts:18"
"STORAGE-BUCKETS","74","Create bucket org-branding - this one HAS a migration, apply it","C:\ct\ct\drizzle\0221_wave_b_white_label_branding.sql (lines 77-85)","INSERT INTO storage.buckets (id,name,public,file_size_limit,allowed_mime_types) VALUES ('org-branding','org-branding',true,2097152,ARRAY['image/png','image/jpeg','image/webp','image/svg+xml','image/x-icon']) ON CONFLICT DO NOTHING","Deliberately PUBLIC (unlike compliance-documents) so tenant logos get a stable URL; there is no anon/authenticated INSERT policy - writes only via the service-role client in /api/settings/branding/logo","C:\ct\ct\drizzle\0221_wave_b_white_label_branding.sql"
"STORAGE-BUCKETS","75","Create bucket work-progress-photos (PROJEXA) - apply its migration including the storage section","C:\ct\projexa\drizzle\0013_work_progress_photos.sql","INSERT INTO storage.buckets VALUES ('work-progress-photos','work-progress-photos',false) ON CONFLICT DO NOTHING; plus table public.work_progress_photos and 2 storage.objects policies","Header states it was never applied live. Without it, POST /api/work-progress/photos fails and the offline photo-sync path silently loses photos","C:\ct\projexa\drizzle\0013_work_progress_photos.sql"
