"Area","Item","Identifier","File_Or_URL","Current_State","Purpose","Notes"
"GH Actions","VERIDIAN AI Prompt Evals","workflow id 315566836",".github/workflows/ai-prompt-evals.yml","active; pull_request to main, path-filtered to promptfooconfig.yaml, src/lib/policy-enforcement-engine.ts, chat-service.ts, report-engine-service.ts, ai-report-builder-service.ts, capability-audit-service.ts, ai-team/roster.ts, ai-team/team-service.ts, prompt-os-resolver.ts; job `prompt-evals`","Runs promptfoo evals when AI prompt/routing surfaces change","Local runner is `bun run test:prompts` = `promptfoo eval -c promptfooconfig.yaml`"
"GH Actions","VERIDIAN Browser UX Test","workflow id 310729654",".github/workflows/browser-ux-test.yml","active; workflow_dispatch (input smoke_test_limit, default ""0"" = full 200) + repository_dispatch type browser-ux-test; permissions contents:read; job `browser-ux-test`","On-demand 200-case browser UX sweep","Manual/dispatch only -- never runs on push or PR"
"GH Actions","VERIDIAN Build & Push Doc Processing Image","workflow id 310784127",".github/workflows/build-doc-processing-image.yml","active; push to main path-filtered to services/doc-processing/**, plus workflow_dispatch; permissions contents:read, packages:write; job `build-and-push`","Builds and publishes the doc-processing container image","Only path-triggered container build in either repo"
"GH Actions","VERIDIAN Doc Processing Job","workflow id 310872705",".github/workflows/doc-processing-job.yml","active; repository_dispatch type doc-processing-job only; permissions contents:read, packages:read; job `process`","Runs a doc-processing batch on demand from an API dispatch","Consumes the image built by build-doc-processing-image.yml"
"GH Actions","VERIDIAN Apply DB Migrations (manual)","workflow id 344269969",".github/workflows/db-migrate.yml","active; workflow_dispatch ONLY, gated by `if: github.event.inputs.confirm == 'apply'`; job `migrate` runs drizzle-kit migrate against the live DB","Only wired path to apply migrations; before R60 T7 `db:migrate` existed as a package.json script invoked by nothing (platform.error_log E-64)","Deliberately not on push/PR. Known limitation E-74: drizzle-kit tracks MAX(created_at), so an out-of-order journal 'when' is skipped forever -- drizzle/0323_construction_boq_parent_unique.sql is such a case. Uses postgres superuser role, not app_runtime (no DDL rights)"
"GH Actions","VERIDIAN Domain Ownership Drift Check","workflow id 345894814",".github/workflows/domain-drift-check.yml","active; schedule cron '*/15 * * * *' + workflow_dispatch; job `check`; GET-only against api.vercel.com/v9/projects/{id}/domains/{domain}","Detects (cannot prevent) reassignment of projexa-ai.com / www.projexa-ai.com away from the canonical project","Hardcodes TEAM=team_Iqx3zyb7sDdsdzcNskCFFsHD, CANONICAL_PROJECT_ID=prj_JA9mwUdOfW3SKSxjG4jdPo0R2iVM (projexa). Never calls a mutating endpoint and never `vercel domains rm`. Uses secrets.VERCEL_ACCESS_TOKEN"
"GH Actions","VERIDIAN Sync Env Vars to Vercel","workflow id 304218893",".github/workflows/sync-vercel-env.yml","active; workflow_dispatch only; job `sync` with env VERCEL_PROJECT_ID=prj_mRRWcMvhyuxgRZtcfp4ArSzcOvII; adds GROQ_API_KEY to production+preview+development via api.vercel.com/v10/projects/{id}/env","Pushes scoped secrets into the veridian-compliance-ai Vercel project","DEPLOY BYPASS: the `Trigger redeploy` step POSTs api.vercel.com/v13/deployments directly, bypassing vercel.json git.deploymentEnabled entirely. R76 flipped its input default true->false; per platform.crr_ruling R76 no session/agent may set it true. Staging-scoping block (V2-7, target=preview + gitBranch=staging) is present but fully commented out"
"GH Actions","VERIDIAN Claude Code (mention bot)","workflow id 314507322",".github/workflows/claude.yml (compliance-tracker)","active; same @claude issue/PR-comment trigger set as the projexa copy","Human-triggered in-repo Claude agent","Two repos carry near-identical claude.yml files"
"GH Actions","Orphaned workflow -- CRR-079 Closure Proof","workflow id 343852180, name ""CRR-079 Closure Proof (temporary, one-time)""","no file -- absent from both C:\ct\ct\.github\workflows and the remote .github/workflows listing","listed `active` by `gh workflow list --all` but has no backing YAML on main","Was a one-time closure-proof run","GitHub retains the workflow entry after the file is deleted; nothing can trigger it"
"GH Actions","GitHub-managed workflows (compliance-tracker)","Dependabot Updates (302824391), Dependency Graph (310776846)","no file in .github/workflows","both listed active by `gh workflow list --all`; no YAML in the repo (confirmed against the remote directory listing)","Dependency updates and dependency-graph submission, configured through GitHub settings rather than committed YAML","Not present at all in the projexa repo"
"Vercel","PROJEXA Vercel project","prj_JA9mwUdOfW3SKSxjG4jdPo0R2iVM","Vercel API get_project (read-only)","name projexa; framework nextjs; nodeVersion 24.x; live=false; latestDeployment dpl_9ZMoevKE2SFcumRNecBcYRvQtbJZ readyState=BLOCKED, target=production, url projexa-qnneuvy19-veridian-ai-os.vercel.app","Hosts PROJEXA in production","readyState BLOCKED is the deploy lockdown working as designed -- the ignoreCommand skipped the build. Nothing is live"
"Vercel","VERIDIAN Vercel project","prj_mRRWcMvhyuxgRZtcfp4ArSzcOvII","Vercel API get_project (read-only)","name veridian-compliance-ai; framework nextjs; nodeVersion 24.x; live=false; latestDeployment dpl_81kCQuRREVPb9Rt63UpPQGgK943P readyState=BLOCKED, target=null, url veridian-compliance-i734jcitv-veridian-ai-os.vercel.app","Hosts VERIDIAN AI OS / compliance-tracker in production","Also BLOCKED. Vercel project name differs from the GitHub repo name (compliance-tracker)"
"Vercel","Vercel team / org","team_Iqx3zyb7sDdsdzcNskCFFsHD","ai-os/DOMAIN_OWNERSHIP.yaml (compliance-tracker) and .vercel/project.json in both repos","orgId identical in both repos' .vercel/project.json; DOMAIN_OWNERSHIP.yaml records vercel_team ""meet-track-s-projects""; deployment hostnames use the scope slug `veridian-ai-os`","Single Vercel team owning both projects","Two different team slugs appear in evidence (yaml says meet-track-s-projects, live deployment URLs say veridian-ai-os) -- the ID is the reliable identifier"
"Vercel","PROJEXA domains","5 domains on prj_JA9mwUdOfW3SKSxjG4jdPo0R2iVM","Vercel API get_project (read-only)","projexa-ai.com; www.projexa-ai.com; projexa-smoky.vercel.app; projexa-veridian-ai-os.vercel.app; projexa-git-main-veridian-ai-os.vercel.app","Public entry points for PROJEXA","projexa-ai.com + www are the pair that has repeatedly drifted to the wrong project; canonical owner is this project per ai-os/DOMAIN_OWNERSHIP.yaml"
"Vercel","VERIDIAN domains","5 domains on prj_mRRWcMvhyuxgRZtcfp4ArSzcOvII","Vercel API get_project (read-only)","veridian-aios.com; veridian-ai-os.vercel.app; veridian-compliance-ai.vercel.app; veridian-compliance-ai-veridian-ai-os.vercel.app; veridian-compliance-ai-git-main-veridian-ai-os.vercel.app","Public entry points for VERIDIAN AI OS","veridian-compliance-ai.vercel.app is also the hardcoded production fallback origin in projexa's src/lib/veridian-client.ts"
"Vercel","Domain ownership canonical record","projexa-ai.com / www.projexa-ai.com","ai-os/DOMAIN_OWNERSHIP.yaml (compliance-tracker)","canonical_project name projexa, id prj_JA9mwUdOfW3SKSxjG4jdPo0R2iVM; last_verified 2026-08-16; history records 5 flips between veridian-compliance-ai and projexa from 2026-07-21 to 2026-08-16, several 'undocumented, doer unknown'","Single source of truth the drift-check workflow validates against","File rule 4 forbids `vercel domains rm` (removes team ownership -- more destructive than any incident needed). Canonical values are kept in sync with the workflow by hand"
"Vercel","PROJEXA project config","vercel.json (projexa)","vercel.json","regions [""bom1""]; git.deploymentEnabled {""*"": false}; ignoreCommand present","Pins region to Mumbai and disables all git-triggered deploys","No installCommand/framework keys here (unlike compliance-tracker's), and no crons"
"Vercel","VERIDIAN project config","vercel.json (compliance-tracker)","vercel.json","installCommand ""bun install""; framework ""nextjs""; regions [""bom1""]; git.deploymentEnabled {""*"": false, ""main"": false}; ignoreCommand present; 29 cron entries","Region pin, deploy lockdown, and the platform's scheduled internal jobs","Explicit ""main"": false in addition to ""*"": false -- belt-and-braces after the R72 finding that main was auto-deploying"
"Vercel","VERIDIAN cron jobs","vercel.json `crons` (29 entries)","vercel.json (compliance-tracker)","Declared: e.g. /api/internal/crr-catchup-worker/run every 15 min; ai-performance-report 01:00; escalations/recommendations/risk-trends reports 01:15/01:30/01:45; fm-ppm generate-occurrences 02:00; loops 03:00; instruction-audit 04:00; metric-alerts 05:00; deadline-digest 06:00; secrets-audit 07:00; recur-engagements 07:30; audit-cadence 08:15; task-nudge-digest 08:00; dispatch-completion-monitor 08:30; report-schedules 08:45; capability-audit 09:00; cost-anomalies 09:15; exchange-rate-refresh 09:30; orchestra-log-purge 09:45; pipeline-stuck-deal-digest 09:50; l2-phrase-promotion 10:30; role-quality-regression 10:45; crm-lead-scoring 11:00; crm-lead-followup-alerts 11:15; crm-data-integrity Mon 11:30; routing-accuracy-report Mon 01:00; ai-reduction-snapshot 1st 02:00; idle-ai-capacity quarterly","Scheduled backend work for VERIDIAN","DECLARED ONLY, NOT RUNNING: crons execute on a live production deployment, and the project's latest deployment is BLOCKED with live=false"
"Vercel","Local Vercel project links",".vercel/project.json (both repos)",".vercel/project.json","projexa: {projectId prj_JA9mwUdOfW3SKSxjG4jdPo0R2iVM, orgId team_Iqx3zyb7sDdsdzcNskCFFsHD, projectName projexa}; compliance-tracker: {projectId prj_mRRWcMvhyuxgRZtcfp4ArSzcOvII, orgId same, projectName veridian-compliance-ai}","Links each local checkout to its Vercel project for CLI operations","Both directories also contain a README.txt; compliance-tracker additionally has a .vercel/cache"
"Deploy ritual","Owner deploy guide","VERCEL_DEPLOY_OWNER_GUIDE.md","VERCEL_DEPLOY_OWNER_GUIDE.md (present and byte-identical in BOTH repos, 54 lines)","Current; written 2026-09-06 after Vercel credits ran out because AI sessions were using Vercel as a test target","Owner-facing 4-step procedure for making a real deploy happen","Explicitly states: if anyone claims a deploy needs more than these 4 steps, that is the pattern the lockdown exists to stop"
"Deploy ritual","Step 1-2 -- owner sets approval","OWNER_DEPLOY_APPROVAL","VERCEL_DEPLOY_OWNER_GUIDE.md; Vercel dashboard Settings > Environment Variables","Manual owner-only action; value must be today's UTC date in exactly YYYY-MM-DD (e.g. 2026-09-06)","The single human gate -- the one step no session or agent can perform","Applies to whichever project is being deployed (veridian-compliance-ai or projexa)"
"Deploy ritual","Step 3-4 -- push/redeploy then let it expire","n/a","VERCEL_DEPLOY_OWNER_GUIDE.md","Owner pushes or redeploys normally; the build checks the variable. Guide advises clearing it afterward, but notes it self-expires at the next UTC midnight regardless","Time-boxes the approval to a single day so a forgotten variable cannot keep the door open","Any build the next day, or with the variable unset/blank/misformatted, is skipped automatically"
"Deploy ritual","Layer 1 -- no auto-deploy","vercel.json `git.deploymentEnabled`","vercel.json (both repos)","projexa {""*"": false}; compliance-tracker {""*"": false, ""main"": false}","No git push on any branch, main included, can trigger a Vercel deployment","First of the three layers the owner guide describes"
"Deploy ritual","Layer 2 -- build-time approval check","vercel.json `ignoreCommand`","vercel.json (both repos)","Identical in both: sh -c '[ -n ""$OWNER_DEPLOY_APPROVAL"" ] && [ ""$OWNER_DEPLOY_APPROVAL"" = ""$(date -u +%Y-%m-%d)"" ] && exit 1; exit 0'","Even a manually-triggered build is skipped unless the variable equals today's UTC date","Vercel semantics are inverted: exit 1 = proceed with the build, exit 0 = skip it"
"Deploy ritual","Layer 3 -- drift-guard test","src/lib/vercel-lockdown.test.ts","src/lib/vercel-lockdown.test.ts (present in BOTH repos)","Present and run in CI. Asserts git.deploymentEnabled exists, [""*""] === false, no branch key anywhere is true, ignoreCommand contains OWNER_DEPLOY_APPROVAL, and simulates the shell: empty/yesterday/tomorrow/not-a-date -> 0 (skip), today -> 1 (proceed)","Fails the build loudly if either of the first two layers is weakened","Paired with the CI `test -f` step in each repo so deleting the file cannot silently drop the assertions. compliance-tracker also has src/lib/vercel-region.test.ts"
"Deploy ritual","Known bypass path","sync-vercel-env.yml `Trigger redeploy` step",".github/workflows/sync-vercel-env.yml (compliance-tracker)","Present; runs only when the workflow_dispatch input `redeploy` is typed as ""true"" (default ""false"" since R76)","POSTs to api.vercel.com/v13/deployments with secrets.VERCEL_ACCESS_TOKEN -- a real deploy path outside the vercel.json lockdown","The workflow's own input description states no session or agent may ever set it true (platform.crr_ruling R76). It also mints a repoId via secrets.PAT_FCHECKLIST"
"Deploy ritual","Open item -- credential not yet revoked","VERCEL_TOKEN / VERCEL_ACCESS_TOKEN / VERCEL_OIDC_TOKEN + Vercel MCP connector","VERCEL_DEPLOY_OWNER_GUIDE.md, final section","OPEN. Guide names this as the one remaining gap; the three layers stop pushes and builds but do not revoke the API credential","Only the owner can revoke the token / disconnect the connector -- a session must not alter its own permissions","Guide points at machine env and .env.local files, Claude Code's MCP connection list, and `vercel whoami` / `vercel logout`. A live Vercel MCP connector was in fact reachable from this session (read-only calls only)"
"Local dev","PROJEXA dev server port","port 3100","package.json (projexa) `scripts.dev` = ""next dev -p 3100""","Active convention; `scripts.start` also pins -p 3100","PROJEXA's own UI in local development","CLAUDE.md (projexa) lines 28-29 and 414 state it explicitly; CLAUDE.md (compliance-tracker) lines 75-76 and 96 mirror the warning"
"Local dev","VERIDIAN dev server port","port 3000","package.json (compliance-tracker) `scripts.dev` = ""next dev -p 3000 2>&1 | tee dev.log""","Active; a `predev` hook runs node scripts/generate-protected-routes.mjs first","VERIDIAN AI OS UI in local development","CLAUDE.md (compliance-tracker) line 105. Known gotcha at line 147: `bun run dev` fails with 'command not found: tee' on Windows because of the tee pipe"
"Local dev","PROJEXA -> VERIDIAN backend link (local)","VERIDIAN_API_BASE_URL",".env.local (projexa), line 6","Set to http://localhost:3000/api/v1/projexa -- PROJEXA on :3100 calls compliance-tracker on :3000 for VERIDIAN data","Lets the local PROJEXA app read real VERIDIAN data from the locally running compliance-tracker server","This is a SERVER-SIDE API client call, not an HTTP proxy: projexa's next.config.ts declares no `rewrites` and contains no proxy config (verified). Same .env.local carries a stub VERIDIAN_API_KEY for the single demo org projexa_demo_org"
"Local dev","PROJEXA VERIDIAN client + production fallback","VERIDIAN_API_BASE","src/lib/veridian-client.ts (projexa), line 46","`process.env.VERIDIAN_API_BASE_URL ?? ""https://veridian-compliance-ai.vercel.app/api/v1/projexa""`","Resolves where VERIDIAN lives; falls back to the production Vercel hostname when the env var is unset","Server-only module (imports the database), so it can never be bundled for the browser. Also exposes VERIDIAN_API_ROOT for endpoints never re-exported under /api/v1/projexa/* (e.g. /api/v1/construction/labour-roster, /api/v1/documents) via `root: true`. Per AR-04 an org-scoped caller with no veridian_credentials row throws rather than silently using the shared key"
"Local dev","PROJEXA -> VERIDIAN user-facing link","GET /api/veridian-link","src/app/api/veridian-link/route.ts (projexa)","Active; requireAuth() then 307 redirect to VERIDIAN_ORIGIN","The single UI link out of PROJEXA into VERIDIAN (R67 WS-A / A-17, for names with no PROJEXA screen such as Email or Teams)","Takes no destination parameter by design -- a caller-supplied URL would be an open redirect. Resolves the configured origin at request time so it cannot go stale"
"Local dev","PROJEXA E2E base URL","playwright.config.ts baseURL","playwright.config.ts (projexa), line 29","`process.env.PLAYWRIGHT_BASE_URL ?? ""https://projexa-ai.com""` -- committed default points at PRODUCTION","Playwright target for PROJEXA E2E specs","Line 54 documents overriding with PLAYWRIGHT_BASE_URL=http://localhost:3100. The CI perf job must override it so it never measures production"
"Local dev","VERIDIAN E2E base URL","playwright.config.ts baseURL","playwright.config.ts (compliance-tracker), lines 65 and 81-82","Hardcoded http://localhost:3000; webServer command ""node scripts/generate-protected-routes.mjs && npx next dev -p 3000""","Playwright target for VERIDIAN E2E specs; Playwright starts the dev server itself","Local-only by construction -- unlike projexa's config it can never point at production"
"Local dev","VERIDIAN production start script","scripts.start","package.json (compliance-tracker)","""NODE_ENV=production bun .next/standalone/server.js 2>&1 | tee server.log""","Runs the Next standalone output locally","Differs from projexa's `next start -p 3100`; the tee pipe has the same Windows `tee` gotcha as `dev`"
"Data","PROJEXA Supabase project","evpckeuxgvahguwsaeul",".env.local (projexa) NEXT_PUBLIC_SUPABASE_URL=https://evpckeuxgvahguwsaeul.supabase.co","Configured for local dev","PROJEXA's own database, separate from VERIDIAN's","Confirms PROJEXA is a genuinely separate app, not a skin over compliance-tracker"
"Data","VERIDIAN Supabase project","pcrjmlpuqsbocqfwoxod",".env.local (compliance-tracker) NEXT_PUBLIC_SUPABASE_URL=""https://pcrjmlpuqsbocqfwoxod.supabase.co""","Configured for local dev","VERIDIAN / compliance-tracker database; also holds the platform.crr_ruling rows cited by the R76 lockdown workflows","compliance-tracker also carries .env.example and .env.r74-test.local; projexa has only .env.local"
"Data","Shared UI dependency","@fchecklist/veridian-ui-kit","package.json (both repos)","projexa pins github:FChecklist/veridian-ui-kit#8134e07e91039d05fec64db1a6cf1df0131cce8c (commit SHA); compliance-tracker pins #v0.4.0 (tag) -- the two repos are on DIFFERENT pins","Shared design-system components across both apps","Ships raw .ts/.tsx with no build step, so projexa's next.config.ts lists it under transpilePackages"
