"Requirement_Id","Area","Requirement_Text","Recorded_Status","Closure_Commit","Closure_Test_Path","Independently_Verified","Source"
"R-52","Dashboard","Only the LATEST revision is counted","CLOSED / CONFIRMED LIVE 2026-09-04 (R74 Phase 5)","b67b853f (compliance-tracker)","src/lib/services/construction-reports-service.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-60","Currency","BOQ amounts show AED not rupee","BLOCKED / DONE - VERIFIED (contradictory)","NONE recorded","NONE recorded","FALSE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-61","Currency","Currency is an ORG SETTING stored as data","CLOSED / DONE - VERIFIED","40be85bf (compliance-tracker)","src/lib/services/erp-accounting-service.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-62","Currency","Dashboard and other screens show AED","CLOSED / CONFIRMED LIVE 2026-09-04 (R74 Phase 5)","2b6bfbb8 (projexa)","src/lib/currency-fallback-env.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-63","Currency","projexa_demo_org has no currency row - would fall back to rupee","CLOSED / FIXED AT SOURCE - provisioning now persists currency","40be85bf (compliance-tracker)","src/lib/services/firm-client-portal-service.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-70","Import","Load Sumeet real xlsx with sub-tasks and weights","CLOSED / BUILT AND MERGED (corrected 22 Aug)","b6999822 (compliance-tracker)","src/lib/services/construction-boq-import-service.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-71","Import","Malformed row rejected readably","CLOSED / BUILT - verified in source 22 Aug","b6999822 (compliance-tracker)","src/lib/services/construction-boq-import-service.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-72","Import","Column mapping matches his headers","CLOSED / BUILT AND MERGED (corrected 22 Aug)","b6999822 (compliance-tracker)","src/lib/services/construction-boq-import-service.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-80","Selection Layer","ONE full pill path works end to end","BLOCKED / NOT DONE","f8e7c2bc (compliance-tracker)","src/app/api/v1/projexa/assistant/route.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-81","Selection Layer","NO visible pill may be unwired - hide the other 402","BLOCKED / NOT DONE","a01c0d0c (projexa)","src/components/veri-chat/veri-chat-context.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-82","Assistant","Assistant either reaches project data or is hidden","BLOCKED / VERIFIED LIVE 24 Aug (R42 seq3); assistant reaches real data, NOT hidden","NONE recorded","NONE recorded","FALSE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-90","Error Visibility","Real backend message shown in the toast","BLOCKED / PARTIAL","NONE recorded","NONE recorded","FALSE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-91","Error Visibility","Cold start 'Failed to fetch' on first submit","BLOCKED / PASS - upstream hang bounded by automatic retry","NONE recorded","NONE recorded","FALSE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-A1","Security","Demo admin password rotated before any prospect sees product","NOT_TESTABLE / NOT DONE","NONE recorded","NONE recorded","FALSE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-A2","Security","Live GitHub PAT in a clone remote URL rotated","NOT_TESTABLE / NOT DONE","NONE recorded","NONE recorded","FALSE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-A3","Security","compliance-tracker repo visibility decision","NOT_TESTABLE / DECIDED 22 Aug: keep PUBLIC; reconfirmed 27 Aug (R56)","NONE recorded","NONE recorded","FALSE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-A4","Security","Tenant isolation - org A cannot read org B BOQ","CLOSED / PASS","40be85bf (compliance-tracker)","src/app/api/v1/projexa/scope/route.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-A5","Legal","Review of GPLv3 ERPNext / scraped / reverse-engineered code","NOT_TESTABLE / REVIEWED 22 Aug - NO GPL CODE FOUND","NONE recorded","NONE recorded","FALSE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-A6","Security","nanoid CVE-2026-67213 fix merged into veridian-ui-kit","CLOSED / OPEN - UNMERGED FIX EXISTS (kit PR #7 open) - state contradicts status","40be85bf (compliance-tracker)","src/lib/dependency-pins.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-A7","Legal","veridian-ui-kit repo visibility decision","NOT_TESTABLE / DECIDED 22 Aug: keep PUBLIC; reconfirmed 27 Aug (R56)","NONE recorded","NONE recorded","FALSE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-B1","Test","ONE Playwright smoke test over the proven path","CLOSED / DONE - VERIFIED (R46: prior evidence text was stale)","0700e699 (compliance-tracker)","e2e/demo-gate-smoke.spec.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-B2","Gate","DEMO GATE - TC-01 TC-10 TC-11 TC-30 TC-40 TC-90 each pass TWICE","CLOSED / status text records unresolved contradiction: CI green but manual walkthrough found TC-10 (BOQ w/ weighted children silently not persisting) + TC-30 dead ends; 2026-08-28 correction says persistence defect NOT confirmed fixed","0700e699 (compliance-tracker)","e2e/demo-gate-smoke.spec.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-C01","Module: Permits","Permits register - data entry, upload PDF, permit name, issue date, end date","CLOSED / DONE","40be85bf (compliance-tracker)","src/app/api/v1/projexa/permits/route.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-C02","Module: Drawings & 3D","Upload drawings and 3D walkthroughs","CLOSED / DONE","40be85bf (compliance-tracker)","src/app/api/v1/projexa/drawings/route.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-C03","Module: Documents","Document store - any email, permit-related etc","CLOSED / DONE (WIRED, no second table)","40be85bf (compliance-tracker)","src/app/api/v1/documents/route.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-C04","Module: MoMs","Live-create Minutes of Meeting, save as PDF, share to WhatsApp","CLOSED / DONE","b6999822 (compliance-tracker)","src/app/api/veri-meetings/[id]/minutes/route.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-C07","Module: Manpower","Manpower DB (ID, Name, Trade, Salary), daily attendance, trade-wise summary, daily cost report","CLOSED / DONE","b6999822 (compliance-tracker)","src/lib/services/construction-labour-service.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-C08","Module: Material","Material database, material inbound, spec, cost, qty","CLOSED / DONE","b6999822 (compliance-tracker)","src/lib/services/construction-materials-service.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-C09","Module: Budget","Budget % defaults to 25%, changeable per scope item; vendor name + amount per scope item; budget summary report","CLOSED / DONE","b6999822 (compliance-tracker)","src/lib/services/construction-boq-service.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-C10","Module: Schedule","Project schedule","CLOSED / VERIFIED LIVE 24 Aug (R42 seq1) - task + baseline persisted and read back","40be85bf (compliance-tracker)","src/app/api/v1/projexa/schedule/route.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-C11","Module: Reports","Revenue / Budget / Actual, scope-wise and category-wise; ALL REPORTS IN DASHBOARD FORMAT AND INTERACTIVE","CLOSED / BUILT (corrected 22 Aug). Unverified.","b6999822 (compliance-tracker)","src/lib/services/construction-reports-service.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-C12","Module: Design Studio","Daily timesheets - designer enters daily work, manager validates; Date/Project/Category/Task/Hours; cost analysis budget vs actual","CLOSED / VERIFIED LIVE 24 Aug (R42 seq2); ct#1341 + projexa#106 merged+deployed","b6999822 (compliance-tracker)","src/lib/services/pms-time-service.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-C13","Scope / Variations","Negative variation must be checked against WPR in case work is already done","CLOSED / ALREADY IN BACKEND - confirms R-22/R-23","40be85bf (compliance-tracker)","src/lib/services/construction-boq-service.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-C14","Scope / Variations","Upload site instruction form","CLOSED / DONE (SCHEMA-ASSUMED-INDUSTRY-STANDARD)","40be85bf (compliance-tracker)","src/app/api/v1/construction/site-instructions/route.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-C15","Export / Share","Save reports as PDF and share to WhatsApp","CLOSED / BUILT (corrected 22 Aug). Unverified.","b6999822 (compliance-tracker)","src/app/api/v1/projexa/reports/share/route.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-C16","Platform: Institutional Memory (CRR)","CRR Capture/Recall/Reuse: permanent source_object per artefact; cheapest-first recall ladder returning citations; reuse check before work. Plus per-user Google Mail/Drive/Sheets/Docs connectors with read/edit/write (owner ruling 28 Aug)","OPEN / OUT OF R46 SCOPE - large pre-planned future initiative (246-row spec in platform.crr_spec)","NONE recorded","NONE recorded","FALSE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"REG-SUMEET_REQUIREMENTS","Register","Requirement register for the Sumeet/PROJEXA scope - 70 rows, 22 columns, 29 distinct areas. Only register in the system with a usable closure_state column plus commit + test-path pointers","70 rows: CLOSED 51, BLOCKED 13, NOT_TESTABLE 5, OPEN 1. CLOSED rows: 51/51 have sha, test path and test_run_at. BLOCKED: only 2/13 have sha+path","12 distinct closure_commit_sha values across both repos; all 12 confirmed ancestors of origin/main","26 distinct closure_test_path values; all 26 confirmed present on disk","TRUE","Live SQL on platform.sumeet_requirements + git merge-base --is-ancestor in C:\ct\ct and C:\ct\projexa + file existence checks"
"REG-CLAUDE_LOG","Register","Session / work-order log. 8 columns (id, created_at, author, wo, status, title, body, evidence). Closest thing to a work-order register","278 rows, 71 distinct wo values, span 2026-08-20 03:10 UTC to 2026-09-06 08:12 UTC. Free-text status, no boolean closure column","n/a - register has no commit column","n/a - register has no test-path column","TRUE","Live SQL: select count(*), count(distinct wo), min/max(created_at) from platform.claude_log"
"REG-CLAUDE_LOG-COVERAGE","Register","R-number coverage of claude_log (per R80 Part 6): R-numbers extractable from wo||status||title","33 of 80 R-numbers present (R1,R18,R19,R43,R45-R48,R50,R52-R58,R60-R76). Missing: R2-R17, R20-R42 except R43, R44, R49, R51, R59, R77-R80. 10 R-numbers recorded closed: R46,R63,R64,R69,R70,R71,R72,R74,R75,R76","NONE recorded","NONE recorded","FALSE","C:\ct\projexa\R80_PART6_R1_TO_R80_REVIEW.md section a.4"
"REG-TASK_REGISTER","Register","platform.task_register - intended work-order/task register, 11 columns","0 rows. Empty; no work has ever been recorded in it","n/a","n/a","TRUE","Live SQL: select count(*) from platform.task_register -> 0"
"REG-R74_AGENT_REGISTER","Register","platform.r74_agent_register - intended per-agent execution register, 12 columns","0 rows. Empty; no agent run has ever been recorded in it","n/a","n/a","TRUE","Live SQL: select count(*) from platform.r74_agent_register -> 0"
"REG-REQ_TEST_MAP","Register","platform.req_test_map - requirement-to-test mapping table, 3 columns","290 rows (not cross-checked against sumeet_requirements ids in this pass)","n/a","n/a","TRUE","Live SQL: select count(*) from platform.req_test_map -> 290"
"REG-OTHER-COUNTS","Register","Other registers in schema platform, live row counts taken this session","sumeet_coverage 16, sumeet_gap 31, test_closure 17","n/a","n/a","TRUE","Live SQL union count over platform tables"
"REG-OTHER-R80P6","Register","Register row counts reported by R80 Part 6 (not re-run by me)","r43_faults 187 (required=YES: 175 closed, 2 open); img_spec 74; session_audit_r60_r67 156 (VERIFIED 36 / UNVERIFIED 120); crr_spec 254; cc_spec 201; build_plan 123; r47_spec 70; sumeet_uat 231; uat_result 9506; ops_dev_tasks 2214","NONE recorded","NONE recorded","FALSE","C:\ct\projexa\R80_PART6_R1_TO_R80_REVIEW.md section a.3"
"P2-01","AI Router (Part 2)","Raw user input is sent to the software untouched (no client-side guessing)","TRUE","NONE recorded","projexa src/components/shell/M24Shell.tsx:2373-2374","FALSE","C:\ct\projexa\R80_PART2_AI_ROUTER_AUDIT.md finding 1"
"P2-02","AI Router (Part 2)","PROJEXA proxies to the VERIDIAN backend rather than classifying locally","TRUE","NONE recorded","projexa src/app/api/tasks/route.ts:64,76","FALSE","R80_PART2_AI_ROUTER_AUDIT.md finding 2"
"P2-03","AI Router (Part 2)","The software breaks one input into MULTIPLE segments","TRUE","NONE recorded","ct src/lib/pipeline/segment.ts (338 lines)","FALSE","R80_PART2_AI_ROUTER_AUDIT.md finding 3"
"P2-04","AI Router (Part 2)","Each segment gets its own verdict of task / chat / gap","TRUE","NONE recorded","ct src/lib/pipeline/classify.ts:21,144","FALSE","R80_PART2_AI_ROUTER_AUDIT.md finding 4"
"P2-05","AI Router (Part 2)","A submission-level discriminant exists for chat vs one task vs multiple tasks","TRUE","NONE recorded","ct src/lib/pipeline/classify.ts:250-257","FALSE","R80_PART2_AI_ROUTER_AUDIT.md finding 5"
"P2-06","AI Router (Part 2)","That classification is persisted","PARTIAL - only 5 of 50 submissions rows non-null, all TASK; MULTIPLE_TASKS and CHAT_ONLY never recorded","NONE recorded","ct src/lib/pipeline/run-submission.ts:590,1196-1199","FALSE","R80_PART2_AI_ROUTER_AUDIT.md finding 6"
"P2-07","AI Router (Part 2)","A server-side VERDICT step returning verdict task/chat/gap exists","TRUE","NONE recorded","ct src/lib/pipeline/verdict.ts:25,130,180","FALSE","R80_PART2_AI_ROUTER_AUDIT.md finding 7"
"P2-08","AI Router (Part 2)","The verdict step is RULE-BASED","TRUE","NONE recorded","ct src/lib/pipeline/classify.ts:78-138","FALSE","R80_PART2_AI_ROUTER_AUDIT.md finding 8"
"P2-09","AI Router (Part 2)","The verdict step is MODEL-BASED","PARTIAL - model only resolves functionId; verdict itself derived in code","NONE recorded","ct src/lib/pipeline/level1.ts:90,102","FALSE","R80_PART2_AI_ROUTER_AUDIT.md finding 9"
"P2-10","AI Router (Part 2)","A two-step propose-then-confirm flow exists (nothing minted until user confirms)","TRUE","NONE recorded","ct src/app/api/v1/projexa/tasks/route.ts:119,141,214,224","FALSE","R80_PART2_AI_ROUTER_AUDIT.md finding 10"
"P2-11","AI Router (Part 2)","The system builds a MODE + OPTIONS + CHAT-INPUT sequence","PARTIAL - mode derived from UI nav state, chain derived after function resolution; no inference from raw text","NONE recorded","projexa src/lib/chain-mode.ts:28-34; ct src/lib/pipeline/derive-chain.ts","FALSE","R80_PART2_AI_ROUTER_AUDIT.md finding 11"
"P2-12","AI Router (Part 2)","A pgvector/embedding store exists in the backend DB","TRUE - 18 vector columns; compliance.embeddings 981 rows, embedding_cache 27, assistant_memories 0","NONE recorded","information_schema.columns where udt_name='vector'","FALSE","R80_PART2_AI_ROUTER_AUDIT.md finding 12"
"P2-13","AI Router (Part 2)","A vector/RAG store of input history is READ at classification time","FALSE - grep over ct src/lib/pipeline/ returns 2 prose comments, 0 executable vector queries","NONE recorded","ct src/lib/pipeline/run-submission.ts:248,279 (comments only)","FALSE","R80_PART2_AI_ROUTER_AUDIT.md finding 13"
"P2-14","AI Router (Part 2)","A store of 'probable combinations' is read before deciding","PARTIAL - all 4 L0 tiers are exact-match/sha256, none is similarity search; reuse_cache 0 rows","NONE recorded","ct src/lib/pipeline/level0.ts:24,42,107; reuse-cache.ts:67","FALSE","R80_PART2_AI_ROUTER_AUDIT.md finding 14"
"P2-15","AI Router (Part 2)","An explicit numeric CONFIDENCE score with a threshold exists","PARTIAL - MIN_CONFIDENCE=0.8 but it is the model's self-reported score, checked post-hoc","NONE recorded","ct src/lib/pipeline/level1.ts:28,135-138","FALSE","R80_PART2_AI_ROUTER_AUDIT.md finding 15"
"P2-16","AI Router (Part 2)","A confidence score DECIDES whether to escalate to AI","FALSE - escalation is a boolean L0 miss, no score computed before the AI call","NONE recorded","ct src/lib/pipeline/run-submission.ts:886; level0.ts:45-61","FALSE","R80_PART2_AI_ROUTER_AUDIT.md finding 16"
"P2-17","AI Router (Part 2)","Other confidence/escalation machinery is wired into this router","FALSE - confidence-banding, floor-tier-escalation, escalation-ladder, dispatch-confidence-scoring imported only by the separate AI-Dev-Team dispatch system","NONE recorded","ct src/app/api/v1/projexa/tasks/route.ts:22-38 import list","FALSE","R80_PART2_AI_ROUTER_AUDIT.md finding 17"
"P2-18","AI Router (Part 2)","floor-tier-escalation.ts computes a real confidence number","FALSE - hardcoded LOW_CONFIDENCE_PHRASES list returning high/medium/low","NONE recorded","ct src/lib/floor-tier-escalation.ts:49-69,130-134","FALSE","R80_PART2_AI_ROUTER_AUDIT.md finding 18"
"P2-19","AI Router (Part 2)","There are exactly 3 AI LEVELS in the live pipeline","FALSE - adapter has 2 methods: L1 live in-request, L2 nightly batch. No L3 on this path","NONE recorded","ct src/lib/ai/adapter.ts:40-45","FALSE","R80_PART2_AI_ROUTER_AUDIT.md finding 19"
"P2-20","AI Router (Part 2)","A 3-tier AI escalation taxonomy exists in code (PERCEPTION/REASONING/AUTHORITY)","PARTIAL - exists but is DEAD CODE, zero importers repo-wide","NONE recorded","ct src/lib/ai-router/escalation-tier-catalog.ts:85,88,109","FALSE","R80_PART2_AI_ROUTER_AUDIT.md finding 20"
"P2-21","AI Router (Part 2)","The AI level-to-model mapping is owner-editable and defined in one place","TRUE for 2 levels - platform.pipeline_level_models: pipeline_l1=openai/gpt-oss-120b, pipeline_l2=z-ai/glm-5.2; enum cannot hold a third","NONE recorded","ct src/lib/ai/level-model-registry.ts:26,55; schema.ts:12889","FALSE","R80_PART2_AI_ROUTER_AUDIT.md finding 21"
"P2-22","AI Router (Part 2)","'Mother Router L0-L5 done' (prior session memory)","FALSE as stated - mother-router's axis is 4 scopes not levels; L0-L5 is a different file; 5 unmerged L0-L5 systems exist","NONE recorded","ct src/lib/ai-router/mother-router.ts:89; software-team-ladder.ts:25","FALSE","R80_PART2_AI_ROUTER_AUDIT.md finding 22"
"P2-23","AI Router (Part 2)","AI calls are logged to a usage ledger","PARTIAL - table exists (36 cols) but pipeline never writes it; 14 stale rows, all level NULL, 2026-08-03..07","NONE recorded","ct drizzle/0524_r65_partd_ai_usage_ledger.sql","FALSE","R80_PART2_AI_ROUTER_AUDIT.md finding 23"
"P2-24","AI Router (Part 2)","The pipeline emits an ERP-vs-AI usage measurement","PARTIAL - l0HitRate/modelCalls computed but console-only, never persisted; live typed path omits them entirely","NONE recorded","ct src/lib/pipeline/run-submission.ts:212,214,593,1202-1205","FALSE","R80_PART2_AI_ROUTER_AUDIT.md finding 24"
"P2-25","AI Router (Part 2)","Some telemetry could substantiate the 95% ERP / <5% AI target","PARTIAL - ai-reduction-service measures a different subsystem; 1 all-zero snapshot; no ratio computable","NONE recorded","ct src/lib/services/ai-reduction-service.ts:87","FALSE","R80_PART2_AI_ROUTER_AUDIT.md finding 25"
