"Route_Path","File_Path","Methods","Auth_Model","Org_Scoping","Calls_Service","Purpose","Proxied_By_PROJEXA_Route"
"/api/v1/projexa/leads/assignment-overview","C:\ct\ct\src\app\api\v1\projexa\leads\assignment-overview\route.ts","GET","SK","STD","crm-service","getAssignmentOverview","UNKNOWN"
"/api/v1/projexa/leads/auto-distribute","C:\ct\ct\src\app\api\v1\projexa\leads\auto-distribute\route.ts","POST","SK+RS(manager/write)","STD","crm-service","autoDistributeLeads,manualAssignUnassigned","UNKNOWN"
"/api/v1/projexa/leads/bulk-reassign","C:\ct\ct\src\app\api\v1\projexa\leads\bulk-reassign\route.ts","POST","SK+RS(manager/write)","STD","crm-service","bulkReassignLeads","/api/leads/bulk-reassign"
"/api/v1/projexa/leads","C:\ct\ct\src\app\api\v1\projexa\leads\route.ts","GET,POST","SK+RS(member/write)","STD","crm-service","listLeadsPaged,createLead","/api/leads"
"/api/v1/projexa/leave/balances","C:\ct\ct\src\app\api\v1\projexa\leave\balances\route.ts","GET,POST","SK+RS(manager/write)","STD","hr-service","listLeaveBalances,setLeaveBalance","/api/leave/balances"
"/api/v1/projexa/leave/requests/[id]/decision","C:\ct\ct\src\app\api\v1\projexa\leave\requests\[id]\decision\route.ts","POST","SK+RS(manager/write)","STD","hr-service","decideLeaveRequest","/api/leave/requests/[id]/decision"
"/api/v1/projexa/leave/requests","C:\ct\ct\src\app\api\v1\projexa\leave\requests\route.ts","GET,POST","SK+RS(member/write)","STD","hr-service","listLeaveRequests,requestLeave","/api/leave/requests"
"/api/v1/projexa/materials","C:\ct\ct\src\app\api\v1\projexa\materials\route.ts","GET","SK","STD","erp-inventory-service;lib/db/schema","listStockLedger over erpItems/erpWarehouses","UNKNOWN (PROJEXA /api/materials calls /construction/materials/receipts root:true)"
"/api/v1/projexa/meetings/[id]/outcomes","C:\ct\ct\src\app\api\v1\projexa\meetings\[id]\outcomes\route.ts","POST","SK+RS(member/write)","STD","pms-meeting-service","addMeetingOutcome","/api/meetings/[id]/outcomes"
"/api/v1/projexa/meetings/[id]","C:\ct\ct\src\app\api\v1\projexa\meetings\[id]\route.ts","GET,PATCH","SK+RS(member/write)","STD","pms-meeting-service","getMeeting,updateMeeting","/api/meetings/[id]"
"/api/v1/projexa/meetings","C:\ct\ct\src\app\api\v1\projexa\meetings\route.ts","GET,POST","SK+RS(member/write)","STD","pms-meeting-service","listMeetings,createMeeting","/api/meetings"
"/api/v1/projexa/module-chain","C:\ct\ct\src\app\api\v1\projexa\module-chain\route.ts","GET","SK+RS(member/read)","STD","capability-tree-service","buildCapabilityTree","/api/module-chain"
"/api/v1/projexa/mood-boards/[id]/items/[itemId]","C:\ct\ct\src\app\api\v1\projexa\mood-boards\[id]\items\[itemId]\route.ts","DELETE","SK+RS(member/write)","STD","interior-design-service","removeMoodBoardItem","/api/mood-boards/[id]/items/[itemId]"
"/api/v1/projexa/mood-boards/[id]","C:\ct\ct\src\app\api\v1\projexa\mood-boards\[id]\route.ts","GET,PATCH,POST","SK+RS(member/write)","STD","interior-design-service","getMoodBoard,updateMoodBoard,updateMoodBoardStatus,addMoodBoardItem","/api/mood-boards/[id]"
"/api/v1/projexa/mood-boards","C:\ct\ct\src\app\api\v1\projexa\mood-boards\route.ts","GET,POST","SK+RS(member/write)","STD","interior-design-service","listMoodBoards,createMoodBoard","/api/mood-boards"
"/api/v1/projexa/opportunities/[id]/history","C:\ct\ct\src\app\api\v1\projexa\opportunities\[id]\history\route.ts","GET","SK","CTX","crm-service","listStageHistory","/api/opportunities/[id]/history"
"/api/v1/projexa/opportunities/[id]","C:\ct\ct\src\app\api\v1\projexa\opportunities\[id]\route.ts","GET,PATCH","SK+RS(member/write)","STD","crm-service","getOpportunity,updateOpportunity","/api/opportunities/[id]"
"/api/v1/projexa/opportunities/assignment-overview","C:\ct\ct\src\app\api\v1\projexa\opportunities\assignment-overview\route.ts","GET","SK","STD","crm-service","getAssignmentOverview","UNKNOWN"
"/api/v1/projexa/opportunities/auto-distribute","C:\ct\ct\src\app\api\v1\projexa\opportunities\auto-distribute\route.ts","POST","SK+RS(manager/write)","STD","crm-service","autoDistributeOpportunities,manualAssignUnassigned","UNKNOWN"
"/api/v1/projexa/opportunities/bulk-reassign","C:\ct\ct\src\app\api\v1\projexa\opportunities\bulk-reassign\route.ts","POST","SK+RS(manager/write)","STD","crm-service","bulkReassignOpportunities","/api/opportunities/bulk-reassign"
"/api/v1/projexa/opportunities","C:\ct\ct\src\app\api\v1\projexa\opportunities\route.ts","GET,POST","SK+RS(member/write)","STD","crm-service","listOpportunitiesPaged,createOpportunity","/api/opportunities"
"/api/v1/projexa/org-users","C:\ct\ct\src\app\api\v1\projexa\org-users\route.ts","GET","SK","CTX","org-directory-service","listOrgDirectory,resolveDirectoryLimit","UNKNOWN (PROJEXA /api/org-users calls /users instead)"
"/api/v1/projexa/payment-proposal-list","C:\ct\ct\src\app\api\v1\projexa\payment-proposal-list\route.ts","GET","SK","STD","erp-invoicing-service","paymentProposalList","UNKNOWN"
"/api/v1/projexa/payroll/employees/[id]/income-tax-slab","C:\ct\ct\src\app\api\v1\projexa\payroll\employees\[id]\income-tax-slab\route.ts","POST","SK+RS(manager/write)","STD","erp-payroll-service","assignIncomeTaxSlab","/api/payroll/employees/[id]/income-tax-slab"
"/api/v1/projexa/payroll/employees/[id]/tax-exemptions","C:\ct\ct\src\app\api\v1\projexa\payroll\employees\[id]\tax-exemptions\route.ts","GET,POST","SK+RS(manager/write)","STD","erp-payroll-service","listEmployeeTaxExemptions,createEmployeeTaxExemption","/api/payroll/employees/[id]/tax-exemptions"
"/api/v1/projexa/payroll/income-tax-slabs","C:\ct\ct\src\app\api\v1\projexa\payroll\income-tax-slabs\route.ts","GET,POST","SK+RS(manager/write)","STD","erp-payroll-service","listIncomeTaxSlabs,createIncomeTaxSlab","/api/payroll/income-tax-slabs"
"/api/v1/projexa/payroll/payslips/[id]/finalize","C:\ct\ct\src\app\api\v1\projexa\payroll\payslips\[id]\finalize\route.ts","POST","SK+RS(manager/write)","STD","erp-payroll-service","finalizePayslip","/api/payroll/payslips/[id]/finalize"
"/api/v1/projexa/payroll/payslips/[id]/pdf","C:\ct\ct\src\app\api\v1\projexa\payroll\payslips\[id]\pdf\route.ts","GET","SK","STD","erp-payroll-service","getPayslipDetail as PDF","/api/payroll/payslips/[id]/pdf"
"/api/v1/projexa/payroll/payslips/[id]","C:\ct\ct\src\app\api\v1\projexa\payroll\payslips\[id]\route.ts","GET","SK","CTX","erp-payroll-service","getPayslipDetail","/api/payroll/payslips/[id]"
"/api/v1/projexa/payroll/payslips/[id]/tds","C:\ct\ct\src\app\api\v1\projexa\payroll\payslips\[id]\tds\route.ts","POST","SK+RS(manager/write)","STD","erp-payroll-service","updatePayslipTds","/api/payroll/payslips/[id]/tds"
"/api/v1/projexa/payroll/runs/[id]/payslips","C:\ct\ct\src\app\api\v1\projexa\payroll\runs\[id]\payslips\route.ts","GET","SK","CTX","erp-payroll-service","listPayslips","/api/payroll/runs/[id]/payslips"
"/api/v1/projexa/payroll/runs/[id]/process","C:\ct\ct\src\app\api\v1\projexa\payroll\runs\[id]\process\route.ts","POST","SK+RS(manager/write)","STD","erp-payroll-service","processPayrollRun","/api/payroll/runs/[id]/process"
