"Module_Id","Module_Label","List_Route","Route_Prefixes","List_Component_Path","Create_Route","Create_Component_Path","Object_Route","Object_Component_Path","API_Base_Path","Project_Scoped","Leaf_Actions","Has_Create","Has_Read","Has_Edit","Has_Delete","Purpose"
"schedule","Schedule","/schedule","/schedule","src/components/ScheduleTabsClient.tsx","/schedule/tasks/new","src/components/ScheduleTaskCreateClient.tsx","/schedule/tasks/[id]","src/components/ScheduleTaskObjectClient.tsx","/api/schedule/tasks (GET,POST); /api/schedule/tasks/[id] (GET,PATCH); /api/schedule/gantt (GET)","TRUE","New task -> /schedule/tasks/new; Log time -> /schedule/log-time (redirect to /design-studio/timesheets/new); Open -> /schedule","TRUE (POST /api/schedule/tasks + /schedule/tasks/new)","TRUE (GET list + GET [id] + gantt)","TRUE (onEdit= + PATCH exported)","PARTIAL (onDelete= archives via PATCH isArchived; no DELETE on /api/schedule/tasks/[id])","Task master / Gantt / sprints and time logging; /schedule/log-time is an alias into the Design Studio timesheet form."
"reports","Reports","/reports","/reports","src/components/ReportsClient.tsx","NONE","NONE","NONE","NONE","/api/reports/[reportName] (GET); /api/reports/catalog (GET); /api/reports/definitions/[id]/run (POST)","FALSE (needsProject:false)","Open -> /reports (needsProject:false)","FALSE (no create leaf or /new page)","TRUE (GET /api/reports/[reportName] + catalog)","FALSE (no object page, no PATCH)","FALSE (no object page, no DELETE)","Report picker + result panel: a project-scoped tab and an org-wide Full Catalog tab over report_definitions."
"customers","Customers","/customers","/customers","src/components/CustomersClient.tsx","/customers/new","src/components/CustomerCreateClient.tsx","/customers/[id]","src/components/CustomerOverviewClient.tsx","/api/customers (GET,POST); /api/customers/[id] (GET,PATCH,DELETE)","FALSE (needsProject:false)","New customer -> /customers/new; Open -> /customers (both needsProject:false)","TRUE (POST /api/customers + /customers/new)","TRUE (GET list + GET [id]/overview)","TRUE (onEdit= + PATCH exported)","TRUE (onDelete= labelled Deactivate but calls method DELETE; DELETE exported)","Org-wide customer master with an overview object screen; was a mode tab, now an ordinary catalogue entry."
"vendors","Vendors","/vendors","/vendors","src/components/VendorsClient.tsx","/vendors/new","src/components/VendorCreateClient.tsx","/vendors/[id]","src/components/VendorObjectClient.tsx","/api/vendors (GET,POST); /api/vendors/[id] (GET,PATCH,DELETE)","FALSE (needsProject:false)","New vendor -> /vendors/new; Open -> /vendors (both needsProject:false)","TRUE (POST /api/vendors + /vendors/new)","TRUE (GET list + GET [id])","TRUE (onEdit= + PATCH exported)","TRUE (onDelete= labelled Deactivate but calls method DELETE; DELETE exported)","Org-wide vendor master with bank accounts, qualification, sanction checks and portal links."
"design-studio","Design Studio","/design-studio","/design-studio","src/components/DesignStudioTimesheetClient.tsx","/design-studio/timesheets/new","src/components/DesignStudioTimesheetCreateClient.tsx","/design-studio/timesheets/[id]","src/components/DesignStudioTimesheetObjectClient.tsx","/api/timesheets (GET,POST); /api/timesheets/[id] (GET,PATCH,DELETE)","TRUE","Log timesheet -> /design-studio/timesheets/new; Cost analysis -> /design-studio/cost-analysis; Review -> /design-studio/review; Open -> /design-studio","TRUE (POST /api/timesheets + timesheets/new)","TRUE (GET list + GET [id])","TRUE (onEdit= + PATCH exported)","TRUE (onDelete= + fetch method DELETE + DELETE exported)","Designer timesheets with submit/approve/reject, plus design cost analysis and a review screen."
"accounting","Accounting","/accounting","/accounting","src/components/AccountingClient.tsx","/accounting/journal-entries/new","src/components/JournalEntryCreateClient.tsx","/accounting/journal-entries/[id]","src/components/JournalEntryObjectClient.tsx","/api/journal-entries (GET,POST); /api/journal-entries/[id] (GET); /api/trial-balance, /api/balance-sheet, /api/profit-and-loss (GET)","FALSE (needsProject:false)","New journal entry -> /accounting/journal-entries/new; New company -> /accounting/companies/new; Open -> /accounting","TRUE (POST /api/journal-entries + journal-entries/new)","TRUE (GET list + GET [id] + statements)","FALSE (no onEdit=; /api/journal-entries/[id] exports GET only)","FALSE (no onDelete=; no DELETE exported)","Ledger front end: journal entries, companies, trial balance, P&L, balance sheet and bank reconciliation."
"procurement","Procurement","/procurement","/procurement, /purchase-orders","src/components/ProcurementClient.tsx","/purchase-orders/new","src/components/PurchaseOrderCreateClient.tsx","/procurement/purchase-orders/[id]","src/components/PurchaseOrderObjectClient.tsx","/api/procurement/* (purchase-orders, requisitions, rfqs, quotations, goods-receipts); /api/purchase-orders (GET,POST)","FALSE (needsProject:false)","New PO -> /purchase-orders/new; New requisition; New RFQ; New supplier quotation; Record goods receipt (all /procurement/*/new); Open -> /procurement","TRUE (POST /api/procurement/purchase-orders + /purchase-orders/new)","TRUE (GET list + GET [id])","TRUE (onEdit= on draft + PATCH /api/procurement/purchase-orders/[id])","TRUE (onDelete= + fetch method DELETE + DELETE exported)","Buying cycle: requisition -> RFQ -> supplier quotation -> PO -> goods receipt; POs are split across /purchase-orders and /procurement/purchase-orders."
"invoices","Invoices","/invoices","/invoices","src/components/InvoicesClient.tsx","/invoices/new","src/components/InvoiceCreateClient.tsx","/invoices/[id]","src/components/InvoiceObjectClient.tsx","/api/sales-invoices (GET,POST); /api/sales-invoices/[id] (GET); /api/credit-notes (GET,POST); /api/ar-aging (GET)","FALSE (needsProject:false)","New invoice -> /invoices/new; New credit note -> /invoices/credit-notes/new; Open -> /invoices","TRUE (POST /api/sales-invoices + /invoices/new)","TRUE (GET list + GET [id] + AR aging)","FALSE (no onEdit=; /api/sales-invoices/[id] exports GET only)","PARTIAL (onDelete= cancels a draft via POST .../cancel; no DELETE exported)","Sales invoicing with credit notes, payments, submit/cancel and an AR-aging view."
"quotations","Quotations","/quotations","/quotations","src/components/QuotationsClient.tsx","/quotations/new","src/components/SalesQuotationCreateClient.tsx","/quotations/[id]","src/components/SalesQuotationObjectClient.tsx","/api/quotations (GET,POST); /api/quotations/[id] (GET,PATCH); .../convert, .../revisions (POST); .../pdf (GET)","FALSE (needsProject:false)","New quotation -> /quotations/new; Open -> /quotations","TRUE (POST /api/quotations + /quotations/new)","TRUE (GET list + GET [id])","PARTIAL (PATCH exported but the object client passes no onEdit=)","FALSE (no onDelete=; no DELETE exported)","Sales quotations with revisions, PDF and convert-to-order; distinct from the purchase quotation under Procurement."
"sales-orders","Sales Orders","/sales-orders","/sales-orders","src/components/SalesOrdersClient.tsx","/sales-orders/new","src/components/SalesOrderCreateClient.tsx","/sales-orders/[id]","src/components/SalesOrderObjectClient.tsx","/api/sales-orders (GET,POST); /api/sales-orders/[id] (GET,PATCH); /api/sales-order-document-flow/[id] (GET)","FALSE (needsProject:false)","New sales order -> /sales-orders/new; Open -> /sales-orders","TRUE (POST /api/sales-orders + /sales-orders/new)","TRUE (GET list + GET [id])","PARTIAL (PATCH exported and called for status, but no onEdit= passed)","FALSE (no onDelete=; no DELETE exported)","Sales orders with bulk status changes and a document-flow view from quotation through invoice."
"sales","Sales Pipeline","/sales","/sales","src/components/SalesDashboardClient.tsx","/sales/leads/new","src/components/LeadCreateClient.tsx","/sales/leads/[id]","src/components/LeadObjectClient.tsx","/api/sales-pipeline (GET); /api/leads (GET,POST) + /api/leads/[id] (GET,PATCH); /api/opportunities (GET,POST) + [id] (GET,PATCH)","FALSE (needsProject:false)","New lead; New opportunity; Leads -> /sales/leads; Opportunities -> /sales/opportunities; Open -> /sales","TRUE (POST /api/leads and /api/opportunities + both /new pages)","TRUE (GET pipeline + list + GET [id])","PARTIAL (PATCH exported on leads and opportunities but neither object client passes onEdit=)","FALSE (no onDelete=; no DELETE on leads or opportunities)","CRM pipeline dashboard over leads and opportunities, each with its own list, create and object screens."
"inventory","Inventory","/inventory","/inventory","src/components/InventoryClient.tsx","/inventory/items/new","src/components/ItemCreateClient.tsx","/inventory/items/[id]","src/components/ItemObjectClient.tsx","/api/inventory/items (GET,POST); /api/inventory/items/[id] (GET); /api/inventory/stock-entries, /api/inventory/warehouses (GET,POST)","FALSE (needsProject:false)","New item -> /inventory/items/new; New stock entry; New warehouse; Open -> /inventory","TRUE (POST /api/inventory/items + items/new)","TRUE (GET list + GET [id] + stock-balance)","FALSE (no onEdit=; /api/inventory/items/[id] exports GET only)","FALSE (no onDelete=; no DELETE exported)","Item master, warehouses, stock entries and on-hand balance across warehouses."
"expenses","Expenses","/expenses","/expenses","src/components/ExpensesClient.tsx","/expenses/new","src/components/ExpenseCreateClient.tsx","NONE","NONE","/api/expenses (GET,POST)","FALSE (needsProject:false)","New expense -> /expenses/new; Open -> /expenses","TRUE (POST /api/expenses + /expenses/new)","TRUE (GET /api/expenses)","FALSE (no object page at all; no PATCH exported)","FALSE (no object page at all; no DELETE exported)","Expense claims / reimbursements list and create; there is no object route, so approval state is list-only."
"employees","Employees","/employees","/employees, /hr","src/components/EmployeesClient.tsx","/employees/new","src/components/EmployeeCreateClient.tsx","/employees/[id]","src/components/EmployeeObjectClient.tsx","/api/employees (GET,POST); /api/employees/[id] (GET,PATCH); /api/hr/departments, /api/leave/*","FALSE (needsProject:false)","New employee; New department; Apply for leave; New leave balance; Open -> /employees","TRUE (POST /api/employees + /employees/new)","TRUE (GET list + GET [id] + org chart)","TRUE (onEdit= gated on isHrAdmin + PATCH exported)","FALSE (no onDelete=; no DELETE exported)","Employee master, departments, org chart and leave requests/balances; /hr is this module's hub screen, not its own module."
"payroll","Payroll","/payroll","/payroll","src/components/PayrollClient.tsx","/payroll/runs/new","src/components/PayrollRunCreateClient.tsx","/payroll/runs/[id]","src/components/PayrollRunObjectClient.tsx","/api/payroll/runs (GET,POST); /api/payroll/runs/[id] (GET); salary-components, salary-structures, income-tax-slabs, statutory-rules (GET,POST)","FALSE (needsProject:false)","New payroll run; New salary component; New salary structure; New tax slab; New statutory rule; Open -> /payroll","TRUE (POST /api/payroll/runs + runs/new)","TRUE (GET runs + GET [id] + payslips)","FALSE (no onEdit=; /api/payroll/runs/[id] exports GET only)","FALSE (no onDelete=; no DELETE exported)","Payroll runs, payslips (with PDF/TDS/finalize), salary components and structures, tax slabs and statutory rules."
"recruitment","Recruitment","/recruitment","/recruitment","src/components/RecruitmentClient.tsx","/recruitment/openings/new","src/components/JobOpeningCreateClient.tsx","/recruitment/openings/[id]","src/components/JobOpeningObjectClient.tsx","/api/recruitment/job-openings (GET,POST) + [id] (GET); /api/recruitment/applications, /api/recruitment/candidates (GET,POST)","FALSE (needsProject:false)","New opening; New application; New candidate; Open -> /recruitment","TRUE (POST job-openings/applications/candidates + three /new pages)","TRUE (GET lists + GET [id])","FALSE (no onEdit= on either object client; [id] routes export GET only)","FALSE (no onDelete=; no DELETE exported)","Hiring pipeline: job openings, candidates, applications with stage moves, interviews, feedback and hire."
"grc","Governance & Risk","/grc","/grc","src/components/GrcClient.tsx","/grc/policies/new","src/components/PolicyCreateClient.tsx","/grc/policies/[id]","src/components/PolicyObjectClient.tsx","/api/grc-dashboard (GET); /api/policies, /api/risks, /api/fraud-cases, /api/access-review, /api/audit-engagements, /api/vendor-risk","FALSE (needsProject:false)","New policy; New risk; New case; New access review; New audit; New finding; New vendor risk; Open -> /grc","TRUE (POST on policies/risks/cases/access-review/audits/findings/vendor-risk + seven /new pages)","TRUE (GET grc-dashboard + entity lists + GET [id])","TRUE (onEdit= in PolicyObjectClient + PATCH /api/policies/[id]; risk and case object screens have PATCH but no onEdit=)","FALSE (no onDelete= on any GRC object client; no DELETE exported)","Governance, risk and compliance hub: policies, risks, fraud cases, access-review cycles, audit engagements and findings, vendor risk."
"kpis","KPIs","/kpis","/kpis","src/components/KpisClient.tsx","/kpis/new","src/components/KpiCreateClient.tsx","/kpis/[id]","src/components/KpiObjectClient.tsx","/api/kpis (GET,POST); /api/kpis/[id] (GET); /api/kpi-entries (GET,POST) + [id]/approve (POST)","TRUE","New KPI -> /kpis/new; Open -> /kpis","TRUE (POST /api/kpis + /kpis/new)","TRUE (GET list + GET [id] + entries)","FALSE (no onEdit=; /api/kpis/[id] exports GET only)","FALSE (no onDelete=; no DELETE exported)","Project KPI targets and periodic KPI entries with an approve action."
"change-orders","Change Orders","/change-orders","/change-orders","src/components/ChangeOrdersClient.tsx","/change-orders/new","src/components/ChangeOrderCreateClient.tsx","/change-orders/[id]","src/components/ChangeOrderObjectClient.tsx","/api/change-orders (GET,POST); /api/change-orders/[id] (GET,PATCH); .../signature-status (GET)","TRUE","New change order -> /change-orders/new; Open -> /change-orders","TRUE (POST /api/change-orders + /change-orders/new)","TRUE (GET list + GET [id])","PARTIAL (PATCH exported and called for status, but no onEdit= passed)","FALSE (no onDelete=; no DELETE exported)","Variation orders with approved-value tracking and e-signature status."
"punch-list","Punch List","/punch-list","/punch-list","src/components/PunchListClient.tsx","/punch-list/new","src/components/PunchListCreateClient.tsx","/punch-list/[id]","src/components/PunchListObjectClient.tsx","/api/punch-list (GET,POST); /api/punch-list/[id] (GET,PATCH)","TRUE","New punch item -> /punch-list/new; Open -> /punch-list","TRUE (POST /api/punch-list + /punch-list/new)","TRUE (GET list + GET [id])","PARTIAL (PATCH exported and called, but no onEdit= passed)","FALSE (no onDelete=; no DELETE exported)","Snagging / defect list per project with open-item counts."
"rfis","RFIs","/rfis","/rfis","src/components/RfisClient.tsx","/rfis/new","src/components/RfiCreateClient.tsx","/rfis/[id]","src/components/RfiObjectClient.tsx","/api/rfis (GET,POST); /api/rfis/[id] (GET,PATCH)","TRUE","New RFI -> /rfis/new; Open -> /rfis","TRUE (POST /api/rfis + /rfis/new)","TRUE (GET list + GET [id])","PARTIAL (PATCH exported and called for answers, but no onEdit= passed)","FALSE (no onDelete=; no DELETE exported)","Requests for information raised against a project and tracked until answered."
"submittals","Submittals","/submittals","/submittals","src/components/SubmittalsClient.tsx","/submittals/new","src/components/SubmittalCreateClient.tsx","/submittals/[id]","src/components/SubmittalObjectClient.tsx","/api/submittals (GET,POST); /api/submittals/[id] (GET,PATCH)","TRUE","New submittal -> /submittals/new; Open -> /submittals","TRUE (POST /api/submittals + /submittals/new)","TRUE (GET list + GET [id])","PARTIAL (PATCH exported and called for approval state, but no onEdit= passed)","FALSE (no onDelete=; no DELETE exported)","Material/sample submittals pending consultant approval."
"site-diary","Site Diary","/site-diary","/site-diary","src/components/SiteDiaryClient.tsx","/site-diary/new","src/components/SiteDiaryCreateClient.tsx","/site-diary/[id]","src/components/SiteDiaryObjectClient.tsx","/api/site-diary (GET,POST); /api/site-diary/[id] (GET)","TRUE","New entry -> /site-diary/new; Open -> /site-diary","TRUE (POST /api/site-diary + /site-diary/new)","TRUE (GET list + GET [id])","FALSE (no onEdit=; /api/site-diary/[id] exports GET only)","FALSE (no onDelete=; no DELETE exported)","Daily site diary / day report entries, read-only once filed."
"ffe","FF&E","/ffe","/ffe","src/components/FfeClient.tsx","/ffe/new","src/components/FfeCreateClient.tsx","/ffe/[id]","src/components/FfeObjectClient.tsx","/api/ffe (GET,POST); /api/ffe/[id] (GET,PATCH); /api/ffe/margin-summary (GET)","TRUE","New FF&E item -> /ffe/new; Open -> /ffe","TRUE (POST /api/ffe + /ffe/new)","TRUE (GET list + GET [id] + margin summary)","TRUE (onEdit= + PATCH exported)","FALSE (no onDelete=; no DELETE exported)","Furniture, fixtures and equipment schedule with spend and margin summary per project."
"mood-boards","Mood Boards","/mood-boards","/mood-boards","src/components/MoodBoardsClient.tsx","/mood-boards/new","src/components/MoodBoardCreateClient.tsx","/mood-boards/[id]","src/components/MoodBoardObjectClient.tsx","/api/mood-boards (GET,POST); /api/mood-boards/[id] (GET,POST,PATCH); .../items/[itemId] (DELETE)","TRUE","New mood board -> /mood-boards/new; Open -> /mood-boards","TRUE (POST /api/mood-boards + /mood-boards/new)","TRUE (GET list + GET [id])","TRUE (onEdit= + PATCH exported)","PARTIAL (no board-level onDelete= or DELETE; DELETE exists only for /mood-boards/[id]/items/[itemId])","Concept mood boards per room/area, assembled from items and approved per project."
"wiki","Wiki","/wiki","/wiki","src/components/WikiClient.tsx","/wiki/new","src/components/WikiCreateClient.tsx","/wiki/[id]","src/components/WikiObjectClient.tsx","/api/wiki (GET,POST); /api/wiki/[id] (GET,PATCH)","FALSE (needsProject:false)","New page -> /wiki/new; Open -> /wiki (both needsProject:false)","TRUE (POST /api/wiki + /wiki/new)","TRUE (GET list + GET [id])","PARTIAL (PATCH exported but the object client deliberately passes no onEdit=)","FALSE (no onDelete=; no DELETE exported)","Internal handbook / SOP pages, org-wide rather than project-scoped."
"knowledge-base","Knowledge Base","/knowledge-base","/knowledge-base","src/components/KnowledgeBaseClient.tsx","/knowledge-base/new","src/components/KnowledgeBaseCreateClient.tsx","/knowledge-base/[id]","src/components/KnowledgeBaseObjectClient.tsx","/api/knowledge-base (GET,POST); /api/knowledge-base/[id] (GET,PATCH); /api/knowledge-base/search (GET)","FALSE (needsProject:false)","New article -> /knowledge-base/new; Open -> /knowledge-base (both needsProject:false)","TRUE (POST /api/knowledge-base + /knowledge-base/new)","TRUE (GET list + GET [id] + search)","TRUE (onEdit= + PATCH exported)","PARTIAL (onDelete= archives the page via PATCH; no DELETE exported)","Searchable help articles / knowledge base, org-wide."
"projects","Projects","/projects","/projects","src/components/ProjectsListClient.tsx","/projects/new","src/components/ProjectCreateClient.tsx","NONE","NONE","/api/projects (GET,POST); /api/projects/[id] (PATCH); /api/projects/overview (GET)","FALSE (needsProject:false)","New project -> /projects/new; Open -> /projects (both needsProject:false)","TRUE (POST /api/projects + /projects/new)","TRUE (GET /api/projects + /api/projects/overview)","PARTIAL (PATCH /api/projects/[id] exported but there is no /projects/[id] page, so no object client and no onEdit=)","FALSE (no object page; no DELETE exported)","Project master: the list every other module scopes itself by, plus the create screen that replaced the home-screen dialog."
"analysis","Analysis","/analysis","/analysis","src/components/screens/ProjexaLinkListCard.tsx (fed by src/lib/analysis-screens.ts)","NONE","NONE","NONE","NONE","NONE (server component renders a static link list; no /api/analysis route exists)","FALSE (needsProject:false)","Open -> /analysis (needsProject:false)","FALSE (no create leaf or /new page)","TRUE (server-rendered link list of the four analytical screens)","FALSE (no object page, no API)","FALSE (no object page, no API)","A directory page listing the four analytical screens that were otherwise buried as tabs inside other modules; each link carries ?projectId=."
