"Route_Path","File_Path","Methods","Auth_Required","Org_Scoped","Request_Shape","Response_Shape","Purpose"
"/api/bank-reconciliation","src/app/api/bank-reconciliation/route.ts","GET","TRUE","TRUE","full query string forwarded","VERIDIAN JSON passthrough","Bank reconciliation report"
"/api/board","src/app/api/board/route.ts","GET, PATCH","TRUE","TRUE","GET: projectId required; PATCH: JSON body","GET VERIDIAN JSON; PATCH VERIDIAN JSON; 400 {error}","Kanban board read / card move"
"/api/capability-tree","src/app/api/capability-tree/route.ts","GET","TRUE","TRUE","none (force-dynamic)","200 {nodes:[...]} with ETag headers; 304 empty","Capability tree for the shell/navigator"
"/api/chain-options","src/app/api/chain-options/route.ts","GET","TRUE","TRUE","path (level path) required; projectId","level object JSON; 400/404/502 {error}","Build next step options for module chain navigation"
"/api/change-orders/[id]","src/app/api/change-orders/[id]/route.ts","GET, PATCH","TRUE","TRUE","path id; PATCH JSON body","VERIDIAN JSON; 403 on role fail","Read / update a change order (PATCH needs PM_OR_ABOVE)"
"/api/change-orders/[id]/signature-status","src/app/api/change-orders/[id]/signature-status/route.ts","GET","TRUE","TRUE","path id","VERIDIAN JSON passthrough","Change-order e-signature status"
"/api/change-orders","src/app/api/change-orders/route.ts","GET, POST","TRUE","TRUE","GET: projectId required; POST: JSON body","GET VERIDIAN JSON; POST 201; 400/403 {error}","List / create change orders (POST needs PM_OR_ABOVE)"
"/api/classify","src/app/api/classify/route.ts","POST","TRUE","TRUE","JSON body with user text (required)","VERIDIAN JSON; 400 {error}","Classify free-text user intent"
"/api/companies","src/app/api/companies/route.ts","GET, POST","TRUE","TRUE","GET: none; POST: JSON body","GET VERIDIAN JSON; POST 201","List / create companies"
"/api/compliance-register","src/app/api/compliance-register/route.ts","GET, POST","TRUE","TRUE","GET: full query string; POST: JSON body","GET VERIDIAN JSON; POST 201","Compliance register list / create"
"/api/construction-budget/lines","src/app/api/construction-budget/lines/route.ts","POST","TRUE","TRUE","JSON body","201 VERIDIAN JSON","Create construction budget lines"
"/api/construction-materials/cost-report/export","src/app/api/construction-materials/cost-report/export/route.ts","GET","TRUE","TRUE","projectId required; format (pdf default, validated); extra filters","binary file stream with upstream content-type; 400 {error}","Export material cost report (PDF/other)"
"/api/construction-materials/cost-report","src/app/api/construction-materials/cost-report/route.ts","GET","TRUE","TRUE","projectId required; extra filters forwarded","VERIDIAN JSON; 400 {error}","Material cost report data"
"/api/contact","src/app/api/contact/route.ts","POST","FALSE","FALSE","JSON body (contact form fields, validated in contact-service)","{ok:true}; 400/500 {ok:false, error}","Public marketing contact-form submission"
"/api/conversations/[id]/messages","src/app/api/conversations/[id]/messages/route.ts","GET, POST","TRUE","FALSE","path id; POST JSON {content} required","GET {messages:[...]}; POST 201 message row; 400/500 {error}","Read / post messages in a conversation (Supabase, no org filter in query)"
"/api/conversations","src/app/api/conversations/route.ts","GET, POST","TRUE","TRUE","GET: none; POST: JSON body (participants)","GET {conversations}; POST 201 conversation row; 500 {error}","List / create chat conversations (Supabase)"
"/api/cost-centers","src/app/api/cost-centers/route.ts","GET","TRUE","TRUE","none","cached VERIDIAN JSON","Cost-centre lookup (cached)"
"/api/credit-notes/[id]","src/app/api/credit-notes/[id]/route.ts","GET","TRUE","TRUE","path id","VERIDIAN JSON passthrough","Read one credit note"
"/api/credit-notes/[id]/submit","src/app/api/credit-notes/[id]/submit/route.ts","POST","TRUE","TRUE","path id; no body","VERIDIAN JSON passthrough","Submit a credit note"
"/api/credit-notes","src/app/api/credit-notes/route.ts","GET, POST","TRUE","TRUE","GET: none; POST: JSON body","GET VERIDIAN JSON; POST 201","List / create credit notes"
"/api/currencies","src/app/api/currencies/route.ts","GET","TRUE","TRUE","none","cached VERIDIAN JSON","Currency lookup (cached)"
"/api/customers/[id]/overview","src/app/api/customers/[id]/overview/route.ts","GET","TRUE","TRUE","path id","VERIDIAN JSON passthrough","Customer 360 overview"
"/api/customers/[id]","src/app/api/customers/[id]/route.ts","GET, PATCH, DELETE","TRUE","TRUE","path id; PATCH JSON body; DELETE no body","GET/PATCH VERIDIAN JSON; DELETE {deactivated:true,id,customer}","Read / update / soft-deactivate a customer"
"/api/customers","src/app/api/customers/route.ts","GET, POST","TRUE","TRUE","GET: full query string (search/page/pageSize); POST: JSON body","GET VERIDIAN JSON; POST 201","List / create customers"
"/api/dashboard/project/[projectId]","src/app/api/dashboard/project/[projectId]/route.ts","GET","TRUE","TRUE","path projectId","VERIDIAN JSON passthrough","Single-project dashboard data"
"/api/dashboard-hierarchy/companies/[companyId]/dashboard","src/app/api/dashboard-hierarchy/companies/[companyId]/dashboard/route.ts","GET","TRUE","TRUE","path companyId; selected query filters forwarded","hierarchy dashboard JSON; 401/400/403 {error}","Company-level hierarchy dashboard (requireCompanyScope)"
"/api/dashboard-hierarchy/companies/[companyId]/departments","src/app/api/dashboard-hierarchy/companies/[companyId]/departments/route.ts","GET","TRUE","TRUE","path companyId","VERIDIAN JSON passthrough","Departments under a company (requireCompanyScope)"
"/api/dashboard-hierarchy/companies/[companyId]/projects/[projectId]/category-distribution","src/app/api/dashboard-hierarchy/companies/[companyId]/projects/[projectId]/category-distribution/route.ts","GET","TRUE","TRUE","path companyId, projectId","computed category-distribution JSON","Category BOQ-amount vs progress distribution for a project"
"/api/dashboard-hierarchy/companies/[companyId]/projects/[projectId]","src/app/api/dashboard-hierarchy/companies/[companyId]/projects/[projectId]/route.ts","GET","TRUE","TRUE","path companyId, projectId; from, to","{projectId,projectName,budget,projectValue,revenue,revenueTruncated,expenses,progressPercent,delayedTaskCount,taskCount,photoCount,dateRangeApplied,fromDate,toDate}","Date-scoped project KPIs in the company hierarchy"
"/api/dashboard-hierarchy/companies","src/app/api/dashboard-hierarchy/companies/route.ts","GET","TRUE","TRUE","none","resolved companies-hierarchy JSON","List companies the signed-in user can see"
"/api/design-materials","src/app/api/design-materials/route.ts","GET, POST","TRUE","TRUE","GET: category (optional); POST: JSON body","GET VERIDIAN JSON; POST 201","Design material library list / create"
"/api/discuss","src/app/api/discuss/route.ts","POST","TRUE","TRUE","JSON body {message} required","{reply:string}; 400 {error}","Free-form AI discussion turn"
"/api/documents/[id]/dispose","src/app/api/documents/[id]/dispose/route.ts","POST","TRUE","TRUE","path id; no body","VERIDIAN JSON passthrough","Dispose (retention-close) a document"
"/api/documents/[id]","src/app/api/documents/[id]/route.ts","GET, PATCH","TRUE","TRUE","path id; PATCH JSON body","VERIDIAN JSON passthrough","Read / update a document record"
"/api/documents/[id]/versions","src/app/api/documents/[id]/versions/route.ts","POST","TRUE","TRUE","path id; multipart/form-data upload","201 VERIDIAN JSON; error {error}","Upload a new document version"
"/api/documents","src/app/api/documents/route.ts","GET, POST","TRUE","TRUE","GET: linkedEntityId or projectScopeId required, linkedEntityType, category; POST: multipart/form-data","GET VERIDIAN JSON; POST 201; 400 {error}","List documents for an entity / upload a document"
"/api/drawings/[id]/document-url","src/app/api/drawings/[id]/document-url/route.ts","GET","TRUE","TRUE","path id","{documentUrl, isExternalLink}; error {error}","Resolve a drawing's file URL"
"/api/drawings/[id]","src/app/api/drawings/[id]/route.ts","GET, PATCH, DELETE","TRUE","TRUE","path id; PATCH JSON body","VERIDIAN JSON; error {error}","Read / update / delete a drawing"
"/api/drawings/export","src/app/api/drawings/export/route.ts","GET","TRUE","TRUE","projectId required; kind, discipline, status","binary export stream; 400 {error}","Export the drawings register"
"/api/drawings","src/app/api/drawings/route.ts","GET, POST","TRUE","TRUE","GET: projectId required, kind/discipline/status; POST: multipart/form-data","GET VERIDIAN JSON; POST 201; 400 {error}","List drawings / upload a drawing"
"/api/employees/[id]","src/app/api/employees/[id]/route.ts","GET, PATCH","TRUE","TRUE","path id; PATCH JSON body","VERIDIAN JSON passthrough","Read / update an employee"
"/api/employees","src/app/api/employees/route.ts","GET, POST","TRUE","TRUE","GET: full query string; POST: JSON body","GET VERIDIAN JSON; POST 201","List / create employees"
"/api/expenses","src/app/api/expenses/route.ts","GET, POST","TRUE","TRUE","GET: projectId required; POST: JSON body","GET VERIDIAN JSON; POST 201; 400 {error}","Project expenses list / create"
"/api/ffe/[id]","src/app/api/ffe/[id]/route.ts","GET, PATCH","TRUE","TRUE","path id; PATCH JSON body (sent as action:'status')","VERIDIAN JSON passthrough","Read / change status of an FF&E item"
"/api/ffe/margin-summary","src/app/api/ffe/margin-summary/route.ts","GET","TRUE","TRUE","projectId required","VERIDIAN JSON; 400 {error}","FF&E margin summary"
"/api/ffe","src/app/api/ffe/route.ts","GET, POST","TRUE","TRUE","GET: projectId required; POST: JSON body","GET VERIDIAN JSON; POST 201; 400 {error}","FF&E schedule list / create"
"/api/finance-dashboard","src/app/api/finance-dashboard/route.ts","GET","TRUE","TRUE","none","VERIDIAN JSON passthrough","Finance dashboard aggregate"
"/api/fiscal-years","src/app/api/fiscal-years/route.ts","GET","TRUE","TRUE","none","cached VERIDIAN JSON","Fiscal-year lookup (cached)"
"/api/floor-plans/[id]/placements/[placementId]","src/app/api/floor-plans/[id]/placements/[placementId]/route.ts","PATCH, DELETE","TRUE","TRUE","path id, placementId; PATCH JSON body","VERIDIAN JSON passthrough","Move / remove a furniture placement"
"/api/floor-plans/[id]/placements","src/app/api/floor-plans/[id]/placements/route.ts","POST","TRUE","TRUE","path id; JSON body","201 VERIDIAN JSON","Add a placement to a floor plan"
"/api/floor-plans/[id]/rooms/[roomId]","src/app/api/floor-plans/[id]/rooms/[roomId]/route.ts","PATCH, DELETE","TRUE","TRUE","path id, roomId; PATCH JSON body","VERIDIAN JSON passthrough","Edit / delete a floor-plan room"
"/api/floor-plans/[id]/rooms","src/app/api/floor-plans/[id]/rooms/route.ts","POST","TRUE","TRUE","path id; JSON body","201 VERIDIAN JSON","Add a room to a floor plan"
"/api/floor-plans/[id]","src/app/api/floor-plans/[id]/route.ts","GET, PATCH","TRUE","TRUE","path id; PATCH JSON body (sent as action:'status')","VERIDIAN JSON passthrough","Read / change status of a floor plan"
"/api/floor-plans/[id]/scene","src/app/api/floor-plans/[id]/scene/route.ts","GET","TRUE","TRUE","path id","VERIDIAN JSON passthrough","Floor-plan 2D/3D scene payload"
"/api/floor-plans","src/app/api/floor-plans/route.ts","GET, POST","TRUE","TRUE","GET: projectId required; POST: JSON body","GET VERIDIAN JSON; POST 201; 400 {error}","Floor plans list / create"
"/api/fraud-cases/[id]","src/app/api/fraud-cases/[id]/route.ts","GET, PATCH","TRUE","TRUE","path id; PATCH JSON body","VERIDIAN JSON passthrough","Read / update a fraud case"
"/api/fraud-cases","src/app/api/fraud-cases/route.ts","GET, POST","TRUE","TRUE","GET: none; POST: JSON body","GET VERIDIAN JSON; POST 201","Fraud case register list / create"
"/api/grc-dashboard","src/app/api/grc-dashboard/route.ts","GET","TRUE","TRUE","none","VERIDIAN JSON passthrough","Governance/risk/compliance dashboard"
"/api/hr/departments","src/app/api/hr/departments/route.ts","GET, POST","TRUE","TRUE","GET: none; POST: JSON body","GET VERIDIAN JSON; POST 201","HR departments list / create"
"/api/hr/org-chart","src/app/api/hr/org-chart/route.ts","GET","TRUE","TRUE","none","VERIDIAN JSON passthrough","HR org chart"
"/api/inventory/items/[id]","src/app/api/inventory/items/[id]/route.ts","GET","TRUE","TRUE","path id","VERIDIAN JSON passthrough","Read one inventory item"
"/api/inventory/items","src/app/api/inventory/items/route.ts","GET, POST","TRUE","TRUE","GET: none; POST: JSON body","GET VERIDIAN JSON; POST 201","Inventory items list / create"
"/api/inventory/stock-balance","src/app/api/inventory/stock-balance/route.ts","GET","TRUE","TRUE","full query string forwarded","VERIDIAN JSON passthrough","Stock balance report"
"/api/inventory/stock-entries","src/app/api/inventory/stock-entries/route.ts","GET, POST","TRUE","TRUE","GET: full query string; POST: JSON body","GET VERIDIAN JSON; POST 201","Stock entries list / create"
"/api/inventory/warehouses","src/app/api/inventory/warehouses/route.ts","GET, POST","TRUE","TRUE","GET: none; POST: JSON body","GET VERIDIAN JSON; POST 201","Warehouses list / create"
"/api/journal-entries/[id]","src/app/api/journal-entries/[id]/route.ts","GET","TRUE","TRUE","path id","VERIDIAN JSON passthrough","Read one journal entry"
"/api/journal-entries/[id]/submit","src/app/api/journal-entries/[id]/submit/route.ts","POST","TRUE","TRUE","path id; no body","VERIDIAN JSON passthrough","Submit (post) a journal entry"
"/api/journal-entries","src/app/api/journal-entries/route.ts","GET, POST","TRUE","TRUE","GET: full query string; POST: JSON body","GET VERIDIAN JSON; POST 201","Journal entries list / create"
"/api/knowledge-base/[id]","src/app/api/knowledge-base/[id]/route.ts","GET, PATCH","TRUE","TRUE","path id; PATCH JSON body","VERIDIAN JSON passthrough","Read / update a knowledge-base article"
"/api/knowledge-base","src/app/api/knowledge-base/route.ts","GET, POST","TRUE","TRUE","GET: none; POST: JSON body, title required","GET VERIDIAN JSON; POST 201; 400 {error}","Knowledge base list / create"
"/api/knowledge-base/search","src/app/api/knowledge-base/search/route.ts","GET","TRUE","TRUE","q (defaults to empty string)","VERIDIAN JSON passthrough","Search the knowledge base"
"/api/kpi-entries/[id]/approve","src/app/api/kpi-entries/[id]/approve/route.ts","POST","TRUE","TRUE","path id; no body","VERIDIAN JSON passthrough","Approve a construction KPI entry"
"/api/kpi-entries","src/app/api/kpi-entries/route.ts","GET, POST","TRUE","TRUE","GET: kpiDefinitionId required; POST: JSON body","GET VERIDIAN JSON; POST 201; 400 {error}","KPI entries list / create"
"/api/kpis/[id]","src/app/api/kpis/[id]/route.ts","GET","TRUE","TRUE","path id","VERIDIAN JSON passthrough","Read one KPI definition"
"/api/kpis","src/app/api/kpis/route.ts","GET, POST","TRUE","TRUE","GET: projectId required; POST: JSON body","GET VERIDIAN JSON; POST 201; 400 {error}","KPI definitions list / create"
"/api/labour-roster/[id]","src/app/api/labour-roster/[id]/route.ts","GET, PATCH","TRUE","TRUE","path id; PATCH JSON body","VERIDIAN JSON passthrough","Read / update a labour roster row"
"/api/labour-roster/import","src/app/api/labour-roster/import/route.ts","POST","TRUE","TRUE","multipart/form-data; dryRun=1 query","200 (dryRun) or 201 VERIDIAN JSON; error {error}","Import labour roster from a file"
"/api/labour-roster","src/app/api/labour-roster/route.ts","GET, POST","TRUE","TRUE","GET: projectId required; POST: JSON body","GET VERIDIAN JSON; POST 201; 400 {error}","Labour roster list / create"
"/api/labour-roster/trades","src/app/api/labour-roster/trades/route.ts","GET","TRUE","TRUE","none","VERIDIAN JSON; error {error}","Trade (labour category) lookup"
"/api/leads/[id]/history","src/app/api/leads/[id]/history/route.ts","GET","TRUE","TRUE","path id","VERIDIAN JSON passthrough","Lead activity history"
"/api/leads/[id]","src/app/api/leads/[id]/route.ts","GET, PATCH","TRUE","TRUE","path id; PATCH JSON body","VERIDIAN JSON passthrough","Read / update a CRM lead"
"/api/leads/bulk-reassign","src/app/api/leads/bulk-reassign/route.ts","POST","TRUE","TRUE","JSON body (lead ids + new owner)","VERIDIAN JSON passthrough","Bulk-reassign lead ownership"
"/api/leads","src/app/api/leads/route.ts","GET, POST","TRUE","TRUE","GET: full query string; POST: JSON body","GET VERIDIAN JSON; POST 201","Leads list / create"
"/api/leave/balances","src/app/api/leave/balances/route.ts","GET, POST","TRUE","TRUE","GET: none; POST: JSON body","GET VERIDIAN JSON; POST 201","Leave balances list / create"
"/api/leave/requests/[id]/decision","src/app/api/leave/requests/[id]/decision/route.ts","POST","TRUE","TRUE","path id; JSON body (approve/reject)","VERIDIAN JSON passthrough","Approve or reject a leave request"
"/api/leave/requests","src/app/api/leave/requests/route.ts","GET, POST","TRUE","TRUE","GET: full query string; POST: JSON body","GET VERIDIAN JSON; POST 201","Leave requests list / create"
"/api/manpower-cost-report","src/app/api/manpower-cost-report/route.ts","GET","TRUE","TRUE","projectId required; trade, date","VERIDIAN JSON; 400 {error}","Manpower cost report"
"/api/materials/[id]","src/app/api/materials/[id]/route.ts","GET, PATCH","TRUE","TRUE","path id; PATCH JSON body","VERIDIAN JSON; error {error}","Read / update a material receipt"
"/api/materials/issues","src/app/api/materials/issues/route.ts","GET, POST","TRUE","TRUE","GET: projectId required; POST: JSON body","GET VERIDIAN JSON; POST 201; 400 {error}","Material issues (site consumption) list / create"
"/api/materials/master/[id]","src/app/api/materials/master/[id]/route.ts","GET, PATCH","TRUE","TRUE","path id; PATCH JSON body","VERIDIAN JSON passthrough","Read / update a material master record"
"/api/materials/master","src/app/api/materials/master/route.ts","GET, POST","TRUE","TRUE","GET: projectId required; POST: JSON body","GET VERIDIAN JSON; POST 201; 400 {error}","Material master list / create"
"/api/materials","src/app/api/materials/route.ts","GET, POST","TRUE","TRUE","GET: projectId required; POST: JSON body","GET VERIDIAN JSON; POST 201; 400 {error}","Material receipts (GRN) list / create"
"/api/meetings/[id]/outcomes","src/app/api/meetings/[id]/outcomes/route.ts","POST","TRUE","TRUE","path id; JSON body","201 VERIDIAN JSON","Record meeting outcomes"
"/api/meetings/[id]","src/app/api/meetings/[id]/route.ts","GET, PATCH","TRUE","TRUE","path id; PATCH JSON body","VERIDIAN JSON passthrough","Read / update a meeting"
"/api/meetings","src/app/api/meetings/route.ts","GET, POST","TRUE","TRUE","GET: projectId required; POST: JSON body","GET VERIDIAN JSON; POST 201; 400 {error}","Meetings list / create"
"/api/module-chain","src/app/api/module-chain/route.ts","GET","TRUE","TRUE","none","{nodes:[...]}","Module chain graph"
"/api/moms/[id]/action-items","src/app/api/moms/[id]/action-items/route.ts","POST","TRUE","TRUE","path id; JSON body","201 VERIDIAN JSON","Add an action item to minutes of meeting"
"/api/moms/[id]/generate-intelligence","src/app/api/moms/[id]/generate-intelligence/route.ts","POST","TRUE","TRUE","path id; no body","VERIDIAN JSON passthrough","AI-generate insights for a MoM"
"/api/moms/[id]/pdf","src/app/api/moms/[id]/pdf/route.ts","GET","TRUE","TRUE","path id","application/pdf binary","Download minutes-of-meeting PDF"
"/api/moms/[id]","src/app/api/moms/[id]/route.ts","GET, PATCH, DELETE","TRUE","TRUE","path id; PATCH JSON body","VERIDIAN JSON passthrough","Read / update / delete minutes of meeting"
"/api/moms/[id]/share-links","src/app/api/moms/[id]/share-links/route.ts","GET, POST","TRUE","TRUE","path id; POST JSON body","GET {links:[{...,url}]}; POST 201 VERIDIAN JSON","List / create MoM public share links"
"/api/moms","src/app/api/moms/route.ts","GET, POST","TRUE","TRUE","GET: projectId (optional); POST: JSON body","GET VERIDIAN JSON; POST 201","Minutes of meeting list / create"
"/api/moms/share-links/[linkId]","src/app/api/moms/share-links/[linkId]/route.ts","DELETE","TRUE","TRUE","path linkId","VERIDIAN JSON passthrough","Revoke a MoM share link"
"/api/mood-boards/[id]/items/[itemId]","src/app/api/mood-boards/[id]/items/[itemId]/route.ts","DELETE","TRUE","TRUE","path id, itemId","VERIDIAN JSON passthrough","Remove an item from a mood board"
"/api/mood-boards/[id]","src/app/api/mood-boards/[id]/route.ts","GET, PATCH, POST","TRUE","TRUE","path id; PATCH/POST JSON body","GET/PATCH VERIDIAN JSON; POST 201","Read / update a mood board, add an item"
"/api/mood-boards","src/app/api/mood-boards/route.ts","GET, POST","TRUE","TRUE","GET: projectId required; POST: JSON body","GET VERIDIAN JSON; POST 201; 400 {error}","Mood boards list / create"
"/api/notifications/[id]/read","src/app/api/notifications/[id]/read/route.ts","PATCH","TRUE","FALSE","path id; no body","{success:true}; 404/500 {error}","Mark one notification read (scoped by user_id, not org)"
"/api/notifications","src/app/api/notifications/route.ts","GET","TRUE","FALSE","none","{notifications:[{id,title,message,type,isRead,metadata,createdAt}], unreadCount}","List the signed-in user's notifications (user_id scoped)"
"/api/opportunities/[id]/history","src/app/api/opportunities/[id]/history/route.ts","GET","TRUE","TRUE","path id","VERIDIAN JSON passthrough","Opportunity stage history"
"/api/opportunities/[id]","src/app/api/opportunities/[id]/route.ts","GET, PATCH","TRUE","TRUE","path id; PATCH JSON body","VERIDIAN JSON passthrough","Read / update a CRM opportunity"
"/api/opportunities/bulk-reassign","src/app/api/opportunities/bulk-reassign/route.ts","POST","TRUE","TRUE","JSON body (ids + new owner)","VERIDIAN JSON passthrough","Bulk-reassign opportunity ownership"
"/api/opportunities","src/app/api/opportunities/route.ts","GET, POST","TRUE","TRUE","GET: full query string; POST: JSON body","GET VERIDIAN JSON; POST 201","Opportunities list / create"
"/api/org/invites/[id]","src/app/api/org/invites/[id]/route.ts","DELETE","TRUE","TRUE","path id","{revoked:id}; 404/500 {error}; 403 on role fail","Revoke a pending org invite (ORG_ADMIN)"
"/api/org/invites/accept","src/app/api/org/invites/accept/route.ts","POST","TRUE","TRUE","JSON body {token} required","{organizationId}; 401/400/error {error}","Accept an org invitation (auth via getClaims, not requireAuth)"
"/api/org/invites/preview","src/app/api/org/invites/preview/route.ts","GET","FALSE","FALSE","token query param required","{invite:{...}}; 400/404/500 {error}","Public preview of an invite token before sign-in"
"/api/org/invites","src/app/api/org/invites/route.ts","GET, POST","TRUE","TRUE","GET: none; POST: JSON {email, role}","GET {invites:[...]}; POST 201 {invite}; 400/409/500 {error}","List / send org invitations (ORG_ADMIN)"
"/api/org/provision","src/app/api/org/provision/route.ts","POST","TRUE","TRUE","JSON body {orgName} required","{organizationId, veridianConnected...} or 201 {organizationId}; 400/401/500 {error}","Provision a new organization + VERIDIAN org/API key"
"/api/org/repair","src/app/api/org/repair/route.ts","GET, POST","TRUE","TRUE","GET: none; POST: no body","GET {organizationId, ...status}; POST 201 {organizationId, repaired:true}; 409/500/503 {error}","Inspect / re-provision missing VERIDIAN credentials (ORG_ADMIN)"
"/api/organization/currency","src/app/api/organization/currency/route.ts","GET, PUT","TRUE","TRUE","GET: none; PUT: JSON {code} 3-letter ISO","GET VERIDIAN JSON; PUT VERIDIAN JSON; 400 {error}; 403 on role fail","Read / set the organization base currency (PUT needs ORG_ADMIN)"
"/api/organization","src/app/api/organization/route.ts","GET","TRUE","TRUE","none","{organization, role, email}; 404 {error}","Current organization profile + caller's role"
"/api/org-members/[id]","src/app/api/org-members/[id]/route.ts","PATCH","TRUE","TRUE","path id; JSON {role} from ALL_ORG_ROLES","{member}; 400/404/409/500 {error}; 403 on role fail","Change a member's role, guarding last admin (ORG_ADMIN)"
"/api/org-members","src/app/api/org-members/route.ts","GET","TRUE","TRUE","none","{members:[...]}; 500 {error}","List organization members"
"/api/org-users","src/app/api/org-users/route.ts","GET","TRUE","TRUE","q (optional search)","VERIDIAN JSON; error {error}","Search VERIDIAN users for assignment pickers"
"/api/payroll/employees/[id]/income-tax-slab","src/app/api/payroll/employees/[id]/income-tax-slab/route.ts","POST","TRUE","TRUE","path id; JSON body","VERIDIAN JSON passthrough","Assign an income-tax slab to an employee"
"/api/payroll/employees/[id]/tax-exemptions","src/app/api/payroll/employees/[id]/tax-exemptions/route.ts","GET, POST","TRUE","TRUE","path id; POST JSON body","GET VERIDIAN JSON; POST 201","Employee tax exemptions list / create"
"/api/payroll/income-tax-slabs","src/app/api/payroll/income-tax-slabs/route.ts","GET, POST","TRUE","TRUE","GET: none; POST: JSON body","GET VERIDIAN JSON; POST 201","Income-tax slabs list / create"
"/api/payroll/payslips/[id]/finalize","src/app/api/payroll/payslips/[id]/finalize/route.ts","POST","TRUE","TRUE","path id; no body","VERIDIAN JSON passthrough","Finalize a payslip"
"/api/payroll/payslips/[id]/pdf","src/app/api/payroll/payslips/[id]/pdf/route.ts","GET","TRUE","TRUE","path id","binary payslip file with upstream content-type","Download payslip PDF"
"/api/payroll/payslips/[id]","src/app/api/payroll/payslips/[id]/route.ts","GET","TRUE","TRUE","path id","VERIDIAN JSON passthrough","Read one payslip"
"/api/payroll/payslips/[id]/tds","src/app/api/payroll/payslips/[id]/tds/route.ts","POST","TRUE","TRUE","path id; JSON body","VERIDIAN JSON passthrough","Set TDS on a payslip"
"/api/payroll/runs/[id]/payslips","src/app/api/payroll/runs/[id]/payslips/route.ts","GET","TRUE","TRUE","path id","VERIDIAN JSON passthrough","List payslips in a payroll run"
"/api/payroll/runs/[id]/process","src/app/api/payroll/runs/[id]/process/route.ts","POST","TRUE","TRUE","path id; no body","VERIDIAN JSON passthrough","Process (run) a payroll run"
"/api/payroll/runs/[id]","src/app/api/payroll/runs/[id]/route.ts","GET","TRUE","TRUE","path id","VERIDIAN JSON passthrough","Read one payroll run"
"/api/payroll/runs","src/app/api/payroll/runs/route.ts","GET, POST","TRUE","TRUE","GET: none; POST: JSON body","GET VERIDIAN JSON; POST 201","Payroll runs list / create"
"/api/payroll/salary-components","src/app/api/payroll/salary-components/route.ts","GET, POST","TRUE","TRUE","GET: none; POST: JSON body","GET VERIDIAN JSON; POST 201","Salary components list / create"
"/api/payroll/salary-structures","src/app/api/payroll/salary-structures/route.ts","GET, POST","TRUE","TRUE","GET: none; POST: JSON body","GET VERIDIAN JSON; POST 201","Salary structures list / create"
"/api/payroll/statutory-rules","src/app/api/payroll/statutory-rules/route.ts","GET, POST","TRUE","TRUE","GET: none; POST: JSON body","GET VERIDIAN JSON; POST 201","Statutory payroll rules list / create"
"/api/permits/[id]","src/app/api/permits/[id]/route.ts","GET, PATCH, DELETE","TRUE","TRUE","path id; PATCH JSON body (actorEmail added from session)","VERIDIAN JSON passthrough","Read / update / delete a permit"
