"Subsystem","File_Path","Exported_Entry_Points","Input","Output","What_It_Does","Live_Or_Dead","Model_Or_Provider","Invoked_From"
"prompt-compiler","C:\ct\ct\src\lib\prompt-compiler\persist-compiled-prompt.ts","compileAndStorePromptVersion(); type CompileAndStoreResult","raw text + org/user context","CompileAndStoreResult (compliance.prompt_versions row id or error)","DB seam that writes a compiled prompt contract into phase_1's compliance.prompt_versions storage","DEAD - only importer is lib\prompt-compiler\index.ts, which is itself DEAD (0 importers)","None (writes DB; indexes via prompt-similarity)","Nothing"
"prompt-compiler","C:\ct\ct\src\lib\prompt-compiler\prompt-similarity.ts","indexCompiledPromptVersion(), findSemanticCacheHit(), findSimilarPromptVersionsFor(), clusterBySimilarity()","machinePrompt, orgId, similarity threshold","CapabilityMatch[]/PromptVersionMatch[], SimilarityCluster[]","pgvector/embeddings-backed semantic cache + similar-prompt lookup, wrapping capability-registry-service's prompt_version entity type","DEAD - importers are only index.ts (dead) and persist-compiled-prompt.ts (dead)","Embeddings via lib\embeddings.ts (pgvector), no chat model","Nothing"
"prompt-compiler","C:\ct\ct\src\lib\prompt-compiler\prompt-ab-testing.ts","assignAbBucket(), evaluateAbSignificance(); types AbVariant, ArmResult, SignificanceResult","userId, templateKey, splitPct; control/variant pass counts","AbVariant bucket; SignificanceResult","Deterministic hash-based A/B traffic split between two prompt_versions plus a statistical significance test over prompt_eval_runs pass rates; recommends only, never promotes","DEAD - only importer is index.ts (dead)","None","Nothing"
"prompt-compiler","C:\ct\ct\src\lib\prompt-compiler\prompt-optimizer-expansion.ts","isSafeToOptimize(), optimizeMachinePrompt(), expandMachinePrompt(); type QualitySignal","CompiledPrompt + QualitySignal (passRate, sampleSize); machinePrompt + variables","{machinePrompt, wasOptimized}; expanded prompt string","Metric-guided compression loop and the reverse expansion of a machine prompt back to a full prompt","DEAD - only importer is index.ts (dead)","None","Nothing"
"prompt-compiler","C:\ct\ct\src\lib\prompt-compiler\prompt-portability.ts","adaptPromptForProvider(), adaptPromptForAllProviders(); type PortablePromptRequest","LLMProvider(s), systemPrompt, userMessage","PortablePromptRequest per provider","Reshapes one compiled prompt into each provider's request-message shape (llm-client.ts's LLMProvider union); pure formatting, calls no model","DEAD - only importer is index.ts (dead)","Formats for llm-client.ts providers; calls none","Nothing"
"prompt-compiler","C:\ct\ct\src\lib\prompt-compiler\prompt-ranking-recommendation.ts","rankPromptVersions(), recommendRelatedTemplates(); types PromptVersionMetrics, RankedPromptVersion, Recommendation","prompt_eval_runs metrics (quality/cost/latency), createdAt freshness, template usage","RankedPromptVersion[], Recommendation[]","Pure scoring/ranking of prompt versions and usage-pattern template recommendations","DEAD - importers are index.ts (dead) and prompt-testing-benchmark.ts (dead)","None","Nothing"
"prompt-compiler","C:\ct\ct\src\lib\prompt-compiler\prompt-testing-benchmark.ts","runShadowComparison(), isAdversarialEvalCase(), buildBenchmarkReport(); type BenchmarkReport","two prompt versions + eval cases; templateKey + metrics","ShadowComparisonResult; BenchmarkReport","Adversarial/shadow testing mode over the existing prompt-eval-service, plus a cross-prompt benchmark leaderboard","DEAD - only importer is index.ts (dead)","UNKNOWN (delegates to prompt-eval-service run path)","Nothing"
"browser-execution","C:\ct\ct\src\lib\browser-execution\client-compile.ts","compileInBrowser(rawText, env); type BrowserCompiledDraft","raw user text typed in the composer + browser env","BrowserCompiledDraft {tier, fallbackChain, compileMs, compiled prompt}","The browser-side FIRST pass: detects the compute tier and runs prompt-compiler's analyzeLightweight/buildCompiledPrompt locally before handing off to the server","LIVE - imported by components\veri-chat\VeriComposer.tsx","None (deterministic; tier plan only)","VeriComposer.tsx <- components\AppShell.tsx <- app\(app)\layout.tsx"
"browser-execution","C:\ct\ct\src\lib\browser-execution\tier-detection.ts","detectNpuTier(), detectBuiltinAiTier(), detectLiteLlmTier(), detectTransformersTier(), detectServerTier(), detectAllTiers(); type BrowserExecutionTier","browser env (navigator.ml, window.ai, WebGPU, WASM)","TierAvailability[] per tier","Honest feature detection for the 5 browser compute tiers (NPU -> Built-in AI -> Lite LLM -> Transformers.js -> Server)","LIVE - imported by app\api\prompt-compiler\execute\route.ts (type) and client-compile.ts","None","/api/prompt-compiler/execute and VeriComposer.tsx"
"browser-execution","C:\ct\ct\src\lib\browser-execution\tier-orchestrator.ts","TIER_PRIORITY, planExecution(), requiresServerEscalation(), shouldAttemptWebLlm/Npu/BuiltinAi(), planParallelism()","browser detection env","ExecutionPlan {chosen tier, fallbackChain}; {recommendedWorkers}","Master execution planner: routes a task to the optimal compute tier and builds the fallback chain","LIVE - imported by client-compile.ts","None (routing decision only)","client-compile.ts <- VeriComposer.tsx"
"browser-execution","C:\ct\ct\src\lib\browser-execution\worker-pool.ts","class WorkerPool, recommendPoolSize(); types PoolWorker, WorkerFactory, ParallelismEnv","worker factory, navigator.hardwareConcurrency","pooled worker results; recommended pool size (cap 4)","Web Worker pool with queue and cross-worker coordination for parallel browser compute","LIVE - imported by tier-orchestrator.ts","None","tier-orchestrator.ts <- client-compile.ts <- VeriComposer.tsx"
"browser-execution","C:\ct\ct\src\lib\browser-execution\webllm-engine.ts","LITE_LLM_MODEL_ID, defaultWebLlmEngineFactory(), startLiteLlmSession(), buildToolCallSystemPrompt(), runLiteLlmToolCall()","chat messages, tool definitions","LiteLlmSessionResult; {rawText, toolCall}","Real Lite-LLM tier wiring: loads a quantized model in-browser via @mlc-ai/web-llm and runs prompted tool calls","DEAD - 0 prod importers (only webllm-engine.test.ts). No file outside lib\browser-execution references it","Qwen2.5-0.5B-Instruct-q4f16_1-MLC via @mlc-ai/web-llm (in-browser)","Nothing"
"browser-execution","C:\ct\ct\src\lib\browser-execution\npu-engine.ts","NPU_MODEL_ID, NPU_DEVICE, defaultNpuPipelineFactory(), runNpuInference()","text to embed; browser NPU env","NpuInferenceResult (embedding or unavailable reason)","NPU tier inference via @huggingface/transformers on device 'webnn-npu', with IndexedDB weight caching","DEAD - 0 prod importers (only npu-engine.test.ts)","Xenova/all-MiniLM-L6-v2 on webnn-npu (in-browser)","Nothing"
"browser-execution","C:\ct\ct\src\lib\browser-execution\builtin-ai-engine.ts","defaultBuiltinAiSessionFactory(), runBuiltinAiPrompt(); types BuiltinAiSession, BuiltinAiEnv","prompt text; window.ai env","BuiltinAiPromptResult","Real call path behind the Built-in AI tier (browser-native window.ai session)","DEAD - 0 prod importers (only builtin-ai-engine.test.ts)","Browser built-in AI (window.ai / Chrome Prompt API) - no server provider","Nothing"
"browser-execution","C:\ct\ct\src\lib\browser-execution\transformers-engine.ts","TRANSFORMERS_MODEL_ID, defaultTransformersPipelineFactory(), runTransformersEmbedding(), selectToolByEmbeddingSimilarity()","text; candidate tool embeddings","TransformersEmbeddingResult; selected tool","Transformers.js tier: in-browser sentence embeddings and embedding-similarity tool selection","DEAD - only importer is npu-engine.ts, which is itself DEAD","Xenova/all-MiniLM-L6-v2 via @huggingface/transformers (in-browser)","Nothing"
"browser-execution","C:\ct\ct\src\lib\browser-execution\tool-calling.ts","class BrowserToolRegistry, dispatchMcpToolCall(), parseModelToolCall(); MCP request/response types","MCP JSON-RPC tool call request; raw model text","McpToolCallResponse; ParsedToolCall","Browser-native MCP/function tool-calling for the Lite-LLM and Transformers tiers","DEAD - only importer is webllm-engine.ts, which is itself DEAD","None (dispatch layer for in-browser models)","Nothing"
"browser-execution","C:\ct\ct\src\lib\browser-execution\cross-tier-storage.ts","CROSS_TIER_BACKEND_PRIORITY, OpfsStorageBackend, CacheApiStorageBackend, IndexedDbStorageBackend, detectCrossTierBackends(), buildCrossTierBackends(), putCrossTier(), getCrossTier(), deleteCrossTier()","key + Uint8Array value; browser storage env","CrossTierPutResult/GetResult with the backend used","General cross-tier keyed storage abstraction over OPFS -> Cache API -> IndexedDB","DEAD - 0 prod importers (only cross-tier-storage.test.ts)","None","Nothing"
"browser-execution","C:\ct\ct\src\lib\browser-execution\model-cache.ts","class IndexedDbModelCache, createIndexedDbModelCache(); type IndexedDbEnv","model id + weights","cached model weights","Per-engine IndexedDB cache of browser model weights so repeat loads skip the download","DEAD - importers are cross-tier-storage.ts, npu-engine.ts, transformers-engine.ts, all three themselves DEAD","None","Nothing"
"browser-execution","C:\ct\ct\src\lib\browser-execution\sync-engine.ts","coalesceQueuedChanges(), class OfflineQueue, resolveConflict(), syncQueue(), pullDeltaSync(), class SyncMutex","QueuedChange[], push/fetch callbacks, sync token","SyncResult, ConflictResolution, DeltaSyncResult","Offline queue, conflict resolution and delta sync for browser-tier writes","DEAD - 0 prod importers (only sync-engine.test.ts)","None","Nothing"
"browser-execution","C:\ct\ct\src\lib\browser-execution\worker-pool-test-worker.ts","(no exports - a Worker module body)","postMessage number + delayMs","postMessage doubled number","Test-only real Worker used by worker-pool.test.ts to exercise real postMessage/Atomics coordination","DEAD - 0 importers; spawned only by worker-pool.test.ts via new Worker(new URL(...))","None","worker-pool.test.ts only"
"loops","C:\ct\ct\src\lib\loops\loop-engineering-audit.ts","runLoopEngineeringAudit(loopId)","loop_definitions + last 24h loop_executions rows","{findings, synthesis} persisted to loop_executions","Loop 1: observes the other loops' executions and synthesizes an improvement narrative; runs last so it sees the same run's activity","LIVE - imported by app\api\internal\loops\run\route.ts","OpenRouter via lib\llm-client.ts callLLMJson(), model from resolvePlatformModelConfig()","Vercel cron GET /api/internal/loops/run (0 3 * * *)"
"loops","C:\ct\ct\src\lib\loops\knowledge-flow-audit.ts","runKnowledgeFlowAudit(loopId)","knowledge_flow_log rows (last window)","audit findings row in loop_executions","Loop 4: checks that every 'up' direction knowledge flow between tiers is accounted for","LIVE - imported by app\api\internal\loops\run\route.ts","None (SQL-only, read-only audit)","Vercel cron GET /api/internal/loops/run"
"loops","C:\ct\ct\src\lib\loops\process-turnaround-audit.ts","runProcessTurnaroundAudit(loopId)","compliance_items + departments, last 30 days","turnaround stats per department","Loop 5: measures creation-to-completion duration of compliance items by department","LIVE - imported by app\api\internal\loops\run\route.ts","None","Vercel cron GET /api/internal/loops/run"
"loops","C:\ct\ct\src\lib\loops\input-quality-audit.ts","runInputQualityAudit(loopId)","compliance_items + notices, last 30 days","list of items completed with no acknowledgement/registration number","Loop 7: read-only input data-quality audit (a filing with no proof of filing)","LIVE - imported by app\api\internal\loops\run\route.ts","None","Vercel cron GET /api/internal/loops/run"
"loops","C:\ct\ct\src\lib\loops\output-delivery-audit.ts","runOutputDeliveryAudit(loopId)","webhooks + last 10 webhook_deliveries each","webhooks with >50% failure rate","Loop 8: audits the one real outbound delivery mechanism (webhooks) for failure rates","LIVE - imported by app\api\internal\loops\run\route.ts","None","Vercel cron GET /api/internal/loops/run"
"loops","C:\ct\ct\src\lib\loops\api-token-audit.ts","runApiTokenAudit(loopId)","mcp_access_codes + api_keys rows","stale/never-used active tokens; loop improvement proposals","Loop 9: flags active API/MCP tokens unused for a long time or never used","LIVE - imported by app\api\internal\loops\run\route.ts","None","Vercel cron GET /api/internal/loops/run"
"loops","C:\ct\ct\src\lib\loops\user-behaviour-audit.ts","runUserBehaviourAudit(loopId)","audit_logs last 30 days","most active users, common action types, active-hour distribution (UTC)","Loop 10: aggregates audit logs into behaviour patterns","LIVE - imported by app\api\internal\loops\run\route.ts","None","Vercel cron GET /api/internal/loops/run"
"loops","C:\ct\ct\src\lib\loops\automation-progress-audit.ts","runAutomationProgressAudit(loopId)","tasks created in last 30 days","completed vs failed/cancelled/stuck fractions","Loop 11: proxy metric for how much work completes without human intervention","LIVE - imported by app\api\internal\loops\run\route.ts","None","Vercel cron GET /api/internal/loops/run"
"loops","C:\ct\ct\src\lib\loops\data-separation-audit.ts","runDataSeparationAudit(loopId)","up to 10 orgs per run, via withTenantContext","data_separation_audit rows","Loop 12: live query-level tenant isolation proof - can org A actually read org B's data through the real RLS path","LIVE - imported by app\api\internal\loops\run\route.ts","None","Vercel cron GET /api/internal/loops/run"
"loops","C:\ct\ct\src\lib\loops\tier-integrity-audit.ts","runTierIntegrityAudit(loopId)","loop_executions + tier config","integrity findings + loop improvement proposals","Loop 13: checks data/process separation structurally (distinct from Loop 12's live query proof)","LIVE - imported by app\api\internal\loops\run\route.ts","None","Vercel cron GET /api/internal/loops/run"
"loops","C:\ct\ct\src\lib\loops\byo-model-audit.ts","runByoModelAudit(loopId), detectMissedEscalations(); types ChatReplyRow, MissedEscalation","customer_model_config + orchestra_executions rows; chat reply pairs","MissedEscalationAuditResult + loop findings","Loop 14 (BYO AI Model): samples replies that should have escalated but didn't, since escalation triggers are regex/keyword based","LIVE - imported by app\api\internal\loops\run\route.ts AND lib\services\routing-accuracy-report-service.ts","References provider 'openrouter' / model 'z-ai/glm-5.2' in the recorded afterState; the audit itself makes no model call","Vercel cron GET /api/internal/loops/run; also GET /api/orchestra/routing-accuracy"
"loops","C:\ct\ct\src\lib\loops\cost-anomaly-audit.ts","runCostAnomalyAudit()","per-org spend history via ai-cost-finops-service","spike-relative-to-baseline anomalies","Detects spend spikes that cross no absolute cap (cost-guard.ts is static-threshold only)","LIVE - imported by app\api\internal\loops\run\route.ts","None (reads cost ledger)","Vercel cron GET /api/internal/loops/run (a separate /api/internal/cost-anomalies/run cron also exists)"
"loops","C:\ct\ct\src\lib\loops\model-pricing-audit.ts","runModelPricingAudit()","orchestra_executions rows with cost data","rows whose cost cannot be reconciled against llm-client.ts's MODEL_PRICING table","Finds the checkable symptom of a stale manual pricing table (no live billing API exists for these providers)","LIVE - imported by app\api\internal\loops\run\route.ts","Audits pricing for OpenRouter/other llm-client providers; makes no model call","Vercel cron GET /api/internal/loops/run"
"loops","C:\ct\ct\src\lib\loops\capability-index-freshness-audit.ts","runCapabilityIndexFreshnessAudit()","worker_agents, module_registry, embeddings tables","re-indexed capability embeddings + freshness report","Standalone cron job that re-indexes stale capability embeddings (not folded into the loop_definitions taxonomy)","LIVE - imported by app\api\internal\loops\run\route.ts","Embeddings via lib\embeddings.ts (pgvector), PLATFORM_SCOPE_ORG_ID","Vercel cron GET /api/internal/loops/run"
"loops","C:\ct\ct\src\lib\loops\memory-sheets-projection.ts","MEMORY_SHEET_NAME, MAX_RECORDS_PER_RUN, toSheetRow(), runMemorySheetsProjectionJob()","unsynced compliance.memory_records rows (max 500/run)","MemorySheetsProjectionResult; rows appended to a Google Sheet","One-way write-through projection of memory records to a Google Sheet mirror; never reads back, carries no vectors","LIVE - imported by app\api\internal\loops\run\route.ts","None (Google Sheets API, no LLM)","Vercel cron GET /api/internal/loops/run"
"loops","C:\ct\ct\src\lib\loops\instruction-mismatch-audit.ts","runInstructionMismatchAudit()","instruction_commitments vs tasks/audit_logs/messages","instruction_mismatch_detections rows + notifications","Wave 12: detects where what was promised to a user diverges from what was actually done","LIVE - imported by app\api\internal\instruction-audit\run\route.ts","OpenRouter via callLLMJson(); model resolved by lib\ai-router\mother-router.ts resolveModel()","Vercel cron GET /api/internal/instruction-audit/run (0 4 * * *)"
"loops","C:\ct\ct\src\lib\loops\task-reflection.ts","runTaskReflection(db, input), average(), verdictFor(); types ReflectionSourceType, SpeedCostVerdict","TenantDb + {sourceType task|ai_team_dispatch, outcome, durationMs, costUsd}","persisted reflection row with a speed/cost verdict vs recent average","Universal per-task reflective-question mechanism fired on every terminal-state write, not just guardrail violations","LIVE - imported by lib\task-execution-engine.ts and lib\activity-log-service.ts","None (statistical comparison)","task-execution-engine.ts / activity-log-service.ts, reached from task + dispatch request paths"
"prompt-security","C:\ct\ct\src\lib\prompt-security\index.ts","export * from types, layer1-4, quality-engine, defense-in-depth, red-team-battery","n/a","n/a","Barrel for the 4-layer prompt security stack","LIVE - imported by app\api\help\ask\route.ts (the only prod importer)","None","POST /api/help/ask"
"prompt-security","C:\ct\ct\src\lib\prompt-security\defense-in-depth.ts","runDefenseInDepth(options); type DefenseInDepthOptions","{provider, model, apiKey, systemPrompt, userMessage, groqApiKey, llmOptions}","DefenseInDepthResult (layer verdicts, blockReason, filtered output, quality score)","Opt-in wrapper around llm-client.ts's callLLM that runs all four security layers together; deliberately does not modify existing callLLM call sites","LIVE - imported by lib\prompt-security\index.ts","Wraps any llm-client LLMProvider (e.g. OpenRouter) for the real call; Groq for the guard models","index.ts <- POST /api/help/ask"
"prompt-security","C:\ct\ct\src\lib\prompt-security\layer1-input-sanitization.ts","parsePromptGuardOutput(), classifyInputDeterministic(), classifyInput(rawText, apiKey)","raw user text + optional Groq API key","Layer1Result {threatMatches, label BENIGN|MALICIOUS}","Layer 1 input sanitization: deterministic regex threat matching plus an optional Prompt Guard model classification","LIVE - imported by defense-in-depth.ts, index.ts, red-team-battery.ts and lib\services\tet-shield-gate.ts","meta-llama/llama-prompt-guard-2-86m via Groq (GROQ_API_KEY); deterministic path needs no model","POST /api/help/ask; also tet-shield-gate.ts <- task-execution-trace-service.ts"
"prompt-security","C:\ct\ct\src\lib\prompt-security\layer2-system-prompt-hardening.ts","hardenSystemPrompt(systemPrompt, userContent)","system prompt + user content","HardenedPrompt (delimited/instruction-fenced prompt)","Layer 2: hardens the system prompt against injection by fencing untrusted user content","LIVE - imported by defense-in-depth.ts and index.ts","None (deterministic string transform)","POST /api/help/ask"
"prompt-security","C:\ct\ct\src\lib\prompt-security\layer3-runtime-guardrails.ts","parseLlamaGuardOutput(), evaluateWithLlamaGuard(text, apiKey)","compiled prompt or model response + Groq key","LlamaGuardVerdict {safe, categories, raw}","Layer 3 runtime guardrails on both input and output side via a hosted guard model","LIVE - imported by defense-in-depth.ts, index.ts and lib\services\tet-shield-gate.ts","meta-llama/llama-guard-4-12b via Groq (always Groq-hosted regardless of the caller's provider)","POST /api/help/ask; tet-shield-gate.ts <- task-execution-trace-service.ts"
"prompt-security","C:\ct\ct\src\lib\prompt-security\layer4-output-filtering.ts","scrubPii(text), detectLeakedSystemInstruction(outputText)","model output text","{piiMatches, scrubbedText}; boolean leak flag","Layer 4: scrubs EMAIL/PHONE/SSN/CREDIT_CARD/GSTIN/PAN/IFSC/AADHAAR and detects system-instruction leakage","LIVE - imported by defense-in-depth.ts and index.ts","None (deterministic regex)","POST /api/help/ask"
"prompt-security","C:\ct\ct\src\lib\prompt-security\quality-engine.ts","scoreQuality(outputText, injectionMatchedTexts)","model output + matched injection strings","QualityScore {signals[], score}","Scores the response quality/safety signals after the four layers run","LIVE - imported by defense-in-depth.ts and index.ts","None","POST /api/help/ask"
"prompt-security","C:\ct\ct\src\lib\prompt-security\red-team-battery.ts","RED_TEAM_SAMPLES, runRedTeamBattery(samples)","built-in adversarial sample set","RedTeamReport {findings[], pass/fail counts}","Adversarial regression battery run against layer 1's deterministic classifier","LIVE - imported by lib\prompt-security\index.ts (barrel is imported by /api/help/ask; no route calls this export today)","None (deterministic path only)","Exported through index.ts <- POST /api/help/ask; no in-repo caller invokes runRedTeamBattery outside tests"
"prompt-security","C:\ct\ct\src\lib\prompt-security\types.ts","ThreatCategory, ThreatMatch, Layer1Result, HardenedPrompt, LlamaGuardVerdict, Layer3Result, PiiMatch, Layer4Result, QualityScore, DefenseInDepthResult, RedTeamReport","n/a","n/a","Shared type vocabulary for the 4-layer security stack","LIVE - 9 prod importers incl. all four layers and lib\services\tet-shield-gate.ts","None","POST /api/help/ask; task-execution-trace-service.ts"
"monitors","C:\ct\ct\src\lib\monitors\rule-engine-monitor.ts","FALLBACK_MAX_EXECUTION_TIME_MS, FALLBACK_TIMEOUT_MS, FALLBACK_MAX_RETRY, DEFAULT_MONITOR_DEF, resolveMonitorDef(), runRuleEngineMonitor()","TenantDb, monitor name, deterministic check function","RuleEngineMonitorResult (report, escalation claim, activity log)","The shared Tier-1 rule-engine monitor body (registry lookup -> build report -> validate fields -> claim escalation -> log activity); each concrete monitor supplies only its own comparison","LIVE - imported by 5 monitors (board-meeting-hold, meeting-intelligence-generation, task-completion, webhook-delivery-outcome, workflow-completion)","None (deterministic rule comparison)","Reached from PATCH /api/board/[id], /api/v1/tasks/[id]/status, webhook redelivery, approval-workflow-service, veri-meeting-service"
"monitors","C:\ct\ct\src\lib\monitors\approval-decision-monitor.ts","APPROVAL_DECISION_MONITOR_NAME, runApprovalDecisionMonitor()","approval request row (createdAt vs decision timestamp)","monitor report + optional escalation, written in the caller's transaction","Phase 0 Narrow Monitor: was the approval decision made within its SLA; never blocks the decision already committed","LIVE - imported by app\api\approvals\[id]\route.ts","None","PATCH /api/approvals/[id]"
"monitors","C:\ct\ct\src\lib\monitors\board-meeting-hold-monitor.ts","BOARD_MEETING_HOLD_MONITOR_NAME, runBoardMeetingHoldMonitor()","board_meetings row (meetingDate vs updatedAt on transition to 'held')","monitor report + optional escalation","Was the meeting recorded as held within a reasonable window of its planned date","LIVE - imported by app\api\board\[id]\route.ts","None","PATCH /api/board/[id] ('hold' branch)"
"monitors","C:\ct\ct\src\lib\monitors\task-completion-monitor.ts","TASK_COMPLETION_MONITOR_NAME, runTaskCompletionMonitor()","tasks row (dueDate vs updatedAt at status='completed')","monitor report + optional escalation","TASK_CREATED/TASK_COMPLETED SLA check without inventing a completedAt column","LIVE - imported by lib\services\task-service.ts","None","task-service.ts updateTask() <- PATCH /api/v1/tasks/[id]/status"
"monitors","C:\ct\ct\src\lib\monitors\workflow-completion-monitor.ts","WORKFLOW_COMPLETION_MONITOR_NAME, runWorkflowCompletionMonitor()","approval_workflow_instances (createdAt vs completedAt) + maxExecutionTimeMs","monitor report + optional escalation","WORKFLOW_STARTED/WORKFLOW_COMPLETED SLA check for ERP/procurement multi-step approval workflow instances","LIVE - imported by lib\services\approval-workflow-service.ts","None","approval-workflow-service.ts <- erp-selling-service.ts <- task-execution-engine.ts"
"monitors","C:\ct\ct\src\lib\monitors\webhook-delivery-outcome-monitor.ts","WEBHOOK_DELIVERY_OUTCOME_MONITOR_NAME, WEBHOOK_DELIVERY_SYSTEM_ACTOR, runWebhookDeliveryOutcomeMonitor()","final webhook_deliveries attempt for one webhook","pass/fail monitor report + optional escalation","API_SUCCESS/API_FAILED slice, judged on the FINAL delivery attempt not each retry","LIVE - imported by lib\webhook-deliver.ts","None","webhook-deliver.ts <- POST /api/settings/webhooks/[id]/redeliver"
"monitors","C:\ct\ct\src\lib\monitors\meeting-intelligence-generation-monitor.ts","MEETING_INTELLIGENCE_GENERATION_MONITOR_NAME, runMeetingIntelligenceGenerationMonitor()","veri_meeting intelligence generation attempt","monitor report + optional escalation","MOM_GENERATED slice: did the AI summary/decisions/action-items extraction from human-typed minutes succeed","LIVE - imported by lib\services\veri-meeting-service.ts","None itself (watches the generation call, which is model-backed)","veri-meeting-service.ts <- POST /api/veri-meetings/[id]/generate-intelligence and voice-ticket action-items route"
