Req_ID,Area,Requirement,Closure_State,Cited_Test
"R-47","Work Progress","Progress above 100% rejected or capped","CLOSED","construction-progress-service.test.ts"
"R-48","Work Progress","Daily progress report with photos","CLOSED","work-progress/photos/route.test.ts"
"R-50","Dashboard","Project value matches BOQ total","OPEN","construction-dashboard-service.test.ts"
"R-51","Dashboard","Dashboard earned value matches progress","CLOSED","construction-dashboard-service.test.ts"
"R-52","Dashboard","Only the LATEST revision is counted","CLOSED","construction-reports-service.test.ts"
"R-60","Currency","BOQ amounts show AED not rupee","BLOCKED",""
"R-61","Currency","Currency is an ORG SETTING stored as data","CLOSED","erp-accounting-service.test.ts"
"R-62","Currency","Dashboard and other screens show AED","CLOSED","currency-fallback-env.test.ts"
"R-63","Currency","projexa_demo_org has no currency row - would fall back to rupee","CLOSED","firm-client-portal-service.test.ts"
"R-70","Import","Load Sumeet real xlsx with sub-tasks and weights","CLOSED","construction-boq-import-service.test.ts"
"R-71","Import","Malformed row rejected readably","CLOSED","construction-boq-import-service.test.ts"
"R-72","Import","Column mapping matches his headers","CLOSED","construction-boq-import-service.test.ts"
"R-80","Selection Layer","ONE full pill path works end to end","BLOCKED","assistant/route.test.ts"
"R-81","Selection Layer","NO visible pill may be unwired - hide the other 402","BLOCKED","veri-chat-context.test.ts"
"R-82","Assistant","Assistant either reaches project data or is hidden","BLOCKED",""
"R-90","Error Visibility","Real backend message shown in the toast","BLOCKED",""
"R-91","Error Visibility","Cold start Failed to fetch on first submit","BLOCKED",""
"R-A1","Security","Demo admin password rotated before any prospect sees product","NOT_TESTABLE",""
"R-A2","Security","Live GitHub PAT in a clone remote URL rotated","NOT_TESTABLE",""
"R-A3","Security","compliance-tracker repo visibility decision","NOT_TESTABLE",""
"R-A4","Security","Tenant isolation - org A cannot read org B BOQ","CLOSED","projexa/scope/route.test.ts"
"R-A5","Legal","Review of GPLv3 ERPNext / scraped / reverse-engineered code","NOT_TESTABLE",""
"R-A6","Security","nanoid CVE-2026-67213 fix merged into veridian-ui-kit","CLOSED","dependency-pins.test.ts"
"R-A7","Legal","veridian-ui-kit repo visibility decision","NOT_TESTABLE",""
"R-B1","Test","ONE Playwright smoke test over the proven path","CLOSED","e2e/demo-gate-smoke.spec.ts"
"R-B2","Gate","DEMO GATE - TC-01 TC-10 TC-11 TC-30 TC-40 TC-90 each pass TWICE","CLOSED","e2e/demo-gate-smoke.spec.ts"
"R-C01","Module: Permits","Permits register - data entry, upload PDF, permit name, issue date, end date","CLOSED","projexa/permits/route.test.ts"
"R-C02","Module: Drawings and 3D","Upload drawings and 3D walkthroughs","CLOSED","projexa/drawings/route.test.ts"
"R-C03","Module: Documents","Document store - any email, permit-related etc","CLOSED","api/documents/route.test.ts"
"R-C04","Module: MoMs","Live-create Minutes of Meeting, save as PDF, share to WhatsApp","CLOSED","veri-meetings/minutes/route.test.ts"
"R-C07","Module: Manpower","Manpower DB (ID, Name, Trade, Salary), daily attendance, trade-wise summary, daily cost report","CLOSED","construction-labour-service.test.ts"
"R-C08","Module: Material","Material database, material inbound, spec, cost, qty","CLOSED","construction-materials-service.test.ts"
"R-C09","Module: Budget","Budget % defaults to 25% changeable per scope item; vendor name and amount; budget summary report","CLOSED","construction-boq-service.test.ts"
"R-C10","Module: Schedule","Project schedule","CLOSED","projexa/schedule/route.test.ts"
"R-C11","Module: Reports","Revenue / Budget / Actual scope-wise and category-wise. ALL REPORTS IN DASHBOARD FORMAT AND INTERACTIVE","OPEN","construction-reports-service.test.ts"
"R-C12","Module: Design Studio","Daily timesheets - designer enters daily work, manager validates. Cost analysis budget vs actual","CLOSED","pms-time-service.test.ts"
"R-C13","Scope / Variations","Negative variation must be checked against WPR in case work is already done","CLOSED","construction-boq-service.test.ts"
"R-C14","Scope / Variations","Upload site instruction form","CLOSED","site-instructions/route.test.ts"
"R-C15","Export / Share","Save reports as PDF and share to WhatsApp","OPEN","projexa/reports/share/route.test.ts"
"R-C16","Platform: Institutional Memory (CRR)","CRR Capture / Recall / Reuse plus per-user Google connectors (owner ruling 28 Aug 2026)","OPEN",""
