"Area","Step_Or_Surface","File_Path","Trigger","Behaviour","Failure_Mode","Gap_Or_Risk"
"A - Provisioning","Step 4g: Backend success + configuration-failure responses","C:\ct\ct\src\app\api\v1\platform\provision-org\route.ts","Provisioning completes or throws","201 {organisationId, apiKey}. On error containing 'Organisation provisioning needs an elevated connection' -> 503 naming the missing env vars (PROVISIONING_DATABASE_URL, or NEXT_PUBLIC_SUPABASE_URL + SUPABASE_DB_PASSWORD). All other errors -> 500 'Failed to provision organisation'.","Generic 500 for every non-configuration failure; the real cause only reaches console.error.","R53/R48_ORG_PROVISION_RLS_BLOCKED_01 in-file: this exact class of failure previously looked like 'a mystery outage for days'. Only the one configuration case is now named; every other cause is still opaque to the operator."
"A - Provisioning","Step 5: PROJEXA org row insert (ordering is deliberate)","C:\ct\projexa\src\app\api\org\provision\route.ts","provisionVeridianOrg() returned 201","supabase.from('organizations').insert({name:orgName, slug:`${slugify(orgName)}-${Math.random().toString(36).slice(2,7)}`}) using the CALLER'S OWN session (RLS policies from drizzle/0003_signup_insert_policies.sql).","orgError -> console.error naming the orphaned VERIDIAN org id, then 500 with orgError.message.","Documented tradeoff in-file: a failure here leaves one orphaned VERIDIAN org with nothing pointing at it. There is no reconciliation job that finds or reclaims those orgs."
"A - Provisioning","Step 6: Membership insert (role: owner)","C:\ct\projexa\src\app\api\org\provision\route.ts","Org row created","supabase.from('memberships').insert({user_id:userId, organization_id:org.id, role:'owner'}).","membershipError -> console.error naming both org ids, then 500 with membershipError.message.","Steps 5 and 6 are not transactional. A failure here leaves an organizations row with NO members - unreachable by anyone, and /api/org/repair cannot fix it (repair requires ctx.organizationId from a membership)."
"A - Provisioning","Step 7: veridian_credentials insert (the fragile step)","C:\ct\projexa\src\app\api\org\provision\route.ts","Membership created","db.insert(veridianCredentials).values({organizationId, veridianOrgId, veridianApiKey}) via Drizzle's DIRECT Postgres connection - NOT the RLS-governed Supabase client, because public.veridian_credentials is locked to service_role only.","Throws -> 500 'Your account was created but we couldn''t finish connecting it to your workspace. Please contact support.' console.error asks 'is DATABASE_URL/SUPABASE_DB_PASSWORD configured?'.","THE half-provisioned state. Org + membership exist, credentials do not, and /api/org/provision's idempotency guard means re-running it can never fix this. In-file: 'the R48 demo tenant is in exactly this state ... veridian_credentials rows = 0'."
"A - Provisioning","Step 7a: Drizzle connection string resolution","C:\ct\projexa\src\lib\db\index.ts","First use of `db` (lazy Proxy)","Prefers DATABASE_URL; else builds postgresql://postgres.<ref>:<SUPABASE_DB_PASSWORD>@aws-1-ap-south-1.pooler.supabase.com:6543/postgres from NEXT_PUBLIC_SUPABASE_URL. postgres({prepare:false, ssl:{rejectUnauthorized:false}, max:1}).","Neither available -> throws 'No database connection string available. Set DATABASE_URL or NEXT_PUBLIC_SUPABASE_URL + SUPABASE_DB_PASSWORD.'","ssl:{rejectUnauthorized:false} disables certificate verification on the connection carrying every tenant's VERIDIAN API key. max:1 connection per instance is also a throughput ceiling on every credential lookup."
"A - Provisioning","Step 8: 201 success response","C:\ct\projexa\src\app\api\org\provision\route.ts","All three steps succeeded","NextResponse.json({organizationId: org.id}, {status:201}). The VERIDIAN API key is deliberately never returned to the browser.","N/A","Caller (signup page) only checks res.ok, then router.push('/dashboard'). It does not verify veridianConnected on the success path."
"A - Provisioning","Table: public.veridian_credentials (definition)","C:\ct\projexa\src\lib\db\schema.ts","Schema definition, line 43","One row per PROJEXA org. organizationId uuid PRIMARY KEY -> organizations.id ON DELETE CASCADE; veridianOrgId text NOT NULL UNIQUE; veridianApiKey text NOT NULL; createdAt/updatedAt timestamptz NOT NULL DEFAULT now().","N/A","veridian_api_key is stored in PLAINTEXT text - not hashed, not encrypted at rest by the application. A read of this one table yields every tenant's live VERIDIAN credential."
"A - Provisioning","Table: public.veridian_credentials (creation + RLS)","C:\ct\projexa\drizzle\0001_projexa_tenant_schema.sql","Migration 0001, lines 26-49","CREATE TABLE ... ; ALTER TABLE public.veridian_credentials ENABLE ROW LEVEL SECURITY. Explicit comment: 'No policies on veridian_credentials for anon/authenticated: it is readable only by the service_role key from trusted server code.'","N/A","Stated intent (service_role) and actual access path diverge: veridian-client.ts reads it through Drizzle's direct postgres superuser-class connection built from SUPABASE_DB_PASSWORD, which bypasses RLS entirely rather than using service_role. RLS-with-no-policies is doing no work on that path."
"A - Provisioning","Table hardening: veridian_org_id UNIQUE","C:\ct\projexa\drizzle\0016_veridian_org_id_unique.sql","Migration 0016, applied 2026-08-27","ALTER TABLE public.veridian_credentials ADD CONSTRAINT veridian_credentials_veridian_org_id_unique UNIQUE (veridian_org_id). Verified 0 violations before applying.","A duplicate write now fails on the constraint instead of silently succeeding.","In-file: without it, a race in /api/org/repair or /api/org/provision writing the same veridian_org_id for two PROJEXA orgs 'WOULD be a genuine cross-tenant leak' - compliance-tracker only ever sees veridian_org_id and has no visibility into PROJEXA's organization_id space."
"A - Provisioning","Key resolution: getVeridianApiKey(organizationId)","C:\ct\projexa\src\lib\veridian-client.ts","Any org-scoped VERIDIAN call, and both /api/org/repair branches","SELECT veridian_api_key FROM veridian_credentials WHERE organization_id = $1 LIMIT 1 via Drizzle. Returns row?.apiKey ?? null. NEVER throws.","On DB exception it console.errors and returns null - deliberately treating 'DB unreachable' identically to 'no row exists'.","A transient DATABASE_URL/pooler outage is indistinguishable from a genuinely unprovisioned org. Downstream that becomes the AR-04 hard failure below, so a blip presents to the customer as a permanent misconfiguration. It also makes /api/org/repair's GET report repairAvailable:true for a healthy org."
"A - Provisioning","Key resolution: resolveApiKey() priority order","C:\ct\projexa\src\lib\veridian-client.ts","Every callVeridian / callVeridianRaw / callVeridianBinary / callVeridianUpload","1) explicit options.apiKey wins; 2) else if options.organizationId -> getVeridianApiKey(); 3) else if process.env.VERIDIAN_API_KEY -> the shared key; else throws VeridianApiError('No VERIDIAN API key configured', 500).","N/A","An explicitly-passed options.apiKey bypasses the per-org lookup and the AR-04 guard entirely. Any call site that can supply an apiKey can act as an arbitrary tenant."
"A - Provisioning","AR-04 fail-loud guard (THE RULE)","C:\ct\projexa\src\lib\veridian-client.ts","organizationId WAS provided but getVeridianApiKey() returned null","THROWS VeridianApiError(`No VERIDIAN credentials configured for organization ${organizationId}, and per-org requests may not fall back to a shared key (AR-04)`, 500). It does NOT fall back to VERIDIAN_API_KEY.","Every single per-org VERIDIAN call for that org fails with a 500 - permanently, until credentials are supplied.","Correct security posture (falling back would be cross-tenant leak E-45), but the resulting UX is a totally dead product with a raw 500 message. This is the state a half-provisioned org lives in, and nothing in the authenticated app surfaces 'your workspace is not connected' to the user."
"A - Provisioning","Legacy shared-key path (organizationId omitted)","C:\ct\projexa\src\lib\veridian-client.ts","A call site that passes no organizationId at all","Falls through to process.env.VERIDIAN_API_KEY - the shared demo/sandbox key. File header: 'That shared key remains in use only as the key for calls that omit organizationId entirely (legacy call sites still being migrated).'","No error - the call succeeds against whatever tenant the shared key belongs to.","OPEN MIGRATION: the AR-04 guard is defeated by simply not passing organizationId. UNKNOWN how many call sites still omit it - the codebase states the migration is incomplete but does not enumerate the remainder."
"A - Provisioning","Cross-tenant cache hazard: createCachedVeridianGet()","C:\ct\projexa\src\lib\veridian-client.ts","Cached GETs for reference data (currencies, cost centers, fiscal years)","unstable_cache keyed on [cacheKey, path] PLUS organizationId as the wrapped function's sole argument - org-scoped two independent ways.","N/A","In-file warning: Next's ordinary fetch() cache keys on URL+method+body only, NOT headers - so adding `next:{revalidate}` to the shared fetch in fetchWithTimeout() 'would silently serve org A''s cached response to org B'. That is a live footgun for the next engineer who tries to speed up a VERIDIAN call."
"A - Provisioning","Repair: GET /api/org/repair (diagnosis)","C:\ct\projexa\src\app\api\org\repair\route.ts","Authenticated org owner/admin polls the endpoint","requireAuth() then requireRole(ctx, ROLE_GROUPS.ORG_ADMIN). Returns {organizationId, veridianConnected: apiKey!==null, repairAvailable: apiKey===null}. Boolean only - the key value is never returned. export const dynamic='force-dynamic'.","requireAuth failure -> ctx.response. Wrong role -> requireRole's 403.","Nothing in the app calls this automatically. The in-file rationale says it exists so a banner can distinguish 'not connected' from 'empty' - but no such banner was found wired to it. A broken org still looks merely empty."
"A - Provisioning","Repair: POST /api/org/repair (the only recovery path)","C:\ct\projexa\src\app\api\org\repair\route.ts","Owner/admin triggers repair on a half-provisioned org","Role-gated server-side. If getVeridianApiKey() already returns a key -> {repaired:false, alreadyHealthy:true} and changes NOTHING (never re-provisions, never rotates a live key). Otherwise reads organizations.name/.country and calls provisionVeridianOrg() with them.","Org read throws -> 503. Org row missing -> 409 'Your membership points at an organisation that no longer exists. This needs support, not a repair.' provisionVeridianOrg throws -> 502 or the VeridianApiError's own status.","Requires an OWNER/ADMIN to already be signed in. A single-owner org whose owner cannot sign in (see PART C) can never be repaired. Also: repair sends country but the ORIGINAL provision did not, so a repaired org can end up with different country/currency than a normally-provisioned one."
"A - Provisioning","Repair: race protection + post-write verification","C:\ct\projexa\src\app\api\org\repair\route.ts","Two admins repair simultaneously","db.insert(veridianCredentials)...onConflictDoNothing() (organization_id is the PK, so the second writer no-ops). Then re-reads via getVeridianApiKey() and refuses to report success if it comes back null.","Insert throws -> 500 'We connected your workspace but couldn''t save the connection.' Verification returns null -> 500 'We connected your workspace but couldn''t confirm it.'","The loser of the race leaves one orphaned VERIDIAN org (acknowledged in-file as an acceptable tradeoff). No cleanup exists for these."
"A - Provisioning","Resume path 1: deferred provisioning on login","C:\ct\projexa\src\app\login\page.tsx","User signs in with password and has NO memberships row","Reads window.localStorage 'projexa_pending_org_name'; if present, POSTs /api/org/provision and removes the key on success.","On !res.ok, sets the error inline and returns without navigating.","Only fires if the pending name survives in THIS browser's localStorage. If it is absent, the user is silently pushed to /dashboard with no organization at all and every API answers 'No organization' (400)."
"A - Provisioning","Resume path 2: deferred provisioning on the email-confirm callback","C:\ct\projexa\src\app\auth\callback\page.tsx","User clicks the emailed confirmation link","After establishing the session, reads 'projexa_pending_org_name' and POSTs /api/org/provision before navigating. In-file: without this block a confirming user 'arrives at /dashboard authenticated but with no organization at all'.","On failure shows 'Your email is confirmed, but we could not finish setting up your organisation. Sign in to retry.'","Same localStorage dependency. The confirmation link is usually opened in a mail client / different browser - precisely the case where localStorage is empty."
"A - Provisioning","Middleware exception that keeps the resume path reachable","C:\ct\projexa\src\middleware.ts","Authenticated user navigates to /login","Normally an authenticated visitor to /login or /signup is redirected to /dashboard. EXCEPTION: for /login only, middleware first looks up memberships; if none, it lets the request through so login/page.tsx's resume logic can run. /signup gets no such exception.","N/A","Correct and load-bearing - but it means an authenticated user with no org can never reach /signup to name one. Their ONLY route is /login plus surviving localStorage."
"A - Provisioning","Error vocabulary for upstream failures","C:\ct\projexa\src\lib\veridian-client.ts","Any VERIDIAN call including provisioning","Closed set VeridianErrorCode = UPSTREAM_TIMEOUT | UPSTREAM_500 | STORAGE_UNAVAILABLE | NETWORK. `code` is null for 4xx and for local config errors thrown by resolveApiKey(). VeridianApiError carries message (user-safe), detail (server-only), ruleCode, missing, body, durationMs.","N/A","AR-04's throw carries code=null and status 500, so downstream retry logic (RETRYABLE_CODES in veridian-response.ts) cannot distinguish 'this org is unprovisioned forever' from a generic server error."
"B - Unauth surface","Gate design: deny-by-default page access","C:\ct\projexa\src\lib\authz\page-access.ts","Every non-/api, non-asset page request via middleware","requiresAuthenticatedPage() returns false for /api/*, for any path whose last segment contains a '.', and for the public set. PUBLIC_PAGE_PATHS = {'/','/hi','/how-it-works','/hi/how-it-works','/login','/signup'}. PUBLIC_PAGE_PREFIXES = ['/auth/','/invite/','/share/','/shared/'].","Forgetting an entry fails CLOSED (page redirects to /login) rather than open. page-access.test.ts regenerates both sets from the filesystem.","Replaced a hand-written PROTECTED_PREFIXES allowlist under which 'roughly half the navigable product sat outside the gate' - including /copilot, listed under the stale name /ai-copilot. In-file: 'this is a GATE, not a data boundary'."
"B - Unauth surface","Public page 1: / (English marketing landing)","C:\ct\projexa\src\app\page.tsx","Unauthenticated visit to /","export const dynamic='force-static'; revalidate=3600. Renders <LandingPage locale=""en"" />. Zero request-time reads - the logged-in redirect moved to middleware (R67 J-01 / audit R-246).","Authenticated visitors are redirected to /dashboard by middleware's isLandingRoute() check before this page renders.","Before J-01, warm TTFB was 1375ms / FCP 1672ms because one cookie read made the whole route dynamic - the warm paint was slower than the cold one."
"B - Unauth surface","Public page 2: /hi (Hindi landing, rewrite target)","C:\ct\projexa\src\app\hi\page.tsx","Hindi-locale visitor requests / (middleware REWRITES, never redirects)","force-static, revalidate 3600. Wraps <LandingPage locale=""hi""/> in MarketingLocaleProvider. generateMetadata() pulls title/description from Marketing.hero in messages/hi.json.","A logged-in visitor reaching /hi directly is redirected to /dashboard first (isLandingRoute covers it).","Exists only because a statically cached document cannot vary by cookie. The first cut of J-01 'silently retired a COMPLETE shipped Hindi translation' by serving English to everyone."
"B - Unauth surface","Public page 3: /how-it-works (English)","C:\ct\projexa\src\app\how-it-works\page.tsx","Any visitor, authenticated or not","force-static, revalidate 3600. Renders <HowItWorksContent locale=""en""/>. Exports metadata with a fixed title/description. Explicitly NOT redirect-gated by auth state, unlike /.","N/A","None found."
"B - Unauth surface","Public page 4: /hi/how-it-works (Hindi, rewrite target)","C:\ct\projexa\src\app\hi\how-it-works\page.tsx","Hindi visitor requests /how-it-works","force-static, revalidate 3600. MarketingLocaleProvider + HowItWorksContent locale='hi'. generateMetadata() from Marketing.howItWorks.hero.","N/A","None found."
"B - Unauth surface","Public page 5: /login","C:\ct\projexa\src\app\login\page.tsx","Visitor signs in","'use client'. supabase.auth.signInWithPassword({email,password}). On success, checks memberships; runs the deferred-provisioning resume; then router.push('/dashboard') + router.refresh().","loginError || !data.session -> inline setError(loginError?.message ?? t('genericError')).","CONFIRMED DEFECT: this page never reads the `redirectTo` query param. grep for 'redirectTo' in login/page.tsx and signup/page.tsx returns NOTHING. Both middleware (url.searchParams.set('redirectTo', ...)) and the invite page send users here with redirectTo - and all of them are dumped on /dashboard instead, losing their destination."
"B - Unauth surface","Public page 5a: /login has no account-recovery affordance","C:\ct\projexa\src\app\login\page.tsx","Visitor cannot remember their password","The form renders exactly two fields (email, password), one submit button, and one link: 'no account? /signup'. There is no 'forgot password' link, no magic-link option, and no passwordless alternative.","N/A - the affordance does not exist.","See PART C. Password is the ONLY authentication method offered by this page and there is no recovery from it."
"B - Unauth surface","Public page 6: /signup","C:\ct\projexa\src\app\signup\page.tsx","Visitor creates an account","'use client'. Three fields: orgName (required), email (required), password (required, minLength 6). Always creates a NEW organization via /api/org/provision.","signUpError shown inline; provision failure shown inline via body.error.","Signup is hardwired to 'found a new company'. There is NO 'join an existing organisation' path here. An invited person with no account cannot register through /signup without first provisioning a redundant org of their own."
"B - Unauth surface","Public page 7: /auth/callback (the only credential-consuming route)","C:\ct\projexa\src\app\auth\callback\page.tsx","Any emailed Supabase auth link: signup confirmation, magic link, or password recovery","Client-side by design. Parses the URL FRAGMENT (#access_token/#refresh_token -> setSession), ?code (-> exchangeCodeForSession), or ?token_hash+?type (-> verifyOtp for magiclink|signup|recovery|invite|email_change|email). Then getSession() to confirm the cookie is durable before navigating.","No credential present -> 'This sign-in link is missing its credential. Request a new one.' Supabase error_description surfaced verbatim. Session not persisted -> 'Signed in, but the session did not persist. Check that cookies are enabled.'","R47_AUTH_REDIRECT_01: PROJEXA had NO auth callback route at all until 2026-08-25, so 'a real user could not confirm an email address or complete a password reset AT ALL' - invisible because every automated test since R33 mints tokens directly and 'has never once followed an emailed link'."
"B - Unauth surface","Public page 7a: auth/callback open-redirect guard","C:\ct\projexa\src\app\auth\callback\page.tsx","Link carries ?redirectTo= or ?next=","router.replace(target.startsWith('/') && !target.startsWith('//') ? target : '/dashboard') - same-origin paths only.","A crafted absolute or protocol-relative URL falls back to /dashboard.","This route DOES honour redirectTo; /login does not. The two entry points behave inconsistently."
"B - Unauth surface","Public page 7b: cookie-writing rule","C:\ct\projexa\src\app\auth\callback\page.tsx","Session establishment","MUST use createBrowserClient()'s own @supabase/ssr cookie encoder (base64url + 3180-byte chunking). In-file: hand-writing those cookies produces the '[middleware] getClaims() threw: Expected "","" or ""}"" after property value in JSON' error group.","Malformed chunked cookie -> middleware getClaims() throws -> caught and degraded to 'logged out for this one request'.","Documented landmine for anyone adding a second session-writing path."
"B - Unauth surface","Public page 8: /invite/[token] (redemption UI)","C:\ct\projexa\src\app\invite\[token]\page.tsx","Invitee opens the invite link","'use client'. Checks getSession(), then GETs /api/org/invites/preview?token=. Renders 'Join <org> as <role>'. ROLE_LABEL maps owner|admin|pm|site_engineer|member|client_viewer to display names. Signed in -> 'Join' button POSTs /api/org/invites/accept. Not signed in -> button to /login?redirectTo=/invite/<token>.","Preview !res.ok -> shows the server's message or 'This invitation link is not valid.' is_open false -> 'This invitation is no longer open. It has been used, revoked, or has expired.'","BROKEN LOOP: the 'Sign in to accept' button sends the user to /login?redirectTo=/invite/<token>, but login/page.tsx ignores redirectTo and pushes /dashboard. The invitee never returns to the invite and must find the original link again."
"B - Unauth surface","Public page 8a: invitee with no account has no path","C:\ct\projexa\src\app\invite\[token]\page.tsx","Invited person has never used PROJEXA","The page offers only 'Sign in to accept'. There is no 'create an account to accept' branch.","The invitee goes to /signup, which forces them to name a company and provisions a whole new org + VERIDIAN tenant for them.","MAJOR ONBOARDING GAP: accept_org_invite() requires a public.profiles row whose email matches the invite. A brand-new invitee must first self-signup (creating a junk org and a real, billed VERIDIAN tenant), then locate the invite link again, then accept - ending up with two memberships."
"B - Unauth surface","Public page 9: /share/report/[token]","C:\ct\projexa\src\app\share\report\[token]\page.tsx","Anyone with the token URL, no credentials of any kind","Server Component. Plain unauthenticated fetch to `${VERIDIAN_ORIGIN}/api/reports/share/${token}` - deliberately NOT callVeridian/callVeridianRaw, which would resolve an API key first. Renders work_progress or project_status reports. Money formatted with NO currency code (no session -> no org currency, and 'a currency is never guessed').","!res.ok or unrecognised reportType -> notFound().","AR-10 'render, never authorise': no sidebar, no nav, no link back into the product. The token is a pure bearer credential - anyone holding the URL sees BOQ lines, budgets, vendor names and vendor amounts. Expiry is enforced upstream in VERIDIAN, not here."
"B - Unauth surface","Public page 10: /share/attendance/[token]","C:\ct\projexa\src\app\share\attendance\[token]\page.tsx","Anyone with the token URL","Same shape and same rules as /share/report. Hits the SAME upstream endpoint /api/reports/share/[token] and explicitly rejects a payload whose reportType !== 'attendance_summary' so a work-progress token cannot be half-rendered here. Renders 'Shared, read-only -- expires automatically'. Uses formatNumber() to pin the locale.","Wrong reportType or !res.ok -> null -> notFound().","Bearer-token exposure of labour/attendance and trade cost data. R67 D-11 note: previously used n.toLocaleString(undefined,...) which changes the grouping separator under hydration (1,234.50 vs 1.234,50)."
